Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR		SE 	
5.300305E+2	7.889867E-3	-6.946002E-3	5.681571E-4	8.490685E+8	4.821695E+6	-2.633202E-3	2.131399E-3	5.799150E+7	1.124559E+6	-5.793211E-3	7.057180E-4	8.624701E+8	1.404601E+7	-9.684549E-3	2.266742E-3	5.073345E+7	3.189833E+6	-6.979491E-3	4.087756E-4	8.621031E+9	9.818536E+7	-6.745543E-3	3.208719E-4	8.705651E+9	1.455711E+8	-6.872167E-3	4.321715E-4	9.483501E+9	1.120319E+8	-6.763549E-3	3.182018E-4	9.554720E+9	1.489359E+8	4.312801E-3	2.363525E-3	-3.891338E-3	2.660105E-3	7.051348E-3	1.514459E-3	8.204138E-3	1.166615E-3	4.130347E-3	2.038467E-3	-7.910770E+8	5.169941E+6	-8.117366E+8	1.151976E+7	7.258045E+6	3.020638E+6	2.065959E+7	7.431153E+6	-9.496728E+9	1.484119E+8	0.000000E+0	0.000000E+0
5.305105E+2	3.227486E-3	-6.798372E-3	5.580393E-4	8.519923E+8	6.847410E+6	-8.049988E-3	2.352400E-3	5.144954E+7	3.765649E+6	-5.918424E-3	5.074449E-4	8.601747E+8	2.021755E+7	-5.590227E-3	2.440309E-3	5.571692E+7	4.074299E+6	-5.837971E-3	4.746696E-4	8.843620E+9	1.551079E+8	-5.711432E-3	7.723421E-4	8.909045E+9	1.747266E+8	-5.845221E-3	4.746080E-4	9.703795E+9	1.732003E+8	-5.809011E-3	7.453400E-4	9.761036E+9	1.811410E+8	-1.251616E-3	1.916642E-3	3.281960E-4	2.285237E-3	-2.459760E-3	4.198471E-3	-1.579812E-3	3.857500E-3	-2.240977E-3	1.762634E-3	-8.005428E+8	8.282390E+6	-8.044578E+8	1.665363E+7	-4.267378E+6	5.681590E+6	3.915008E+6	1.115571E+7	-9.709588E+9	1.804196E+8	0.000000E+0	0.000000E+0
5.310213E+2	5.543389E-3	-3.592175E-3	1.111962E-3	9.140130E+8	2.200713E+7	-5.647610E-3	2.091115E-3	5.430359E+7	1.125879E+6	-3.480848E-3	2.807003E-4	9.069661E+8	2.261097E+7	-2.745784E-3	2.403216E-3	5.897349E+7	3.562590E+6	-4.563920E-3	4.928612E-4	9.089681E+9	1.431098E+8	-4.473174E-3	4.581161E-4	9.149659E+9	1.689797E+8	-4.465727E-3	4.510881E-4	9.996648E+9	1.581868E+8	-4.394068E-3	5.099563E-4	1.006367E+10	1.870100E+8	-2.055434E-3	1.939674E-3	7.350637E-4	2.660049E-3	-2.901825E-3	2.950081E-3	-2.790497E-3	3.010891E-3	-1.253542E-3	2.088663E-3	-8.597094E+8	2.276883E+7	-8.479926E+8	2.562586E+7	-4.669895E+6	3.670948E+6	-1.171675E+7	2.353520E+7	-1.000937E+10	1.880756E+8	0.000000E+0	0.000000E+0
5.315155E+2	2.500000E-3	-2.383505E-3	9.293120E-4	9.369304E+8	1.039347E+7	-1.190129E-3	4.307789E-3	5.997096E+7	4.671943E+6	-2.107310E-3	7.413420E-4	9.329410E+8	1.570509E+7	1.127902E-3	1.605442E-3	6.370203E+7	3.002569E+6	-2.418307E-3	4.159058E-4	9.503469E+9	1.095493E+8	-2.306047E-3	4.522922E-4	9.570952E+9	1.386681E+8	-2.390087E-3	4.141742E-4	1.043641E+10	1.134462E+8	-2.313020E-3	4.918273E-4	1.050788E+10	1.449790E+8	1.193376E-3	3.794302E-3	3.235212E-3	1.355541E-3	-2.318029E-3	4.163866E-3	-2.041834E-3	3.682121E-3	1.122892E-3	3.945347E-3	-8.769595E+8	6.016569E+6	-8.692390E+8	1.817791E+7	-3.731078E+6	3.050870E+6	-7.720510E+6	2.062183E+7	-1.044791E+10	1.415429E+8	0.000000E+0	0.000000E+0
5.320120E+2	2.041241E-3	7.570746E-4	7.705213E-4	9.975766E+8	2.417011E+7	-5.961527E-4	2.785056E-3	6.046727E+7	4.700884E+6	8.348802E-4	9.973730E-4	9.904185E+8	2.649089E+7	-1.139375E-3	2.044947E-3	6.104180E+7	4.100901E+6	4.090671E-4	3.567045E-4	1.005160E+10	2.036324E+8	8.237396E-4	1.882321E-4	1.017917E+10	1.755433E+8	4.475472E-4	3.167197E-4	1.104202E+10	2.225645E+8	8.176344E-4	1.968457E-4	1.117675E+10	1.967421E+8	-1.353227E-3	2.575126E-3	-1.974255E-3	1.260658E-3	5.432218E-4	4.420443E-3	6.210285E-4	3.752429E-3	-1.413787E-3	2.663059E-3	-9.371093E+8	1.998729E+7	-9.293766E+8	2.501006E+7	-5.745345E+5	7.132254E+6	-7.732660E+6	2.419144E+7	-1.111628E+10	1.925007E+8	0.000000E+0	0.000000E+0
5.325095E+2	1.443376E-3	5.312026E-3	1.860547E-3	1.084410E+9	4.258089E+7	3.688058E-3	2.801026E-3	6.548553E+7	4.541675E+6	4.901653E-3	1.229437E-3	1.067741E+9	2.973377E+7	4.470766E-3	3.030928E-3	6.763678E+7	2.761845E+6	5.819742E-3	7.206800E-4	1.109480E+10	2.079263E+8	5.495447E-3	1.022637E-3	1.108758E+10	3.062769E+8	5.736589E-3	7.612234E-4	1.216254E+10	2.350612E+8	5.479081E-3	1.095833E-3	1.217199E+10	3.462548E+8	-1.623969E-3	1.430292E-3	-4.308865E-4	1.872048E-3	-7.827085E-4	2.468554E-4	-1.193082E-3	1.038082E-3	-1.791024E-3	2.015646E-3	-1.018924E+9	3.945053E+7	-1.000104E+9	2.868676E+7	-2.151246E+6	1.983859E+6	-1.882006E+7	1.362407E+7	-1.210650E+10	3.439262E+8	0.000000E+0	0.000000E+0
5.330242E+2	2.393568E-3	1.365095E-2	1.349195E-3	1.245388E+9	3.854302E+7	1.442902E-2	2.642400E-3	7.854985E+7	4.854811E+6	1.156326E-2	8.016003E-4	1.196620E+9	3.244108E+7	1.356127E-2	1.598844E-3	7.874535E+7	2.143316E+6	1.357088E-2	8.141764E-4	1.259444E+10	2.296857E+8	1.291701E-2	7.952031E-4	1.253307E+10	2.453501E+8	1.338906E-2	7.940970E-4	1.379105E+10	2.611500E+8	1.298293E-2	8.197441E-4	1.377846E+10	2.829693E+8	7.780702E-4	2.998465E-3	1.998008E-3	8.610785E-4	8.677542E-4	2.452400E-3	-1.219939E-3	3.347356E-3	1.446093E-3	2.520439E-3	-1.166839E+9	3.870246E+7	-1.117875E+9	3.085337E+7	-1.954952E+5	4.624488E+6	-4.896385E+7	1.607587E+7	-1.369991E+10	2.819582E+8	0.000000E+0	0.000000E+0
5.331655E+2	3.227486E-3	1.392216E-2	9.574214E-4	1.250416E+9	2.944011E+7	1.469155E-2	3.570337E-3	7.887431E+7	2.720500E+6	1.586996E-2	1.114810E-3	1.279603E+9	3.881773E+7	6.970939E-3	4.717807E-3	7.080005E+7	4.887287E+6	1.638473E-2	1.429135E-3	1.313793E+10	3.458032E+8	1.649898E-2	1.365789E-3	1.323273E+10	3.910364E+8	1.633813E-2	1.385997E-3	1.441753E+10	3.820899E+8	1.626742E-2	1.328238E-3	1.448314E+10	4.203457E+8	7.693856E-4	3.146330E-3	-8.899018E-3	3.614671E-3	7.720609E-3	3.227896E-3	9.668404E-3	3.105191E-3	-1.575876E-3	3.085901E-3	-1.171542E+9	2.861381E+7	-1.208803E+9	3.422921E+7	8.074257E+6	4.063224E+6	3.726075E+7	1.058825E+7	-1.440427E+10	4.194841E+8	0.000000E+0	0.000000E+0
5.333105E+2	1.443376E-3	1.947719E-2	1.063752E-3	1.357045E+9	2.724845E+7	2.606888E-2	4.053437E-3	9.296308E+7	5.408986E+6	1.975276E-2	1.706901E-3	1.353656E+9	4.036384E+7	2.041457E-2	3.271777E-3	8.701701E+7	3.119732E+6	2.103153E-2	1.537198E-3	1.403562E+10	3.450382E+8	2.086344E-2	1.371749E-3	1.407919E+10	3.247864E+8	2.091568E-2	1.546836E-3	1.538927E+10	3.843820E+8	2.073883E-2	1.343992E-3	1.543624E+10	3.520279E+8	6.591687E-3	4.524805E-3	6.618103E-4	2.289626E-3	5.654312E-3	4.978846E-3	5.929874E-3	4.329998E-3	5.330049E-3	4.673684E-3	-1.264082E+9	2.668435E+7	-1.266639E+9	3.823242E+7	5.946070E+6	4.639646E+6	2.556608E+6	1.269430E+7	-1.534327E+10	3.509603E+8	0.000000E+0	0.000000E+0
5.334592E+2	1.250000E-3	2.400421E-2	2.202980E-3	1.443846E+9	4.774294E+7	3.016629E-2	8.698265E-3	9.785797E+7	9.845361E+6	2.502077E-2	2.606024E-3	1.455726E+9	6.658260E+7	2.722734E-2	1.560125E-3	9.519115E+7	1.879648E+6	2.682917E-2	2.270769E-3	1.515842E+10	5.139492E+8	2.606821E-2	2.203407E-3	1.509231E+10	5.009118E+8	2.666556E-2	2.299392E-3	1.661415E+10	5.805100E+8	2.588279E-2	2.198990E-3	1.653616E+10	5.474961E+8	6.162073E-3	7.566692E-3	2.206573E-3	3.231824E-3	2.938944E-3	9.848039E-3	3.955499E-3	1.036134E-2	4.283498E-3	7.727468E-3	-1.345989E+9	4.075990E+7	-1.360535E+9	6.800234E+7	2.666812E+6	1.135935E+7	1.454667E+7	3.404235E+7	-1.643830E+10	5.403158E+8	0.000000E+0	0.000000E+0
