Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
5.290120E+2	-2.584117E-2	1.333678E+9	-2.520984E-2	4.009874E+8	-1.843206E-2	1.414213E+9	-1.912095E-2	4.156125E+8	-2.262109E-2	1.337820E+10	-2.143818E-2	1.352046E+10	-2.222378E-2	1.479241E+10	-2.185286E-2	1.485414E+10	6.313332E-4	-6.888866E-4	-6.088888E-3	1.320220E-3	-3.356980E-3	-9.326904E+8	-9.986006E+8	-1.462517E+7	6.591017E+7	-1.445315E+10
5.295010E+2	-2.520762E-3	1.613586E+9	-7.654849E-3	4.636458E+8	2.423552E-3	1.664760E+9	1.028860E-2	5.202288E+8	-4.254938E-4	1.592292E+10	-1.559816E-4	1.597729E+10	-1.552756E-4	1.758768E+10	-3.786991E-4	1.759087E+10	-5.134087E-3	7.865046E-3	-1.794345E-2	-1.299913E-2	-7.276150E-3	-1.149940E+9	-1.144531E+9	-5.658307E+7	-5.409441E+6	-1.712723E+10
5.300010E+2	3.287130E-2	2.038387E+9	3.410252E-2	6.126889E+8	2.197998E-2	1.899699E+9	1.777693E-2	5.468665E+8	2.571056E-2	1.891941E+10	2.588900E-2	1.898393E+10	2.535673E-2	2.081911E+10	2.654660E-2	2.102231E+10	1.231213E-3	-4.203049E-3	1.632558E-2	5.434261E-3	7.555912E-3	-1.425698E+9	-1.352832E+9	6.582237E+7	-7.286595E+7	-2.040962E+10
5.305030E+2	1.514900E-2	1.825671E+9	1.958464E-2	5.608707E+8	8.952569E-3	1.743195E+9	7.516178E-3	5.103667E+8	1.404149E-2	1.758155E+10	1.299279E-2	1.749518E+10	1.355883E-2	1.932475E+10	1.319586E-2	1.932085E+10	4.435640E-3	-1.436392E-3	1.206846E-2	5.872032E-3	6.388773E-3	-1.264800E+9	-1.232829E+9	5.050401E+7	-3.197185E+7	-1.875998E+10
5.310050E+2	-3.119053E-3	1.606405E+9	-3.001216E-3	4.802558E+8	-2.713247E-3	1.603049E+9	-4.786409E-3	4.666037E+8	-1.542622E-3	1.579484E+10	-8.700276E-4	1.589486E+10	-1.653650E-3	1.739789E+10	-1.081843E-3	1.750126E+10	1.178366E-4	-2.073162E-3	1.785193E-3	2.190999E-3	-1.919373E-3	-1.126149E+9	-1.136446E+9	1.365214E+7	1.029655E+7	-1.702100E+10
5.315030E+2	-1.420695E-2	1.473320E+9	-1.398288E-2	4.410593E+8	-1.581981E-2	1.445595E+9	-1.594826E-2	4.268985E+8	-1.381275E-2	1.438807E+10	-1.423710E-2	1.435176E+10	-1.400311E-2	1.583367E+10	-1.423426E-2	1.582508E+10	2.240738E-4	-1.284583E-4	1.965385E-3	3.525321E-4	2.513811E-4	-1.032261E+9	-1.018697E+9	1.416088E+7	-1.356393E+7	-1.538402E+10
5.320070E+2	-1.076878E-2	1.514587E+9	-1.552835E-2	4.355432E+8	-8.025811E-3	1.539227E+9	-9.291595E-3	4.505777E+8	-1.252101E-2	1.453617E+10	-1.129885E-2	1.469095E+10	-1.209466E-2	1.607540E+10	-1.124893E-2	1.620554E+10	-4.759565E-3	-1.265784E-3	-6.236752E-3	-3.493780E-3	-4.279417E-3	-1.079044E+9	-1.088650E+9	-1.503457E+7	9.605504E+6	-1.576999E+10
5.325120E+2	8.436422E-3	1.745102E+9	1.168998E-2	5.326926E+8	1.163483E-2	1.775418E+9	1.356551E-2	5.318855E+8	1.117091E-2	1.725244E+10	9.118347E-3	1.704792E+10	1.121491E-2	1.902786E+10	9.054123E-3	1.879302E+10	3.253555E-3	1.930686E-3	-1.875534E-3	1.322870E-3	2.635855E-3	-1.212409E+9	-1.243533E+9	8.070414E+5	3.112328E+7	-1.826033E+10
5.330080E+2	4.418462E-2	2.174177E+9	4.229333E-2	6.419241E+8	4.957925E-2	2.231259E+9	4.983940E-2	6.609199E+8	4.563710E-2	2.120398E+10	4.462553E-2	2.114688E+10	4.601099E-2	2.343524E+10	4.458401E-2	2.332105E+10	-1.891293E-3	2.601478E-4	-7.546071E-3	-2.151441E-3	-2.290675E-3	-1.532253E+9	-1.570339E+9	-1.899577E+7	3.808598E+7	-2.267913E+10
5.332150E+2	3.404306E-2	2.052451E+9	3.717119E-2	6.236418E+8	3.287984E-2	2.030643E+9	2.677431E-2	5.788722E+8	3.486800E-2	1.996931E+10	3.425355E-2	1.994953E+10	3.467944E-2	2.199995E+10	3.423373E-2	2.200198E+10	3.128136E-3	-6.105537E-3	1.039689E-2	9.233674E-3	2.937465E-3	-1.428809E+9	-1.451771E+9	4.476964E+7	2.296131E+7	-2.137834E+10
5.334160E+2	1.700148E-2	1.847906E+9	1.312546E-2	5.378162E+8	1.762736E-2	1.847409E+9	1.728088E-2	5.451019E+8	1.647935E-2	1.786105E+10	1.617327E-2	1.786234E+10	1.658823E-2	1.970846E+10	1.625127E-2	1.971024E+10	-3.876019E-3	-3.464852E-4	-4.155416E-3	-3.529534E-3	-3.125812E-3	-1.310090E+9	-1.302307E+9	-7.285719E+6	-7.782788E+6	-1.917243E+10
5.336130E+2	-8.492022E-5	1.642823E+9	-1.154958E-3	4.868456E+8	7.029191E-3	1.720089E+9	3.672145E-3	4.966926E+8	2.830489E-3	1.629622E+10	4.954342E-3	1.656722E+10	3.228716E-3	1.801630E+10	4.479739E-3	1.821005E+10	-1.070038E-3	-3.357045E-3	-4.827104E-3	2.287007E-3	-5.634698E-3	-1.155977E+9	-1.223396E+9	-9.847037E+6	6.741919E+7	-1.772320E+10
