Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
5.290170E+2	2.679873E-3	4.147765E+9	3.205095E-3	9.821873E+8	-1.758003E-3	4.075462E+9	-1.621656E-4	9.588302E+8	1.463565E-3	3.273413E+10	6.082009E-4	3.288460E+10	1.098740E-3	3.680959E+10	8.387149E-4	3.703236E+10	5.252222E-4	1.595837E-3	3.367261E-3	-1.070615E-3	2.366380E-3	-3.165577E+9	-3.116631E+9	2.335711E+7	-4.894581E+7	-3.605018E+10
5.295110E+2	-1.203559E-3	4.088597E+9	-1.169185E-2	9.298247E+8	2.901690E-3	4.147291E+9	4.123332E-3	9.740321E+8	-2.395707E-3	3.226829E+10	-1.878685E-3	3.258196E+10	-1.795807E-3	3.641558E+10	-1.803564E-3	3.667056E+10	-1.048829E-2	1.221642E-3	-1.581518E-2	-1.170993E-2	-9.888284E-3	-3.158772E+9	-3.173259E+9	-4.420745E+7	1.448657E+7	-3.574074E+10
5.300160E+2	-1.184286E-2	3.926497E+9	-1.344911E-2	9.236479E+8	-1.374154E-2	3.890735E+9	-2.887216E-2	8.569872E+8	-1.383896E-2	3.088701E+10	-1.433887E-2	3.106565E+10	-1.382793E-2	3.477775E+10	-1.406114E-2	3.499215E+10	-1.606251E-3	-1.513062E-2	1.542305E-2	1.352437E-2	6.120333E-4	-3.002849E+9	-3.033748E+9	6.666067E+7	3.089929E+7	-3.406850E+10
5.305080E+2	-9.862285E-3	3.956673E+9	-1.240141E-2	9.273305E+8	-4.321069E-3	4.035952E+9	-3.386506E-3	9.473925E+8	-6.202036E-3	3.180884E+10	-5.709533E-3	3.211578E+10	-5.989027E-3	3.584479E+10	-6.171607E-3	3.607245E+10	-2.539129E-3	9.345626E-4	-9.014908E-3	-3.473692E-3	-6.229807E-3	-3.029342E+9	-3.088560E+9	-2.006193E+7	5.921731E+7	-3.514512E+10
5.310100E+2	-1.879251E-3	4.078302E+9	-6.353689E-3	9.485882E+8	-1.993670E-3	4.071829E+9	-7.350117E-3	9.333323E+8	-2.550568E-3	3.224960E+10	-3.705327E-3	3.235968E+10	-2.487502E-3	3.632143E+10	-3.502140E-3	3.643798E+10	-4.474438E-3	-5.356448E-3	9.964281E-4	8.820095E-4	-2.851549E-3	-3.129714E+9	-3.138496E+9	1.525588E+7	8.782786E+6	-3.548939E+10
5.315080E+2	1.331880E-2	4.309859E+9	1.460394E-2	1.022254E+9	5.160514E-3	4.182111E+9	1.062716E-2	9.971031E+8	1.512756E-2	3.438346E+10	1.284631E-2	3.437388E+10	1.399885E-2	3.856557E+10	1.289888E-2	3.868374E+10	1.285147E-3	5.466645E-3	3.976784E-3	-4.181498E-3	1.705058E-3	-3.287605E+9	-3.185007E+9	2.515101E+7	-1.025972E+8	-3.766149E+10
5.320070E+2	3.219510E-3	4.155986E+9	1.489718E-2	1.023285E+9	5.182260E-3	4.182446E+9	6.969116E-3	9.841269E+8	1.497871E-3	3.273827E+10	3.423494E-3	3.322720E+10	1.915107E-3	3.692072E+10	3.400797E-3	3.738319E+10	1.167767E-2	1.786856E-3	7.928066E-3	9.890816E-3	1.149639E-2	-3.132702E+9	-3.198319E+9	3.915791E+7	6.561720E+7	-3.635990E+10
5.325070E+2	5.569775E-3	4.191795E+9	1.118984E-2	1.010254E+9	8.569823E-3	4.234665E+9	1.805135E-2	1.023439E+9	6.898284E-3	3.339013E+10	8.754411E-3	3.387593E+10	7.087576E-3	3.762480E+10	8.400058E-3	3.806773E+10	5.620066E-3	9.481524E-3	-6.861505E-3	-3.861458E-3	2.789783E-3	-3.181541E+9	-3.211226E+9	-1.318534E+7	2.968465E+7	-3.705747E+10
5.330130E+2	9.797249E-3	4.256205E+9	1.260005E-2	1.015210E+9	9.187931E-3	4.244193E+9	1.504704E-2	1.012782E+9	1.263195E-2	3.408223E+10	1.247828E-2	3.432910E+10	1.224193E-2	3.832642E+10	1.217997E-2	3.858530E+10	2.802805E-3	5.859114E-3	-2.446991E-3	-3.056309E-3	4.200870E-4	-3.240994E+9	-3.231411E+9	2.428701E+6	-9.582789E+6	-3.757009E+10
5.332040E+2	1.816756E-2	4.383734E+9	2.160870E-2	1.046876E+9	2.071301E-2	4.421852E+9	1.313035E-2	1.005983E+9	1.919195E-2	3.487406E+10	1.922262E-2	3.514983E+10	1.936420E-2	3.929591E+10	1.910522E-2	3.953357E+10	3.441140E-3	-7.582654E-3	8.478350E-3	1.102379E-2	2.503478E-3	-3.336859E+9	-3.415869E+9	4.089310E+7	7.901080E+7	-3.848669E+10
