Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR		SE 	
2.790032E+2	3.239418E-4	-3.658583E-3	6.277617E-4	4.318687E+8	1.203623E+7	-3.737323E-3	6.421941E-4	2.049673E+8	4.620196E+6	-3.606704E-3	5.589732E-4	4.318296E+8	8.929408E+6	-3.189398E-3	9.548114E-4	2.047558E+8	6.823235E+6	-3.632301E-3	3.178672E-4	3.401121E+9	6.679425E+7	-3.531471E-3	3.176852E-4	3.422154E+9	7.058642E+7	-3.630013E-3	3.276636E-4	3.832950E+9	7.402179E+7	-3.545723E-3	3.111870E-4	3.854022E+9	7.916004E+7	-7.873964E-5	1.112619E-3	4.173063E-4	1.113719E-3	-5.479256E-4	9.623650E-4	-4.960460E-4	1.151662E-3	-1.915998E-4	7.758476E-4	-2.269014E+8	1.212323E+7	-2.270738E+8	8.116257E+6	2.115233E+5	4.954899E+6	1.723883E+5	9.482383E+6	-3.649055E+9	7.641493E+7	0.000000E+0	0.000000E+0
2.795017E+2	8.975275E-4	-3.155401E-3	6.124238E-4	4.371072E+8	1.250504E+7	-2.064563E-3	3.164854E-4	2.130194E+8	3.573297E+6	-2.979366E-3	3.369268E-4	4.382008E+8	1.048382E+7	-3.870311E-3	5.135813E-4	2.002671E+8	4.778241E+6	-3.128199E-3	2.037098E-4	3.441055E+9	6.962628E+7	-3.031939E-3	3.230693E-4	3.464251E+9	6.447567E+7	-3.110647E-3	1.907447E-4	3.879256E+9	7.760913E+7	-3.045622E-3	3.297107E-4	3.901358E+9	7.456906E+7	1.090838E-3	6.532171E-4	-8.909449E-4	7.185158E-4	1.805748E-3	5.544617E-4	1.981783E-3	7.585251E-4	9.810597E-4	3.600722E-4	-2.240877E+8	1.104420E+7	-2.379337E+8	1.013924E+7	1.275239E+7	3.102463E+6	1.384601E+7	7.928068E+6	-3.688339E+9	7.170418E+7	0.000000E+0	0.000000E+0
2.800034E+2	5.800170E-4	-1.606490E-3	5.529085E-4	4.544312E+8	8.836927E+6	-2.929894E-3	7.821883E-4	2.083026E+8	5.309492E+6	-2.236576E-3	5.235578E-4	4.466125E+8	1.035158E+7	-2.697878E-3	1.004714E-3	2.056885E+8	4.833692E+6	-2.241142E-3	2.898186E-4	3.514734E+9	7.150805E+7	-2.339913E-3	2.905851E-4	3.522351E+9	6.826073E+7	-2.241760E-3	2.875296E-4	3.961346E+9	8.007727E+7	-2.257751E-3	2.854217E-4	3.976782E+9	7.513235E+7	-1.323405E-3	8.719623E-4	-4.613022E-4	1.169092E-3	-2.320161E-4	1.235418E-3	-8.621023E-4	1.342615E-3	-6.721432E-4	8.478665E-4	-2.461287E+8	9.256317E+6	-2.409240E+8	9.076426E+6	2.614021E+6	5.691543E+6	-5.204692E+6	7.724022E+6	-3.768480E+9	7.280500E+7	0.000000E+0	0.000000E+0
2.805046E+2	4.120110E-4	-2.475532E-3	4.815280E-4	4.455898E+8	9.664454E+6	-5.102585E-4	7.094966E-4	2.206947E+8	5.392768E+6	-1.088419E-3	6.689364E-4	4.577646E+8	7.223431E+6	-2.569494E-4	8.300838E-4	2.169544E+8	3.461085E+6	-1.292758E-3	2.528480E-4	3.590800E+9	6.448340E+7	-1.112447E-3	3.364169E-4	3.618492E+9	5.614178E+7	-1.268750E-3	2.893239E-4	4.048565E+9	6.848754E+7	-1.266910E-3	3.300841E-4	4.064081E+9	6.414267E+7	1.965273E-3	8.796626E-4	8.314697E-4	8.434910E-4	-2.533090E-4	1.124538E-3	1.133804E-3	1.141660E-3	7.566513E-4	7.441423E-4	-2.248951E+8	5.620015E+6	-2.408102E+8	7.319581E+6	3.740322E+6	5.346656E+6	1.591508E+7	6.515101E+6	-3.843387E+9	5.992107E+7	0.000000E+0	0.000000E+0
2.810063E+2	4.409586E-4	2.065105E-4	5.841164E-4	4.732889E+8	1.441141E+7	-6.170718E-4	3.731454E-4	2.200431E+8	3.526291E+6	-5.560115E-4	4.285747E-4	4.635986E+8	1.049308E+7	3.536849E-4	8.306944E-4	2.210325E+8	6.213857E+6	-1.880960E-4	1.987453E-4	3.680420E+9	8.085487E+7	-3.944522E-4	2.523521E-4	3.677539E+9	7.526042E+7	-2.306496E-4	1.576870E-4	4.144019E+9	8.864842E+7	-3.273349E-4	2.780757E-4	4.150828E+9	8.796749E+7	-8.235823E-4	7.660015E-4	9.096967E-4	8.633077E-4	-9.707567E-4	1.063156E-3	-1.733279E-3	1.423685E-3	-2.897368E-4	5.633343E-4	-2.532457E+8	1.165861E+7	-2.425661E+8	8.490134E+6	-9.893383E+5	5.271478E+6	-1.067958E+7	1.268447E+7	-3.930785E+9	8.491694E+7	0.000000E+0	0.000000E+0
2.815019E+2	3.888889E-4	1.682618E-3	5.497385E-4	4.886819E+8	1.504321E+7	9.576498E-4	7.449563E-4	2.279649E+8	6.417026E+6	1.546252E-3	5.757003E-4	4.857304E+8	1.348057E+7	3.601228E-4	7.509905E-4	2.216432E+8	6.810299E+6	1.134974E-3	3.099735E-4	3.792641E+9	9.249358E+7	1.180392E-3	2.714765E-4	3.809106E+9	8.281201E+7	1.181853E-3	3.121258E-4	4.278371E+9	1.037068E+8	1.236319E-3	2.909860E-4	4.297788E+9	9.633817E+7	-7.249678E-4	5.657536E-4	-1.186129E-3	8.728647E-4	5.975270E-4	1.094254E-3	4.611613E-4	1.312785E-3	-2.786688E-4	6.133300E-4	-2.607170E+8	1.036994E+7	-2.640872E+8	1.013932E+7	6.321777E+6	5.679883E+6	3.370214E+6	9.213632E+6	-4.069823E+9	9.110733E+7	0.000000E+0	0.000000E+0
2.820048E+2	4.006168E-4	3.029362E-3	7.869897E-4	5.031611E+8	1.704843E+7	3.281265E-3	5.127197E-4	2.396464E+8	5.841101E+6	3.866886E-3	5.803523E-4	5.085746E+8	1.059477E+7	3.232389E-3	6.223421E-4	2.347048E+8	5.004402E+6	3.485482E-3	2.717709E-4	3.983145E+9	9.442782E+7	3.555305E-3	1.713990E-4	3.998585E+9	7.210250E+7	3.528741E-3	2.245103E-4	4.491719E+9	1.011028E+8	3.495946E-3	1.767689E-4	4.501746E+9	8.614773E+7	2.519029E-4	6.993572E-4	-6.344969E-4	1.067165E-3	4.887572E-5	9.872027E-4	8.863994E-4	1.285646E-3	-2.146814E-4	4.733957E-4	-2.635146E+8	1.315475E+7	-2.738697E+8	1.130095E+7	4.941605E+6	5.089088E+6	1.035512E+7	1.242627E+7	-4.262100E+9	8.091245E+7	0.000000E+0	0.000000E+0
2.825036E+2	1.756821E-4	5.977515E-3	9.798880E-4	5.318120E+8	1.370544E+7	5.620196E-3	1.028415E-3	2.504876E+8	6.559690E+6	5.053938E-3	6.406730E-4	5.215707E+8	1.513940E+7	6.068339E-3	1.046034E-3	2.481155E+8	8.030437E+6	5.862041E-3	2.158710E-4	4.169575E+9	9.105462E+7	5.674525E-3	3.770741E-4	4.169404E+9	8.794006E+7	5.771227E-3	2.198400E-4	4.691146E+9	1.017967E+8	5.711076E-3	3.036740E-4	4.701216E+9	9.491588E+7	-3.573199E-4	1.393972E-3	1.014401E-3	9.797603E-4	-4.481432E-4	1.543034E-3	-1.371720E-3	1.577568E-3	-9.088087E-5	1.038440E-3	-2.813243E+8	1.268471E+7	-2.734552E+8	1.252824E+7	2.372094E+6	7.904034E+6	-7.869124E+6	1.111716E+7	-4.450728E+9	9.067658E+7	0.000000E+0	0.000000E+0
2.830040E+2	2.886751E-4	1.109553E-2	7.055084E-4	5.862238E+8	1.560354E+7	9.445813E-3	7.067134E-4	2.698064E+8	5.856580E+6	9.627676E-3	7.492875E-4	5.694794E+8	1.381840E+7	1.091928E-2	8.053772E-4	2.721907E+8	7.232658E+6	1.123469E-2	4.197284E-4	4.607542E+9	1.047029E+8	1.102697E-2	6.593745E-4	4.608050E+9	1.040723E+8	1.105039E-2	4.245524E-4	5.177021E+9	1.165014E+8	1.103410E-2	6.464643E-4	5.194274E+9	1.180029E+8	-1.649713E-3	9.269805E-4	1.291608E-3	8.412234E-4	-1.473472E-3	1.282878E-3	-2.941321E-3	1.242727E-3	-1.588292E-3	1.002222E-3	-3.164174E+8	1.259388E+7	-2.972887E+8	8.430129E+6	-2.384237E+6	6.124276E+6	-1.912868E+7	8.125743E+6	-4.924467E+9	1.141066E+8	0.000000E+0	0.000000E+0
2.835023E+2	3.333333E-4	2.164943E-2	9.798856E-4	6.950354E+8	2.061946E+7	2.120227E-2	1.896892E-3	3.283293E+8	1.411830E+7	2.015568E-2	1.315388E-3	6.796340E+8	2.244505E+7	2.193700E-2	8.734521E-4	3.266703E+8	8.295358E+6	2.156088E-2	9.860882E-4	5.447903E+9	1.649971E+8	2.128286E-2	7.436417E-4	5.452498E+9	1.544417E+8	2.140007E-2	9.647151E-4	6.127537E+9	1.848488E+8	2.132344E-2	7.491579E-4	6.147534E+9	1.733789E+8	-4.471555E-4	1.355404E-3	1.781320E-3	1.465333E-3	-7.347262E-4	1.869419E-3	-2.228476E-3	1.978876E-3	-1.211651E-4	1.283244E-3	-3.667060E+8	9.779852E+6	-3.529637E+8	1.614869E+7	1.659020E+6	8.367253E+6	-1.374234E+7	1.193155E+7	-5.819204E+9	1.596719E+8	0.000000E+0	0.000000E+0
