Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
1.450000E+3	-7.477969E-1	7.959136E+9	-3.199305E+0	3.645972E+8	-9.306396E-1	7.939019E+9	-7.154743E-1	3.861846E+8	-8.165979E-1	6.477009E+10	-8.403478E-1	6.441379E+10	-8.287090E-1	7.270911E+10	-8.287248E-1	7.237292E+10	-2.451508E+0	2.151654E-1	-2.483831E+0	-2.666674E+0	-2.370580E+0	-7.594539E+9	-7.552834E+9	-2.158748E+7	-4.170501E+7	-7.200833E+10
1.750000E+3	-1.082402E-1	8.978709E+9	7.392931E-2	4.595979E+8	-5.799792E-2	9.174756E+9	2.011737E-1	4.536138E+8	-9.669916E-2	7.334997E+10	-9.804884E-2	7.265324E+10	-9.258911E-2	8.252472E+10	-9.932871E-2	8.163195E+10	1.821695E-1	2.591716E-1	-1.272444E-1	-7.700216E-2	1.732580E-1	-8.519111E+9	-8.721143E+9	5.984037E+6	2.020319E+8	-8.117235E+10
2.050000E+3	2.070586E-1	9.481353E+9	9.777479E-1	4.858299E+8	3.701678E-1	9.781077E+9	1.185702E-1	4.475375E+8	2.433818E-1	7.740311E+10	2.955527E-1	7.702219E+10	2.568464E-1	8.718419E+10	2.844392E-1	8.650354E+10	7.706893E-1	-2.515975E-1	8.591777E-1	1.022287E+0	6.933087E-1	-8.995524E+9	-9.333539E+9	3.829238E+7	3.380158E+8	-8.601771E+10
2.150000E+3	6.489785E-1	1.018586E+10	2.147628E+0	5.197839E+8	6.184698E-1	1.013269E+10	3.957303E-1	4.679255E+8	6.699153E-1	8.248661E+10	6.428439E-1	8.087709E+10	6.644518E-1	9.261931E+10	6.436143E-1	9.106295E+10	1.498650E+0	-2.227395E-1	1.751898E+0	1.721389E+0	1.504014E+0	-9.666072E+9	-9.664769E+9	5.185832E+7	-1.303138E+6	-9.054316E+10
2.250000E+3	5.964424E-1	1.010210E+10	1.441477E+0	4.992889E+8	6.140976E-1	1.012650E+10	1.007203E-1	4.462244E+8	6.232445E-1	8.193038E+10	6.518517E-1	8.097708E+10	6.222731E-1	9.205688E+10	6.448932E-1	9.107918E+10	8.450350E-1	-5.133773E-1	1.340757E+0	1.358412E+0	7.965843E-1	-9.602815E+9	-9.680279E+9	5.306448E+7	7.746383E+7	-9.057989E+10
2.350000E+3	8.459911E-1	1.049993E+10	1.876962E+0	5.119282E+8	7.493822E-1	1.031808E+10	3.880530E-1	4.673608E+8	8.741981E-1	8.492129E+10	9.215753E-1	8.397099E+10	8.609428E-1	9.523937E+10	9.120830E-1	9.447092E+10	1.030971E+0	-3.613292E-1	1.488909E+0	1.392300E+0	9.648790E-1	-9.988002E+9	-9.850717E+9	4.456740E+7	-1.372852E+8	-9.395899E+10
2.375000E+3	1.074356E+0	1.086399E+10	2.986828E+0	5.441404E+8	1.266731E+0	1.105069E+10	2.508862E-1	4.572707E+8	1.250186E+0	8.940238E+10	1.258280E+0	8.770838E+10	1.251943E+0	1.004531E+11	1.235182E+0	9.857236E+10	1.912471E+0	-1.015845E+0	2.735942E+0	2.928316E+0	1.751646E+0	-1.031985E+10	-1.059342E+10	8.686966E+7	2.735716E+8	-9.802822E+10
2.400000E+3	1.031322E+0	1.079538E+10	2.819225E+0	5.392760E+8	1.096713E+0	1.080993E+10	1.250111E+0	5.307743E+8	1.051234E+0	8.703123E+10	1.104690E+0	8.600355E+10	1.056064E+0	9.784116E+10	1.095476E+0	9.679893E+10	1.787903E+0	1.533975E-1	1.569115E+0	1.634506E+0	1.723749E+0	-1.025611E+10	-1.027915E+10	8.501666E+6	2.304877E+7	-9.625965E+10
2.425000E+3	6.540046E-1	1.019387E+10	2.826715E+0	5.394933E+8	6.155391E-1	1.012854E+10	7.918131E-1	4.970616E+8	7.782251E-1	8.377747E+10	7.470128E-1	8.203336E+10	7.609480E-1	9.390601E+10	7.353324E-1	9.222723E+10	2.172710E+0	1.762739E-1	2.034902E+0	1.996436E+0	2.091382E+0	-9.654375E+9	-9.631483E+9	4.243169E+7	-2.289242E+7	-9.168773E+10
2.450000E+3	3.036811E-1	9.635388E+9	3.002696E-1	4.661671E+8	3.459474E-1	9.746779E+9	2.890948E-1	4.600814E+8	3.391000E-1	7.854390E+10	3.026603E-1	7.710108E+10	3.398272E-1	8.829068E+10	3.027885E-1	8.673647E+10	-3.411451E-3	-5.685262E-2	1.117487E-2	5.344117E-2	-2.518893E-3	-9.169221E+9	-9.286697E+9	6.085697E+6	1.174767E+8	-8.627030E+10
