Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
2.790030E+2	6.143816E-5	4.638950E+8	4.596045E-3	1.144869E+8	-2.086283E-3	4.468872E+8	1.814999E-3	1.058880E+8	-1.977434E-3	3.383735E+9	-2.187996E-3	3.386636E+9	-1.990022E-3	3.830622E+9	-1.928723E-3	3.850531E+9	4.534607E-3	3.901281E-3	2.781046E-3	6.333255E-4	6.524768E-3	-3.494081E+8	-3.409992E+8	8.598902E+6	-8.408876E+6	-3.736044E+9
2.795060E+2	-2.816069E-3	4.395794E+8	-4.139709E-3	9.774872E+7	-3.368171E-3	4.360996E+8	-1.524359E-3	9.952562E+7	-3.444440E-3	3.289329E+9	-3.920127E-3	3.274284E+9	-3.435620E-3	3.725429E+9	-3.792872E-3	3.713864E+9	-1.323639E-3	1.843812E-3	-2.615350E-3	-3.167451E-3	-3.468373E-4	-3.418307E+8	-3.365740E+8	-1.776900E+6	-5.256690E+6	-3.616115E+9
2.800000E+2	-2.211542E-3	4.446878E+8	-3.976504E-3	9.806143E+7	-4.937084E-3	4.228966E+8	-2.884613E-3	9.693396E+7	-3.449640E-3	3.288994E+9	-3.683048E-3	3.289662E+9	-3.621658E-3	3.711891E+9	-3.513440E-3	3.734350E+9	-1.764961E-3	2.052471E-3	-1.091890E-3	-3.817432E-3	-4.630635E-4	-3.466264E+8	-3.259627E+8	1.127473E+6	-2.066371E+7	-3.636289E+9
2.805050E+2	-3.936292E-3	4.301133E+8	-2.401040E-3	1.010801E+8	1.607744E-3	4.779739E+8	-4.574780E-3	9.371372E+7	-4.735609E-4	3.480513E+9	-1.173076E-4	3.520948E+9	-2.328645E-4	3.958487E+9	-5.574895E-4	3.951061E+9	1.535252E-3	-6.182524E-3	2.173740E-3	7.717775E-3	-1.843551E-3	-3.290332E+8	-3.842602E+8	7.366389E+6	5.522696E+7	-3.849981E+9
2.810050E+2	-1.884277E-3	4.474533E+8	4.849601E-4	1.066099E+8	-2.563361E-3	4.428724E+8	-7.087760E-3	8.892580E+7	5.053230E-4	3.543506E+9	-1.009041E-3	3.463107E+9	1.504392E-4	3.986379E+9	-1.109922E-3	3.910560E+9	2.369237E-3	-4.524399E-3	7.572720E-3	6.893636E-3	1.594882E-3	-3.408434E+8	-3.539466E+8	1.768406E+7	1.310320E+7	-3.803950E+9
2.815020E+2	6.206113E-4	4.686201E+8	-1.483143E-3	1.028389E+8	1.406217E-3	4.762780E+8	2.309203E-3	1.068296E+8	4.513963E-4	3.540036E+9	8.720572E-4	3.585121E+9	5.618184E-4	4.016314E+9	8.430752E-4	4.053741E+9	-2.103754E-3	9.029855E-4	-3.792345E-3	-3.006739E-3	-2.326218E-3	-3.657813E+8	-3.694483E+8	-3.990767E+6	3.667050E+6	-3.950902E+9
2.820060E+2	6.425661E-4	4.688057E+8	6.612452E-3	1.183505E+8	4.906777E-3	5.057365E+8	-3.922395E-4	1.016826E+8	1.747314E-3	3.623432E+9	4.217953E-3	3.802147E+9	2.112696E-3	4.129168E+9	3.805849E-3	4.270952E+9	5.969886E-3	-5.299016E-3	7.004691E-3	1.126890E-2	2.806603E-3	-3.504552E+8	-4.040539E+8	1.666786E+7	5.359870E+7	-4.152602E+9
2.825030E+2	9.523565E-3	5.438521E+8	3.069386E-4	1.062688E+8	5.034162E-3	5.068085E+8	1.233955E-2	1.259402E+8	6.641042E-3	3.938355E+9	5.827509E-3	3.906548E+9	6.455212E-3	4.445164E+9	6.253522E-3	4.450400E+9	-9.216626E-3	7.305389E-3	-1.203261E-2	-1.652202E-2	-5.946584E-3	-4.375833E+8	-3.808683E+8	-1.967147E+7	-5.671503E+7	-4.344131E+9
2.830040E+2	8.672132E-3	5.366573E+8	-2.054750E-3	1.017436E+8	7.209823E-3	5.251175E+8	1.497035E-2	1.309526E+8	1.055066E-2	4.189949E+9	1.021792E-2	4.191324E+9	1.016430E-2	4.715067E+9	1.003975E-2	4.727981E+9	-1.072688E-2	7.760529E-3	-1.702510E-2	-1.848741E-2	-1.209450E-2	-4.349136E+8	-3.941649E+8	-2.920901E+7	-4.074874E+7	-4.626238E+9
2.835020E+2	1.964178E-2	6.293532E+8	2.753131E-2	1.584322E+8	1.946599E-2	6.282579E+8	2.301682E-2	1.462834E+8	2.133847E-2	4.884172E+9	2.127045E-2	4.908227E+9	2.112193E-2	5.512430E+9	2.108272E-2	5.537580E+9	7.889527E-3	3.550827E-3	4.514491E-3	4.338700E-3	6.448583E-3	-4.709210E+8	-4.819745E+8	1.214883E+7	1.105350E+7	-5.379148E+9
2.840000E+2	4.192082E-2	8.176160E+8	4.000242E-2	1.823276E+8	4.290614E-2	8.255158E+8	6.126201E-2	2.191511E+8	4.224264E-2	6.229409E+9	4.122194E-2	6.202346E+9	4.231937E-2	7.054925E+9	4.130250E-2	7.019962E+9	-1.918401E-3	1.835588E-2	-2.125960E-2	-2.027428E-2	-1.300078E-3	-6.352884E+8	-6.063646E+8	-3.682354E+7	-2.892378E+7	-6.837634E+9
2.841010E+2	4.340464E-2	8.301547E+8	4.369417E-2	1.894012E+8	4.129546E-2	8.119613E+8	4.148404E-2	1.814686E+8	4.400491E-2	6.342815E+9	4.448938E-2	6.414283E+9	4.369157E-2	7.154776E+9	4.436436E-2	7.244437E+9	2.895216E-4	1.885785E-4	2.210127E-3	1.009431E-4	-6.701898E-4	-6.407535E+8	-6.304927E+8	7.932603E+6	-1.026077E+7	-7.055036E+9
2.842040E+2	5.040225E-2	8.892860E+8	5.187519E-2	2.050765E+8	4.976563E-2	8.832410E+8	4.482579E-2	1.878355E+8	4.937810E-2	6.688593E+9	4.982667E-2	6.760476E+9	4.942291E-2	7.571834E+9	4.989301E-2	7.649762E+9	1.472937E-3	-4.939839E-3	7.049403E-3	6.412775E-3	1.982179E-3	-6.842095E+8	-6.954055E+8	1.724096E+7	1.119594E+7	-7.444686E+9
2.843040E+2	6.885481E-2	1.045214E+9	6.748243E-2	2.349809E+8	7.452992E-2	1.091642E+9	7.411490E-2	2.436394E+8	7.134246E-2	8.102056E+9	7.266862E-2	8.242080E+9	7.171108E-2	9.193698E+9	7.222904E-2	9.287294E+9	-1.372374E-3	-4.150114E-4	-6.632471E-3	-9.573630E-4	-4.746604E-3	-8.102333E+8	-8.480026E+8	-8.658577E+6	3.776928E+7	-9.052313E+9
2.844010E+2	9.813198E-2	1.292613E+9	9.862648E-2	2.946547E+8	1.012806E-1	1.316759E+9	1.071424E-1	3.065660E+8	1.057241E-1	1.031460E+10	1.060895E-1	1.040987E+10	1.052102E-1	1.163136E+10	1.051723E-1	1.170248E+10	4.945036E-4	5.861774E-3	-8.515904E-3	-5.367271E-3	-6.545850E-3	-9.979580E+8	-1.010193E+9	-1.191132E+7	1.223539E+7	-1.140783E+10
2.845010E+2	1.457005E-1	1.694577E+9	1.620610E-1	4.161989E+8	1.620085E-1	1.827808E+9	1.528667E-1	3.936836E+8	1.556473E-1	1.352729E+10	1.560481E-1	1.365035E+10	1.563830E-1	1.535510E+10	1.548554E-1	1.534492E+10	1.636058E-2	-9.141791E-3	9.194317E-3	2.550237E-2	7.205597E-3	-1.278378E+9	-1.434125E+9	2.251537E+7	1.557466E+8	-1.492872E+10
2.846030E+2	2.329838E-1	2.432141E+9	2.451844E-1	5.754681E+8	2.292127E-1	2.393357E+9	2.386265E-1	5.570798E+8	2.416741E-1	1.906333E+10	2.299641E-1	1.844477E+10	2.402330E-1	2.145669E+10	2.303121E-1	2.087691E+10	1.220061E-2	9.413843E-3	6.557889E-3	2.786764E-3	1.487231E-2	-1.856672E+9	-1.836277E+9	1.838828E+7	-2.039512E+7	-2.030144E+10
2.847020E+2	4.262302E-1	4.065115E+9	4.776293E-1	1.020846E+9	4.307496E-1	4.089367E+9	4.347544E-1	9.307579E+8	4.544072E-1	3.275324E+10	4.286570E-1	3.133264E+10	4.516713E-1	3.684261E+10	4.283772E-1	3.539775E+10	5.139908E-2	4.004793E-3	4.287490E-2	4.739428E-2	4.925202E-2	-3.044269E+9	-3.158610E+9	9.008793E+7	1.143405E+8	-3.437691E+10
2.848000E+2	1.086874E+0	9.647700E+9	1.164933E+0	2.337760E+9	1.104331E+0	9.757815E+9	1.094422E+0	2.187608E+9	1.135993E+0	7.661505E+10	1.091445E+0	7.432324E+10	1.132332E+0	8.637286E+10	1.090918E+0	8.397094E+10	7.805934E-2	-9.909113E-3	7.051126E-2	8.796845E-2	7.401492E-2	-7.309940E+9	-7.570207E+9	1.501517E+8	2.602668E+8	-8.163318E+10
2.849020E+2	1.854985E+0	1.613841E+10	1.841078E+0	3.633292E+9	1.845236E+0	1.599282E+10	1.887371E+0	3.698396E+9	1.844796E+0	1.222283E+11	1.848309E+0	1.234159E+11	1.844847E+0	1.382211E+11	1.849079E+0	1.395543E+11	-1.390697E-2	4.213421E-2	-4.629293E-2	-5.604118E-2	-8.001073E-3	-1.250511E+10	-1.229442E+10	-6.510417E+7	-2.106911E+8	-1.359210E+11
2.850030E+2	1.904580E+0	1.655749E+10	1.855696E+0	3.661301E+9	1.884113E+0	1.631998E+10	1.874854E+0	3.674548E+9	1.864005E+0	1.234644E+11	1.874044E+0	1.250851E+11	1.866330E+0	1.397844E+11	1.877563E+0	1.416426E+11	-4.888359E-2	-9.258803E-3	-1.915785E-2	-3.962479E-2	-2.186720E-2	-1.289619E+10	-1.264543E+10	-1.324673E+7	-2.507632E+8	-1.379813E+11
2.851000E+2	1.541399E+0	1.348853E+10	1.496053E+0	2.972205E+9	1.533843E+0	1.337233E+10	1.546289E+0	3.048541E+9	1.530455E+0	1.019997E+11	1.541824E+0	1.035362E+11	1.530847E+0	1.153720E+11	1.541775E+0	1.170248E+11	-4.534552E-2	1.244606E-2	-5.023629E-2	-5.779158E-2	-4.572155E-2	-1.051633E+10	-1.032378E+10	-7.633659E+7	-1.925449E+8	-1.140526E+11
2.852010E+2	1.340855E+0	1.179390E+10	1.361585E+0	2.714556E+9	1.345695E+0	1.178899E+10	1.380215E+0	2.732123E+9	1.333656E+0	8.933516E+10	1.337808E+0	9.030312E+10	1.335049E+0	1.011241E+11	1.338159E+0	1.020970E+11	2.072995E-2	3.451940E-2	-1.862947E-2	-1.378944E-2	2.342615E-2	-9.079343E+9	-9.056866E+9	-1.756632E+7	-2.247719E+7	-9.938246E+10
2.853000E+2	1.071426E+0	9.517158E+9	1.060401E+0	2.137470E+9	1.053340E+0	9.328703E+9	1.070065E+0	2.141200E+9	1.075061E+0	7.269390E+10	1.065301E+0	7.262744E+10	1.072549E+0	8.202260E+10	1.066007E+0	8.214460E+10	-1.102437E-2	1.672477E-2	-9.663371E-3	-2.774914E-2	-5.605753E-3	-7.379688E+9	-7.187503E+9	-3.730040E+6	-1.921845E+8	-8.000713E+10
2.854010E+2	7.865960E-1	7.110285E+9	7.641619E-1	1.569859E+9	7.840639E-1	7.062643E+9	8.144987E-1	1.654276E+9	8.002059E-1	5.500627E+10	7.874414E-1	5.460456E+10	7.983391E-1	6.206891E+10	7.873439E-1	6.171485E+10	-2.243403E-2	3.043487E-2	-5.033680E-2	-5.286890E-2	-2.318201E-2	-5.540426E+9	-5.408367E+9	-8.441756E+7	-1.320596E+8	-6.014499E+10
2.855000E+2	5.552763E-1	5.155583E+9	5.753467E-1	1.208078E+9	5.499010E-1	5.092073E+9	5.448925E-1	1.140602E+9	5.636664E-1	3.978435E+10	5.572848E-1	3.967586E+10	5.620745E-1	4.487642E+10	5.570533E-1	4.483144E+10	2.007039E-2	-5.008488E-3	3.045415E-2	2.507887E-2	1.829340E-2	-3.947505E+9	-3.951471E+9	6.747630E+7	3.966063E+6	-4.362336E+10
2.856010E+2	4.104302E-1	3.931601E+9	3.972715E-1	8.668757E+8	4.013788E-1	3.842201E+9	4.224597E-1	9.073331E+8	4.117238E-1	3.000646E+10	4.113136E-1	3.020769E+10	4.105274E-1	3.384866E+10	4.112118E-1	3.413929E+10	-1.315865E-2	2.108091E-2	-2.518818E-2	-3.423956E-2	-1.394026E-2	-3.064725E+9	-2.934868E+9	-4.045737E+7	-1.298577E+8	-3.327242E+10
2.858040E+2	3.888970E-1	3.749642E+9	4.014021E-1	8.747901E+8	4.020298E-1	3.847679E+9	4.061515E-1	8.762614E+8	3.999805E-1	2.925075E+10	3.965516E-1	2.925018E+10	4.002175E-1	3.309843E+10	3.956693E-1	3.299982E+10	1.250502E-2	4.121734E-3	-4.749428E-3	8.383285E-3	5.732749E-3	-2.874852E+9	-2.971418E+9	-1.471344E+6	9.656619E+7	-3.212503E+10
2.860080E+2	6.448145E-1	5.912200E+9	6.477361E-1	1.346780E+9	6.447265E-1	5.890066E+9	6.437313E-1	1.328917E+9	6.616383E-1	4.608909E+10	6.473617E-1	4.551854E+10	6.596825E-1	5.197916E+10	6.470681E-1	5.143074E+10	2.921612E-3	-9.951850E-4	4.004738E-3	3.916797E-3	6.679529E-4	-4.565420E+9	-4.561149E+9	1.786315E+7	-4.271302E+6	-5.008396E+10
2.862000E+2	1.039075E+0	9.243788E+9	1.044091E+0	2.106220E+9	1.038494E+0	9.203767E+9	1.024562E+0	2.054504E+9	1.037530E+0	7.027864E+10	1.034975E+0	7.066042E+10	1.037641E+0	7.948241E+10	1.035448E+0	7.990421E+10	5.016424E-3	-1.393205E-2	1.952979E-2	1.894848E-2	8.643442E-3	-7.137568E+9	-7.149262E+9	5.171524E+7	1.169443E+7	-7.779799E+10
2.864000E+2	1.323573E+0	1.164786E+10	1.295422E+0	2.587783E+9	1.308646E+0	1.147720E+10	1.294596E+0	2.568994E+9	1.305805E+0	8.754282E+10	1.311143E+0	8.857354E+10	1.306133E+0	9.902002E+10	1.312575E+0	1.002214E+11	-2.815087E-2	-1.405025E-2	8.261983E-4	-1.410063E-2	-1.715373E-2	-9.060073E+9	-8.908207E+9	1.878893E+7	-1.518656E+8	-9.763361E+10
2.866200E+2	1.275633E+0	1.124275E+10	1.303930E+0	2.604085E+9	1.278713E+0	1.122530E+10	1.305346E+0	2.589477E+9	1.288870E+0	8.645303E+10	1.279141E+0	8.649777E+10	1.287695E+0	9.767833E+10	1.278736E+0	9.774053E+10	2.829712E-2	2.663356E-2	-1.416233E-3	1.663565E-3	2.519354E-2	-8.638668E+9	-8.635825E+9	1.460819E+7	-2.843607E+6	-9.513644E+10
