Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
1.450000E+3	-8.156511E-1	9.919279E+9	4.054014E-1	5.066441E+8	3.533884E-2	1.007633E+10	2.417115E+0	4.582074E+8	-6.391146E-1	7.886167E+10	-4.967664E-1	7.710832E+10	-4.955930E-1	8.893800E+10	-5.240222E-1	8.702760E+10	1.221053E+0	2.381776E+0	-2.011714E+0	-1.160724E+0	9.294236E-1	-9.412635E+9	-9.618121E+9	4.843676E+7	2.054863E+8	-8.652095E+10
1.750000E+3	8.156511E-1	1.028645E+10	-4.054014E-1	5.541582E+8	-3.533884E-2	1.004025E+10	-2.417115E+0	5.113813E+8	6.391146E-1	8.127536E+10	4.967664E-1	7.950099E+10	4.955930E-1	9.131561E+10	5.240222E-1	8.978744E+10	-1.221053E+0	-2.381776E+0	2.011714E+0	1.160724E+0	-9.294236E-1	-9.732288E+9	-9.528870E+9	4.277693E+7	-2.034182E+8	-8.923328E+10
2.050000E+3	2.441696E+0	1.065243E+10	4.278374E-2	5.278940E+8	1.417891E+0	1.078205E+10	1.207954E+0	4.715075E+8	2.281280E+0	8.437627E+10	1.545444E+0	8.202647E+10	2.097554E+0	9.515832E+10	1.622049E+0	9.267890E+10	-2.398912E+0	-2.099373E-1	-1.165170E+0	-2.188975E+0	-1.579265E+0	-1.012454E+10	-1.031054E+10	5.638651E+7	1.860045E+8	-9.215100E+10
2.150000E+3	1.972389E+0	1.054680E+10	3.704984E-1	5.086895E+8	7.493979E-1	1.044082E+10	-1.995489E+0	5.067436E+8	8.537610E-1	8.168068E+10	6.476973E-1	7.986447E+10	8.315529E-1	9.212150E+10	7.609218E-1	9.041127E+10	-1.601891E+0	-2.744887E+0	2.365987E+0	1.142996E+0	-3.904234E-1	-1.003811E+10	-9.934074E+9	1.945848E+6	-1.040369E+8	-8.990258E+10
2.250000E+3	-9.987130E-1	9.878076E+9	4.441465E-1	5.043736E+8	5.744845E-1	1.035153E+10	3.885417E+0	4.420568E+8	-5.362769E-1	7.905586E+10	-2.344215E-1	7.774011E+10	-2.999105E-1	8.940739E+10	-2.997472E-1	8.761818E+10	1.442860E+0	3.310932E+0	-3.441270E+0	-1.868073E+0	7.438937E-1	-9.373702E+9	-9.909477E+9	6.231677E+7	5.357745E+8	-8.711381E+10
2.350000E+3	-1.417102E+0	9.783907E+9	7.762817E-1	4.849100E+8	-7.164389E-1	9.692586E+9	4.166888E+0	4.389608E+8	-2.323655E+0	7.568074E+10	-1.652342E+0	7.432540E+10	-1.981644E+0	8.537333E+10	-1.632235E+0	8.410931E+10	2.193383E+0	4.883326E+0	-3.390606E+0	-2.689943E+0	2.408517E+0	-9.298997E+9	-9.253625E+9	4.594924E+7	-4.537180E+7	-8.362440E+10
2.375000E+3	8.615621E-1	1.029678E+10	7.942034E-1	4.838598E+8	4.637294E-2	1.008196E+10	2.573244E+0	4.564900E+8	-4.799591E-1	7.916220E+10	-1.198260E-1	7.801608E+10	-3.679573E-1	8.924417E+10	-3.594451E-2	8.831286E+10	-6.735876E-2	2.526871E+0	-1.779040E+0	-2.594229E+0	8.301479E-1	-9.812920E+9	-9.625471E+9	2.736978E+7	-1.874493E+8	-8.782900E+10
2.400000E+3	1.693361E+0	1.048400E+10	-4.154309E-2	5.328357E+8	1.071437E+0	1.060520E+10	-1.669243E-1	4.866304E+8	1.342365E+0	8.260331E+10	1.319382E+0	8.148205E+10	1.284712E+0	9.320851E+10	1.351347E+0	9.196605E+10	-1.734904E+0	-1.238361E+0	1.253812E-1	-4.965430E-1	-1.392890E+0	-9.951162E+9	-1.011857E+10	4.620525E+7	1.674089E+8	-9.143322E+10
2.425000E+3	2.936706E+0	1.076385E+10	8.773992E-2	5.252595E+8	9.727878E-1	1.055485E+10	1.537165E+0	4.678863E+8	2.532568E+0	8.485078E+10	2.016696E+0	8.316136E+10	2.200651E+0	9.540563E+10	2.095332E+0	9.392521E+10	-2.848966E+0	5.643770E-1	-1.449425E+0	-3.413343E+0	-2.007592E+0	-1.023859E+10	-1.008696E+10	5.737316E+7	-1.516256E+8	-9.339995E+10
2.450000E+3	4.748764E+0	1.117170E+10	-2.654771E-1	5.459585E+8	1.841411E+0	1.099823E+10	6.213358E-1	4.779600E+8	3.687710E+0	8.703204E+10	2.863720E+0	8.520120E+10	3.294823E+0	9.803028E+10	3.024839E+0	9.637290E+10	-5.014241E+0	-1.220075E+0	-8.868129E-1	-3.794166E+0	-3.290316E+0	-1.062574E+10	-1.052027E+10	6.799851E+7	-1.054655E+8	-9.582694E+10
