Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR		SE 	
2.790022E+2	5.426274E-4	-4.783890E-3	6.212598E-4	5.379297E+8	3.797321E+7	-5.300166E-3	4.512791E-4	5.296131E+8	8.380426E+6	-3.719533E-3	3.274025E-4	5.512865E+8	3.473652E+7	-4.434790E-3	1.052234E-3	5.409322E+8	1.342225E+7	-4.325613E-3	3.707954E-4	4.526651E+9	4.689076E+7	-4.159553E-3	5.508570E-4	4.558312E+9	6.676745E+7	-4.263559E-3	3.292486E-4	5.077938E+9	7.073672E+7	-4.228546E-3	5.380008E-4	5.096242E+9	9.678754E+7	-5.162758E-4	6.383760E-4	-7.152566E-4	1.019270E-3	-8.653762E-4	1.099322E-3	1.989810E-4	1.573345E-3	-1.071620E-3	6.147673E-4	-8.316590E+6	4.366764E+7	-1.035437E+7	3.651238E+7	-1.131909E+7	1.620892E+7	2.037788E+6	2.136844E+7	-4.566629E+9	1.005791E+8	0.000000E+0	0.000000E+0
2.795047E+2	3.333333E-4	-3.915251E-3	8.942990E-4	5.516854E+8	4.304560E+7	-3.226278E-3	3.690617E-4	5.583701E+8	3.185712E+6	-3.662480E-3	7.301678E-4	5.532355E+8	3.787952E+7	-2.864058E-3	3.397105E-4	5.622224E+8	5.649055E+6	-3.381600E-3	4.169668E-4	4.634485E+9	5.134768E+7	-3.745332E-3	3.999442E-4	4.604147E+9	3.075843E+7	-3.412652E-3	4.279086E-4	5.187721E+9	8.364354E+7	-3.748324E-3	4.090734E-4	5.155832E+9	6.295788E+7	6.889733E-4	5.954215E-4	7.984217E-4	6.374720E-4	-3.622198E-4	2.935637E-4	-1.094486E-4	2.943654E-4	5.220463E-4	4.148990E-4	6.684618E+6	4.203639E+7	8.986828E+6	4.079343E+7	-3.852304E+6	5.664703E+6	-2.302206E+6	6.981729E+6	-4.597462E+9	6.199752E+7	0.000000E+0	0.000000E+0
2.800032E+2	6.009252E-4	-2.307063E-3	9.064474E-4	5.709039E+8	3.637356E+7	-3.420493E-3	9.559674E-4	5.558707E+8	1.266781E+7	-2.380599E-3	7.602855E-4	5.698711E+8	3.657636E+7	-2.883279E-3	5.256489E-4	5.618669E+8	8.043777E+6	-3.232259E-3	7.262168E-4	4.649764E+9	6.693282E+7	-3.269983E-3	5.942261E-4	4.656526E+9	5.431594E+7	-3.139544E-3	7.185058E-4	5.219635E+9	8.521126E+7	-3.170851E-3	6.174106E-4	5.227429E+9	7.566085E+7	-1.113430E-3	4.629477E-4	-5.026794E-4	1.012398E-3	-5.372140E-4	1.040389E-3	-6.107503E-4	1.178977E-3	-2.496417E-4	4.580086E-4	-1.503320E+7	3.995385E+7	-8.004248E+6	3.908256E+7	-5.996133E+6	1.316851E+7	-7.028941E+6	1.905425E+7	-4.671559E+9	7.070371E+7	0.000000E+0	0.000000E+0
2.805047E+2	3.333333E-4	-2.824096E-3	7.482250E-4	5.643338E+8	3.787152E+7	-2.703590E-3	8.364876E-4	5.654959E+8	1.145766E+7	-3.602433E-3	1.206334E-3	5.529381E+8	3.813118E+7	-2.812484E-3	7.624788E-4	5.628712E+8	1.242278E+7	-2.678939E-3	8.172931E-4	4.710358E+9	8.654451E+7	-3.027834E-3	8.538069E-4	4.683142E+9	8.880718E+7	-2.779112E-3	8.615519E-4	5.263296E+9	1.109959E+8	-3.005604E-3	8.399449E-4	5.247476E+9	1.087039E+8	1.205055E-4	4.391508E-4	7.899493E-4	7.409058E-4	1.088932E-4	6.825857E-4	-6.694437E-4	8.988620E-4	3.020134E-4	3.972799E-4	1.162063E+6	3.533803E+7	9.933088E+6	4.299138E+7	2.624692E+6	1.066524E+7	-8.771018E+6	1.322910E+7	-4.681980E+9	9.804305E+7	0.000000E+0	0.000000E+0
2.810047E+2	2.108185E-4	-1.630697E-3	8.246233E-4	5.807979E+8	4.135525E+7	-1.544206E-3	5.700741E-4	5.813931E+8	7.996935E+6	-1.751489E-3	8.199956E-4	5.799212E+8	4.258103E+7	-2.839213E-3	1.297995E-3	5.622039E+8	1.730664E+7	-2.037026E-3	5.796590E-4	4.783343E+9	9.064841E+7	-2.192606E-3	7.186130E-4	4.780267E+9	9.854302E+7	-2.008519E-3	5.911334E-4	5.363264E+9	1.273933E+8	-2.144142E-3	7.037363E-4	5.361065E+9	1.375093E+8	8.649088E-5	5.958481E-4	-1.087724E-3	1.138578E-3	1.295007E-3	9.499109E-4	1.174215E-3	1.428516E-3	5.999354E-4	3.142798E-4	5.952100E+5	3.712355E+7	-1.771738E+7	3.736848E+7	1.918926E+7	1.269943E+7	1.831259E+7	1.743214E+7	-4.779672E+9	1.317106E+8	0.000000E+0	0.000000E+0
2.815023E+2	8.027730E-4	-7.133131E-4	9.335956E-4	5.962824E+8	4.916848E+7	-4.319481E-4	5.785615E-4	5.969752E+8	8.131116E+6	-7.436850E-4	8.069985E-4	5.948458E+8	4.531194E+7	-1.245205E-4	7.095706E-4	5.998946E+8	8.381218E+6	-6.180607E-4	6.448936E-4	4.944936E+9	1.024626E+8	-4.636469E-4	5.954033E-4	4.976625E+9	9.056050E+7	-6.311613E-4	6.445422E-4	5.539782E+9	1.429679E+8	-4.799849E-4	6.063889E-4	5.572907E+9	1.335589E+8	2.813649E-4	7.459883E-4	6.191645E-4	1.033527E-3	-3.074276E-4	5.024757E-4	-3.377994E-4	1.033360E-3	4.803682E-5	2.147481E-4	6.928233E+5	4.740357E+7	5.048743E+6	4.553064E+7	-2.919432E+6	6.806076E+6	-4.355940E+6	1.244749E+7	-4.975932E+9	1.284584E+8	0.000000E+0	0.000000E+0
2.820042E+2	6.009252E-4	1.407887E-3	8.334191E-4	6.209863E+8	3.963407E+7	1.633433E-3	7.766828E-4	6.254545E+8	1.192463E+7	1.696063E-3	1.084313E-3	6.251302E+8	4.147972E+7	9.685315E-4	6.897396E-4	6.149742E+8	1.247271E+7	1.715226E-3	8.425756E-4	5.204303E+9	1.087768E+8	1.695320E-3	6.893028E-4	5.218735E+9	9.124777E+7	1.714483E-3	8.526998E-4	5.829434E+9	1.299187E+8	1.658689E-3	6.881753E-4	5.839721E+9	1.139056E+8	2.255459E-4	6.561713E-4	-7.275313E-4	8.175520E-4	6.649016E-4	8.526752E-4	9.530773E-4	1.059889E-3	-2.525628E-5	3.303695E-4	4.468260E+6	4.047513E+7	-1.015599E+7	5.054666E+7	1.048030E+7	1.234426E+7	1.462426E+7	1.407523E+7	-5.214266E+9	1.054298E+8	0.000000E+0	0.000000E+0
2.825045E+2	5.000000E-4	3.970270E-3	9.518198E-4	6.552715E+8	3.734008E+7	4.788575E-3	9.782737E-4	6.693218E+8	1.509736E+7	4.644250E-3	1.147747E-3	6.646787E+8	4.143465E+7	5.065893E-3	1.125245E-3	6.718097E+8	1.887682E+7	4.543011E-3	1.026622E-3	5.521634E+9	1.062293E+8	4.733825E-3	8.913903E-4	5.563360E+9	1.015838E+8	4.560497E-3	1.035011E-3	6.186313E+9	1.129552E+8	4.648164E-3	8.867565E-4	6.218632E+9	1.090050E+8	8.183042E-4	6.306824E-4	4.216426E-4	7.862687E-4	-2.773178E-4	6.879139E-4	3.966617E-4	1.017158E-3	1.404108E-4	4.239384E-4	1.405031E+7	4.667268E+7	7.130992E+6	5.614550E+7	-2.487974E+6	1.004793E+7	6.919324E+6	1.507469E+7	-5.549310E+9	1.013964E+8	0.000000E+0	0.000000E+0
2.830053E+2	6.146363E-4	1.079615E-2	3.720785E-4	7.516917E+8	5.028665E+7	1.020467E-2	6.471243E-4	7.440534E+8	8.906608E+6	9.519908E-3	1.010452E-3	7.335578E+8	5.068887E+7	9.923920E-3	1.018049E-3	7.391879E+8	1.417943E+7	1.001526E-2	6.966399E-4	6.141634E+9	8.117822E+7	1.042981E-2	6.872313E-4	6.211987E+9	8.558520E+7	9.959565E-3	6.901696E-4	6.875192E+9	1.222295E+8	1.047060E-2	6.242108E-4	6.963679E+9	1.127632E+8	-5.914795E-4	7.949279E-4	4.040135E-4	8.770196E-4	2.807535E-4	5.997427E-4	-9.954929E-4	6.470529E-4	-2.659245E-4	3.692996E-4	-7.638307E+6	5.561900E+7	5.630080E+6	5.442865E+7	4.865493E+6	9.132185E+6	-1.326841E+7	1.397368E+7	-6.219626E+9	1.117251E+8	0.000000E+0	0.000000E+0
2.835023E+2	5.577734E-4	2.032509E-2	1.584457E-3	8.874306E+8	7.292838E+7	2.106971E-2	2.125012E-3	8.942155E+8	2.592754E+7	2.035856E-2	1.970476E-3	8.892834E+8	7.722070E+7	2.030350E-2	1.641735E-3	8.829280E+8	1.790779E+7	2.084837E-2	1.783346E-3	7.367615E+9	2.259069E+8	2.032115E-2	1.602522E-3	7.340889E+9	2.092266E+8	2.079923E-2	1.784901E-3	8.256899E+9	2.984063E+8	2.031662E-2	1.593229E-3	8.228320E+9	2.799131E+8	7.446222E-4	1.067942E-3	-5.505800E-5	8.399003E-4	7.662054E-4	1.004518E-3	7.996802E-4	1.211417E-3	7.530858E-4	7.261362E-4	6.784883E+6	5.497126E+7	-6.355295E+6	6.011340E+7	1.128748E+7	1.413378E+7	1.314018E+7	1.822846E+7	-7.334104E+9	2.569740E+8	0.000000E+0	0.000000E+0
