Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR		SE 	
2.790020E+2	5.773503E-4	-4.677505E-3	6.628340E-4	5.956297E+8	1.405171E+7	-5.775372E-3	4.629590E-4	5.194198E+8	8.465284E+6	-3.903828E-3	4.658177E-4	6.054697E+8	8.600948E+6	-3.956719E-3	4.632402E-4	5.409342E+8	6.744400E+6	-4.293563E-3	3.106086E-4	4.562329E+9	4.531403E+7	-3.957780E-3	2.678431E-4	4.614704E+9	3.312851E+7	-4.247817E-3	2.377842E-4	5.167798E+9	4.488332E+7	-4.041767E-3	2.346072E-4	5.210334E+9	4.463085E+7	-1.097867E-3	6.884930E-4	-5.289170E-5	4.632844E-4	-1.818652E-3	7.208518E-4	-1.044975E-3	1.106064E-3	-1.733605E-3	4.712811E-4	-7.621001E+7	9.029907E+6	-6.453550E+7	9.503546E+6	-2.151450E+7	1.235640E+7	-1.167450E+7	1.627075E+7	-4.690914E+9	3.813668E+7	0.000000E+0	0.000000E+0
2.795050E+2	4.082483E-4	-3.248820E-3	3.632188E-4	6.174753E+8	1.030105E+7	-2.879559E-3	3.332218E-4	5.595218E+8	4.769718E+6	-3.491943E-3	3.605825E-4	6.116695E+8	1.448495E+6	-2.736364E-3	5.066347E-4	5.577157E+8	7.651593E+6	-3.190113E-3	5.385466E-4	4.690180E+9	5.153284E+7	-3.951363E-3	4.365782E-4	4.616294E+9	2.438710E+7	-3.225553E-3	5.147803E-4	5.301849E+9	5.202550E+7	-3.869633E-3	4.172367E-4	5.233769E+9	2.967821E+7	3.692616E-4	2.005005E-4	7.555794E-4	3.078579E-4	-1.431955E-4	3.536351E-4	-3.863178E-4	3.615175E-4	9.900738E-4	4.350091E-4	-5.795350E+7	8.508449E+6	-5.395381E+7	7.237879E+6	1.806105E+6	6.940684E+6	-3.999690E+6	1.087603E+7	-4.674248E+9	2.968902E+7	0.000000E+0	0.000000E+0
2.800035E+2	8.660254E-4	-2.739924E-3	1.330572E-3	6.256055E+8	1.709958E+7	-3.615065E-3	1.494738E-3	5.498061E+8	1.845409E+7	-2.537758E-3	1.095881E-3	6.261302E+8	1.172320E+7	-2.601937E-3	7.153568E-4	5.596787E+8	1.137959E+7	-3.420371E-3	1.131864E-3	4.664343E+9	1.042245E+8	-3.444308E-3	9.114977E-4	4.673997E+9	8.136702E+7	-3.316993E-3	1.122111E-3	5.290473E+9	1.145097E+8	-3.362173E-3	9.514297E-4	5.299603E+9	9.398352E+7	-8.751416E-4	5.481586E-4	-6.417858E-5	1.324649E-3	-1.013129E-3	1.561399E-3	-8.109632E-4	1.817660E-3	-2.528928E-4	7.241386E-4	-7.579943E+7	1.430703E+7	-6.645154E+7	1.627946E+7	-9.872548E+6	2.045408E+7	-9.347878E+6	2.996771E+7	-4.749797E+9	7.901487E+7	0.000000E+0	0.000000E+0
2.805045E+2	5.000000E-4	-2.907574E-3	1.148164E-3	6.226822E+8	1.333588E+7	-2.234223E-3	1.134298E-3	5.686993E+8	1.456262E+7	-3.758572E-3	1.792235E-3	6.078760E+8	2.413957E+7	-3.156178E-3	9.501933E-4	5.521392E+8	1.322141E+7	-2.836074E-3	1.132847E-3	4.730273E+9	1.145681E+8	-3.132953E-3	1.139752E-3	4.710322E+9	1.086977E+8	-2.944292E-3	1.209595E-3	5.338149E+9	1.382701E+8	-3.106797E-3	1.138703E-3	5.333004E+9	1.214702E+8	6.733511E-4	3.581472E-4	6.023945E-4	1.156117E-3	9.219551E-4	6.902224E-4	7.095692E-5	1.197237E-3	8.725739E-4	1.879112E-4	-5.398294E+7	2.992254E+6	-5.573682E+7	1.710258E+7	1.656012E+7	9.482759E+6	1.753881E+6	1.749810E+7	-4.764305E+9	1.070291E+8	0.000000E+0	0.000000E+0
2.810048E+2	2.500000E-4	-1.567674E-3	7.979115E-4	6.426865E+8	1.855998E+7	-9.625425E-4	6.180188E-4	5.859303E+8	9.114446E+6	-1.387586E-3	1.239454E-3	6.436117E+8	2.168434E+7	-1.640741E-3	1.011743E-3	5.731726E+8	1.563565E+7	-1.536092E-3	6.023509E-4	4.876530E+9	9.147081E+7	-1.449877E-3	7.183591E-4	4.903129E+9	7.583667E+7	-1.518541E-3	6.745976E-4	5.520141E+9	1.129499E+8	-1.463675E-3	7.084086E-4	5.545816E+9	9.181841E+7	6.051313E-4	3.033778E-4	-2.531555E-4	6.973947E-4	6.781992E-4	9.137426E-4	8.582867E-4	5.790022E-4	5.011328E-4	4.349261E-4	-5.675621E+7	1.223532E+7	-7.043905E+7	1.496008E+7	1.275764E+7	1.467835E+7	1.368284E+7	1.146601E+7	-4.959885E+9	8.459574E+7	0.000000E+0	0.000000E+0
2.815015E+2	5.000000E-4	4.069313E-4	7.039400E-4	6.723855E+8	1.467847E+7	-7.064661E-5	8.400615E-4	5.983315E+8	1.234147E+7	4.839177E-5	7.081150E-4	6.654449E+8	1.029743E+7	3.971031E-4	9.360245E-4	6.005051E+8	1.255972E+7	1.516681E-4	6.366062E-4	5.069116E+9	1.002129E+8	5.242733E-5	7.681895E-4	5.074629E+9	1.019925E+8	1.395705E-4	6.179308E-4	5.734561E+9	1.094044E+8	9.349237E-5	7.373827E-4	5.747015E+9	1.161006E+8	-4.775779E-4	6.465118E-4	3.487116E-4	1.231965E-3	-4.677497E-4	6.915556E-4	-8.262892E-4	1.504629E-3	-1.641389E-4	1.831090E-4	-7.405399E+7	4.822305E+6	-6.493976E+7	1.301542E+7	-2.173605E+6	7.662073E+6	-9.114235E+6	1.734403E+7	-5.148683E+9	1.038591E+8	0.000000E+0	0.000000E+0
2.820048E+2	7.500000E-4	8.737027E-4	8.910138E-4	6.795080E+8	2.125577E+7	1.559343E-3	1.225457E-3	6.205503E+8	1.808548E+7	1.397342E-3	1.420551E-3	6.854041E+8	2.449625E+7	1.946068E-4	6.381628E-4	5.977983E+8	7.749272E+6	1.351914E-3	1.271361E-3	5.203701E+9	1.711226E+8	1.493508E-3	1.037493E-3	5.237386E+9	1.402853E+8	1.357262E-3	1.279397E-3	5.889106E+9	1.948974E+8	1.421545E-3	1.014157E-3	5.916894E+9	1.588817E+8	6.856401E-4	3.990323E-4	-1.202736E-3	1.100292E-3	1.364736E-3	1.057752E-3	1.888376E-3	1.344296E-3	1.377976E-4	3.574648E-4	-5.895766E+7	6.893099E+6	-8.760584E+7	1.956834E+7	2.275204E+7	1.471160E+7	2.864816E+7	1.708811E+7	-5.296344E+9	1.412702E+8	0.000000E+0	0.000000E+0
2.825048E+2	7.500000E-4	3.049168E-3	1.071378E-3	7.120152E+8	1.421659E+7	3.934736E-3	1.283371E-3	6.534270E+8	1.780936E+7	4.011367E-3	1.679152E-3	7.243314E+8	2.657803E+7	3.571113E-3	9.415383E-4	6.443003E+8	1.142531E+7	3.533385E-3	1.255337E-3	5.450447E+9	1.494938E+8	4.014939E-3	1.201849E-3	5.525227E+9	1.540723E+8	3.589277E-3	1.300972E-3	6.174778E+9	1.750625E+8	3.902634E-3	1.171963E-3	6.237242E+9	1.682153E+8	8.855673E-4	9.153158E-4	-4.402536E-4	7.554035E-4	3.636232E-4	8.105728E-4	1.325821E-3	1.309494E-3	3.210225E-5	6.585091E-4	-5.858814E+7	1.036246E+7	-8.003109E+7	1.527012E+7	9.126687E+6	1.065726E+7	2.144295E+7	1.888295E+7	-5.583815E+9	1.531555E+8	0.000000E+0	0.000000E+0
2.830048E+2	7.500000E-4	1.081169E-2	5.874151E-4	8.294734E+8	1.617794E+7	1.004333E-2	9.939342E-4	7.373898E+8	1.231084E+7	9.622587E-3	1.583156E-3	8.088642E+8	2.702190E+7	9.929116E-3	1.296049E-3	7.318272E+8	1.524994E+7	1.023925E-2	9.729202E-4	6.213245E+9	8.689883E+7	1.037540E-2	1.007757E-3	6.253327E+9	1.153239E+8	1.016708E-2	9.767197E-4	7.022109E+9	1.066211E+8	1.042637E-2	9.143082E-4	7.082800E+9	1.179791E+8	-7.683650E-4	1.234916E-3	3.065297E-4	1.151860E-3	1.142135E-4	5.234300E-4	-1.074895E-3	8.154563E-4	-3.830438E-4	5.404795E-4	-9.208359E+7	2.449395E+7	-7.703701E+7	2.174008E+7	5.562580E+6	5.906062E+6	-1.504659E+7	1.869743E+7	-6.345411E+9	1.090340E+8	0.000000E+0	0.000000E+0
2.835017E+2	2.500000E-4	2.221611E-2	1.618995E-3	1.001284E+9	1.826362E+7	2.350764E-2	2.115579E-3	9.227370E+8	2.643133E+7	2.283628E-2	1.886671E-3	1.008840E+9	2.439485E+7	2.275794E-2	7.248971E-4	9.094559E+8	5.339255E+6	2.309935E-2	1.506344E-3	7.676136E+9	1.456161E+8	2.249703E-2	1.257925E-3	7.643683E+9	1.211947E+8	2.306825E-2	1.515272E-3	8.684976E+9	1.650292E+8	2.246438E-2	1.289050E-3	8.644967E+9	1.384303E+8	1.291529E-3	1.038360E-3	-7.833900E-5	1.282723E-3	7.496940E-4	1.507896E-3	1.369868E-3	1.607792E-3	1.043251E-3	8.894081E-4	-7.854703E+7	1.080762E+7	-9.938372E+7	1.907185E+7	1.328107E+7	2.176829E+7	2.083669E+7	2.644355E+7	-7.722230E+9	1.122883E+8	0.000000E+0	0.000000E+0
