Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR		SE 	
5.300283E+2	4.390001E-3	-7.640128E-3	5.427426E-4	9.144067E+8	3.115200E+7	-4.663182E-3	1.751667E-3	5.370561E+7	2.832059E+6	-6.402076E-3	5.356882E-4	9.414770E+8	3.848705E+7	-9.779049E-3	1.727188E-3	4.823443E+7	2.341137E+6	-7.611536E-3	4.029034E-4	8.266144E+9	1.815982E+8	-7.431118E-3	4.015632E-4	8.349396E+9	1.971284E+8	-7.487876E-3	4.074043E-4	9.207621E+9	1.517667E+8	-7.452398E-3	4.086583E-4	9.263803E+9	1.740362E+8	2.976948E-3	1.874224E-3	-3.376974E-3	1.750971E-3	5.115869E-3	2.434659E-3	6.353920E-3	2.412802E-3	2.789217E-3	1.673250E-3	-8.607010E+8	3.308569E+7	-8.932427E+8	3.952463E+7	5.471179E+6	3.323663E+6	3.254160E+7	7.850886E+6	-9.210098E+9	1.718664E+8	0.000000E+0	0.000000E+0
5.305159E+2	3.058389E-3	-6.677748E-3	3.616040E-4	9.388646E+8	4.249073E+7	-9.182295E-3	1.599969E-3	4.827552E+7	2.516219E+6	-6.309867E-3	3.475720E-4	9.443950E+8	4.261512E+7	-7.487882E-3	1.759120E-3	5.102633E+7	3.124851E+6	-6.189586E-3	3.284889E-4	8.543879E+9	1.815751E+8	-6.033966E-3	4.430164E-4	8.624185E+9	1.854222E+8	-6.202445E-3	3.288925E-4	9.488275E+9	1.638412E+8	-6.092406E-3	4.256745E-4	9.563049E+9	1.664101E+8	-2.504548E-3	1.411933E-3	-1.178016E-3	1.594834E-3	-1.694412E-3	2.277601E-3	-1.326531E-3	2.074128E-3	-3.089890E-3	1.312824E-3	-8.905889E+8	4.405025E+7	-8.933687E+8	4.433635E+7	-2.750817E+6	3.124270E+6	2.779672E+6	6.748336E+6	-9.514774E+9	1.654632E+8	0.000000E+0	0.000000E+0
5.310150E+2	4.225771E-3	-4.564468E-3	7.954380E-4	9.815696E+8	3.805354E+7	-4.904226E-3	1.179421E-3	5.336544E+7	9.791985E+5	-4.732587E-3	6.291116E-4	9.759315E+8	3.633162E+7	-3.912584E-3	1.487071E-3	5.523255E+7	2.649374E+6	-5.316882E-3	4.509076E-4	8.712751E+9	2.031646E+8	-5.197769E-3	4.227028E-4	8.786928E+9	2.101453E+8	-5.264858E-3	4.538557E-4	9.688683E+9	1.821059E+8	-5.137428E-3	4.483397E-4	9.768498E+9	1.976663E+8	-3.397578E-4	1.372353E-3	8.200038E-4	1.466977E-3	-9.916422E-4	1.886992E-3	-1.159761E-3	1.841667E-3	2.332023E-4	1.330410E-3	-9.282043E+8	3.827383E+7	-9.206991E+8	3.832968E+7	-1.867110E+6	2.404663E+6	-7.505214E+6	1.979039E+7	-9.715133E+9	1.973507E+8	0.000000E+0	0.000000E+0
5.315123E+2	2.020305E-3	-2.476002E-3	5.544325E-4	1.031060E+9	4.499513E+7	-1.671877E-3	2.483905E-3	5.740586E+7	3.168587E+6	-2.598176E-3	5.914658E-4	1.025835E+9	4.565608E+7	1.565011E-3	1.314106E-3	6.185164E+7	2.533090E+6	-2.729850E-3	2.943398E-4	9.215411E+9	1.612440E+8	-2.504703E-3	3.085416E-4	9.314029E+9	1.544230E+8	-2.719089E-3	3.088489E-4	1.024125E+10	1.322385E+8	-2.500179E-3	3.256683E-4	1.034509E+10	1.271976E+8	8.041244E-4	2.225934E-3	4.163187E-3	1.274358E-3	-3.236887E-3	2.517882E-3	-3.359062E-3	2.370935E-3	8.283027E-4	2.260013E-3	-9.736537E+8	4.585048E+7	-9.639833E+8	4.642049E+7	-4.445780E+6	1.936776E+6	-9.670524E+6	1.210363E+7	-1.028768E+10	1.248314E+8	0.000000E+0	0.000000E+0
5.320099E+2	1.844278E-3	5.425946E-4	5.040263E-4	1.097478E+9	5.104154E+7	-4.254420E-4	1.773625E-3	5.878960E+7	2.671212E+6	8.225540E-4	6.255952E-4	1.103923E+9	5.536297E+7	-1.435563E-3	1.159724E-3	5.828429E+7	2.590619E+6	4.248882E-4	2.226189E-4	9.829753E+9	1.619701E+8	6.000352E-4	1.858871E-4	9.920756E+9	1.650304E+8	4.650004E-4	2.195545E-4	1.093368E+10	1.426315E+8	5.943248E-4	1.834624E-4	1.101823E+10	1.477053E+8	-9.680367E-4	1.824896E-3	-2.258117E-3	7.039959E-4	1.010120E-3	2.482949E-3	1.290080E-3	2.279713E-3	-1.019767E-3	1.709220E-3	-1.038688E+9	5.136961E+7	-1.045638E+9	5.642328E+7	5.053084E+5	3.948610E+6	6.950309E+6	2.044139E+7	-1.095944E+10	1.457890E+8	0.000000E+0	0.000000E+0
5.325091E+2	1.010153E-3	5.548168E-3	1.015938E-3	1.209550E+9	6.468225E+7	6.051124E-3	1.881010E-3	6.644964E+7	2.691916E+6	5.014200E-3	7.613763E-4	1.196589E+9	6.558181E+7	4.997733E-3	2.070261E-3	6.592871E+7	2.701019E+6	6.123693E-3	4.216859E-4	1.093587E+10	1.568897E+8	5.717930E-3	5.856065E-4	1.092172E+10	2.150407E+8	6.007565E-3	4.394767E-4	1.213246E+10	1.615129E+8	5.701001E-3	6.218809E-4	1.213127E+10	2.263778E+8	5.029554E-4	1.276579E-3	-1.646744E-5	1.434921E-3	1.053391E-3	1.358979E-3	5.194229E-4	1.277747E-3	3.501229E-4	1.485619E-3	-1.143100E+9	6.349261E+7	-1.130660E+9	6.583442E+7	5.209264E+5	1.984078E+6	-1.243970E+7	1.014487E+7	-1.206482E+10	2.248769E+8	0.000000E+0	0.000000E+0
5.330223E+2	1.700340E-3	1.526758E-2	1.058010E-3	1.430295E+9	9.061842E+7	1.479590E-2	1.641993E-3	7.703018E+7	3.122210E+6	1.420596E-2	1.334572E-3	1.410215E+9	1.031862E+8	1.605234E-2	1.462076E-3	7.932538E+7	1.421182E+6	1.529927E-2	1.023671E-3	1.272097E+10	2.118303E+8	1.484959E-2	1.024002E-3	1.271027E+10	1.937443E+8	1.520170E-2	1.039652E-3	1.413119E+10	2.757790E+8	1.488709E-2	1.016243E-3	1.414056E+10	2.621530E+8	-4.716850E-4	1.853216E-3	1.846384E-3	4.876092E-4	-1.256439E-3	1.810818E-3	-2.318069E-3	2.047383E-3	-9.118771E-5	1.697054E-3	-1.353265E+9	9.111663E+7	-1.330889E+9	1.027256E+8	-2.295205E+6	2.932895E+6	-2.237578E+7	1.718518E+7	-1.406353E+10	2.615567E+8	0.000000E+0	0.000000E+0
5.331614E+2	2.689106E-3	1.765745E-2	1.944445E-3	1.491266E+9	1.165148E+8	1.991900E-2	3.401885E-3	8.312642E+7	3.458725E+6	1.856114E-2	1.433003E-3	1.506857E+9	1.103704E+8	1.387112E-2	4.172467E-3	7.668525E+7	4.005347E+6	1.889760E-2	1.486192E-3	1.342098E+10	2.825282E+8	1.884329E-2	1.385701E-3	1.349322E+10	2.907423E+8	1.886602E-2	1.473837E-3	1.492784E+10	3.649178E+8	1.874427E-2	1.421322E-3	1.498448E+10	3.712371E+8	2.261551E-3	2.373813E-3	-4.690020E-3	2.904814E-3	6.047875E-3	2.386662E-3	6.951572E-3	2.602583E-3	1.174729E-3	2.344524E-3	-1.408140E+9	1.143150E+8	-1.430172E+9	1.072693E+8	6.441175E+6	3.106574E+6	2.203246E+7	1.231305E+7	-1.490136E+10	3.686599E+8	0.000000E+0	0.000000E+0
5.333116E+2	1.428571E-3	2.400360E-2	2.314311E-3	1.634566E+9	1.343426E+8	2.843633E-2	2.636803E-3	9.356303E+7	3.150997E+6	2.380024E-2	2.234251E-3	1.627641E+9	1.337930E+8	2.521285E-2	3.386082E-3	9.037073E+7	2.821406E+6	2.494640E-2	2.100641E-3	1.459765E+10	3.729680E+8	2.458457E-2	2.018661E-3	1.461618E+10	3.734768E+8	2.483143E-2	2.105503E-3	1.622529E+10	4.925499E+8	2.453798E-2	2.045950E-3	1.625074E+10	4.901117E+8	4.432729E-3	3.089224E-3	1.412617E-3	2.354942E-3	3.223477E-3	3.813760E-3	3.020111E-3	3.649543E-3	3.898349E-3	3.046054E-3	-1.541002E+9	1.340698E+8	-1.537270E+9	1.320706E+8	3.192303E+6	3.984400E+6	-3.732520E+6	7.927803E+6	-1.615718E+10	4.897868E+8	0.000000E+0	0.000000E+0
5.334594E+2	9.221389E-4	2.955706E-2	2.941727E-3	1.761296E+9	1.536877E+8	3.493488E-2	5.347292E-3	1.013497E+8	5.850217E+6	3.077155E-2	3.108859E-3	1.788911E+9	1.628222E+8	3.063143E-2	2.065877E-3	9.686918E+7	1.816111E+6	3.219841E-2	2.886940E-3	1.600985E+10	5.280028E+8	3.134610E-2	2.821869E-3	1.594048E+10	5.217185E+8	3.205879E-2	2.901376E-3	1.779876E+10	6.788073E+8	3.116896E-2	2.821907E-3	1.770177E+10	6.618463E+8	5.377818E-3	4.147323E-3	-1.401166E-4	2.211068E-3	4.303444E-3	5.324201E-3	5.517934E-3	5.587931E-3	3.765918E-3	4.301096E-3	-1.659946E+9	1.512237E+8	-1.692042E+9	1.620530E+8	4.480524E+6	6.184390E+6	3.209573E+7	2.099466E+7	-1.760042E+10	6.582385E+8	0.000000E+0	0.000000E+0
