Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
2.790040E+2	-6.753208E-3	4.008736E+8	-8.517933E-3	1.234323E+8	-3.670604E-3	4.365475E+8	-3.688283E-3	1.339847E+8	-5.605157E-3	4.341175E+9	-6.532092E-3	4.242543E+9	-5.428767E-3	4.777723E+9	-6.552004E-3	4.643416E+9	-1.764725E-3	-1.767971E-5	-4.829649E-3	-1.747045E-3	-1.965928E-3	-2.774413E+8	-3.025628E+8	-1.055241E+7	2.512151E+7	-4.519984E+9
2.795040E+2	-8.170477E-3	3.856479E+8	-6.187011E-3	1.309621E+8	-6.657336E-3	4.043818E+8	-6.134662E-3	1.260948E+8	-4.569385E-3	4.452360E+9	-4.333785E-3	4.481173E+9	-4.759761E-3	4.856742E+9	-4.679293E-3	4.866821E+9	1.983466E-3	5.226745E-4	-5.234870E-5	1.460792E-3	-1.507718E-3	-2.546858E+8	-2.782870E+8	4.867288E+6	2.360116E+7	-4.735859E+9
2.800030E+2	-2.201580E-3	4.497715E+8	-3.368151E-3	1.400681E+8	-3.213711E-3	4.414680E+8	-4.277747E-3	1.320836E+8	-2.747204E-3	4.647962E+9	-2.561796E-3	4.673527E+9	-2.789740E-3	5.089430E+9	-2.529357E-3	5.123298E+9	-1.166571E-3	-1.064036E-3	9.095962E-4	-1.025350E-4	-8.387940E-4	-3.097034E+8	-3.093844E+8	7.984488E+6	-3.189799E+5	-4.983230E+9
2.805050E+2	-1.989222E-3	4.520528E+8	-8.811997E-4	1.481019E+8	-1.737834E-3	4.573625E+8	-2.214772E-3	1.387370E+8	-8.911289E-4	4.847203E+9	-1.064229E-3	4.836090E+9	-9.683303E-4	5.304565E+9	-1.147528E-3	5.288143E+9	1.108022E-3	-4.769387E-4	1.333573E-3	1.584961E-3	2.663281E-4	-3.039509E+8	-3.186255E+8	9.364923E+6	1.467461E+7	-5.140041E+9
2.810040E+2	7.644153E-4	4.816350E+8	3.308732E-3	1.616370E+8	-2.751059E-3	4.464506E+8	-5.692705E-3	1.275202E+8	-1.873777E-3	4.741720E+9	-2.520500E-3	4.678009E+9	-1.953767E-3	5.188171E+9	-2.224681E-3	5.159644E+9	2.544317E-3	-2.941645E-3	9.001437E-3	5.485962E-3	5.533414E-3	-3.199980E+8	-3.189304E+8	3.411685E+7	-1.067614E+6	-4.998007E+9
2.815060E+2	-1.350326E-3	4.589165E+8	-4.701620E-3	1.357605E+8	-5.969938E-4	4.696488E+8	-2.945061E-3	1.363817E+8	-1.655705E-3	4.765129E+9	-1.072843E-3	4.835155E+9	-1.559173E-3	5.234778E+9	-1.097831E-3	5.294072E+9	-3.351294E-3	-2.348067E-3	-1.756559E-3	-1.003227E-3	-3.603789E-3	-3.231560E+8	-3.332671E+8	-6.212332E+5	1.011113E+7	-5.158311E+9
2.820030E+2	4.462020E-3	5.213582E+8	1.322917E-3	1.552221E+8	4.527970E-3	5.248423E+8	5.529093E-3	1.637120E+8	2.840450E-3	5.247769E+9	2.750374E-3	5.250174E+9	2.994316E-3	5.772611E+9	2.904514E-3	5.771532E+9	-3.139104E-3	1.001123E-3	-4.206176E-3	-4.140227E-3	-1.581597E-3	-3.661361E+8	-3.611302E+8	-8.489979E+6	-5.005918E+6	-5.616310E+9
2.825040E+2	4.542936E-3	5.222275E+8	4.487314E-3	1.654443E+8	5.247242E-3	5.325885E+8	6.683594E-3	1.674355E+8	6.074420E-3	5.594920E+9	5.782713E-3	5.579340E+9	5.998999E-3	6.127508E+9	5.671066E-3	6.101568E+9	-5.562197E-5	1.436352E-3	-2.196280E-3	-1.491974E-3	-1.183752E-3	-3.567832E+8	-3.651530E+8	-1.991174E+6	8.369830E+6	-5.936123E+9
2.830070E+2	1.069544E-2	5.883235E+8	1.453695E-2	1.979085E+8	8.852327E-3	5.714135E+8	1.274054E-2	1.869700E+8	8.427487E-3	5.847510E+9	9.552157E-3	5.988521E+9	8.466224E-3	6.418923E+9	9.655114E-3	6.576845E+9	3.841509E-3	3.888217E-3	1.796407E-3	-4.670710E-5	4.881837E-3	-3.904150E+8	-3.844436E+8	1.093854E+7	-5.971434E+6	-6.378936E+9
2.835050E+2	1.723213E-2	6.585468E+8	1.482577E-2	1.988415E+8	1.517994E-2	6.395589E+8	1.666980E-2	1.996424E+8	1.442575E-2	6.491394E+9	1.518195E-2	6.599646E+9	1.449452E-2	7.130953E+9	1.536657E-2	7.258193E+9	-2.406354E-3	1.489867E-3	-1.844032E-3	-3.896220E-3	-5.408007E-4	-4.597053E+8	-4.399165E+8	-8.008713E+5	-1.978874E+7	-7.059352E+9
2.840030E+2	4.390315E-2	9.450722E+8	5.217309E-2	3.194879E+8	4.357425E-2	9.453522E+8	3.520329E-2	2.594155E+8	4.359965E-2	9.623067E+9	4.302453E-2	9.622017E+9	4.359733E-2	1.056842E+10	4.310366E-2	1.056709E+10	8.269940E-3	-8.370961E-3	1.696980E-2	1.664090E-2	9.069431E-3	-6.255843E+8	-6.859368E+8	6.007237E+7	6.035240E+7	-1.024760E+10
2.841030E+2	6.582694E-2	1.180598E+9	6.479201E-2	3.602519E+8	6.334864E-2	1.158313E+9	6.531265E-2	3.565224E+8	6.598207E-2	1.202571E+10	6.428142E-2	1.192950E+10	6.574196E-2	1.318402E+10	6.442060E-2	1.311009E+10	-1.034924E-3	1.964008E-3	-5.206365E-4	-2.998932E-3	3.714147E-4	-8.203465E+8	-8.017907E+8	3.729479E+6	-1.855578E+7	-1.274984E+10
2.842030E+2	8.779587E-2	1.416610E+9	8.581825E-2	4.281748E+8	8.859500E-2	1.430204E+9	8.650475E-2	4.248699E+8	8.780305E-2	1.436808E+10	8.918097E-2	1.463239E+10	8.787526E-2	1.579829E+10	8.905623E-2	1.604900E+10	-1.977622E-3	-2.090250E-3	-6.865000E-4	1.126274E-4	-3.237982E-3	-9.884347E+8	-1.005335E+9	3.304888E+6	1.689984E+7	-1.562083E+10
2.843040E+2	1.090912E-1	1.645384E+9	1.157725E-1	5.249385E+8	1.041287E-1	1.597495E+9	1.242135E-1	5.464859E+8	1.096408E-1	1.671226E+10	1.106494E-1	1.696284E+10	1.091382E-1	1.830975E+10	1.105091E-1	1.860822E+10	6.681259E-3	2.008482E-2	-8.441020E-3	-1.340356E-2	5.263345E-3	-1.120446E+9	-1.051009E+9	-2.154733E+7	-6.943678E+7	-1.808329E+10
2.844010E+2	1.256892E-1	1.823695E+9	1.255266E-1	5.564482E+8	1.224751E-1	1.795077E+9	1.384112E-1	5.922754E+8	1.304266E-1	1.894351E+10	1.280362E-1	1.885021E+10	1.297016E-1	2.073859E+10	1.278249E-1	2.067391E+10	-1.625713E-4	1.593610E-2	-1.288456E-2	-1.609867E-2	-2.298280E-3	-1.267247E+9	-1.202801E+9	-3.582719E+7	-6.444576E+7	-2.011746E+10
2.845030E+2	2.085232E-1	2.713577E+9	2.228368E-1	8.707979E+8	2.136471E-1	2.776957E+9	2.216567E-1	8.607538E+8	2.207792E-1	2.864241E+10	2.145547E-1	2.824197E+10	2.201289E-1	3.141937E+10	2.140116E-1	3.095555E+10	1.431358E-2	8.009557E-3	1.180135E-3	6.304019E-3	8.825228E-3	-1.842779E+9	-1.916203E+9	1.004410E+7	7.342341E+7	-3.008475E+10
2.846060E+2	4.050977E-1	4.825366E+9	4.216892E-1	1.513168E+9	4.020830E-1	4.806322E+9	4.113649E-1	1.472590E+9	4.409861E-1	5.228053E+10	4.117525E-1	4.964820E+10	4.374390E-1	5.708685E+10	4.111532E-1	5.447356E+10	1.659155E-2	9.281952E-3	1.032426E-2	7.309594E-3	1.053603E-2	-3.312198E+9	-3.333732E+9	4.057874E+7	2.153437E+7	-5.296039E+10
2.847030E+2	8.326331E-1	9.418357E+9	8.565315E-1	2.917878E+9	8.363915E-1	9.483620E+9	8.696326E-1	2.950567E+9	8.783799E-1	9.923258E+10	8.449622E-1	9.667401E+10	8.745515E-1	1.087162E+11	8.438519E-1	1.060924E+11	2.389846E-2	3.324109E-2	-1.310111E-2	-9.342627E-3	1.267961E-2	-6.500479E+9	-6.533053E+9	-3.268940E+7	3.257322E+7	-1.031745E+11
2.848030E+2	1.312187E+0	1.457018E+10	1.324253E+0	4.428800E+9	1.309186E+0	1.457540E+10	1.300962E+0	4.341666E+9	1.324489E+0	1.471202E+11	1.309687E+0	1.471208E+11	1.323094E+0	1.616956E+11	1.309912E+0	1.616910E+11	1.206614E-2	-8.223816E-3	2.329061E-2	2.028995E-2	1.434101E-2	-1.014138E+10	-1.023373E+10	8.713352E+7	9.234934E+7	-1.572622E+11
