Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
5.293120E+2	-1.283382E-2	3.621365E+9	-1.286866E-2	2.259799E+9	-1.009476E-2	3.648761E+9	-1.017595E-2	2.285354E+9	-1.427992E-2	3.688145E+10	-1.250155E-2	3.738895E+10	-1.390529E-2	4.053021E+10	-1.253128E-2	4.101032E+10	-3.484188E-5	-8.118856E-5	-2.692716E-3	4.634669E-5	-3.373815E-4	-1.361565E+9	-1.363407E+9	-2.555518E+7	1.841685E+6	-3.875052E+10
5.298070E+2	-2.326872E-3	3.765555E+9	-5.137217E-3	2.326421E+9	-8.221498E-3	3.674340E+9	-1.209155E-2	2.268975E+9	-4.722174E-3	3.820890E+10	-5.012356E-3	3.843469E+10	-5.035413E-3	4.188324E+10	-4.772041E-3	4.220024E+10	-2.810344E-3	-3.870056E-3	6.954338E-3	1.059712E-3	-3.651753E-4	-1.439133E+9	-1.405365E+9	5.744652E+7	-3.376777E+7	-3.987382E+10
5.303080E+2	3.688852E-3	3.848110E+9	7.589201E-3	2.436086E+9	-6.179022E-3	3.702230E+9	-8.235847E-3	2.301943E+9	-9.977155E-4	3.872619E+10	-1.284523E-3	3.895522E+10	-1.461516E-3	4.242842E+10	-8.394738E-4	4.280333E+10	3.900349E-3	-2.056825E-3	1.582505E-2	5.957174E-3	8.428675E-3	-1.412025E+9	-1.400287E+9	1.341425E+8	-1.173790E+7	-4.036724E+10
5.308150E+2	1.045483E-4	3.798922E+9	-9.819793E-5	2.369843E+9	2.009367E-3	3.814040E+9	1.280404E-3	2.383312E+9	-2.625037E-3	3.850017E+10	-2.411929E-3	3.879779E+10	-2.210192E-3	4.231421E+10	-2.186739E-3	4.259672E+10	-2.027462E-4	-7.289632E-4	-1.378602E-3	5.262170E-4	2.088541E-3	-1.429079E+9	-1.430728E+9	-1.346893E+7	1.649506E+6	-4.022687E+10
5.313130E+2	-2.497565E-3	3.763212E+9	-3.598876E-3	2.339677E+9	-1.802018E-3	3.761997E+9	-1.723562E-3	2.357626E+9	2.438573E-3	3.920345E+10	1.023784E-3	3.927753E+10	2.058979E-3	4.296544E+10	7.086713E-4	4.304074E+10	-1.101311E-3	7.845591E-5	-1.875314E-3	-1.179767E-3	-4.307547E-3	-1.423535E+9	-1.404370E+9	-1.794905E+7	-1.916451E+7	-4.070107E+10
5.318010E+2	6.006043E-3	3.879910E+9	6.295267E-3	2.424936E+9	8.257860E-3	3.899362E+9	1.694176E-2	2.517224E+9	6.274171E-3	3.973616E+10	6.499841E-3	4.004217E+10	6.451739E-3	4.363553E+10	6.455653E-3	4.392208E+10	2.892237E-4	8.683895E-3	-1.064649E-2	-8.394672E-3	-1.603863E-4	-1.454974E+9	-1.382138E+9	-9.228851E+7	-7.283650E+7	-4.149714E+10
5.323010E+2	7.858816E-3	3.905336E+9	7.818487E-3	2.438061E+9	1.603007E-2	4.005489E+9	1.400475E-2	2.492111E+9	1.391211E-2	4.079698E+10	1.368673E-2	4.104570E+10	1.410170E-2	4.480247E+10	1.316521E-2	4.495103E+10	-4.032913E-5	-2.025318E-3	-6.186265E-3	1.984989E-3	-5.346725E-3	-1.467275E+9	-1.513378E+9	-5.404999E+7	4.610341E+7	-4.251297E+10
5.328060E+2	1.736805E-2	4.035834E+9	1.657593E-2	2.513525E+9	1.578813E-2	4.002186E+9	1.919775E-2	2.536514E+9	1.409452E-2	4.082232E+10	1.542031E-2	4.128776E+10	1.424612E-2	4.482450E+10	1.559460E-2	4.532360E+10	-7.921156E-4	3.409625E-3	-2.621820E-3	-4.201741E-3	9.813310E-4	-1.522309E+9	-1.465672E+9	-2.298936E+7	-5.663772E+7	-4.281007E+10
5.333020E+2	2.167981E-2	4.095006E+9	2.419530E-2	2.579181E+9	2.538280E-2	4.133199E+9	2.942756E-2	2.623984E+9	2.311814E-2	4.207559E+10	2.513873E-2	4.264477E+10	2.332086E-2	4.620879E+10	2.482920E-2	4.673978E+10	2.515493E-3	4.044763E-3	-5.232264E-3	-1.529270E-3	-6.338980E-4	-1.515824E+9	-1.509214E+9	-4.480287E+7	-6.609975E+6	-4.416060E+10
5.335040E+2	2.700621E-2	4.168102E+9	3.394329E-2	2.663180E+9	2.227211E-2	4.090723E+9	2.374810E-2	2.575422E+9	2.747347E-2	4.268049E+10	2.991546E-2	4.331176E+10	2.700787E-2	4.677121E+10	2.965512E-2	4.747986E+10	6.937078E-3	1.475995E-3	1.019519E-2	5.461083E-3	4.288171E-3	-1.504921E+9	-1.515301E+9	8.775836E+7	1.037962E+7	-4.481668E+10
5.337220E+2	3.244441E-2	4.242732E+9	3.543817E-2	2.676062E+9	2.718274E-2	4.157776E+9	3.319497E-2	2.656197E+9	3.671194E-2	4.396360E+10	3.410604E-2	4.389691E+10	3.585894E-2	4.812138E+10	3.395735E-2	4.813964E+10	2.993757E-3	6.012230E-3	2.243193E-3	-3.018473E-3	1.480819E-3	-1.566670E+9	-1.501579E+9	1.986429E+7	-6.509098E+7	-4.546358E+10
5.339090E+2	3.662696E-2	4.300130E+9	4.104193E-2	2.724350E+9	4.046226E-2	4.339105E+9	4.025484E-2	2.716563E+9	4.335645E-2	4.488644E+10	4.420387E-2	4.530690E+10	4.309738E-2	4.922555E+10	4.352584E-2	4.960703E+10	4.414973E-3	-2.074237E-4	7.870914E-4	4.622397E-3	-2.483908E-3	-1.575780E+9	-1.622542E+9	7.786836E+6	4.676165E+7	-4.688268E+10
5.341110E+2	5.792499E-2	4.592409E+9	5.805574E-2	2.870959E+9	4.666749E-2	4.423836E+9	4.466319E-2	2.754256E+9	5.945022E-2	4.712167E+10	5.773078E-2	4.719570E+10	5.830599E-2	5.154551E+10	5.774816E-2	5.178811E+10	1.307550E-4	-2.004302E-3	1.339255E-2	2.135057E-3	3.075839E-4	-1.721451E+9	-1.669579E+9	1.167022E+8	-5.187153E+7	-4.891715E+10
5.343030E+2	7.616122E-2	4.842671E+9	7.936070E-2	3.054545E+9	7.534840E-2	4.815466E+9	7.051762E-2	2.975325E+9	7.712484E-2	4.957646E+10	7.711912E-2	4.990295E+10	7.696582E-2	5.439193E+10	7.703340E-2	5.474562E+10	3.199475E-3	-4.830779E-3	8.843072E-3	8.030254E-3	2.327292E-3	-1.788126E+9	-1.840141E+9	7.921975E+7	5.201520E+7	-5.169107E+10
5.345160E+2	1.293165E-1	5.572137E+9	1.397877E-1	3.575248E+9	1.289081E-1	5.546811E+9	1.322944E-1	3.503547E+9	1.353020E-1	5.765656E+10	1.313227E-1	5.747156E+10	1.347296E-1	6.320337E+10	1.311432E-1	6.304370E+10	1.047120E-2	3.386246E-3	7.493337E-3	7.084954E-3	8.644510E-3	-1.996889E+9	-2.043264E+9	7.170044E+7	4.637409E+7	-5.946845E+10
5.347340E+2	2.307851E-1	6.964621E+9	2.289603E-1	4.343653E+9	2.269538E-1	6.885599E+9	2.345273E-1	4.377690E+9	2.392512E-1	7.209386E+10	2.348957E-1	7.193375E+10	2.381504E-1	7.897946E+10	2.345278E-1	7.889837E+10	-1.824767E-3	7.573473E-3	-5.566906E-3	-9.398239E-3	-5.567500E-3	-2.620968E+9	-2.507910E+9	-3.403648E+7	-1.130589E+8	-7.455472E+10
