Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
5.300160E+2	-8.659730E-3	1.085533E+9	-6.680340E-3	2.456900E+8	-7.201136E-3	1.139519E+9	-6.030188E-3	2.475908E+8	-8.021329E-3	7.838822E+9	-7.508497E-3	7.957668E+9	-7.917541E-3	8.978340E+9	-7.653088E-3	9.043201E+9	1.979390E-3	1.170948E-3	-6.501518E-4	8.084419E-4	9.727486E-4	-8.398429E+8	-8.919278E+8	-1.900889E+6	5.208487E+7	-8.797511E+9
5.305180E+2	-3.728102E-3	1.226386E+9	-2.467655E-3	2.709356E+8	-4.143864E-3	1.227062E+9	-4.645172E-3	2.558900E+8	-3.699526E-3	8.693036E+9	-4.156020E-3	8.624279E+9	-3.755753E-3	9.920098E+9	-4.102275E-3	9.850664E+9	1.260447E-3	-5.013075E-4	2.177516E-3	1.761755E-3	1.634620E-3	-9.554499E+8	-9.711719E+8	1.504558E+7	1.572202E+7	-9.579729E+9
5.310250E+2	-2.450913E-3	1.262863E+9	-1.560463E-3	2.763722E+8	-1.616988E-3	1.299418E+9	1.852734E-3	2.948262E+8	-2.108306E-3	9.007544E+9	-1.923597E-3	9.068176E+9	-2.046135E-3	1.030696E+10	-1.989826E-3	1.033104E+10	8.904500E-4	3.469722E-3	-3.413197E-3	-2.579272E-3	4.293630E-4	-9.864912E+8	-1.004591E+9	-1.845401E+7	1.810023E+7	-1.005467E+10
5.315130E+2	-1.453014E-3	1.291365E+9	-3.893605E-3	2.623902E+8	-1.884177E-3	1.291767E+9	-3.331411E-3	2.637622E+8	-1.280784E-3	9.171105E+9	-1.214882E-3	9.209098E+9	-1.357137E-3	1.046287E+10	-1.244790E-3	1.050046E+10	-2.440591E-3	-1.447234E-3	-5.621934E-4	-9.933568E-4	-2.648814E-3	-1.028974E+9	-1.028005E+9	-1.372006E+6	-9.696614E+5	-1.023807E+10
5.320070E+2	3.744679E-3	1.439816E+9	2.732415E-3	3.020984E+8	4.263607E-3	1.467805E+9	2.859471E-3	3.008587E+8	3.855715E-3	1.018635E+10	3.415540E-3	1.012982E+10	3.907330E-3	1.165415E+10	3.456879E-3	1.156963E+10	-1.012264E-3	-1.404137E-3	-1.270557E-4	3.918728E-4	-7.244642E-4	-1.137718E+9	-1.166947E+9	1.239730E+6	2.922879E+7	-1.126753E+10
5.325170E+2	1.254708E-2	1.691222E+9	1.186965E-2	3.568557E+8	1.058256E-2	1.648745E+9	9.294566E-3	3.394185E+8	1.125423E-2	1.164868E+10	1.138745E-2	1.171496E+10	1.116924E-2	1.329742E+10	1.153310E-2	1.340618E+10	-6.774329E-4	-1.287993E-3	2.575082E-3	6.105597E-4	3.365474E-4	-1.334367E+9	-1.309327E+9	1.743723E+7	-2.504013E+7	-1.304933E+10
5.330280E+2	2.056247E-2	1.920151E+9	2.338135E-2	4.258427E+8	1.775980E-2	1.854261E+9	1.921685E-2	3.988739E+8	2.092319E-2	1.355977E+10	1.979724E-2	1.338717E+10	2.052289E-2	1.541403E+10	1.989335E-2	1.530732E+10	2.818879E-3	1.457048E-3	4.164503E-3	1.361831E-3	3.487994E-3	-1.494308E+9	-1.455388E+9	2.696876E+7	-3.892047E+7	-1.488148E+10
5.331580E+2	3.090457E-2	2.215532E+9	3.351668E-2	4.865814E+8	2.705841E-2	2.120522E+9	2.907818E-2	4.579641E+8	3.013951E-2	1.538140E+10	2.926321E-2	1.526940E+10	2.974962E-2	1.750192E+10	2.946936E-2	1.748493E+10	2.612110E-3	2.019770E-3	4.438505E-3	5.923403E-4	4.047319E-3	-1.728951E+9	-1.662558E+9	2.861726E+7	-6.639304E+7	-1.699835E+10
5.333130E+2	3.797936E-2	2.417596E+9	3.801585E-2	5.135438E+8	3.788966E-2	2.430669E+9	3.710008E-2	5.060323E+8	3.915325E-2	1.716298E+10	3.901821E-2	1.720909E+10	3.899336E-2	1.959365E+10	3.888773E-2	1.962669E+10	3.649602E-5	-7.895733E-4	9.157668E-4	8.260693E-4	-8.718768E-4	-1.904052E+9	-1.924637E+9	7.511560E+6	2.058475E+7	-1.911314E+10
5.334630E+2	4.852856E-2	2.718893E+9	4.727335E-2	5.690219E+8	5.013750E-2	2.781379E+9	4.943106E-2	5.799209E+8	5.017712E-2	1.934187E+10	4.954140E-2	1.930154E+10	5.017210E-2	2.212325E+10	4.941419E-2	2.202043E+10	-1.255206E-3	-7.064404E-4	-2.157710E-3	-5.487658E-4	-2.140836E-3	-2.149871E+9	-2.201459E+9	-1.089899E+7	5.158787E+7	-2.145141E+10
5.336130E+2	6.958276E-2	3.320224E+9	6.969352E-2	7.033807E+8	6.965871E-2	3.340359E+9	7.537871E-2	7.354021E+8	7.324228E-2	2.390075E+10	7.278914E-2	2.392414E+10	7.278881E-2	2.724111E+10	7.238642E-2	2.724437E+10	1.107551E-4	5.719996E-3	-5.685189E-3	-5.609241E-3	-2.692908E-3	-2.616843E+9	-2.604957E+9	-3.202135E+7	-1.188624E+7	-2.654099E+10
5.337580E+2	1.028608E-1	4.270681E+9	1.137854E-1	9.676132E+8	1.024126E-1	4.278249E+9	9.800035E-2	8.709535E+8	1.061057E-1	3.039628E+10	1.027185E-1	2.987534E+10	1.056384E-1	3.467453E+10	1.027364E-1	3.414602E+10	1.092459E-2	-4.412281E-3	1.578507E-2	1.533687E-2	1.104901E-2	-3.303068E+9	-3.407296E+9	9.665973E+7	1.042277E+8	-3.317841E+10
5.339090E+2	1.464674E-1	5.516133E+9	1.518359E-1	1.195641E+9	1.460873E-1	5.528849E+9	1.504028E-1	1.184955E+9	1.517185E-1	3.941175E+10	1.484682E-1	3.897226E+10	1.510059E-1	4.494060E+10	1.482169E-1	4.448840E+10	5.368453E-3	4.315517E-3	1.433093E-3	1.052935E-3	3.618929E-3	-4.320492E+9	-4.343894E+9	1.068602E+7	2.340182E+7	-4.329276E+10
5.340800E+2	2.481512E-1	8.420331E+9	2.689435E-1	1.897440E+9	2.518298E-1	8.556730E+9	2.534685E-1	1.802536E+9	2.584994E-1	6.051723E+10	2.551714E-1	6.018925E+10	2.576554E-1	6.907396E+10	2.542897E-1	6.860958E+10	2.079238E-2	1.638715E-3	1.547501E-2	1.915366E-2	1.465387E-2	-6.522891E+9	-6.754193E+9	9.490350E+7	2.313017E+8	-6.671214E+10
5.342040E+2	4.291493E-1	1.358984E+10	4.592480E-1	3.037890E+9	4.282999E-1	1.360985E+10	4.270629E-1	2.842733E+9	4.461646E-1	9.760967E+10	4.358931E-1	9.612417E+10	4.439040E-1	1.112195E+11	4.350461E-1	1.097140E+11	3.009868E-2	-1.236979E-3	3.218512E-2	3.133566E-2	2.420190E-2	-1.055195E+10	-1.076712E+10	1.951571E+8	2.151751E+8	-1.066761E+11
5.343650E+2	7.485986E-1	2.271365E+10	7.709018E-1	4.905559E+9	7.398646E-1	2.253134E+10	7.424409E-1	4.732514E+9	7.614576E-1	1.599280E+11	7.466511E-1	1.579156E+11	7.587252E-1	1.824594E+11	7.468957E-1	1.806293E+11	2.230320E-2	2.576318E-3	2.846082E-2	1.972688E-2	2.400608E-2	-1.780809E+10	-1.779883E+10	1.730449E+8	-9.266840E+6	-1.757237E+11
5.345160E+2	1.201050E+0	3.563615E+10	1.243644E+0	7.738595E+9	1.204176E+0	3.582663E+10	1.205649E+0	7.508109E+9	1.213170E+0	2.492100E+11	1.200448E+0	2.481492E+11	1.212032E+0	2.850367E+11	1.200524E+0	2.837853E+11	4.259457E-2	1.473516E-3	3.799524E-2	4.112105E-2	4.312048E-2	-2.789755E+10	-2.831852E+10	2.304860E+8	4.209681E+8	-2.760468E+11
5.346620E+2	1.597287E+0	4.695313E+10	1.584714E+0	9.782547E+9	1.589963E+0	4.687344E+10	1.574518E+0	9.718413E+9	1.583946E+0	3.224946E+11	1.571178E+0	3.218656E+11	1.584707E+0	3.693681E+11	1.574458E+0	3.688188E+11	-1.257313E-2	-1.544482E-2	1.019616E-2	2.871697E-3	1.025648E-2	-3.717058E+10	-3.715503E+10	6.413428E+7	-1.554952E+7	-3.590362E+11
5.348120E+2	1.817806E+0	5.325138E+10	1.831029E+0	1.125866E+10	1.806222E+0	5.306591E+10	1.834011E+0	1.127332E+10	1.800911E+0	3.653783E+11	1.793495E+0	3.660713E+11	1.801583E+0	4.184442E+11	1.796548E+0	4.193226E+11	1.322317E-2	2.778877E-2	-2.981515E-3	-1.456560E-2	3.448099E-2	-4.199273E+10	-4.179258E+10	-1.466644E+7	-2.001425E+8	-4.080640E+11
5.349630E+2	1.966897E+0	5.750959E+10	1.966591E+0	1.207105E+10	1.972743E+0	5.783415E+10	1.979900E+0	1.214751E+10	1.937003E+0	3.922772E+11	1.942847E+0	3.957686E+11	1.941526E+0	4.501113E+11	1.945867E+0	4.532781E+11	-3.065339E-4	7.156976E-3	-1.330945E-2	-7.463510E-3	2.072343E-2	-4.543854E+10	-4.568664E+10	-7.646376E+7	2.480983E+8	-4.412071E+11
5.351140E+2	1.943511E+0	5.684164E+10	1.940913E+0	1.191716E+10	1.952597E+0	5.725729E+10	1.980105E+0	1.214873E+10	1.915770E+0	3.880805E+11	1.919214E+0	3.910694E+11	1.920430E+0	4.453378E+11	1.922266E+0	4.479110E+11	-2.598101E-3	2.750727E-2	-3.919210E-2	-3.010537E-2	1.864703E-2	-4.492448E+10	-4.510855E+10	-2.315723E+8	1.840720E+8	-4.359939E+11
5.352600E+2	1.755956E+0	5.148487E+10	1.723052E+0	1.061157E+10	1.744052E+0	5.128571E+10	1.780093E+0	1.095024E+10	1.727719E+0	3.509117E+11	1.733926E+0	3.542265E+11	1.729785E+0	4.021974E+11	1.736693E+0	4.057113E+11	-3.290413E-2	3.604093E-2	-5.704137E-2	-6.894507E-2	-1.364085E-2	-4.087330E+10	-4.033547E+10	-3.386699E+8	-5.378359E+8	-3.950998E+11
5.354170E+2	1.553905E+0	4.571409E+10	1.531142E+0	9.461504E+9	1.548419E+0	4.568385E+10	1.532159E+0	9.464593E+9	1.532540E+0	3.123342E+11	1.533940E+0	3.144610E+11	1.534549E+0	3.580180E+11	1.536447E+0	3.601751E+11	-2.276302E-2	-1.625988E-2	-1.016637E-3	-6.503145E-3	-5.305011E-3	-3.625259E+10	-3.621926E+10	-3.089179E+6	-3.332699E+7	-3.507136E+11
5.355630E+2	1.323431E+0	3.913149E+10	1.287398E+0	8.000801E+9	1.310009E+0	3.885710E+10	1.317167E+0	8.176337E+9	1.296787E+0	2.657371E+11	1.299043E+0	2.677540E+11	1.298460E+0	3.045942E+11	1.302106E+0	3.068855E+11	-3.603283E-2	7.158366E-3	-2.976888E-2	-4.319120E-2	-1.470832E-2	-3.113069E+10	-3.068077E+10	-1.755356E+8	-4.499209E+8	-2.988847E+11
5.357090E+2	1.085551E+0	3.233738E+10	1.087560E+0	6.803219E+9	1.076325E+0	3.216571E+10	1.087080E+0	6.797631E+9	1.079031E+0	2.226971E+11	1.082508E+0	2.246978E+11	1.078688E+0	2.548628E+11	1.082890E+0	2.570352E+11	2.009133E-3	1.075500E-2	4.800772E-4	-8.745866E-3	4.670006E-3	-2.553416E+10	-2.536807E+10	5.588621E+6	-1.660891E+8	-2.502320E+11
5.358650E+2	8.912069E-1	2.678670E+10	9.159431E-1	5.774758E+9	8.948129E-1	2.696820E+10	8.974375E-1	5.661271E+9	8.947829E-1	1.862801E+11	8.971745E-1	1.878459E+11	8.947867E-1	2.132483E+11	8.964250E-1	2.146326E+11	2.473626E-2	2.624542E-3	1.850564E-2	2.211172E-2	1.951814E-2	-2.101194E+10	-2.130693E+10	1.134874E+8	2.949885E+8	-2.088578E+11
5.360070E+2	7.737583E-1	2.343224E+10	7.672727E-1	4.883810E+9	7.702910E-1	2.340259E+10	7.630961E-1	4.856282E+9	7.733672E-1	1.622820E+11	7.751714E-1	1.635867E+11	7.729780E-1	1.856846E+11	7.749940E-1	1.870189E+11	-6.485688E-3	-7.194901E-3	4.176523E-3	7.092130E-4	-7.721302E-3	-1.854843E+10	-1.854630E+10	2.752826E+7	-2.130419E+6	-1.821351E+11
5.362630E+2	5.979740E-1	1.841165E+10	5.907536E-1	3.825973E+9	5.890169E-1	1.821190E+10	5.965397E-1	3.858258E+9	6.002830E-1	1.280715E+11	6.003769E-1	1.288303E+11	5.988574E-1	1.462834E+11	6.000751E-1	1.472420E+11	-7.220400E-3	7.522856E-3	-5.786150E-3	-1.474326E-2	-9.321478E-3	-1.458568E+10	-1.435364E+10	-3.228487E+7	-2.320382E+8	-1.434160E+11
5.365140E+2	5.262618E-1	1.636347E+10	5.264101E-1	3.440377E+9	5.223745E-1	1.630363E+10	5.126778E-1	3.355747E+9	5.304829E-1	1.142754E+11	5.266964E-1	1.141796E+11	5.294568E-1	1.305790E+11	5.266418E-1	1.305431E+11	1.483826E-4	-9.696713E-3	1.373238E-2	9.845095E-3	-2.316719E-4	-1.292309E+10	-1.294788E+10	8.463018E+7	2.478695E+7	-1.271027E+11
5.367710E+2	5.009780E-1	1.564134E+10	5.062555E-1	3.319595E+9	5.062669E-1	1.584240E+10	5.154989E-1	3.372652E+9	5.094114E-1	1.101106E+11	5.087046E-1	1.106021E+11	5.090135E-1	1.259529E+11	5.077342E-1	1.262434E+11	5.277473E-3	9.231997E-3	-9.243412E-3	-3.954524E-3	-1.478679E-3	-1.232175E+10	-1.246975E+10	-5.305655E+7	1.479998E+8	-1.229238E+11
5.370280E+2	5.394346E-1	1.673970E+10	5.437150E-1	3.544081E+9	5.294105E-1	1.650510E+10	5.465548E-1	3.558742E+9	5.466518E-1	1.174712E+11	5.423795E-1	1.172980E+11	5.444701E-1	1.339763E+11	5.420096E-1	1.340377E+11	4.280351E-3	1.714423E-2	-2.839775E-3	-1.286388E-2	1.705375E-3	-1.319562E+10	-1.294636E+10	-1.466068E+7	-2.492621E+8	-1.304937E+11
