Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
1.130000E+3	3.387928E-1	2.687650E+10	6.880843E-2	1.318470E+9	1.214739E-1	2.716750E+10	-1.173212E+0	1.262906E+9	1.873007E-1	1.944435E+11	1.301142E-1	1.892886E+11	1.785122E-1	2.216110E+11	1.513696E-1	2.161651E+11	-2.699844E-1	-1.294686E+0	1.242021E+0	1.024702E+0	-8.256112E-2	-2.555803E+10	-2.590460E+10	5.556376E+7	3.465630E+8	-2.148466E+11
1.430000E+3	-3.161944E-1	2.763535E+10	3.671633E-2	1.326433E+9	-1.712697E-1	2.760014E+10	1.150874E-1	1.148497E+9	-2.850101E-1	1.989737E+11	-1.465104E-1	1.921145E+11	-2.698247E-1	2.265738E+11	-1.637939E-1	2.197499E+11	3.529107E-1	2.863571E-1	-7.837103E-2	6.655364E-2	2.005102E-1	-2.630891E+10	-2.645165E+10	1.779364E+8	1.427321E+8	-2.184235E+11
1.730000E+3	-2.259843E-2	2.729520E+10	-1.055248E-1	1.361728E+9	4.979575E-2	2.727344E+10	1.058125E+0	1.064749E+9	9.770946E-2	1.953028E+11	1.639617E-2	1.904503E+11	9.131251E-2	2.225762E+11	1.242430E-2	2.177455E+11	-8.292634E-2	1.008329E+0	-1.163650E+0	-1.091255E+0	-1.179491E-1	-2.593347E+10	-2.620869E+10	2.969792E+8	2.752163E+8	-2.163838E+11
1.780000E+3	-2.582070E-1	2.756817E+10	5.767518E-2	1.321232E+9	-1.632808E-1	2.758834E+10	8.843874E-2	1.150863E+9	-1.024042E-1	1.972222E+11	-2.403858E-2	1.908634E+11	-1.105318E-1	2.248105E+11	-4.789025E-2	2.184316E+11	3.158822E-1	2.517195E-1	-3.076356E-2	6.416270E-2	1.055654E-1	-2.624693E+10	-2.643747E+10	1.703692E+8	1.905401E+8	-2.171103E+11
1.880000E+3	-5.938572E-2	2.733782E+10	1.458052E-1	1.299364E+9	-2.291853E-1	2.768573E+10	-2.355964E-1	1.179640E+9	-9.972060E-2	1.971964E+11	-1.048192E-1	1.916886E+11	-1.170054E-1	2.248822E+11	-1.001915E-1	2.190264E+11	2.051909E-1	-6.411064E-3	3.814016E-1	2.116020E-1	2.459967E-1	-2.603845E+10	-2.650610E+10	1.197247E+8	4.676410E+8	-2.177271E+11
1.980000E+3	2.707255E-1	2.695536E+10	2.125363E-2	1.330270E+9	8.175102E-2	2.722621E+10	-5.933243E-2	1.163986E+9	1.524955E-1	1.947773E+11	2.423861E-1	1.881416E+11	1.430504E-1	2.220035E+11	2.452727E-1	2.150970E+11	-2.494719E-1	-1.410834E-1	8.058606E-2	-1.083884E-1	-2.240191E-1	-2.562509E+10	-2.606222E+10	1.662836E+8	4.371283E+8	-2.137667E+11
2.030000E+3	1.203848E+0	2.587429E+10	9.771789E-2	1.311296E+9	8.292015E-1	2.612157E+10	1.051296E+0	1.065355E+9	9.937958E-1	1.867079E+11	9.614281E-1	1.807960E+11	9.718209E-1	2.128295E+11	9.861202E-1	2.066703E+11	-1.106130E+0	2.220945E-1	-9.535781E-1	-1.328224E+0	-8.884023E-1	-2.456299E+10	-2.505621E+10	2.459413E+8	4.932252E+8	-2.053590E+11
2.055000E+3	1.041870E+0	2.606195E+10	1.172964E-1	1.306438E+9	4.914022E-1	2.662080E+10	2.830601E-1	1.133580E+9	8.513538E-1	1.880742E+11	8.496846E-1	1.819376E+11	8.032967E-1	2.146950E+11	8.692600E-1	2.079995E+11	-9.245733E-1	-2.083420E-1	-1.657637E-1	-7.162312E-1	-7.519636E-1	-2.475551E+10	-2.548722E+10	1.728588E+8	7.317071E+8	-2.066931E+11
2.080000E+3	8.561455E-1	2.627712E+10	3.561275E-1	1.247176E+9	7.337646E-1	2.626261E+10	1.233078E+0	1.049212E+9	7.471507E-1	1.890736E+11	7.286957E-1	1.831736E+11	7.453635E-1	2.153363E+11	7.416773E-1	2.094507E+11	-5.000180E-1	4.993130E-1	-8.769501E-1	-9.993310E-1	-3.855498E-1	-2.502994E+10	-2.521340E+10	1.979643E+8	1.834582E+8	-2.082035E+11
2.105000E+3	8.652601E-1	2.626656E+10	4.841961E-1	1.215398E+9	7.606134E-1	2.622293E+10	2.004829E-1	1.140913E+9	7.160602E-1	1.893719E+11	6.968820E-1	1.834986E+11	7.220085E-1	2.155948E+11	7.140325E-1	2.097651E+11	-3.810640E-1	-5.601306E-1	2.837133E-1	1.790666E-1	-2.298363E-1	-2.505116E+10	-2.508202E+10	7.448489E+7	3.085941E+7	-2.085497E+11
2.130000E+3	1.232315E+0	2.584130E+10	8.017361E-1	1.136605E+9	1.061711E+0	2.577795E+10	6.880275E-1	1.097616E+9	1.095273E+0	1.857346E+11	1.024841E+0	1.801482E+11	1.090792E+0	2.115126E+11	1.045973E+0	2.059895E+11	-4.305793E-1	-3.736837E-1	1.137085E-1	-5.689553E-2	-2.442374E-1	-2.470470E+10	-2.468033E+10	3.898944E+7	-2.436566E+7	-2.048529E+11
2.155000E+3	6.297296E-1	2.653944E+10	8.334523E-1	1.128735E+9	2.642450E-1	2.695651E+10	-3.236896E-1	1.187463E+9	5.034581E-1	1.914110E+11	3.754339E-1	1.867824E+11	4.715208E-1	2.183675E+11	4.013357E-1	2.133219E+11	2.037227E-1	-5.879345E-1	1.157142E+0	7.916573E-1	4.321167E-1	-2.541070E+10	-2.576904E+10	-5.872759E+7	3.583417E+8	-2.121931E+11
