Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
2.791861e+02	2.120258e-02	-2.489548e-03	1.832049e-03	6.008630e+08	1.110564e+08	-1.748344e-03	2.365885e-03	2.757614e+07	1.847730e+06	-2.037243e-03	1.326555e-03	6.104817e+08	1.069072e+08	-2.525301e-03	5.495546e-03	2.701536e+07	2.909137e+06	-2.739840e-03	1.103905e-03	4.671417e+09	1.947875e+08	-2.446765e-03	1.054233e-03	4.715555e+09	2.339136e+08	-2.656558e-03	1.057873e-03	5.281899e+09	2.883061e+08	-2.444637e-03	1.094672e-03	5.316417e+09	3.336033e+08	7.412043e-04	3.471134e-03	-4.880586e-04	5.322928e-03	7.769571e-04	6.373923e-03	1.229263e-03	6.255432e-03	6.962930e-04	2.786625e-03	-5.732868e+08	1.110710e+08	-5.834663e+08	1.067707e+08	5.607799e+05	3.416983e+06	1.017952e+07	1.856153e+07	-5.288842e+09	3.334221e+08
2.795212e+02	2.119007e-02	-2.170384e-03	1.601297e-03	6.056095e+08	1.081531e+08	-1.130853e-03	2.473878e-03	2.804911e+07	1.903663e+06	-2.394344e-03	1.696372e-03	6.078117e+08	1.030176e+08	-1.827052e-03	4.756887e-03	2.755446e+07	3.634944e+06	-2.221628e-03	8.538361e-04	4.721461e+09	1.682726e+08	-2.395939e-03	8.389988e-04	4.725956e+09	1.910879e+08	-2.242635e-03	8.972959e-04	5.329273e+09	2.616905e+08	-2.359975e-03	8.687776e-04	5.331565e+09	2.830588e+08	1.039532e-03	2.816026e-03	5.672923e-04	4.664382e-03	6.961989e-04	5.389397e-03	4.722401e-04	6.043088e-03	1.229123e-03	2.310221e-03	-5.775604e+08	1.080220e+08	-5.802572e+08	1.026365e+08	4.946464e+05	3.584255e+06	2.696763e+06	1.341527e+07	-5.303516e+09	2.828978e+08
2.800013e+02	2.117220e-02	-1.968221e-03	1.817093e-03	6.087106e+08	9.115725e+07	-3.046280e-03	2.387105e-03	2.670451e+07	1.925622e+06	-2.187609e-03	1.710738e-03	6.107719e+08	9.334629e+07	-2.346416e-03	4.510375e-03	2.770204e+07	3.665697e+06	-2.298445e-03	1.427104e-03	4.721965e+09	1.682891e+08	-2.490468e-03	1.422353e-03	4.729962e+09	1.606705e+08	-2.289548e-03	1.434785e-03	5.332737e+09	2.348361e+08	-2.434676e-03	1.433666e-03	5.338673e+09	2.302206e+08	-1.078058e-03	2.838536e-03	-1.588070e-04	4.168381e-03	-6.998640e-04	4.992187e-03	-9.192511e-04	5.567569e-03	-6.116034e-04	2.660518e-03	-5.820061e+08	9.003703e+07	-5.830699e+08	9.520066e+07	-9.975289e+05	4.293851e+06	1.063810e+06	1.858191e+07	-5.311969e+09	2.295728e+08
2.805015e+02	2.115365e-02	-1.557662e-03	1.847239e-03	6.137267e+08	9.945781e+07	-3.201859e-03	4.860054e-03	2.705679e+07	1.920730e+06	-2.100175e-03	1.835092e-03	6.103082e+08	1.017801e+08	-2.605618e-03	4.293286e-03	2.729280e+07	3.723258e+06	-1.564365e-03	1.657783e-03	4.788630e+09	2.213386e+08	-1.856134e-03	1.609814e-03	4.783644e+09	2.195899e+08	-1.625171e-03	1.660519e-03	5.398938e+09	2.956148e+08	-1.824239e-03	1.594239e-03	5.397371e+09	2.977789e+08	-1.644196e-03	4.452885e-03	-5.054432e-04	4.486469e-03	-5.962408e-04	6.089724e-03	-1.138754e-03	5.767953e-03	-1.377619e-03	4.988064e-03	-5.866699e+08	9.989163e+07	-5.830154e+08	1.027720e+08	-2.360085e+05	4.203683e+06	-3.654464e+06	2.160194e+07	-5.370314e+09	2.985736e+08
2.810042e+02	2.113508e-02	-5.410418e-04	2.126657e-03	6.271427e+08	1.056495e+08	-1.500969e-03	4.306099e-03	2.763068e+07	2.533279e+06	-6.602760e-04	2.267616e-03	6.305059e+08	1.104741e+08	-8.143710e-04	6.532593e-03	2.847950e+07	4.040814e+06	-5.983238e-04	1.594496e-03	4.882728e+09	2.510701e+08	-5.693347e-04	2.067742e-03	4.908406e+09	2.990026e+08	-6.073053e-04	1.656816e-03	5.513234e+09	3.462094e+08	-5.761987e-04	2.023914e-03	5.535548e+09	3.947234e+08	-9.599270e-04	5.168069e-03	-1.540958e-04	5.132708e-03	-6.865977e-04	8.866775e-03	-8.058309e-04	8.892513e-03	-9.247704e-04	4.683534e-03	-5.995120e+08	1.056250e+08	-6.020264e+08	1.097917e+08	-8.488200e+05	5.182382e+06	2.514397e+06	1.808398e+07	-5.507918e+09	3.946078e+08
2.814993e+02	2.111686e-02	3.852006e-04	1.677710e-03	6.391199e+08	1.054130e+08	-1.447730e-03	4.825846e-03	2.784541e+07	2.794755e+06	4.160612e-04	1.824938e-03	6.442910e+08	1.068729e+08	-7.804092e-04	4.601882e-03	2.876709e+07	3.405302e+06	6.746382e-04	1.315717e-03	5.009288e+09	1.966523e+08	6.658745e-04	1.263279e-03	5.038523e+09	1.941110e+08	6.434562e-04	1.345444e-03	5.653579e+09	2.905433e+08	6.354740e-04	1.263682e-03	5.677643e+09	2.872705e+08	-1.832932e-03	4.495052e-03	-1.196471e-03	4.323188e-03	-6.673215e-04	4.944491e-03	-6.364604e-04	4.356000e-03	-2.083205e-03	4.856621e-03	-6.112745e+08	1.042380e+08	-6.155239e+08	1.078867e+08	-9.216757e+05	4.517092e+06	4.249442e+06	1.924239e+07	-5.649797e+09	2.862695e+08
2.819995e+02	2.109852e-02	2.750921e-03	2.439539e-03	6.654808e+08	9.767371e+07	4.493538e-03	5.589983e-03	3.104635e+07	2.544040e+06	3.089763e-03	3.223536e-03	6.742879e+08	1.052121e+08	3.292999e-03	3.826057e-03	3.111401e+07	3.185437e+06	3.160155e-03	2.140928e-03	5.245588e+09	1.982757e+08	3.129024e-03	2.310612e-03	5.272093e+09	1.992986e+08	3.153262e-03	2.255196e-03	5.919876e+09	2.645634e+08	3.083164e-03	2.290297e-03	5.937574e+09	2.615642e+08	1.742616e-03	5.591043e-03	2.032357e-04	4.791222e-03	1.200538e-03	6.619690e-03	1.539380e-03	7.091922e-03	1.410373e-03	5.227849e-03	-6.344344e+08	9.722141e+07	-6.431739e+08	1.059158e+08	-6.765536e+04	3.935132e+06	8.739475e+06	2.377724e+07	-5.906527e+09	2.607289e+08
2.825022e+02	2.108016e-02	6.103546e-03	2.468819e-03	7.071927e+08	9.660594e+07	7.579748e-03	5.025114e-03	3.295862e+07	2.995868e+06	6.068351e-03	2.565826e-03	7.125802e+08	1.006581e+08	7.967287e-03	4.749222e-03	3.391165e+07	3.946480e+06	6.127435e-03	2.114075e-03	5.547713e+09	1.733139e+08	6.303672e-03	1.855541e-03	5.599072e+09	1.726713e+08	6.123756e-03	2.156810e-03	6.260293e+09	1.988276e+08	6.282570e-03	1.883651e-03	6.306265e+09	2.047973e+08	1.476201e-03	4.425966e-03	1.898937e-03	4.291980e-03	-3.875404e-04	7.218166e-03	-4.227353e-04	7.021770e-03	1.297177e-03	4.310849e-03	-6.742340e+08	9.665175e+07	-6.786686e+08	1.021231e+08	-9.530335e+05	5.042735e+06	4.434559e+06	1.813937e+07	-6.273306e+09	2.033985e+08
2.830024e+02	2.106197e-02	1.186884e-02	1.830389e-03	7.864151e+08	1.102518e+08	9.168794e-03	6.844525e-03	3.476174e+07	4.356827e+06	1.176839e-02	2.262163e-03	7.877546e+08	1.180332e+08	1.216754e-02	8.138586e-03	3.666093e+07	4.939625e+06	1.145761e-02	2.098363e-03	6.107208e+09	3.008803e+08	1.175260e-02	1.934012e-03	6.170576e+09	2.873567e+08	1.150158e-02	2.033819e-03	6.894963e+09	3.461317e+08	1.176487e-02	1.890669e-03	6.956991e+09	3.376967e+08	-2.700044e-03	5.845985e-03	3.991456e-04	7.404784e-03	-2.998743e-03	7.851066e-03	-3.099189e-03	7.336362e-03	-2.596077e-03	5.915333e-03	-7.516534e+08	1.116418e+08	-7.510936e+08	1.188503e+08	-1.899193e+06	3.183643e+06	-5.597001e+05	2.989655e+07	-6.922229e+09	3.356810e+08
2.835000e+02	2.104393e-02	2.349658e-02	3.855274e-03	9.381207e+08	1.517709e+08	2.498630e-02	5.175380e-03	4.376600e+07	4.190787e+06	2.299767e-02	4.383343e-03	9.374394e+08	1.538498e+08	2.296919e-02	1.026929e-02	4.278948e+07	5.821044e+06	2.356819e-02	4.303393e-03	7.333343e+09	6.548910e+08	2.324596e-02	3.822462e-03	7.341319e+09	6.026987e+08	2.350410e-02	4.297073e-03	8.270783e+09	7.552407e+08	2.327597e-02	3.810850e-03	8.279439e+09	7.048028e+08	1.489713e-03	4.918669e-03	-2.847681e-05	7.016389e-03	2.017099e-03	7.760498e-03	1.518190e-03	7.540756e-03	1.710319e-03	4.467166e-03	-8.943548e+08	1.503292e+08	-8.946497e+08	1.495230e+08	9.765155e+05	3.900954e+06	2.950462e+05	1.601550e+07	-8.235673e+09	7.017190e+08
