Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
2.790810e+02	2.120650e-02	-2.605887e-03	2.007057e-03	5.991520e+08	1.114122e+08	-6.065282e-03	5.948644e-03	2.786633e+07	2.597416e+06	-1.879692e-03	1.413793e-03	6.117960e+08	1.080739e+08	-5.747308e-03	5.281395e-03	2.646282e+07	2.955879e+06	-2.957079e-03	1.304025e-03	4.650974e+09	2.076992e+08	-2.476202e-03	1.180356e-03	4.711511e+09	2.481652e+08	-2.829474e-03	1.194937e-03	5.262770e+09	2.983059e+08	-2.486185e-03	1.213230e-03	5.310663e+09	3.491654e+08	-3.459395e-03	5.702818e-03	-3.867616e-03	6.075878e-03	-3.179740e-04	6.876417e-03	4.082214e-04	6.948707e-03	-3.579097e-03	6.143201e-03	-5.712857e+08	1.108605e+08	-5.853332e+08	1.093902e+08	1.403513e+06	4.641053e+06	1.404752e+07	2.592422e+07	-5.282796e+09	3.488182e+08
2.790860e+02	2.120632e-02	-2.600347e-03	1.996484e-03	5.992335e+08	1.113873e+08	-5.937868e-03	5.847852e-03	2.793336e+07	2.564060e+06	-1.887195e-03	1.404543e-03	6.117334e+08	1.080114e+08	-5.736261e-03	5.213917e-03	2.646768e+07	2.925635e+06	-2.946734e-03	1.293230e-03	4.651947e+09	2.070032e+08	-2.474800e-03	1.173776e-03	4.711703e+09	2.474579e+08	-2.821240e-03	1.187457e-03	5.263681e+09	2.977745e+08	-2.484206e-03	1.207112e-03	5.310937e+09	3.484047e+08	-3.337520e-03	5.631825e-03	-3.849067e-03	5.994092e-03	-2.016062e-04	6.796800e-03	5.115469e-04	6.891291e-03	-3.453661e-03	6.055701e-03	-5.713001e+08	1.108449e+08	-5.852657e+08	1.093038e+08	1.465688e+06	4.599215e+06	1.396563e+07	2.565057e+07	-5.283003e+09	3.480692e+08
2.790910e+02	2.120613e-02	-2.594807e-03	1.986046e-03	5.993149e+08	1.113629e+08	-5.810454e-03	5.748800e-03	2.800040e+07	2.531754e+06	-1.894697e-03	1.395617e-03	6.116708e+08	1.079495e+08	-5.725215e-03	5.147476e-03	2.647253e+07	2.896112e+06	-2.936389e-03	1.282489e-03	4.652921e+09	2.063122e+08	-2.473398e-03	1.167223e-03	4.711896e+09	2.467521e+08	-2.813006e-03	1.180026e-03	5.264592e+09	2.972468e+08	-2.482228e-03	1.201016e-03	5.311211e+09	3.476449e+08	-3.215646e-03	5.563304e-03	-3.830518e-03	5.913034e-03	-8.523840e-05	6.720344e-03	6.148723e-04	6.836504e-03	-3.328225e-03	5.970226e-03	-5.713145e+08	1.108299e+08	-5.851983e+08	1.092180e+08	1.527864e+06	4.558541e+06	1.388375e+07	2.537803e+07	-5.283210e+09	3.473210e+08
2.790960e+02	2.120594e-02	-2.589267e-03	1.975743e-03	5.993964e+08	1.113392e+08	-5.683039e-03	5.651580e-03	2.806743e+07	2.500536e+06	-1.902199e-03	1.387022e-03	6.116082e+08	1.078880e+08	-5.714168e-03	5.082113e-03	2.647739e+07	2.867334e+06	-2.926044e-03	1.271804e-03	4.653894e+09	2.056262e+08	-2.471997e-03	1.160699e-03	4.712088e+09	2.460477e+08	-2.804772e-03	1.172646e-03	5.265502e+09	2.967228e+08	-2.480249e-03	1.194944e-03	5.311485e+09	3.468860e+08	-3.093771e-03	5.497346e-03	-3.811969e-03	5.832734e-03	3.112939e-05	6.647157e-03	7.181977e-04	6.784410e-03	-3.202789e-03	5.886862e-03	-5.713290e+08	1.108155e+08	-5.851309e+08	1.091326e+08	1.590039e+06	4.519063e+06	1.380187e+07	2.510663e+07	-5.283417e+09	3.465738e+08
2.791010e+02	2.120576e-02	-2.583728e-03	1.965580e-03	5.994779e+08	1.113160e+08	-5.555625e-03	5.556289e-03	2.813446e+07	2.470449e+06	-1.909702e-03	1.378762e-03	6.115456e+08	1.078270e+08	-5.703121e-03	5.017869e-03	2.648224e+07	2.839322e+06	-2.915700e-03	1.261177e-03	4.654868e+09	2.049452e+08	-2.470595e-03	1.154204e-03	4.712281e+09	2.453447e+08	-2.796538e-03	1.165317e-03	5.266413e+09	2.962025e+08	-2.478271e-03	1.188896e-03	5.311759e+09	3.461281e+08	-2.971897e-03	5.434046e-03	-3.793420e-03	5.753226e-03	1.474972e-04	6.577350e-03	8.215231e-04	6.735072e-03	-3.077353e-03	5.805701e-03	-5.713434e+08	1.108016e+08	-5.850634e+08	1.090476e+08	1.652215e+06	4.480812e+06	1.371998e+07	2.483642e+07	-5.283624e+09	3.458275e+08
2.791060e+02	2.120557e-02	-2.578188e-03	1.955556e-03	5.995594e+08	1.112933e+08	-5.428210e-03	5.463028e-03	2.820149e+07	2.441535e+06	-1.917204e-03	1.370844e-03	6.114831e+08	1.077665e+08	-5.692075e-03	4.954788e-03	2.648710e+07	2.812101e+06	-2.905355e-03	1.250608e-03	4.655841e+09	2.042694e+08	-2.469193e-03	1.147738e-03	4.712474e+09	2.446433e+08	-2.788304e-03	1.158039e-03	5.267324e+09	2.956859e+08	-2.476292e-03	1.182871e-03	5.312033e+09	3.453711e+08	-2.850022e-03	5.373496e-03	-3.774871e-03	5.674541e-03	2.638650e-04	6.511030e-03	9.248486e-04	6.688551e-03	-2.951917e-03	5.726836e-03	-5.713579e+08	1.107883e+08	-5.849960e+08	1.089632e+08	1.714390e+06	4.443820e+06	1.363810e+07	2.456742e+07	-5.283831e+09	3.450822e+08
2.791110e+02	2.120538e-02	-2.572648e-03	1.945675e-03	5.996408e+08	1.112713e+08	-5.300796e-03	5.371901e-03	2.826852e+07	2.413835e+06	-1.924707e-03	1.363274e-03	6.114205e+08	1.077065e+08	-5.681028e-03	4.892916e-03	2.649196e+07	2.785692e+06	-2.895010e-03	1.240099e-03	4.656815e+09	2.035987e+08	-2.467791e-03	1.141302e-03	4.712666e+09	2.439433e+08	-2.780070e-03	1.150815e-03	5.268235e+09	2.951730e+08	-2.474314e-03	1.176872e-03	5.312307e+09	3.446151e+08	-2.728148e-03	5.315792e-03	-3.756322e-03	5.596714e-03	3.802328e-04	6.448306e-03	1.028174e-03	6.644906e-03	-2.826481e-03	5.650365e-03	-5.713723e+08	1.107756e+08	-5.849285e+08	1.088793e+08	1.776566e+06	4.408119e+06	1.355621e+07	2.429968e+07	-5.284038e+09	3.443377e+08
2.791160e+02	2.120520e-02	-2.567108e-03	1.935940e-03	5.997223e+08	1.112499e+08	-5.173382e-03	5.283020e-03	2.833556e+07	2.387392e+06	-1.932209e-03	1.356059e-03	6.113579e+08	1.076470e+08	-5.669982e-03	4.832298e-03	2.649681e+07	2.760119e+06	-2.884666e-03	1.229651e-03	4.657788e+09	2.029332e+08	-2.466390e-03	1.134896e-03	4.712859e+09	2.432449e+08	-2.771836e-03	1.143645e-03	5.269146e+09	2.946638e+08	-2.472336e-03	1.170897e-03	5.312581e+09	3.438601e+08	-2.606274e-03	5.261026e-03	-3.737773e-03	5.519782e-03	4.966005e-04	6.389283e-03	1.131499e-03	6.604194e-03	-2.701045e-03	5.576384e-03	-5.713868e+08	1.107634e+08	-5.848611e+08	1.087958e+08	1.838742e+06	4.373739e+06	1.347433e+07	2.403324e+07	-5.284245e+09	3.435942e+08
2.791210e+02	2.120501e-02	-2.561568e-03	1.926351e-03	5.998038e+08	1.112290e+08	-5.045967e-03	5.196500e-03	2.840259e+07	2.362247e+06	-1.939711e-03	1.349203e-03	6.112953e+08	1.075880e+08	-5.658935e-03	4.772983e-03	2.650167e+07	2.735406e+06	-2.874321e-03	1.219267e-03	4.658762e+09	2.022729e+08	-2.464988e-03	1.128520e-03	4.713051e+09	2.425479e+08	-2.763601e-03	1.136529e-03	5.270057e+09	2.941585e+08	-2.470357e-03	1.164947e-03	5.312855e+09	3.431060e+08	-2.484399e-03	5.209292e-03	-3.719224e-03	5.443783e-03	6.129683e-04	6.334064e-03	1.234825e-03	6.566469e-03	-2.575609e-03	5.504994e-03	-5.714012e+08	1.107519e+08	-5.847936e+08	1.087128e+08	1.900917e+06	4.340714e+06	1.339244e+07	2.376815e+07	-5.284452e+09	3.428517e+08
2.791260e+02	2.120482e-02	-2.556028e-03	1.916911e-03	5.998853e+08	1.112087e+08	-4.918553e-03	5.112460e-03	2.846962e+07	2.338444e+06	-1.947214e-03	1.342712e-03	6.112327e+08	1.075295e+08	-5.647888e-03	4.715019e-03	2.650653e+07	2.711576e+06	-2.863976e-03	1.208948e-03	4.659735e+09	2.016180e+08	-2.463586e-03	1.122176e-03	4.713244e+09	2.418525e+08	-2.755367e-03	1.129470e-03	5.270968e+09	2.936569e+08	-2.468379e-03	1.159023e-03	5.313129e+09	3.423529e+08	-2.362525e-03	5.160680e-03	-3.700675e-03	5.368757e-03	7.293361e-04	6.282751e-03	1.338150e-03	6.531784e-03	-2.450174e-03	5.436298e-03	-5.714156e+08	1.107409e+08	-5.847262e+08	1.086303e+08	1.963093e+06	4.309073e+06	1.331056e+07	2.350446e+07	-5.284659e+09	3.421100e+08
