Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
2.791861e+02	2.120258e-02	-2.489548e-03	1.832049e-03	6.008630e+08	1.110564e+08	-3.260622e-03	5.355593e-03	2.612621e+07	3.660588e+06	-2.037243e-03	1.326555e-03	6.104817e+08	1.069072e+08	-4.475949e-03	4.720269e-03	2.577320e+07	3.460826e+06	-2.739840e-03	1.103905e-03	4.671417e+09	1.947875e+08	-2.446765e-03	1.054233e-03	4.715555e+09	2.339136e+08	-2.656558e-03	1.057873e-03	5.281899e+09	2.883061e+08	-2.444637e-03	1.094672e-03	5.316417e+09	3.336033e+08	-7.710736e-04	5.756652e-03	-2.438706e-03	4.214658e-03	1.215327e-03	7.414147e-03	1.667634e-03	8.230854e-03	-8.159846e-04	5.246684e-03	-5.747368e+08	1.113435e+08	-5.847085e+08	1.043265e+08	3.530047e+05	4.793566e+06	9.971747e+06	1.962676e+07	-5.290291e+09	3.327957e+08
2.795212e+02	2.119007e-02	-2.170384e-03	1.601297e-03	6.056095e+08	1.081531e+08	-3.609768e-03	6.807265e-03	2.612062e+07	2.323471e+06	-2.394344e-03	1.696372e-03	6.078117e+08	1.030176e+08	-3.663860e-03	6.193805e-03	2.604388e+07	3.906795e+06	-2.221628e-03	8.538361e-04	4.721461e+09	1.682726e+08	-2.395939e-03	8.389988e-04	4.725956e+09	1.910879e+08	-2.242635e-03	8.972959e-04	5.329273e+09	2.616905e+08	-2.359975e-03	8.687776e-04	5.331565e+09	2.830588e+08	-1.439385e-03	7.882215e-03	-1.269516e-03	6.715698e-03	5.409157e-05	8.270626e-03	-1.698671e-04	8.643483e-03	-1.249793e-03	7.290166e-03	-5.794889e+08	1.097024e+08	-5.817678e+08	1.007963e+08	7.673190e+04	4.979922e+06	2.278849e+06	1.579074e+07	-5.305445e+09	2.845837e+08
2.800013e+02	2.117220e-02	-1.968221e-03	1.817093e-03	6.087106e+08	9.115725e+07	-2.423264e-03	4.204468e-03	2.685157e+07	2.070190e+06	-2.187609e-03	1.710738e-03	6.107719e+08	9.334629e+07	-4.056424e-03	6.368168e-03	2.651200e+07	3.741621e+06	-2.298445e-03	1.427104e-03	4.721965e+09	1.682891e+08	-2.490468e-03	1.422353e-03	4.729962e+09	1.606705e+08	-2.289548e-03	1.434785e-03	5.332737e+09	2.348361e+08	-2.434676e-03	1.433666e-03	5.338673e+09	2.302206e+08	-4.550435e-04	4.194396e-03	-1.868815e-03	5.397577e-03	1.633158e-03	7.568977e-03	1.413771e-03	7.293094e-03	1.141115e-05	4.257970e-03	-5.818590e+08	9.191300e+07	-5.842600e+08	9.146038e+07	3.395729e+05	4.640518e+06	2.400912e+06	1.664361e+07	-5.311822e+09	2.307710e+08
2.805015e+02	2.115365e-02	-1.557662e-03	1.847239e-03	6.137267e+08	9.945781e+07	-2.166120e-03	5.673694e-03	2.696148e+07	4.169096e+06	-2.100175e-03	1.835092e-03	6.103082e+08	1.017801e+08	-2.800645e-03	6.665115e-03	2.748326e+07	3.471446e+06	-1.564365e-03	1.657783e-03	4.788630e+09	2.213386e+08	-1.856134e-03	1.609814e-03	4.783644e+09	2.195899e+08	-1.625171e-03	1.660519e-03	5.398938e+09	2.956148e+08	-1.824239e-03	1.594239e-03	5.397371e+09	2.977789e+08	-6.084582e-04	4.677149e-03	-7.004708e-04	6.367969e-03	6.345252e-04	9.878682e-03	9.201245e-05	9.266466e-03	-3.418800e-04	5.529087e-03	-5.867652e+08	9.827758e+07	-5.828250e+08	1.027117e+08	-5.217716e+05	6.609875e+06	-3.940226e+06	1.938972e+07	-5.370409e+09	2.965378e+08
2.810042e+02	2.113508e-02	-5.410418e-04	2.126657e-03	6.271427e+08	1.056495e+08	5.736608e-05	5.401707e-03	2.818133e+07	3.869617e+06	-6.602760e-04	2.267616e-03	6.305059e+08	1.104741e+08	7.262677e-04	5.910095e-03	2.922332e+07	3.833530e+06	-5.983238e-04	1.594496e-03	4.882728e+09	2.510701e+08	-5.693347e-04	2.067742e-03	4.908406e+09	2.990026e+08	-6.073053e-04	1.656816e-03	5.513234e+09	3.462094e+08	-5.761987e-04	2.023914e-03	5.535548e+09	3.947234e+08	5.984076e-04	4.090756e-03	1.386544e-03	4.618324e-03	-6.689021e-04	4.945112e-03	-7.881354e-04	5.173922e-03	6.335647e-04	4.032567e-03	-5.989614e+08	1.031322e+08	-6.012826e+08	1.085838e+08	-1.041988e+06	3.320147e+06	2.321228e+06	1.761281e+07	-5.507367e+09	3.917990e+08
2.814993e+02	2.111686e-02	3.852006e-04	1.677710e-03	6.391199e+08	1.054130e+08	9.041093e-04	5.973574e-03	2.889119e+07	4.352376e+06	4.160612e-04	1.824938e-03	6.442910e+08	1.068729e+08	6.507525e-03	6.265538e-03	3.237846e+07	4.618469e+06	6.746382e-04	1.315717e-03	5.009288e+09	1.966523e+08	6.658745e-04	1.263279e-03	5.038523e+09	1.941110e+08	6.434562e-04	1.345444e-03	5.653579e+09	2.905433e+08	6.354740e-04	1.263682e-03	5.677643e+09	2.872705e+08	5.189089e-04	5.588706e-03	6.091463e-03	5.666515e-03	-5.603414e-03	8.203775e-03	-5.572552e-03	8.088187e-03	2.686356e-04	5.433757e-03	-6.102287e+08	1.040001e+08	-6.119126e+08	1.060642e+08	-3.487269e+06	5.790020e+06	1.683849e+06	2.034081e+07	-5.648752e+09	2.853932e+08
2.819995e+02	2.109852e-02	2.750921e-03	2.439539e-03	6.654808e+08	9.767371e+07	4.634874e-03	4.488028e-03	3.086761e+07	2.700358e+06	3.089763e-03	3.223536e-03	6.742879e+08	1.052121e+08	3.122012e-03	6.508905e-03	3.061992e+07	4.014200e+06	3.160155e-03	2.140928e-03	5.245588e+09	1.982757e+08	3.129024e-03	2.310612e-03	5.272093e+09	1.992986e+08	3.153262e-03	2.255196e-03	5.919876e+09	2.645634e+08	3.083164e-03	2.290297e-03	5.937574e+09	2.615642e+08	1.883952e-03	4.261088e-03	3.225004e-05	5.143624e-03	1.512861e-03	7.302652e-03	1.851703e-03	6.776183e-03	1.551710e-03	4.728682e-03	-6.346131e+08	9.798266e+07	-6.436680e+08	1.063217e+08	2.476955e+05	5.151164e+06	9.054826e+06	2.171444e+07	-5.906706e+09	2.620349e+08
2.825022e+02	2.108016e-02	6.103546e-03	2.468819e-03	7.071927e+08	9.660594e+07	5.998710e-03	4.663528e-03	3.176393e+07	3.172089e+06	6.068351e-03	2.565826e-03	7.125802e+08	1.006581e+08	6.073513e-03	6.181961e-03	3.188997e+07	3.027164e+06	6.127435e-03	2.114075e-03	5.547713e+09	1.733139e+08	6.303672e-03	1.855541e-03	5.599072e+09	1.726713e+08	6.123756e-03	2.156810e-03	6.260293e+09	1.988276e+08	6.282570e-03	1.883651e-03	6.306265e+09	2.047973e+08	-1.048354e-04	5.306955e-03	5.161758e-06	4.769860e-03	-7.480265e-05	6.879146e-03	-1.099969e-04	7.451060e-03	-2.838598e-04	4.669762e-03	-6.754287e+08	9.789168e+07	-6.806903e+08	1.011580e+08	-1.260336e+05	4.284181e+06	5.261559e+06	1.937029e+07	-6.274501e+09	2.044383e+08
2.830024e+02	2.106197e-02	1.186884e-02	1.830389e-03	7.864151e+08	1.102518e+08	1.077760e-02	6.433203e-03	3.428722e+07	2.993958e+06	1.176839e-02	2.262163e-03	7.877546e+08	1.180332e+08	1.567397e-02	4.968948e-03	3.780398e+07	2.874107e+06	1.145761e-02	2.098363e-03	6.107208e+09	3.008803e+08	1.175260e-02	1.934012e-03	6.170576e+09	2.873567e+08	1.150158e-02	2.033819e-03	6.894963e+09	3.461317e+08	1.176487e-02	1.890669e-03	6.956991e+09	3.376967e+08	-1.091239e-03	7.337477e-03	3.905578e-03	4.691012e-03	-4.896370e-03	9.124754e-03	-4.996817e-03	9.604712e-03	-9.872724e-04	7.431819e-03	-7.521279e+08	1.088857e+08	-7.499506e+08	1.188562e+08	-3.516755e+06	4.228430e+06	-2.177262e+06	3.114055e+07	-6.922704e+09	3.364481e+08
2.835000e+02	2.104393e-02	2.349658e-02	3.855274e-03	9.381207e+08	1.517709e+08	2.396279e-02	8.073706e-03	4.223264e+07	5.742106e+06	2.299767e-02	4.383343e-03	9.374394e+08	1.538498e+08	2.491157e-02	9.527676e-03	4.314657e+07	4.598467e+06	2.356819e-02	4.303393e-03	7.333343e+09	6.548910e+08	2.324596e-02	3.822462e-03	7.341319e+09	6.026987e+08	2.350410e-02	4.297073e-03	8.270783e+09	7.552407e+08	2.327597e-02	3.810850e-03	8.279439e+09	7.048028e+08	4.662111e-04	7.174175e-03	1.913897e-03	8.777853e-03	-9.487768e-04	1.426694e-02	-1.447686e-03	1.447160e-02	6.868178e-04	6.944517e-03	-8.958882e+08	1.483607e+08	-8.942927e+08	1.525901e+08	-9.139263e+05	6.543696e+06	-1.595396e+06	1.637820e+07	-8.237207e+09	6.999254e+08
