Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
2.790060E+2	4.922151E-4	7.696792E+8	2.416544E-3	3.468023E+7	1.089969E-3	7.730876E+8	5.864087E-3	3.215806E+7	-4.078807E-4	5.179450E+9	-4.324984E-4	5.219993E+9	-2.196381E-4	5.952538E+9	-3.168684E-4	5.989672E+9	1.924329E-3	4.774117E-3	-3.447542E-3	-2.849788E-3	2.733413E-3	-7.349990E+8	-7.409295E+8	2.522169E+6	5.930565E+6	-5.954992E+9
2.795020E+2	-3.148439E-4	7.597129E+8	-1.117875E-2	2.776494E+7	6.616261E-4	7.678096E+8	4.672286E-3	3.155106E+7	-1.759852E-3	5.063554E+9	-1.380728E-3	5.138058E+9	-1.455532E-3	5.831363E+9	-1.247445E-3	5.897771E+9	-1.086391E-2	4.010660E-3	-1.585104E-2	-1.487457E-2	-9.931310E-3	-7.319480E+8	-7.362585E+8	-3.786120E+6	4.310574E+6	-5.870006E+9
2.800000E+2	-3.836490E-3	7.162244E+8	-5.345105E-3	3.073224E+7	-2.859536E-3	7.244221E+8	-4.324119E-3	2.696909E+7	-2.233957E-3	5.022912E+9	-2.674234E-3	5.026290E+9	-2.312576E-3	5.747334E+9	-2.819567E-3	5.742514E+9	-1.508616E-3	-1.464583E-3	-1.020986E-3	-4.403229E-5	-2.525538E-3	-6.854921E+8	-6.974530E+8	3.763158E+6	1.196089E+7	-5.711782E+9
2.805030E+2	1.309725E-3	7.797746E+8	-1.049974E-2	2.811032E+7	-2.314153E-3	7.311423E+8	-1.588147E-2	2.108279E+7	7.663731E-5	5.220985E+9	-1.705368E-3	5.110007E+9	-2.238258E-4	5.952127E+9	-1.328348E-3	5.889782E+9	-1.180946E-2	-1.356732E-2	5.381732E-3	1.757854E-3	-9.171390E-3	-7.516643E+8	-7.100595E+8	7.027535E+6	-4.160479E+7	-5.861671E+9
2.810020E+2	3.891875E-3	8.116613E+8	-2.319939E-4	3.333304E+7	5.450732E-3	8.268206E+8	4.726416E-3	3.157863E+7	3.541099E-3	5.517972E+9	5.546916E-3	5.736660E+9	3.781092E-3	6.344792E+9	5.339963E-3	6.548321E+9	-4.123868E-3	-7.243164E-4	-4.958410E-3	-3.399552E-3	-5.571957E-3	-7.783283E+8	-7.952420E+8	1.754412E+6	1.691367E+7	-6.514988E+9
2.815020E+2	-1.562015E-3	7.443117E+8	4.644539E-3	3.581350E+7	-4.574210E-4	7.540208E+8	8.430418E-3	3.346512E+7	-9.782232E-4	5.130558E+9	-7.327949E-4	5.194045E+9	-9.127713E-4	5.884579E+9	-8.364840E-4	5.938357E+9	6.206555E-3	8.887839E-3	-3.785878E-3	-2.681284E-3	5.481023E-3	-7.084982E+8	-7.205557E+8	2.348382E+6	1.205748E+7	-5.902543E+9
2.820040E+2	-2.226388E-3	7.361074E+8	-4.302108E-3	3.126277E+7	-3.938211E-3	7.111307E+8	-1.684628E-3	2.831341E+7	-6.245163E-4	5.160879E+9	-2.257607E-3	5.062289E+9	-1.040966E-3	5.872010E+9	-2.253703E-3	5.798397E+9	-2.075720E-3	2.253583E-3	-2.617480E-3	-4.329303E-3	-2.048405E-3	-7.048446E+8	-6.828173E+8	2.949357E+6	-2.202729E+7	-5.767134E+9
2.825040E+2	2.245921E-3	7.913356E+8	2.449662E-2	4.591132E+7	2.366993E-3	7.888230E+8	-1.802988E-3	2.825313E+7	2.386693E-3	5.419012E+9	3.636314E-3	5.571569E+9	2.384217E-3	6.207835E+9	3.462454E-3	6.362905E+9	2.225070E-2	-4.169981E-3	2.629960E-2	2.642068E-2	2.103416E-2	-7.454243E+8	-7.605699E+8	1.765819E+7	1.514560E+7	-6.316993E+9
2.830020E+2	1.331675E-2	9.280484E+8	-1.080600E-3	3.290140E+7	1.390150E-2	9.309504E+8	1.789437E-2	3.828522E+7	1.295897E-2	6.325308E+9	1.331039E-2	6.407484E+9	1.307742E-2	7.256258E+9	1.331119E-2	7.335532E+9	-1.439734E-2	3.992864E-3	-1.897497E-2	-1.839021E-2	-1.439179E-2	-8.951470E+8	-8.926652E+8	-5.383827E+6	-2.481815E+6	-7.302631E+9
2.835020E+2	2.988580E-2	1.132658E+9	2.570273E-2	4.652481E+7	2.939308E-2	1.121837E+9	3.767811E-2	4.836132E+7	2.934190E-2	7.729717E+9	2.831613E-2	7.704093E+9	2.934834E-2	8.851553E+9	2.851240E-2	8.836752E+9	-4.183071E-3	8.285026E-3	-1.197538E-2	-1.246810E-2	-2.809672E-3	-1.086134E+9	-1.073475E+9	-1.836505E+6	-1.265844E+7	-8.790227E+9
2.840030E+2	5.400511E-2	1.430506E+9	5.868542E-2	6.330155E+7	5.049594E-2	1.381864E+9	4.732297E-2	5.327356E+7	5.468712E-2	9.902407E+9	5.213745E-2	9.762438E+9	5.416039E-2	1.128427E+10	5.237099E-2	1.119294E+10	4.680315E-3	-3.172977E-3	1.136246E-2	7.853292E-3	6.314435E-3	-1.367204E+9	-1.328591E+9	1.002799E+7	-3.861358E+7	-1.112964E+10
