Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
2.791257e+02	9.271472e-04	-3.219335e-03	1.426662e-03	4.460269e+08	1.651040e+07	-6.109894e-03	4.027777e-03	1.912826e+07	1.827187e+06	-3.575352e-03	1.088663e-03	4.404501e+08	2.002788e+07	-3.152859e-03	4.118852e-03	2.064113e+07	2.757910e+06	-3.435141e-03	6.397446e-04	3.441505e+09	1.773210e+08	-3.253360e-03	4.963433e-04	3.463801e+09	1.782991e+08	-3.451322e-03	6.574118e-04	3.881955e+09	1.918187e+08	-3.248707e-03	4.834937e-04	3.909828e+09	1.895766e+08	-2.890560e-03	3.765534e-03	4.224938e-04	4.072483e-03	-2.957036e-03	5.611773e-03	-3.313053e-03	5.495520e-03	-2.861187e-03	3.936871e-03	-4.268987e+08	1.662527e+07	-4.198089e+08	1.873524e+07	-1.512869e+06	3.428857e+06	-7.089742e+06	1.245752e+07	-3.890700e+09	1.891282e+08
2.795008e+02	9.277174e-04	-2.805096e-03	1.465778e-03	4.506902e+08	2.101592e+07	-3.221914e-03	5.399047e-03	2.051745e+07	3.168060e+06	-3.096354e-03	8.129568e-04	4.455967e+08	2.330072e+07	-2.050850e-03	4.163977e-03	2.120940e+07	3.763213e+06	-2.987144e-03	6.058645e-04	3.477339e+09	1.860746e+08	-2.886420e-03	6.739947e-04	3.495266e+09	1.716817e+08	-2.999913e-03	5.656989e-04	3.922935e+09	2.038444e+08	-2.876136e-03	6.791214e-04	3.945956e+09	1.865622e+08	-4.168188e-04	5.068614e-03	1.045504e-03	4.330441e-03	-1.171064e-03	7.296936e-03	-1.462322e-03	7.101050e-03	-3.457788e-04	5.582911e-03	-4.301727e+08	1.934573e+07	-4.243874e+08	2.243138e+07	-6.919491e+05	4.427752e+06	-5.785398e+06	1.476893e+07	-3.925438e+09	1.842332e+08
2.800010e+02	9.289145e-04	-2.244255e-03	1.023832e-03	4.575673e+08	2.173478e+07	-1.864667e-03	4.966951e-03	2.134502e+07	4.010058e+06	-2.291200e-03	9.569343e-04	4.542970e+08	2.218526e+07	-4.393591e-04	3.028653e-03	2.200543e+07	3.271510e+06	-2.254745e-03	6.155864e-04	3.537296e+09	1.973532e+08	-2.373598e-03	4.321450e-04	3.536689e+09	1.890720e+08	-2.260204e-03	5.778106e-04	3.991593e+09	2.160658e+08	-2.358467e-03	3.598805e-04	3.994256e+09	2.069497e+08	3.795880e-04	4.450502e-03	1.851841e-03	3.109965e-03	-1.425307e-03	7.476621e-03	-1.472253e-03	7.060822e-03	4.938003e-04	4.992308e-03	-4.362223e+08	1.933947e+07	-4.322916e+08	2.072308e+07	-6.604123e+05	5.766402e+06	-3.930675e+06	1.478549e+07	-3.972911e+09	2.038268e+08
2.805036e+02	9.306443e-04	-2.215134e-03	9.525128e-04	4.580186e+08	2.273142e+07	-3.806309e-03	6.329793e-03	2.050625e+07	3.525451e+06	-1.353983e-03	1.120886e-03	4.635225e+08	1.483942e+07	-1.806265e-03	4.005439e-03	2.145576e+07	3.145615e+06	-1.292795e-03	4.959148e-04	3.614356e+09	1.887940e+08	-1.299102e-03	4.648866e-04	3.620729e+09	1.698200e+08	-1.299063e-03	5.263879e-04	4.077879e+09	1.977796e+08	-1.403491e-03	4.144930e-04	4.078748e+09	1.900082e+08	-1.591175e-03	5.951368e-03	-4.522816e-04	4.651835e-03	-2.000043e-03	6.296878e-03	-1.138894e-03	6.873133e-03	-2.402818e-03	6.286948e-03	-4.375124e+08	2.234887e+07	-4.420667e+08	1.496945e+07	-9.495168e+05	4.151248e+06	4.554319e+06	1.947543e+07	-4.058242e+09	1.889877e+08
2.810038e+02	9.328857e-04	3.239644e-04	1.171365e-03	4.844783e+08	2.761417e+07	1.404786e-03	6.239617e-03	2.292698e+07	4.580113e+06	-2.316955e-04	1.033491e-03	4.754980e+08	2.115778e+07	-4.074980e-03	3.909447e-03	2.040155e+07	2.324580e+06	2.513159e-05	3.559636e-04	3.722039e+09	2.129115e+08	-1.846138e-04	5.405230e-04	3.712355e+09	2.043376e+08	-3.743196e-06	2.989167e-04	4.197537e+09	2.267517e+08	-1.276727e-04	5.770329e-04	4.196834e+09	2.308447e+08	1.080822e-03	6.276168e-03	-3.843285e-03	4.220384e-03	5.479766e-03	6.335079e-03	4.924106e-03	7.075215e-03	1.532458e-03	6.313354e-03	-4.615513e+08	2.506580e+07	-4.550964e+08	2.027535e+07	2.525436e+06	3.810609e+06	-6.454892e+06	2.286106e+07	-4.173907e+09	2.277377e+08
2.815014e+02	9.356273e-04	1.900681e-03	1.343597e-03	5.009853e+08	3.282059e+07	2.871679e-04	5.041763e-03	2.213867e+07	3.585765e+06	2.014866e-03	1.006196e-03	4.989899e+08	2.202934e+07	2.302109e-03	2.919979e-03	2.345138e+07	2.492312e+06	1.491733e-03	6.917779e-04	3.844535e+09	2.475151e+08	1.462678e-03	5.325319e-04	3.847592e+09	2.218622e+08	1.551723e-03	6.753167e-04	4.343525e+09	2.669204e+08	1.510724e-03	5.635543e-04	4.348577e+09	2.535053e+08	-1.613513e-03	5.178635e-03	2.872432e-04	2.569200e-03	-2.014942e-03	4.998652e-03	-1.900757e-03	5.463271e-03	-1.223557e-03	4.946056e-03	-4.788467e+08	3.143219e+07	-4.755385e+08	2.085027e+07	-1.312713e+06	2.952484e+06	-3.308192e+06	2.001507e+07	-4.326438e+09	2.521752e+08
2.820016e+02	9.388930e-04	3.677592e-03	1.792562e-03	5.192866e+08	3.272244e+07	2.589624e-03	6.770659e-03	2.307749e+07	3.378597e+06	4.088688e-03	1.317028e-03	5.197356e+08	1.921109e+07	5.785484e-03	3.420197e-03	2.495530e+07	2.235928e+06	3.734426e-03	6.280051e-04	4.024592e+09	2.561080e+08	3.811723e-03	5.025866e-04	4.035199e+09	2.003484e+08	3.775212e-03	5.419160e-04	4.544328e+09	2.690852e+08	3.795259e-03	5.008492e-04	4.554485e+09	2.271874e+08	-1.087967e-03	6.228744e-03	1.696796e-03	3.396607e-03	-3.195859e-03	6.898632e-03	-2.784763e-03	6.499553e-03	-1.205634e-03	6.599676e-03	-4.962091e+08	3.116641e+07	-4.947803e+08	1.850694e+07	-1.877810e+06	2.281911e+06	-1.428840e+06	2.548603e+07	-4.531408e+09	2.260199e+08
2.825018e+02	9.426645e-04	6.398408e-03	2.213527e-03	5.462882e+08	2.892093e+07	1.178409e-02	5.907925e-03	2.756562e+07	3.882442e+06	6.136112e-03	9.325467e-04	5.414877e+08	2.156909e+07	4.218712e-03	4.874931e-03	2.432071e+07	2.557124e+06	6.585610e-03	5.949343e-04	4.249142e+09	2.481833e+08	6.584717e-03	9.447878e-04	4.258291e+09	2.239636e+08	6.533955e-03	5.792077e-04	4.790630e+09	2.658901e+08	6.564986e-03	8.573006e-04	4.804579e+09	2.396982e+08	5.385679e-03	4.985765e-03	-1.917401e-03	5.111318e-03	7.565375e-03	9.856878e-03	7.303080e-03	8.950879e-03	5.219102e-03	5.763497e-03	-5.187226e+08	2.636563e+07	-5.171671e+08	2.026337e+07	3.244905e+06	4.317697e+06	-1.555570e+06	1.770326e+07	-4.777014e+09	2.374782e+08
2.830019e+02	9.469358e-04	1.230016e-02	1.526385e-03	6.085621e+08	3.322215e+07	1.202838e-02	8.532922e-03	2.755057e+07	3.882063e+06	1.114418e-02	1.883943e-03	5.940363e+08	3.025267e+07	8.690070e-03	9.278866e-03	2.651382e+07	3.813318e+06	1.246944e-02	1.168361e-03	4.724931e+09	2.904455e+08	1.231898e-02	1.640104e-03	4.725043e+09	2.808914e+08	1.231671e-02	1.139935e-03	5.318968e+09	3.169312e+08	1.231631e-02	1.576731e-03	5.333605e+09	3.117521e+08	-2.717798e-04	8.318113e-03	-2.454109e-03	8.488406e-03	3.338306e-03	1.322271e-02	2.182329e-03	1.237163e-02	-2.879275e-04	7.705584e-03	-5.810115e+08	3.151341e+07	-5.675225e+08	2.828168e+07	1.036747e+06	4.837141e+06	-1.348894e+07	1.576753e+07	-5.306055e+09	3.092495e+08
2.834996e+02	9.516756e-04	2.435566e-02	2.462155e-03	7.337758e+08	5.054613e+07	2.556081e-02	8.472092e-03	3.397509e+07	3.630874e+06	2.331323e-02	3.391506e-03	7.215855e+08	5.746970e+07	2.236385e-02	1.239046e-02	3.321528e+07	5.818145e+06	2.423772e-02	2.708352e-03	5.679649e+09	4.776098e+08	2.416271e-02	2.186879e-03	5.695798e+09	4.543458e+08	2.413211e-02	2.666492e-03	6.401234e+09	5.294587e+08	2.418474e-02	2.178120e-03	6.429574e+09	5.026817e+08	1.205153e-03	7.251263e-03	-9.493836e-04	9.581112e-03	3.196959e-03	1.511627e-02	2.154536e-03	1.274642e-02	1.376071e-03	7.741654e-03	-6.998007e+08	4.801281e+07	-6.883702e+08	5.285245e+07	7.598037e+05	6.033704e+06	-1.143050e+07	2.464762e+07	-6.395599e+09	5.003484e+08
