Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
2.791257e+02	9.271472e-04	-3.219335e-03	1.426662e-03	4.460269e+08	1.651040e+07	-1.416099e-04	5.160724e-03	2.184110e+07	4.946145e+06	-3.575352e-03	1.088663e-03	4.404501e+08	2.002788e+07	-1.476666e-03	6.401462e-03	2.151678e+07	3.960244e+06	-3.435141e-03	6.397446e-04	3.441505e+09	1.773210e+08	-3.253360e-03	4.963433e-04	3.463801e+09	1.782991e+08	-3.451322e-03	6.574118e-04	3.881955e+09	1.918187e+08	-3.248707e-03	4.834937e-04	3.909828e+09	1.895766e+08	3.077725e-03	5.781781e-03	2.098686e-03	6.820698e-03	1.335056e-03	5.164597e-03	9.790379e-04	5.253960e-03	3.107097e-03	5.238110e-03	-4.241858e+08	1.762979e+07	-4.189333e+08	2.098387e+07	3.243214e+05	2.873446e+06	-5.252552e+06	1.258157e+07	-3.887987e+09	1.871793e+08
2.795008e+02	9.277174e-04	-2.805096e-03	1.465778e-03	4.506902e+08	2.101592e+07	-2.646640e-03	4.900004e-03	2.057170e+07	3.912118e+06	-3.096354e-03	8.129568e-04	4.455967e+08	2.330072e+07	-7.809813e-04	4.971562e-03	2.179640e+07	3.180234e+06	-2.987144e-03	6.058645e-04	3.477339e+09	1.860746e+08	-2.886420e-03	6.739947e-04	3.495266e+09	1.716817e+08	-2.999913e-03	5.656989e-04	3.922935e+09	2.038444e+08	-2.876136e-03	6.791214e-04	3.945956e+09	1.865622e+08	1.584563e-04	5.805415e-03	2.315372e-03	5.458933e-03	-1.865659e-03	7.621591e-03	-2.156917e-03	8.225976e-03	2.294953e-04	5.000391e-03	-4.301185e+08	2.165438e+07	-4.238003e+08	2.348598e+07	-1.224705e+06	2.852278e+06	-6.318155e+06	1.720703e+07	-3.925384e+09	1.843221e+08
2.800010e+02	9.289145e-04	-2.244255e-03	1.023832e-03	4.575673e+08	2.173478e+07	-2.738474e-03	5.130028e-03	2.046948e+07	3.344272e+06	-2.291200e-03	9.569343e-04	4.542970e+08	2.218526e+07	-1.420029e-03	4.600572e-03	2.135729e+07	2.756620e+06	-2.254745e-03	6.155864e-04	3.537296e+09	1.973532e+08	-2.373598e-03	4.321450e-04	3.536689e+09	1.890720e+08	-2.260204e-03	5.778106e-04	3.991593e+09	2.160658e+08	-2.358467e-03	3.598805e-04	3.994256e+09	2.069497e+08	-4.942190e-04	5.310057e-03	8.711723e-04	5.133257e-03	-1.318446e-03	6.645756e-03	-1.365391e-03	7.119811e-03	-3.800069e-04	4.981474e-03	-4.370978e+08	2.130654e+07	-4.329398e+08	2.149906e+07	-8.878149e+05	2.839429e+06	-4.158078e+06	1.721400e+07	-3.973787e+09	2.054563e+08
2.805036e+02	9.306443e-04	-2.215134e-03	9.525128e-04	4.580186e+08	2.273142e+07	-2.287494e-03	5.849824e-03	2.057807e+07	3.074550e+06	-1.353983e-03	1.120886e-03	4.635225e+08	1.483942e+07	-7.531808e-04	5.979136e-03	2.197083e+07	4.967614e+06	-1.292795e-03	4.959148e-04	3.614356e+09	1.887940e+08	-1.299102e-03	4.648866e-04	3.620729e+09	1.698200e+08	-1.299063e-03	5.263879e-04	4.077879e+09	1.977796e+08	-1.403491e-03	4.144930e-04	4.078748e+09	1.900082e+08	-7.236060e-05	5.220201e-03	6.008027e-04	6.411084e-03	-1.534314e-03	9.266667e-03	-6.731618e-04	9.484318e-03	-8.840034e-04	5.693116e-03	-4.374406e+08	2.079302e+07	-4.415516e+08	1.489883e+07	-1.392752e+06	4.596236e+06	4.111086e+06	1.963422e+07	-4.058170e+09	1.886906e+08
2.810038e+02	9.328857e-04	3.239644e-04	1.171365e-03	4.844783e+08	2.761417e+07	3.224753e-04	4.487069e-03	2.193030e+07	4.009393e+06	-2.316955e-04	1.033491e-03	4.754980e+08	2.115778e+07	-5.872698e-03	3.264011e-03	1.931084e+07	2.666132e+06	2.513159e-05	3.559636e-04	3.722039e+09	2.129115e+08	-1.846138e-04	5.405230e-04	3.712355e+09	2.043376e+08	-3.743196e-06	2.989167e-04	4.197537e+09	2.267517e+08	-1.276727e-04	5.770329e-04	4.196834e+09	2.308447e+08	-1.489381e-06	4.240824e-03	-5.641002e-03	3.326762e-03	6.195173e-03	6.878924e-03	5.639513e-03	6.815071e-03	4.501479e-04	4.287480e-03	-4.625480e+08	2.410462e+07	-4.561871e+08	2.075496e+07	2.619457e+06	4.080853e+06	-6.360870e+06	2.105946e+07	-4.174903e+09	2.274445e+08
2.815014e+02	9.356273e-04	1.900681e-03	1.343597e-03	5.009853e+08	3.282059e+07	1.634393e-03	4.542352e-03	2.256282e+07	4.601884e+06	2.014866e-03	1.006196e-03	4.989899e+08	2.202934e+07	-1.473985e-03	3.154659e-03	2.150192e+07	3.539783e+06	1.491733e-03	6.917779e-04	3.844535e+09	2.475151e+08	1.462678e-03	5.325319e-04	3.847592e+09	2.218622e+08	1.551723e-03	6.753167e-04	4.343525e+09	2.669204e+08	1.510724e-03	5.635543e-04	4.348577e+09	2.535053e+08	-2.662885e-04	4.542365e-03	-3.488851e-03	2.970684e-03	3.108378e-03	5.524938e-03	3.222562e-03	5.776839e-03	1.236684e-04	4.503062e-03	-4.784225e+08	2.899415e+07	-4.774879e+08	1.990623e+07	1.060901e+06	3.363987e+06	-9.345787e+05	1.926761e+07	-4.326014e+09	2.492382e+08
2.820016e+02	9.388930e-04	3.677592e-03	1.792562e-03	5.192866e+08	3.272244e+07	1.182664e-03	4.113034e-03	2.227767e+07	4.052615e+06	4.088688e-03	1.317028e-03	5.197356e+08	1.921109e+07	4.104600e-03	6.352051e-03	2.400923e+07	4.011786e+06	3.734426e-03	6.280051e-04	4.024592e+09	2.561080e+08	3.811723e-03	5.025866e-04	4.035199e+09	2.003484e+08	3.775212e-03	5.419160e-04	4.544328e+09	2.690852e+08	3.795259e-03	5.008492e-04	4.554485e+09	2.271874e+08	-2.494927e-03	4.561475e-03	1.591131e-05	6.877287e-03	-2.921935e-03	4.970887e-03	-2.510839e-03	5.386586e-03	-2.612595e-03	4.080723e-03	-4.970090e+08	3.046282e+07	-4.957264e+08	1.775177e+07	-1.731561e+06	3.281713e+06	-1.282591e+06	2.550660e+07	-4.532208e+09	2.238151e+08
2.825018e+02	9.426645e-04	6.398408e-03	2.213527e-03	5.462882e+08	2.892093e+07	6.301977e-03	5.529565e-03	2.460073e+07	2.620451e+06	6.136112e-03	9.325467e-04	5.414877e+08	2.156909e+07	8.528571e-03	9.145453e-03	2.619792e+07	5.462921e+06	6.585610e-03	5.949343e-04	4.249142e+09	2.481833e+08	6.584717e-03	9.447878e-04	4.258291e+09	2.239636e+08	6.533955e-03	5.792077e-04	4.790630e+09	2.658901e+08	6.564986e-03	8.573006e-04	4.804579e+09	2.396982e+08	-9.642987e-05	5.157523e-03	2.392460e-03	8.722040e-03	-2.226594e-03	8.963129e-03	-2.488890e-03	7.990961e-03	-2.630080e-04	4.957771e-03	-5.216875e+08	2.743759e+07	-5.152898e+08	1.733339e+07	-1.597192e+06	5.076395e+06	-6.397667e+06	1.788882e+07	-4.779979e+09	2.377493e+08
2.830019e+02	9.469358e-04	1.230016e-02	1.526385e-03	6.085621e+08	3.322215e+07	1.407171e-02	7.792085e-03	2.825308e+07	3.064029e+06	1.114418e-02	1.883943e-03	5.940363e+08	3.025267e+07	1.167781e-02	6.835829e-03	2.772418e+07	4.304102e+06	1.246944e-02	1.168361e-03	4.724931e+09	2.904455e+08	1.231898e-02	1.640104e-03	4.725043e+09	2.808914e+08	1.231671e-02	1.139935e-03	5.318968e+09	3.169312e+08	1.231631e-02	1.576731e-03	5.333605e+09	3.117521e+08	1.771556e-03	7.909502e-03	5.336310e-04	7.271599e-03	2.393902e-03	9.699835e-03	1.237924e-03	9.353119e-03	1.755407e-03	7.708005e-03	-5.803090e+08	3.210606e+07	-5.663122e+08	2.742421e+07	5.288948e+05	5.173264e+06	-1.399679e+07	1.706538e+07	-5.305352e+09	3.109261e+08
2.834996e+02	9.516756e-04	2.435566e-02	2.462155e-03	7.337758e+08	5.054613e+07	2.108767e-02	5.547403e-03	3.194537e+07	4.332855e+06	2.331323e-02	3.391506e-03	7.215855e+08	5.746970e+07	2.240458e-02	9.680276e-03	3.287002e+07	4.979154e+06	2.423772e-02	2.708352e-03	5.679649e+09	4.776098e+08	2.416271e-02	2.186879e-03	5.695798e+09	4.543458e+08	2.413211e-02	2.666492e-03	6.401234e+09	5.294587e+08	2.418474e-02	2.178120e-03	6.429574e+09	5.026817e+08	-3.267990e-03	5.190695e-03	-9.086569e-04	8.908071e-03	-1.316911e-03	7.092903e-03	-2.359333e-03	8.127313e-03	-3.097072e-03	4.896106e-03	-7.018304e+08	4.715183e+07	-6.887154e+08	5.405407e+07	-9.246577e+05	4.025639e+06	-1.311496e+07	3.040054e+07	-6.397628e+09	4.989628e+08
2.838997e+02	9.558215e-04	4.018219e-02	4.876725e-03	8.997448e+08	9.193820e+07	4.118299e-02	6.144194e-03	4.189102e+07	7.162955e+06	4.007313e-02	5.535465e-03	8.963229e+08	9.597792e+07	4.093237e-02	1.177863e-02	4.207711e+07	8.282158e+06	3.995840e-02	5.294519e-03	6.959707e+09	8.172075e+08	4.035459e-02	5.048327e-03	7.024882e+09	8.085624e+08	3.997153e-02	5.289277e-03	7.856030e+09	9.100952e+08	4.033507e-02	5.006658e-03	7.924627e+09	8.991828e+08	1.000800e-03	4.868639e-03	8.592423e-04	8.233964e-03	2.506197e-04	1.018536e-02	1.415585e-04	1.112547e-02	8.479188e-04	4.547690e-03	-8.578539e+08	8.548943e+07	-8.542458e+08	8.879909e+07	-1.860836e+05	4.746306e+06	-3.608111e+06	2.982831e+07	-7.882736e+09	8.924650e+08
2.841023e+02	9.580375e-04	5.278208e-02	8.301227e-03	1.027249e+09	1.110348e+08	5.343767e-02	9.948446e-03	4.730689e+07	4.956820e+06	5.308694e-02	7.555960e-03	1.026863e+09	9.595844e+07	4.939732e-02	1.381398e-02	4.562409e+07	6.858847e+06	5.388084e-02	8.731609e-03	8.048625e+09	9.286757e+08	5.380297e-02	8.090596e-03	8.082682e+09	8.798195e+08	5.379091e-02	8.575092e-03	9.075487e+09	1.021713e+09	5.368586e-02	8.065890e-03	9.109931e+09	9.875754e+08	6.555903e-04	9.210738e-03	-3.689617e-03	8.701997e-03	4.040347e-03	1.092077e-02	4.345208e-03	1.119224e-02	-2.481890e-04	9.299860e-03	-9.799427e+08	1.068761e+08	-9.812387e+08	8.978259e+07	1.682795e+06	5.232836e+06	1.296058e+06	4.211503e+07	-9.062625e+09	9.837272e+08
2.842023e+02	9.591642e-04	7.046085e-02	9.131529e-03	1.209383e+09	1.111747e+08	7.461632e-02	1.097598e-02	5.756326e+07	4.974327e+06	7.084847e-02	7.646372e-03	1.209745e+09	8.923129e+07	6.668412e-02	1.766969e-02	5.382297e+07	6.982877e+06	7.258589e-02	8.349488e-03	9.553140e+09	8.982166e+08	7.262665e-02	8.031462e-03	9.605618e+09	8.753714e+08	7.238922e-02	8.243362e-03	1.076288e+10	9.830499e+08	7.237931e-02	8.117750e-03	1.081500e+10	9.826189e+08	4.155467e-03	1.083811e-02	-4.164356e-03	1.249503e-02	7.932209e-03	1.179955e-02	8.319824e-03	1.387168e-02	2.237006e-03	9.596971e-03	-1.151820e+09	1.081470e+08	-1.155922e+09	8.384670e+07	3.740286e+06	6.119488e+06	4.101542e+06	4.066882e+07	-1.075744e+10	9.790306e+08
2.843024e+02	9.603099e-04	9.945332e-02	1.120175e-02	1.514404e+09	1.750693e+08	1.002052e-01	1.097176e-02	7.029730e+07	9.059068e+06	9.985601e-02	1.204568e-02	1.513799e+09	1.633561e+08	9.891337e-02	1.366153e-02	6.968654e+07	7.891891e+06	1.015493e-01	1.145294e-02	1.190730e+10	1.378337e+09	1.013484e-01	1.126501e-02	1.195696e+10	1.364185e+09	1.013570e-01	1.150868e-02	1.342110e+10	1.536559e+09	1.011319e-01	1.122182e-02	1.347137e+10	1.536097e+09	7.518449e-04	8.217563e-03	-9.426402e-04	1.057109e-02	1.291795e-03	1.320511e-02	1.694485e-03	1.328940e-02	-9.267817e-04	7.576828e-03	-1.444106e+09	1.676445e+08	-1.444113e+09	1.569264e+08	6.107630e+05	7.021235e+06	6.343908e+03	4.578116e+07	-1.340107e+10	1.528474e+09
2.843999e+02	9.614452e-04	1.422984e-01	1.228912e-02	1.961072e+09	2.343680e+08	1.476984e-01	1.278392e-02	9.337762e+07	1.246028e+07	1.446157e-01	1.343072e-02	1.980707e+09	2.246220e+08	1.386804e-01	9.176958e-03	8.897230e+07	8.876343e+06	1.471864e-01	1.248079e-02	1.560904e+10	1.932688e+09	1.447476e-01	1.192075e-02	1.550226e+10	1.877828e+09	1.468890e-01	1.254011e-02	1.758975e+10	2.155402e+09	1.444718e-01	1.189807e-02	1.746333e+10	2.104890e+09	5.400070e-03	8.807696e-03	-5.935308e-03	1.320098e-02	9.018040e-03	1.276098e-02	1.133538e-02	1.458501e-02	3.226597e-03	7.441770e-03	-1.867695e+09	2.239552e+08	-1.891735e+09	2.171766e+08	4.405309e+06	6.450959e+06	2.404051e+07	5.390361e+07	-1.736995e+10	2.093466e+09
2.844999e+02	9.626282e-04	2.191694e-01	1.759185e-02	2.753865e+09	3.029038e+08	2.226886e-01	2.097866e-02	1.300301e+08	1.993927e+07	2.207924e-01	1.720422e-02	2.770635e+09	3.125184e+08	2.197087e-01	2.691162e-02	1.285363e+08	2.000532e+07	2.292447e-01	1.775092e-02	2.220140e+10	2.657797e+09	2.210224e-01	1.757703e-02	2.167929e+10	2.631237e+09	2.282742e-01	1.761460e-02	2.497204e+10	2.967239e+09	2.208135e-01	1.756146e-02	2.443316e+10	2.930835e+09	3.519177e-03	1.710353e-02	-1.083659e-03	1.713900e-02	2.979895e-03	1.999366e-02	4.602838e-03	2.193641e-02	1.875110e-03	1.616531e-02	-2.623835e+09	2.852560e+08	-2.642098e+09	2.937265e+08	1.493805e+06	9.467990e+06	1.826364e+07	3.718123e+07	-2.430313e+10	2.912390e+09
2.846025e+02	9.638601e-04	4.260227e-01	5.836311e-02	4.907635e+09	8.150966e+08	4.414308e-01	6.462248e-02	2.359573e+08	4.203547e+07	4.263919e-01	5.618959e-02	4.912902e+09	8.066192e+08	4.280000e-01	6.516581e-02	2.297507e+08	4.419354e+07	4.487427e-01	5.932484e-02	3.995241e+10	6.800132e+09	4.263314e-01	5.755378e-02	3.841757e+10	6.663964e+09	4.461808e-01	5.888971e-02	4.486532e+10	7.600723e+09	4.262976e-01	5.764009e-02	4.332520e+10	7.474931e+09	1.540807e-02	2.631834e-02	1.608091e-03	1.668293e-02	1.343081e-02	3.017402e-02	1.379998e-02	3.136843e-02	1.513317e-02	2.570494e-02	-4.671677e+09	7.741851e+08	-4.683151e+09	7.636981e+08	6.206671e+06	1.097812e+07	1.147407e+07	3.991603e+07	-4.308924e+10	7.433685e+09
2.846975e+02	9.650195e-04	8.904103e-01	8.511157e-02	9.728635e+09	1.401748e+09	9.207055e-01	9.155650e-02	4.681326e+08	7.121484e+07	8.887185e-01	8.039263e-02	9.713642e+09	1.373585e+09	8.723022e-01	7.592237e-02	4.435570e+08	6.083525e+07	9.189495e-01	8.586941e-02	7.786617e+10	1.169572e+10	8.884794e-01	8.260103e-02	7.596675e+10	1.149321e+10	9.154889e-01	8.520149e-02	8.757981e+10	1.306132e+10	8.886953e-01	8.286227e-02	8.569538e+10	1.288800e+10	3.029513e-02	2.993881e-02	-1.641639e-02	1.489158e-02	4.840333e-02	3.561565e-02	4.671152e-02	3.704378e-02	3.201017e-02	2.917925e-02	-9.260501e+09	1.331046e+09	-9.270084e+09	1.315151e+09	2.457562e+07	1.777588e+07	9.582682e+06	1.052445e+08	-8.522725e+10	1.281697e+10
2.847975e+02	9.662581e-04	1.497576e+00	8.338043e-02	1.598951e+10	1.568394e+09	1.496352e+00	7.926757e-02	7.461968e+08	8.572071e+07	1.492466e+00	7.814383e-02	1.594642e+10	1.580837e+09	1.489847e+00	7.938536e-02	7.408385e+08	7.762818e+07	1.497883e+00	7.987769e-02	1.242645e+11	1.359898e+10	1.489238e+00	7.919188e-02	1.244693e+11	1.359371e+10	1.497255e+00	7.964998e-02	1.402109e+11	1.516769e+10	1.490177e+00	7.954105e-02	1.404588e+11	1.514808e+10	-1.223622e-03	2.623361e-02	-2.618694e-03	4.259501e-02	6.505383e-03	4.947829e-02	1.395076e-03	4.788282e-02	6.175620e-03	2.177812e-02	-1.524331e+10	1.485541e+09	-1.520558e+10	1.511018e+09	5.358268e+06	2.256347e+07	-3.772510e+07	1.515701e+08	-1.397126e+11	1.506322e+10
2.849001e+02	9.675470e-04	1.749330e+00	1.143341e-01	1.854543e+10	1.408262e+09	1.735677e+00	1.192234e-01	8.598767e+08	8.745171e+07	1.741807e+00	1.074277e-01	1.847821e+10	1.388302e+09	1.737928e+00	1.315455e-01	8.590935e+08	8.859500e+07	1.729724e+00	1.125804e-01	1.425246e+11	1.296806e+10	1.737966e+00	1.101177e-01	1.442104e+11	1.269910e+10	1.731114e+00	1.119418e-01	1.610028e+11	1.432957e+10	1.739254e+00	1.105148e-01	1.627558e+11	1.408694e+10	-1.365237e-02	2.327099e-02	-3.879084e-03	6.263132e-02	-2.250911e-03	8.063417e-02	-9.773273e-03	7.991448e-02	-3.576651e-03	2.964303e-02	-1.768555e+10	1.324395e+09	-1.761912e+10	1.311947e+09	7.831140e+05	2.931121e+07	-6.642881e+07	1.426724e+08	-1.618959e+11	1.400110e+10
