Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
2.790031e+02	9.270248e-04	-3.351094e-03	1.644712e-03	4.446214e+08	1.716340e+07	-7.091355e-03	5.212351e-03	1.910783e+07	2.631429e+06	-3.757324e-03	1.397844e-03	4.385575e+08	1.999421e+07	-2.652599e-03	6.861496e-03	2.138606e+07	4.127630e+06	-3.576908e-03	8.565468e-04	3.430270e+09	1.796542e+08	-3.403376e-03	7.195394e-04	3.451161e+09	1.901072e+08	-3.597804e-03	8.839259e-04	3.868827e+09	1.941921e+08	-3.396786e-03	6.930327e-04	3.895782e+09	2.012461e+08	-3.740261e-03	4.513982e-03	1.104725e-03	6.317887e-03	-4.438755e-03	7.942129e-03	-4.844987e-03	7.682728e-03	-3.694570e-03	4.881250e-03	-4.255135e+08	1.706746e+07	-4.171714e+08	1.751647e+07	-2.278232e+06	4.045210e+06	-8.342124e+06	1.640976e+07	-3.876674e+09	2.008555e+08
2.790081e+02	9.270290e-04	-3.345716e-03	1.630481e-03	4.446787e+08	1.707732e+07	-7.068155e-03	5.117951e-03	1.911980e+07	2.588832e+06	-3.749897e-03	1.382277e-03	4.386347e+08	1.996265e+07	-2.646710e-03	6.786543e-03	2.138583e+07	4.094284e+06	-3.571121e-03	8.454980e-04	3.430729e+09	1.794742e+08	-3.397253e-03	7.060496e-04	3.451677e+09	1.895174e+08	-3.591825e-03	8.726882e-04	3.869363e+09	1.939938e+08	-3.390742e-03	6.797525e-04	3.896355e+09	2.006388e+08	-3.722439e-03	4.416323e-03	1.103187e-03	6.252099e-03	-4.421445e-03	7.862161e-03	-4.825627e-03	7.589490e-03	-3.677414e-03	4.791750e-03	-4.255589e+08	1.697893e+07	-4.172489e+08	1.751096e+07	-2.266034e+06	4.011940e+06	-8.310048e+06	1.621013e+07	-3.877235e+09	2.002556e+08
2.790131e+02	9.270332e-04	-3.340338e-03	1.616497e-03	4.447361e+08	1.699457e+07	-7.044955e-03	5.024048e-03	1.913177e+07	2.546437e+06	-3.742469e-03	1.366805e-03	4.387120e+08	1.993309e+07	-2.640820e-03	6.712227e-03	2.138560e+07	4.061184e+06	-3.565335e-03	8.345113e-04	3.431187e+09	1.792994e+08	-3.391129e-03	6.926649e-04	3.452193e+09	1.889335e+08	-3.585846e-03	8.615031e-04	3.869899e+09	1.938016e+08	-3.384698e-03	6.665906e-04	3.896928e+09	2.000387e+08	-3.704617e-03	4.318924e-03	1.101649e-03	6.186988e-03	-4.404135e-03	7.783699e-03	-4.806267e-03	7.497606e-03	-3.660258e-03	4.702693e-03	-4.256043e+08	1.689376e+07	-4.173264e+08	1.750734e+07	-2.253836e+06	3.979238e+06	-8.277972e+06	1.601242e+07	-3.877797e+09	1.996628e+08
2.790181e+02	9.270374e-04	-3.334960e-03	1.602766e-03	4.447935e+08	1.691521e+07	-7.021756e-03	4.930670e-03	1.914373e+07	2.504256e+06	-3.735042e-03	1.351432e-03	4.387892e+08	1.990556e+07	-2.634931e-03	6.638568e-03	2.138537e+07	4.028334e+06	-3.559549e-03	8.235892e-04	3.431646e+09	1.791297e+08	-3.385006e-03	6.793916e-04	3.452709e+09	1.883554e+08	-3.579867e-03	8.503725e-04	3.870435e+09	1.936156e+08	-3.378654e-03	6.535542e-04	3.897502e+09	1.994459e+08	-3.686795e-03	4.221805e-03	1.100111e-03	6.122577e-03	-4.386825e-03	7.706791e-03	-4.786908e-03	7.407125e-03	-3.643103e-03	4.614104e-03	-4.256497e+08	1.681203e+07	-4.174039e+08	1.750561e+07	-2.241639e+06	3.947119e+06	-8.245896e+06	1.581672e+07	-3.878358e+09	1.990772e+08
2.790231e+02	9.270417e-04	-3.329582e-03	1.589297e-03	4.448508e+08	1.683927e+07	-6.998556e-03	4.837848e-03	1.915570e+07	2.462300e+06	-3.727615e-03	1.336159e-03	4.388665e+08	1.988007e+07	-2.629041e-03	6.565590e-03	2.138514e+07	3.995743e+06	-3.553762e-03	8.127343e-04	3.432104e+09	1.789653e+08	-3.378883e-03	6.662363e-04	3.453225e+09	1.877833e+08	-3.573888e-03	8.392988e-04	3.870971e+09	1.934358e+08	-3.372610e-03	6.406511e-04	3.898075e+09	1.988604e+08	-3.668974e-03	4.124983e-03	1.098573e-03	6.058888e-03	-4.369514e-03	7.631482e-03	-4.767548e-03	7.318101e-03	-3.625947e-03	4.526010e-03	-4.256951e+08	1.673376e+07	-4.174813e+08	1.750576e+07	-2.229441e+06	3.915598e+06	-8.213820e+06	1.562309e+07	-3.878919e+09	1.984987e+08
2.790281e+02	9.270461e-04	-3.324204e-03	1.576094e-03	4.449082e+08	1.676682e+07	-6.975356e-03	4.745615e-03	1.916767e+07	2.420580e+06	-3.720187e-03	1.320991e-03	4.389437e+08	1.985661e+07	-2.623152e-03	6.493315e-03	2.138492e+07	3.963416e+06	-3.547976e-03	8.019493e-04	3.432563e+09	1.788060e+08	-3.372760e-03	6.532063e-04	3.453740e+09	1.872172e+08	-3.567910e-03	8.282842e-04	3.871506e+09	1.932623e+08	-3.366566e-03	6.278893e-04	3.898648e+09	1.982823e+08	-3.651152e-03	4.028481e-03	1.097035e-03	5.995944e-03	-4.352204e-03	7.557821e-03	-4.748188e-03	7.230587e-03	-3.608791e-03	4.438441e-03	-4.257406e+08	1.665902e+07	-4.175588e+08	1.750781e+07	-2.217244e+06	3.884687e+06	-8.181744e+06	1.543161e+07	-3.879481e+09	1.979276e+08
2.790331e+02	9.270505e-04	-3.318826e-03	1.563165e-03	4.449656e+08	1.669788e+07	-6.952157e-03	4.654005e-03	1.917964e+07	2.379108e+06	-3.712760e-03	1.305932e-03	4.390210e+08	1.983519e+07	-2.617263e-03	6.421766e-03	2.138469e+07	3.931359e+06	-3.542189e-03	7.912371e-04	3.433021e+09	1.786520e+08	-3.366637e-03	6.403090e-04	3.454256e+09	1.866571e+08	-3.561931e-03	8.173310e-04	3.872042e+09	1.930950e+08	-3.360522e-03	6.152778e-04	3.899222e+09	1.977117e+08	-3.633330e-03	3.932322e-03	1.095497e-03	5.933768e-03	-4.334894e-03	7.485857e-03	-4.728828e-03	7.144637e-03	-3.591636e-03	4.351428e-03	-4.257860e+08	1.658785e+07	-4.176363e+08	1.751175e+07	-2.205046e+06	3.854403e+06	-8.149668e+06	1.524236e+07	-3.880042e+09	1.973637e+08
2.790381e+02	9.270550e-04	-3.313448e-03	1.550517e-03	4.450230e+08	1.663251e+07	-6.928957e-03	4.563057e-03	1.919161e+07	2.337899e+06	-3.705332e-03	1.290986e-03	4.390982e+08	1.981583e+07	-2.611373e-03	6.350969e-03	2.138446e+07	3.899579e+06	-3.536403e-03	7.806007e-04	3.433480e+09	1.785032e+08	-3.360514e-03	6.275528e-04	3.454772e+09	1.861031e+08	-3.555952e-03	8.064418e-04	3.872578e+09	1.929340e+08	-3.354478e-03	6.028259e-04	3.899795e+09	1.971486e+08	-3.615508e-03	3.836532e-03	1.093959e-03	5.872385e-03	-4.317584e-03	7.415639e-03	-4.709468e-03	7.060311e-03	-3.574480e-03	4.265006e-03	-4.258314e+08	1.652030e+07	-4.177138e+08	1.751758e+07	-2.192848e+06	3.824760e+06	-8.117592e+06	1.505543e+07	-3.880603e+09	1.968073e+08
2.790431e+02	9.270595e-04	-3.308070e-03	1.538156e-03	4.450803e+08	1.657075e+07	-6.905757e-03	4.472810e-03	1.920358e+07	2.296965e+06	-3.697905e-03	1.276155e-03	4.391755e+08	1.979853e+07	-2.605484e-03	6.280948e-03	2.138423e+07	3.868084e+06	-3.530617e-03	7.700432e-04	3.433938e+09	1.783596e+08	-3.354391e-03	6.149463e-04	3.455288e+09	1.855552e+08	-3.549973e-03	7.956192e-04	3.873114e+09	1.927792e+08	-3.348434e-03	5.905437e-04	3.900368e+09	1.965931e+08	-3.597687e-03	3.741140e-03	1.092421e-03	5.811820e-03	-4.300273e-03	7.347217e-03	-4.690109e-03	6.977665e-03	-3.557324e-03	4.179210e-03	-4.258768e+08	1.645642e+07	-4.177912e+08	1.752530e+07	-2.180651e+06	3.795773e+06	-8.085516e+06	1.487091e+07	-3.881165e+09	1.962583e+08
2.790481e+02	9.270641e-04	-3.302692e-03	1.526090e-03	4.451377e+08	1.651264e+07	-6.882558e-03	4.383307e-03	1.921555e+07	2.256323e+06	-3.690477e-03	1.261445e-03	4.392527e+08	1.978329e+07	-2.599594e-03	6.211730e-03	2.138400e+07	3.836879e+06	-3.524830e-03	7.595678e-04	3.434397e+09	1.782213e+08	-3.348268e-03	6.024991e-04	3.455804e+09	1.850136e+08	-3.543994e-03	7.848660e-04	3.873650e+09	1.926308e+08	-3.342390e-03	5.784420e-04	3.900942e+09	1.960452e+08	-3.579865e-03	3.646177e-03	1.090883e-03	5.752099e-03	-4.282963e-03	7.280641e-03	-4.670749e-03	6.896762e-03	-3.540169e-03	4.094082e-03	-4.259222e+08	1.639623e+07	-4.178687e+08	1.753490e+07	-2.168453e+06	3.767458e+06	-8.053440e+06	1.468888e+07	-3.881726e+09	1.957168e+08
