Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
2.790031e+02	8.343223e-03	-3.351094e-03	1.480241e-02	4.446214e+08	1.544706e+08	-3.560191e-03	5.455155e-02	2.025746e+07	2.996499e+07	-3.757324e-03	1.258060e-02	4.385575e+08	1.799479e+08	-3.187600e-03	5.258074e-02	2.041054e+07	2.838430e+07	-3.576908e-03	7.708921e-03	3.430270e+09	1.616887e+09	-3.403376e-03	6.475855e-03	3.451161e+09	1.710964e+09	-3.597804e-03	7.955333e-03	3.868827e+09	1.747729e+09	-3.396786e-03	6.237294e-03	3.895782e+09	1.811215e+09	-2.090970e-04	5.588025e-02	5.697243e-04	5.279880e-02	-3.725907e-04	7.479798e-02	-7.788215e-04	7.604473e-02	-1.634047e-04	5.435433e-02	-4.243639e+08	1.526206e+08	-4.181469e+08	1.737519e+08	-1.530826e+05	3.842700e+07	-6.216975e+06	1.446751e+08	-3.875524e+09	1.801826e+09
2.790081e+02	8.343261e-03	-3.345716e-03	1.467433e-02	4.446787e+08	1.536959e+08	-3.555143e-03	5.393207e-02	2.025960e+07	2.970477e+07	-3.749897e-03	1.244050e-02	4.386347e+08	1.796638e+08	-3.180507e-03	5.198591e-02	2.041392e+07	2.813256e+07	-3.571121e-03	7.609482e-03	3.430729e+09	1.615268e+09	-3.397253e-03	6.354446e-03	3.451677e+09	1.705657e+09	-3.591825e-03	7.854194e-03	3.869363e+09	1.745944e+09	-3.390742e-03	6.117772e-03	3.896355e+09	1.805749e+09	-2.094273e-04	5.524994e-02	5.693897e-04	5.219975e-02	-3.746358e-04	7.396103e-02	-7.788170e-04	7.518231e-02	-1.644010e-04	5.373220e-02	-4.244191e+08	1.517425e+08	-4.182208e+08	1.734677e+08	-1.543207e+05	3.805141e+07	-6.198335e+06	1.431300e+08	-3.876096e+09	1.796340e+09
2.790131e+02	8.343299e-03	-3.340338e-03	1.454847e-02	4.447361e+08	1.529512e+08	-3.550095e-03	5.332214e-02	2.026174e+07	2.944889e+07	-3.742469e-03	1.230125e-02	4.387120e+08	1.793978e+08	-3.173414e-03	5.139976e-02	2.041730e+07	2.788491e+07	-3.565335e-03	7.510602e-03	3.431187e+09	1.613694e+09	-3.391129e-03	6.233984e-03	3.452193e+09	1.700401e+09	-3.585846e-03	7.753527e-03	3.869899e+09	1.744214e+09	-3.384698e-03	5.999315e-03	3.896928e+09	1.800348e+09	-2.097575e-04	5.462934e-02	5.690550e-04	5.160945e-02	-3.766808e-04	7.313638e-02	-7.788126e-04	7.433256e-02	-1.653973e-04	5.311981e-02	-4.244744e+08	1.508948e+08	-4.182947e+08	1.732029e+08	-1.555589e+05	3.768145e+07	-6.179695e+06	1.416079e+08	-3.876667e+09	1.790920e+09
2.790181e+02	8.343337e-03	-3.334960e-03	1.442490e-02	4.447935e+08	1.522369e+08	-3.545048e-03	5.272211e-02	2.026388e+07	2.919745e+07	-3.735042e-03	1.216288e-02	4.387892e+08	1.791501e+08	-3.166322e-03	5.082260e-02	2.042068e+07	2.764148e+07	-3.559549e-03	7.412303e-03	3.431646e+09	1.612168e+09	-3.385006e-03	6.114524e-03	3.452709e+09	1.695199e+09	-3.579867e-03	7.653353e-03	3.870435e+09	1.742540e+09	-3.378654e-03	5.881988e-03	3.897502e+09	1.795013e+09	-2.100877e-04	5.401878e-02	5.687203e-04	5.102822e-02	-3.787259e-04	7.232445e-02	-7.788081e-04	7.349591e-02	-1.663937e-04	5.251749e-02	-4.245296e+08	1.500779e+08	-4.183685e+08	1.729578e+08	-1.567970e+05	3.731729e+07	-6.161055e+06	1.401095e+08	-3.877238e+09	1.785565e+09
2.790231e+02	8.343376e-03	-3.329582e-03	1.430367e-02	4.448508e+08	1.515535e+08	-3.540000e-03	5.213231e-02	2.026602e+07	2.895058e+07	-3.727615e-03	1.202543e-02	4.388665e+08	1.789206e+08	-3.159229e-03	5.025473e-02	2.042406e+07	2.740238e+07	-3.553762e-03	7.314609e-03	3.432104e+09	1.610687e+09	-3.378883e-03	5.996127e-03	3.453225e+09	1.690050e+09	-3.573888e-03	7.553689e-03	3.870971e+09	1.740922e+09	-3.372610e-03	5.765860e-03	3.898075e+09	1.789743e+09	-2.104179e-04	5.341861e-02	5.683856e-04	5.045636e-02	-3.807710e-04	7.152567e-02	-7.788037e-04	7.267281e-02	-1.673900e-04	5.192560e-02	-4.245848e+08	1.492925e+08	-4.184424e+08	1.727323e+08	-1.580352e+05	3.695909e+07	-6.142415e+06	1.386356e+08	-3.877809e+09	1.780276e+09
2.790281e+02	8.343415e-03	-3.324204e-03	1.418484e-02	4.449082e+08	1.509013e+08	-3.534952e-03	5.155310e-02	2.026817e+07	2.870839e+07	-3.720187e-03	1.188892e-02	4.389437e+08	1.787095e+08	-3.152136e-03	4.969646e-02	2.042744e+07	2.716772e+07	-3.547976e-03	7.217544e-03	3.432563e+09	1.609254e+09	-3.372760e-03	5.878857e-03	3.453740e+09	1.684955e+09	-3.567910e-03	7.454558e-03	3.871506e+09	1.739360e+09	-3.366566e-03	5.651004e-03	3.898648e+09	1.784541e+09	-2.107481e-04	5.282917e-02	5.680510e-04	4.989420e-02	-3.828160e-04	7.074049e-02	-7.787992e-04	7.186372e-02	-1.683863e-04	5.134450e-02	-4.246400e+08	1.485390e+08	-4.185163e+08	1.725265e+08	-1.592733e+05	3.660704e+07	-6.123774e+06	1.371870e+08	-3.878380e+09	1.775054e+09
2.790331e+02	8.343455e-03	-3.318826e-03	1.406848e-02	4.449656e+08	1.502809e+08	-3.529905e-03	5.098483e-02	2.027031e+07	2.847100e+07	-3.712760e-03	1.175339e-02	4.390210e+08	1.785167e+08	-3.145043e-03	4.914814e-02	2.043082e+07	2.693761e+07	-3.542189e-03	7.121134e-03	3.433021e+09	1.607868e+09	-3.366637e-03	5.762781e-03	3.454256e+09	1.679914e+09	-3.561931e-03	7.355979e-03	3.872042e+09	1.737855e+09	-3.360522e-03	5.537500e-03	3.899222e+09	1.779405e+09	-2.110784e-04	5.225084e-02	5.677163e-04	4.934206e-02	-3.848611e-04	6.996936e-02	-7.787948e-04	7.106914e-02	-1.693827e-04	5.077455e-02	-4.246953e+08	1.478178e+08	-4.185901e+08	1.723406e+08	-1.605115e+05	3.626131e+07	-6.105134e+06	1.357644e+08	-3.878951e+09	1.769899e+09
2.790381e+02	8.343495e-03	-3.313448e-03	1.395465e-02	4.450230e+08	1.496926e+08	-3.524857e-03	5.042788e-02	2.027245e+07	2.823854e+07	-3.705332e-03	1.161887e-02	4.390982e+08	1.783425e+08	-3.137951e-03	4.861010e-02	2.043420e+07	2.671217e+07	-3.536403e-03	7.025406e-03	3.433480e+09	1.606529e+09	-3.360514e-03	5.647975e-03	3.454772e+09	1.674928e+09	-3.555952e-03	7.257976e-03	3.872578e+09	1.736406e+09	-3.354478e-03	5.425433e-03	3.899795e+09	1.774337e+09	-2.114086e-04	5.168398e-02	5.673816e-04	4.880029e-02	-3.869061e-04	6.921276e-02	-7.787903e-04	7.028954e-02	-1.703790e-04	5.021614e-02	-4.247505e+08	1.471295e+08	-4.186640e+08	1.721746e+08	-1.617496e+05	3.592208e+07	-6.086494e+06	1.343688e+08	-3.879523e+09	1.764813e+09
2.790431e+02	8.343536e-03	-3.308070e-03	1.384341e-02	4.450803e+08	1.491368e+08	-3.519809e-03	4.988262e-02	2.027459e+07	2.801112e+07	-3.697905e-03	1.148540e-02	4.391755e+08	1.781868e+08	-3.130858e-03	4.808267e-02	2.043758e+07	2.649153e+07	-3.530617e-03	6.930388e-03	3.433938e+09	1.605237e+09	-3.354391e-03	5.534517e-03	3.455288e+09	1.669997e+09	-3.549973e-03	7.160573e-03	3.873114e+09	1.735013e+09	-3.348434e-03	5.314893e-03	3.900368e+09	1.769338e+09	-2.117388e-04	5.112898e-02	5.670470e-04	4.826924e-02	-3.889512e-04	6.847117e-02	-7.787859e-04	6.952543e-02	-1.713754e-04	4.966966e-02	-4.248057e+08	1.464745e+08	-4.187379e+08	1.720285e+08	-1.629878e+05	3.558955e+07	-6.067854e+06	1.330008e+08	-3.880094e+09	1.759795e+09
2.790481e+02	8.343577e-03	-3.302692e-03	1.373481e-02	4.451377e+08	1.486138e+08	-3.514761e-03	4.934945e-02	2.027673e+07	2.778888e+07	-3.690477e-03	1.135301e-02	4.392527e+08	1.780496e+08	-3.123765e-03	4.756622e-02	2.044096e+07	2.627580e+07	-3.524830e-03	6.836111e-03	3.434397e+09	1.603992e+09	-3.348268e-03	5.422492e-03	3.455804e+09	1.665122e+09	-3.543994e-03	7.063794e-03	3.873650e+09	1.733677e+09	-3.342390e-03	5.205978e-03	3.900942e+09	1.764407e+09	-2.120690e-04	5.058623e-02	5.667123e-04	4.774926e-02	-3.909962e-04	6.774507e-02	-7.787814e-04	6.877733e-02	-1.723717e-04	4.913550e-02	-4.248610e+08	1.458532e+08	-4.188117e+08	1.719025e+08	-1.642259e+05	3.526389e+07	-6.049213e+06	1.316615e+08	-3.880665e+09	1.754847e+09
