Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
2.790010E+2	-4.976623E-3	4.414987E+8	-1.197840E-3	2.210471E+7	-2.020958E-3	4.596824E+8	-9.445452E-3	1.903458E+7	-2.715851E-3	3.736360E+9	-3.368194E-3	3.626200E+9	-2.637872E-3	4.196043E+9	-3.547854E-3	4.067698E+9	3.778783E-3	-7.424493E-3	8.247611E-3	1.120328E-2	2.350014E-3	-4.193940E+8	-4.406478E+8	3.070124E+6	2.125386E+7	-4.045594E+9
2.795010E+2	-1.683519E-3	4.792428E+8	-8.838670E-3	1.804069E+7	-2.897760E-3	4.496330E+8	-4.630319E-3	2.164883E+7	-3.470614E-3	3.667923E+9	-1.877348E-3	3.762090E+9	-3.406330E-3	4.117556E+9	-1.855697E-3	4.241332E+9	-7.155151E-3	-1.732560E-3	-4.208351E-3	-5.422591E-3	-6.982972E-3	-4.612021E+8	-4.279842E+8	-3.608140E+6	-3.321789E+7	-4.223292E+9
2.800050E+2	-7.162198E-4	4.903296E+8	3.745496E-3	2.473398E+7	-2.923481E-3	4.493382E+8	-2.281283E-3	2.292418E+7	-3.026240E-3	3.708216E+9	-3.065224E-3	3.653815E+9	-3.014708E-3	4.157555E+9	-2.802842E-3	4.144145E+9	4.461716E-3	6.421976E-4	6.026779E-3	3.819518E-3	6.548338E-3	-4.655956E+8	-4.264141E+8	1.809797E+6	-3.918151E+7	-4.119411E+9
2.805060E+2	-1.057352E-3	4.864196E+8	-1.898094E-3	2.173225E+7	-1.082545E-3	4.704379E+8	-2.252846E-3	2.293962E+7	-1.176497E-3	3.875939E+9	-1.613374E-3	3.786151E+9	-1.165954E-3	4.346377E+9	-1.551267E-3	4.272570E+9	-8.407420E-4	-1.170301E-3	3.547512E-4	3.295589E-4	-3.468274E-4	-4.646874E+8	-4.474983E+8	-1.207363E+6	-1.718907E+7	-4.250838E+9
2.810080E+2	2.469993E-3	5.268485E+8	7.131273E-3	2.653481E+7	-2.584414E-3	4.532244E+8	2.147422E-3	2.532863E+7	5.401722E-5	3.987515E+9	-4.078230E-4	3.896036E+9	-2.420622E-4	4.440739E+9	-8.637345E-5	4.422885E+9	4.661280E-3	4.731836E-3	4.983851E-3	-7.055599E-5	7.217646E-3	-5.003137E+8	-4.278958E+8	1.206182E+6	-7.241793E+7	-4.396350E+9
2.815030E+2	2.117192E-3	5.228049E+8	-6.698628E-3	1.917894E+7	4.554631E-3	5.350478E+8	4.067437E-3	2.637105E+7	1.774769E-3	4.143541E+9	1.976719E-3	4.113386E+9	2.086719E-3	4.678589E+9	1.992410E-3	4.636191E+9	-8.815820E-3	-4.871942E-4	-1.076606E-2	-8.328626E-3	-8.691038E-3	-5.036259E+8	-5.086768E+8	-7.192107E+6	5.050830E+6	-4.617012E+9
2.820060E+2	1.048991E-3	5.105616E+8	-2.719360E-3	2.129544E+7	2.385002E-3	5.101809E+8	-7.985134E-4	2.372921E+7	3.158691E-3	4.269027E+9	3.221957E-3	4.226888E+9	3.071870E-3	4.779208E+9	2.979238E-3	4.737450E+9	-3.768351E-3	-3.183516E-3	-1.920847E-3	-5.848356E-4	-5.698599E-3	-4.892662E+8	-4.864516E+8	-2.433770E+6	-2.814545E+6	-4.716155E+9
2.825040E+2	2.797538E-3	5.306027E+8	1.047582E-2	2.831371E+7	4.569524E-3	5.352185E+8	1.319355E-2	3.132583E+7	5.401725E-3	4.472411E+9	5.133287E-3	4.401105E+9	5.308337E-3	5.007629E+9	4.872386E-3	4.931708E+9	7.678286E-3	8.624030E-3	-2.717731E-3	-9.457445E-4	5.603438E-3	-5.022890E+8	-5.038927E+8	-3.012118E+6	1.603686E+6	-4.903394E+9
2.830040E+2	1.308244E-2	6.484838E+8	1.516331E-2	3.080690E+7	9.375578E-3	5.903026E+8	6.563493E-3	2.772621E+7	1.145477E-2	5.021263E+9	9.867585E-3	4.832634E+9	1.122145E-2	5.611565E+9	1.022668E-2	5.481118E+9	2.080871E-3	-2.812085E-3	8.599819E-3	4.892957E-3	4.936630E-3	-6.176769E+8	-5.625764E+8	3.080685E+6	-5.510049E+7	-5.450311E+9
2.835020E+2	1.961048E-2	7.233053E+8	2.084906E-2	3.383104E+7	2.216626E-2	7.369016E+8	1.446967E-2	3.201866E+7	1.937375E-2	5.739306E+9	2.057101E-2	5.808246E+9	1.968712E-2	6.476207E+9	2.046372E-2	6.531551E+9	1.238573E-3	-7.696593E-3	6.379389E-3	8.935166E-3	3.853328E-4	-6.894743E+8	-7.048829E+8	1.812380E+6	1.540866E+7	-6.497720E+9
