Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.238282e+02	2.354551e-03	-4.986945e-03	1.845913e-02	1.680508e+09	2.874490e+08	-6.135092e-03	2.096782e-02	9.841370e+07	2.002341e+07	-1.175781e-03	1.685272e-02	1.707319e+09	2.631267e+08	8.176884e-03	2.028809e-02	1.061771e+08	1.633717e+07	-4.488580e-03	1.679162e-02	1.639435e+10	2.611281e+09	-4.102750e-03	1.640095e-02	1.650317e+10	2.590957e+09	-4.175025e-03	1.679527e-02	1.810167e+10	2.874241e+09	-4.186044e-03	1.658899e-02	1.818367e+10	2.878002e+09	-1.148145e-03	5.543626e-03	9.352663e-03	4.962226e-03	-1.431197e-02	9.311042e-03	-1.050081e-02	8.934790e-03	-1.949047e-03	6.875213e-03	-1.582094e+09	2.675131e+08	-1.601142e+09	2.472490e+08	-7.763405e+06	7.438202e+06	1.904792e+07	2.965130e+07	-1.808526e+10	2.858089e+09
5.241958e+02	2.346870e-03	-1.884839e-02	1.691669e-02	1.591932e+09	1.724343e+08	-1.678703e-02	2.505055e-02	9.585454e+07	1.659682e+07	-1.370220e-02	1.819964e-02	1.625374e+09	2.005405e+08	-1.023075e-02	1.155040e-02	9.776269e+07	8.973336e+06	-1.771836e-02	1.761804e-02	1.557200e+10	1.818578e+09	-1.690936e-02	1.789759e-02	1.570208e+10	1.864116e+09	-1.733822e-02	1.765548e-02	1.719737e+10	2.018733e+09	-1.709205e-02	1.778219e-02	1.729401e+10	2.035250e+09	2.061357e-03	1.004257e-02	3.471447e-03	9.299475e-03	-6.556280e-03	1.598163e-02	-1.410093e-03	1.920163e-02	3.050148e-04	7.927846e-03	-1.496078e+09	1.564166e+08	-1.527612e+09	1.917393e+08	-1.908145e+06	8.385143e+06	3.153385e+07	4.697928e+07	-1.719816e+10	2.018982e+09
5.246984e+02	2.336485e-03	-1.006777e-02	2.803672e-02	1.697656e+09	1.906367e+08	-6.299874e-03	2.073488e-02	1.016788e+08	8.132102e+06	-1.262944e-02	2.479041e-02	1.652789e+09	1.505376e+08	-8.944463e-03	2.264241e-02	9.998070e+07	1.116600e+07	-1.237282e-02	2.541978e-02	1.623823e+10	1.613178e+09	-1.180446e-02	2.500619e-02	1.634866e+10	1.567181e+09	-1.239772e-02	2.534073e-02	1.789102e+10	1.761420e+09	-1.164129e-02	2.528464e-02	1.804632e+10	1.755175e+09	3.767898e-03	8.458099e-03	3.684973e-03	6.554528e-03	2.644591e-03	6.830297e-03	8.292125e-05	1.029326e-02	5.341411e-03	6.079620e-03	-1.595978e+09	1.835840e+08	-1.552808e+09	1.402465e+08	1.698066e+06	4.543318e+06	-4.316954e+07	4.999991e+07	-1.794464e+10	1.747587e+09
5.252010e+02	2.326247e-03	5.473492e-03	2.534532e-02	1.808518e+09	1.245222e+08	4.542420e-03	1.724151e-02	1.060185e+08	3.718050e+06	4.082567e-03	2.354130e-02	1.776526e+09	1.130548e+08	-6.771901e-04	1.586180e-02	1.027040e+08	3.695831e+06	4.555981e-03	2.436200e-02	1.745803e+10	1.059721e+09	5.049001e-03	2.383768e-02	1.756120e+10	1.058300e+09	4.510838e-03	2.426941e-02	1.923456e+10	1.169114e+09	5.088921e-03	2.397663e-02	1.936971e+10	1.181390e+09	-9.310731e-04	8.580284e-03	-4.759754e-03	8.719570e-03	5.219609e-03	3.797483e-03	3.828683e-03	5.975616e-03	-5.465004e-04	7.107782e-03	-1.702500e+09	1.227008e+08	-1.673822e+09	1.107351e+08	3.314498e+06	2.589822e+06	-2.867763e+07	3.937769e+07	-1.926370e+10	1.179259e+09
5.257036e+02	2.316158e-03	2.167930e-02	2.545215e-02	1.918191e+09	2.289489e+08	1.663993e-02	2.495528e-02	1.106216e+08	1.339985e+07	1.749486e-02	2.288573e-02	1.870533e+09	2.036949e+08	1.161553e-02	1.644081e-02	1.074933e+08	1.125594e+07	2.106749e-02	2.451866e-02	1.856781e+10	2.057685e+09	2.092149e-02	2.557097e-02	1.863857e+10	2.112101e+09	2.072976e-02	2.436395e-02	2.043834e+10	2.261296e+09	2.099276e-02	2.554963e-02	2.055676e+10	2.340546e+09	-5.039368e-03	2.598285e-03	-5.879331e-03	1.139432e-02	5.024404e-03	1.212514e-02	8.399625e-04	1.092118e-02	-4.352831e-03	3.107824e-03	-1.807569e+09	2.158339e+08	-1.763040e+09	1.940825e+08	3.128314e+06	4.938738e+06	-4.452981e+07	2.300094e+07	-2.044614e+10	2.327559e+09
5.262013e+02	2.306318e-03	1.590435e-02	2.173134e-02	1.860162e+09	2.993288e+08	1.306120e-02	2.197571e-02	1.082891e+08	1.805828e+07	1.308987e-02	1.972895e-02	1.823065e+09	2.792764e+08	9.837024e-03	2.393554e-02	1.055065e+08	1.723150e+07	1.615630e-02	2.106137e-02	1.806419e+10	2.793271e+09	1.575627e-02	2.090113e-02	1.810846e+10	2.813622e+09	1.586636e-02	2.093491e-02	1.988725e+10	3.072518e+09	1.577054e-02	2.096708e-02	1.996862e+10	3.112514e+09	-2.843146e-03	7.072266e-03	-3.252847e-03	1.006786e-02	3.224174e-03	5.144508e-03	4.096994e-04	5.277030e-03	-2.709341e-03	5.378794e-03	-1.751873e+09	2.813788e+08	-1.717558e+09	2.626064e+08	2.782571e+06	3.319611e+06	-3.431507e+07	2.066750e+07	-1.986033e+10	3.094546e+09
5.267014e+02	2.296579e-03	-4.141405e-04	1.129495e-02	1.732014e+09	2.110781e+08	4.968989e-03	7.617807e-03	1.062043e+08	9.026460e+06	9.752944e-04	1.121368e-02	1.733203e+09	2.059600e+08	-6.383236e-03	1.117111e-02	9.898104e+07	5.909078e+06	7.873655e-04	1.253141e-02	1.689540e+10	2.175280e+09	8.026415e-05	1.215263e-02	1.691731e+10	2.154381e+09	8.053928e-04	1.239700e-02	1.862861e+10	2.380752e+09	3.375973e-05	1.206929e-02	1.864932e+10	2.365369e+09	5.383129e-03	1.076731e-02	-7.358533e-03	1.737450e-02	1.135223e-02	8.562870e-03	1.274166e-02	9.112516e-03	4.935230e-03	1.168331e-02	-1.625809e+09	2.029609e+08	-1.634222e+09	2.013691e+08	7.223308e+06	5.533404e+06	8.412599e+06	1.683687e+07	-1.854312e+10	2.357245e+09
5.272040e+02	2.286946e-03	-9.513916e-03	1.807332e-02	1.683187e+09	1.857947e+08	-9.885490e-03	2.483573e-02	1.002431e+08	1.493898e+07	-8.479054e-03	1.852392e-02	1.682682e+09	1.826012e+08	-6.060298e-03	1.931671e-02	1.011114e+08	1.245729e+07	-8.592921e-03	1.790444e-02	1.643705e+10	1.759894e+09	-9.505553e-03	1.770967e-02	1.641331e+10	1.739343e+09	-8.582063e-03	1.796167e-02	1.811973e+10	1.941941e+09	-9.506172e-03	1.773820e-02	1.809649e+10	1.925010e+09	-3.715743e-04	8.565127e-03	2.418752e-03	4.087638e-03	-3.825192e-03	5.886865e-03	-2.790327e-03	7.284250e-03	-3.793162e-04	8.283220e-03	-1.582944e+09	1.716740e+08	-1.581570e+09	1.705861e+08	-8.682962e+05	2.735511e+06	-1.374049e+06	2.918461e+07	-1.799625e+10	1.910793e+09
5.276291e+02	2.278917e-03	3.663398e-03	2.631243e-02	1.823671e+09	1.946447e+08	2.832817e-03	3.766782e-02	1.084248e+08	1.828336e+07	3.786449e-03	2.889016e-02	1.817653e+09	2.307945e+08	1.537055e-03	2.835188e-02	1.062665e+08	1.440352e+07	4.009166e-03	2.689867e-02	1.773574e+10	1.958047e+09	2.879741e-03	2.708644e-02	1.770673e+10	1.917268e+09	3.988410e-03	2.708528e-02	1.955339e+10	2.188714e+09	2.953267e-03	2.701298e-02	1.953040e+10	2.111853e+09	-8.305780e-04	1.145966e-02	-2.249397e-03	3.427025e-03	1.295765e-03	1.022368e-02	1.418818e-03	1.274653e-02	-1.204472e-04	1.070059e-02	-1.715247e+09	1.764115e+08	-1.711386e+09	2.165123e+08	2.158214e+06	4.422247e+06	-3.860394e+06	4.259884e+07	-1.942198e+10	2.093591e+09
5.279042e+02	2.273782e-03	2.676180e-02	2.646914e-02	2.006104e+09	1.363997e+08	1.578842e-02	3.744924e-02	1.126069e+08	1.129759e+07	2.957877e-02	2.687062e-02	2.016206e+09	1.398678e+08	1.560057e-02	1.211299e-02	1.110310e+08	5.819702e+06	2.892917e-02	2.573527e-02	1.961979e+10	1.209400e+09	2.706457e-02	2.746701e-02	1.955067e+10	1.351112e+09	2.899033e-02	2.583958e-02	2.163599e+10	1.348831e+09	2.703632e-02	2.737067e-02	2.155677e+10	1.487052e+09	-1.097337e-02	1.107218e-02	-1.397820e-02	1.849149e-02	1.878525e-04	2.929432e-02	3.004824e-03	2.928989e-02	-1.124790e-02	1.028310e-02	-1.893498e+09	1.251514e+08	-1.905175e+09	1.395756e+08	1.575837e+06	1.265146e+07	1.167802e+07	2.263855e+07	-2.144417e+10	1.475815e+09
