Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.238282e+02	2.354551e-03	-4.986945e-03	1.845913e-02	1.680508e+09	2.874490e+08	-9.531068e-03	1.723297e-02	9.975091e+07	2.015710e+07	-1.175781e-03	1.685272e-02	1.707319e+09	2.631267e+08	-2.668781e-03	2.287602e-02	1.026249e+08	1.904079e+07	-4.488580e-03	1.679162e-02	1.639435e+10	2.611281e+09	-4.102750e-03	1.640095e-02	1.650317e+10	2.590957e+09	-4.175025e-03	1.679527e-02	1.810167e+10	2.874241e+09	-4.186044e-03	1.658899e-02	1.818367e+10	2.878002e+09	-4.544125e-03	3.466660e-03	-1.492999e-03	1.021087e-02	-6.862287e-03	1.458603e-02	-3.051125e-03	1.363647e-02	-5.345025e-03	4.110508e-03	-1.580757e+09	2.673029e+08	-1.604694e+09	2.447478e+08	-2.873970e+06	7.139837e+06	2.393735e+07	2.964939e+07	-1.808392e+10	2.857896e+09
5.241958e+02	2.346870e-03	-1.884839e-02	1.691669e-02	1.591932e+09	1.724343e+08	-1.691045e-02	1.693375e-02	9.841214e+07	1.282781e+07	-1.370220e-02	1.819964e-02	1.625374e+09	2.005405e+08	-1.919785e-02	2.306349e-02	9.482155e+07	1.633058e+07	-1.771836e-02	1.761804e-02	1.557200e+10	1.818578e+09	-1.690936e-02	1.789759e-02	1.570208e+10	1.864116e+09	-1.733822e-02	1.765548e-02	1.719737e+10	2.018733e+09	-1.709205e-02	1.778219e-02	1.729401e+10	2.035250e+09	1.937938e-03	2.212747e-03	-5.495646e-03	7.663815e-03	2.287397e-03	1.415939e-02	7.433583e-03	9.623755e-03	1.815974e-04	4.986911e-03	-1.493520e+09	1.596756e+08	-1.530553e+09	1.848499e+08	3.590596e+06	5.387519e+06	3.703257e+07	3.568750e+07	-1.719560e+10	2.022460e+09
5.246984e+02	2.336485e-03	-1.006777e-02	2.803672e-02	1.697656e+09	1.906367e+08	-6.402141e-03	3.128127e-02	1.059094e+08	1.130586e+07	-1.262944e-02	2.479041e-02	1.652789e+09	1.505376e+08	-1.664935e-02	2.758328e-02	9.807046e+07	1.009401e+07	-1.237282e-02	2.541978e-02	1.623823e+10	1.613178e+09	-1.180446e-02	2.500619e-02	1.634866e+10	1.567181e+09	-1.239772e-02	2.534073e-02	1.789102e+10	1.761420e+09	-1.164129e-02	2.528464e-02	1.804632e+10	1.755175e+09	3.665629e-03	5.669973e-03	-4.019908e-03	5.557189e-03	1.024721e-02	9.396941e-03	7.685537e-03	9.689033e-03	5.239143e-03	8.656375e-03	-1.591747e+09	1.794127e+08	-1.554718e+09	1.409793e+08	7.838897e+06	3.475028e+06	-3.702871e+07	4.358519e+07	-1.794041e+10	1.743948e+09
5.252010e+02	2.326247e-03	5.473492e-03	2.534532e-02	1.808518e+09	1.245222e+08	-6.694120e-04	2.155459e-02	1.070703e+08	4.200573e+06	4.082567e-03	2.354130e-02	1.776526e+09	1.130548e+08	7.463753e-03	3.049192e-02	1.093902e+08	8.933177e+06	4.555981e-03	2.436200e-02	1.745803e+10	1.059721e+09	5.049001e-03	2.383768e-02	1.756120e+10	1.058300e+09	4.510838e-03	2.426941e-02	1.923456e+10	1.169114e+09	5.088921e-03	2.397663e-02	1.936971e+10	1.181390e+09	-6.142903e-03	5.914685e-03	3.381189e-03	7.241454e-03	-8.133166e-03	1.160566e-02	-9.524092e-03	1.249653e-02	-5.758330e-03	5.955334e-03	-1.701448e+09	1.220698e+08	-1.667136e+09	1.042100e+08	-2.319947e+06	7.543048e+06	-3.431207e+07	3.896460e+07	-1.926265e+10	1.178901e+09
5.257036e+02	2.316158e-03	2.167930e-02	2.545215e-02	1.918191e+09	2.289489e+08	1.871830e-02	1.691401e-02	1.153889e+08	1.453767e+07	1.749486e-02	2.288573e-02	1.870533e+09	2.036949e+08	2.427847e-02	3.389276e-02	1.158159e+08	1.779089e+07	2.106749e-02	2.451866e-02	1.856781e+10	2.057685e+09	2.092149e-02	2.557097e-02	1.863857e+10	2.112101e+09	2.072976e-02	2.436395e-02	2.043834e+10	2.261296e+09	2.099276e-02	2.554963e-02	2.055676e+10	2.340546e+09	-2.960998e-03	1.279911e-02	6.783615e-03	1.116395e-02	-5.560173e-03	2.167327e-02	-9.744616e-03	2.340837e-02	-2.274460e-03	1.420876e-02	-1.802802e+09	2.176423e+08	-1.754717e+09	1.860741e+08	-4.270069e+05	1.263629e+07	-4.808512e+07	3.439755e+07	-2.044137e+10	2.329623e+09
5.262013e+02	2.306318e-03	1.590435e-02	2.173134e-02	1.860162e+09	2.993288e+08	1.108178e-02	2.336887e-02	1.102965e+08	2.208377e+07	1.308987e-02	1.972895e-02	1.823065e+09	2.792764e+08	1.155079e-02	2.372923e-02	1.084092e+08	2.063848e+07	1.615630e-02	2.106137e-02	1.806419e+10	2.793271e+09	1.575627e-02	2.090113e-02	1.810846e+10	2.813622e+09	1.586636e-02	2.093491e-02	1.988725e+10	3.072518e+09	1.577054e-02	2.096708e-02	1.996862e+10	3.112514e+09	-4.822571e-03	4.376233e-03	-1.539083e-03	5.263441e-03	-4.690118e-04	8.850864e-03	-3.283486e-03	7.941935e-03	-4.688764e-03	6.061264e-03	-1.749865e+09	2.774984e+08	-1.714656e+09	2.587806e+08	1.887360e+06	6.091195e+06	-3.521028e+07	1.998842e+07	-1.985832e+10	3.090825e+09
5.267014e+02	2.296579e-03	-4.141405e-04	1.129495e-02	1.732014e+09	2.110781e+08	1.185126e-02	1.321354e-02	1.119194e+08	1.553649e+07	9.752944e-04	1.121368e-02	1.733203e+09	2.059600e+08	1.534176e-03	1.536091e-02	1.045172e+08	1.628802e+07	7.873655e-04	1.253141e-02	1.689540e+10	2.175280e+09	8.026415e-05	1.215263e-02	1.691731e+10	2.154381e+09	8.053928e-04	1.239700e-02	1.862861e+10	2.380752e+09	3.375973e-05	1.206929e-02	1.864932e+10	2.365369e+09	1.226540e-02	6.789956e-03	5.588821e-04	4.612455e-03	1.031708e-02	9.461732e-03	1.170651e-02	8.807005e-03	1.181750e-02	6.994445e-03	-1.620094e+09	1.956150e+08	-1.628686e+09	1.897118e+08	7.402248e+06	2.428306e+06	8.591537e+06	1.249876e+07	-1.853740e+10	2.349917e+09
5.272040e+02	2.286946e-03	-9.513916e-03	1.807332e-02	1.683187e+09	1.857947e+08	-7.932637e-03	2.099952e-02	1.040356e+08	1.303171e+07	-8.479054e-03	1.852392e-02	1.682682e+09	1.826012e+08	-6.532472e-03	1.813101e-02	1.027416e+08	9.498382e+06	-8.592921e-03	1.790444e-02	1.643705e+10	1.759894e+09	-9.505553e-03	1.770967e-02	1.641331e+10	1.739343e+09	-8.582063e-03	1.796167e-02	1.811973e+10	1.941941e+09	-9.506172e-03	1.773820e-02	1.809649e+10	1.925010e+09	1.581279e-03	8.102583e-03	1.946581e-03	6.318978e-03	-1.400165e-03	4.568391e-03	-3.653020e-04	5.160908e-03	1.573536e-03	7.004127e-03	-1.579151e+09	1.729317e+08	-1.579940e+09	1.732482e+08	1.294015e+06	3.876111e+06	7.882620e+05	2.875813e+07	-1.799246e+10	1.912088e+09
5.276291e+02	2.278917e-03	3.663398e-03	2.631243e-02	1.823671e+09	1.946447e+08	1.684401e-03	4.424475e-02	1.114884e+08	1.842426e+07	3.786449e-03	2.889016e-02	1.817653e+09	2.307945e+08	9.603403e-03	3.283414e-02	1.129609e+08	1.284075e+07	4.009166e-03	2.689867e-02	1.773574e+10	1.958047e+09	2.879741e-03	2.708644e-02	1.770673e+10	1.917268e+09	3.988410e-03	2.708528e-02	1.955339e+10	2.188714e+09	2.953267e-03	2.701298e-02	1.953040e+10	2.111853e+09	-1.978996e-03	1.919107e-02	5.816952e-03	1.000703e-02	-7.919002e-03	1.183680e-02	-7.795951e-03	1.449909e-02	-1.268865e-03	1.863418e-02	-1.712183e+09	1.766704e+08	-1.704692e+09	2.185037e+08	-1.472419e+06	5.899860e+06	-7.491026e+06	4.464086e+07	-1.941892e+10	2.093870e+09
5.279042e+02	2.273782e-03	2.676180e-02	2.646914e-02	2.006104e+09	1.363997e+08	1.906543e-02	3.888720e-02	1.175400e+08	1.143865e+07	2.957877e-02	2.687062e-02	2.016206e+09	1.398678e+08	2.700490e-02	3.864688e-02	1.211760e+08	1.292158e+07	2.892917e-02	2.573527e-02	1.961979e+10	1.209400e+09	2.706457e-02	2.746701e-02	1.955067e+10	1.351112e+09	2.899033e-02	2.583958e-02	2.163599e+10	1.348831e+09	2.703632e-02	2.737067e-02	2.155677e+10	1.487052e+09	-7.696372e-03	1.351752e-02	-2.573873e-03	1.410249e-02	-7.939472e-03	1.096636e-02	-5.122502e-03	1.328488e-02	-7.970893e-03	1.241743e-02	-1.888565e+09	1.262154e+08	-1.895030e+09	1.278669e+08	-3.636114e+06	7.924522e+06	6.466075e+06	2.584612e+07	-2.143923e+10	1.476555e+09
