# Delay[ns]	Avg Transient	0137 Delay[ns]	0137 Transient	0138 Delay[ns]	0138 Transient	0139 Delay[ns]	0139 Transient
-3.385000e+01	8.146131e-04	-3.385000e+01	-1.371709e-03	-3.385000e+01	1.931857e-02	-3.185000e+01	-7.554388e-03
-2.985000e+01	7.820614e-03	-3.185000e+01	2.534614e-02	-2.985000e+01	1.117646e-02	-2.985000e+01	-2.669325e-03
-2.785000e+01	2.300529e-02	-2.985000e+01	1.495470e-02	-2.785000e+01	4.872557e-02	-2.785000e+01	2.423585e-02
-2.585000e+01	1.092447e-02	-2.585000e+01	2.081929e-03	-2.585000e+01	6.293606e-05	-2.585000e+01	3.062856e-02
-2.385000e+01	-6.399520e-03	-2.385000e+01	-2.792527e-02	-2.385000e+01	3.486743e-03	-2.385000e+01	5.239965e-03
-1.985000e+01	-1.131061e-02	-1.985000e+01	-1.934892e-02	-2.185000e+01	-1.558789e-02	-2.185000e+01	-9.104965e-03
-1.585000e+01	1.064538e-02	-1.585000e+01	-9.385020e-03	-1.785000e+01	1.908927e-02	-1.985000e+01	9.658409e-03
-1.185000e+01	3.528151e-03	-1.185000e+01	-6.856876e-03	-1.385000e+01	-7.842423e-03	-1.785000e+01	-3.399448e-03
-9.850000e+00	-1.425079e-02	-9.850000e+00	1.856818e-02	-1.185000e+01	2.464944e-02	-1.585000e+01	1.095944e-02
-7.850000e+00	4.837931e-04	-5.850000e+00	1.661206e-03	-9.850000e+00	-5.491205e-02	-1.385000e+01	6.185643e-03
-3.850000e+00	1.224454e-02	-1.850000e+00	-1.945947e-02	-7.850000e+00	-1.217419e-02	-1.185000e+01	-7.208113e-03
-1.850000e+00	-9.968697e-04	2.150000e+00	9.895411e-03	-5.850000e+00	-4.505841e-02	-9.850000e+00	-6.408511e-03
2.150000e+00	5.698132e-03	4.150000e+00	1.811075e-02	-1.850000e+00	2.122860e-02	-7.850000e+00	-6.472640e-03
6.150000e+00	6.162380e-03	6.150000e+00	-1.125575e-02	2.150000e+00	-1.671207e-02	-5.850000e+00	-2.240513e-02
1.015000e+01	2.190671e-02	8.150000e+00	-8.484693e-03	6.150000e+00	1.291882e-02	-1.850000e+00	-4.759739e-03
1.215000e+01	1.046843e-02	1.015000e+01	3.858010e-02	8.150000e+00	1.420793e-02	1.500000e-01	-6.961355e-03
1.615000e+01	8.892110e-03	1.415000e+01	1.553585e-02	1.015000e+01	4.103041e-02	2.150000e+00	2.391105e-02
1.815000e+01	1.397814e-02	1.615000e+01	4.573717e-04	1.215000e+01	1.585140e-02	4.150000e+00	2.560821e-02
2.015000e+01	3.102765e-02	1.815000e+01	4.511905e-02	1.615000e+01	1.627258e-02	6.150000e+00	1.682407e-02
2.215000e+01	-2.888876e-03	2.015000e+01	5.766743e-02	1.815000e+01	-1.214179e-02	8.150000e+00	-6.261230e-03
2.415000e+01	2.354965e-02	2.415000e+01	2.459285e-02	2.015000e+01	3.129348e-03	1.015000e+01	-1.389037e-02
2.815000e+01	1.565784e-02	2.815000e+01	-5.093123e-04	2.215000e+01	-1.804167e-02	1.215000e+01	-1.806177e-02
3.015000e+01	2.508946e-02	3.015000e+01	3.370936e-02	2.415000e+01	4.376067e-02	1.615000e+01	9.946381e-03
3.215000e+01	3.231670e-02	3.215000e+01	5.134249e-02	2.615000e+01	-1.607003e-02	2.015000e+01	3.228617e-02
3.415000e+01	1.801649e-02	3.415000e+01	-3.048283e-03	2.815000e+01	4.654497e-02	2.215000e+01	-3.806755e-03
3.615000e+01	3.271487e-02	3.615000e+01	1.751974e-02	3.015000e+01	2.990410e-02	2.415000e+01	2.295428e-03
3.815000e+01	1.161548e-02	3.815000e+01	3.703978e-02	3.415000e+01	4.087288e-02	2.615000e+01	2.043323e-02
4.015000e+01	3.724128e-02	4.015000e+01	2.966751e-02	3.615000e+01	6.893139e-02	2.815000e+01	9.378498e-04
4.415000e+01	2.535355e-02	4.215000e+01	5.077194e-02	4.015000e+01	3.924991e-02	3.015000e+01	1.165493e-02
4.615000e+01	1.254492e-02	4.415000e+01	2.766100e-02	4.215000e+01	8.813571e-03	3.215000e+01	2.093559e-02
4.815000e+01	1.932178e-02	4.615000e+01	1.664988e-02	4.615000e+01	-4.075395e-04	3.415000e+01	1.622486e-02
5.015000e+01	3.829394e-02	4.815000e+01	2.042922e-02	4.815000e+01	2.502892e-02	3.615000e+01	1.169348e-02
5.215000e+01	4.324732e-02	5.015000e+01	2.801307e-02	5.015000e+01	5.577903e-02	3.815000e+01	1.348657e-02
5.415000e+01	4.578179e-02	5.215000e+01	6.570936e-02	5.215000e+01	3.041311e-02	4.015000e+01	4.280643e-02
