Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
5.290120E+2	-2.561394E-2	1.333678E+9	-1.252238E-2	9.126640E+7	-1.828609E-2	1.414213E+9	-2.593167E-2	7.920249E+7	-2.246431E-2	1.338464E+10	-2.125884E-2	1.352046E+10	-2.206822E-2	1.479885E+10	-2.166917E-2	1.485414E+10	1.309156E-2	-7.645578E-3	1.340929E-2	2.073714E-2	9.146791E-3	-1.242411E+9	-1.335011E+9	1.206391E+7	9.259925E+7	-1.476287E+10
5.295010E+2	-2.498596E-3	1.613586E+9	-1.638495E-2	8.841198E+7	2.404358E-3	1.664760E+9	-7.899077E-3	9.211786E+7	-4.237670E-4	1.593314E+10	-1.546768E-4	1.597729E+10	-1.556646E-4	1.759790E+10	-3.755159E-4	1.759087E+10	-1.388635E-2	-1.030343E-2	-8.485873E-3	-3.582919E-3	-1.600943E-2	-1.525174E+9	-1.572642E+9	-3.705881E+6	4.746774E+7	-1.750246E+10
5.300010E+2	3.258225E-2	2.038387E+9	3.009842E-2	1.227630E+8	2.180591E-2	1.899699E+9	2.355546E-2	1.146463E+8	2.550716E-2	1.893147E+10	2.567244E-2	1.898393E+10	2.515628E-2	2.083117E+10	2.632346E-2	2.102231E+10	-2.483829E-3	1.749552E-3	6.542962E-3	-4.233381E-3	3.774957E-3	-1.915624E+9	-1.785052E+9	8.116627E+6	-1.305717E+8	-2.089955E+10
5.305030E+2	1.501579E-2	1.825671E+9	9.728981E-3	1.077101E+8	8.881668E-3	1.743195E+9	2.570689E-2	1.161872E+8	1.390927E-2	1.759043E+10	1.288410E-2	1.749518E+10	1.343266E-2	1.933363E+10	1.308495E-2	1.932085E+10	-5.286805E-3	1.682522E-2	-1.597790E-2	-2.211202E-2	-3.355966E-3	-1.717961E+9	-1.627008E+9	-8.477197E+6	-9.095305E+7	-1.921314E+10
5.310050E+2	-3.091626E-3	1.606405E+9	-7.990800E-3	9.461522E+7	-2.691759E-3	1.603049E+9	-7.193347E-3	9.262332E+7	-1.506810E-3	1.580791E+10	-8.627496E-4	1.589486E+10	-1.619142E-3	1.741096E+10	-1.072750E-3	1.750126E+10	-4.899175E-3	-4.501588E-3	-7.974537E-4	-3.975870E-4	-6.918051E-3	-1.511790E+9	-1.510426E+9	1.991895E+6	-1.363692E+6	-1.740665E+10
5.315030E+2	-1.408203E-2	1.473320E+9	2.510136E-3	1.023754E+8	-1.569452E-2	1.445595E+9	-1.100889E-2	8.989054E+7	-1.370107E-2	1.439791E+10	-1.411800E-2	1.435176E+10	-1.389005E-2	1.584351E+10	-1.411461E-2	1.582508E+10	1.659216E-2	4.685629E-3	1.351903E-2	1.190653E-2	1.662475E-2	-1.370945E+9	-1.355705E+9	1.248482E+7	-1.523999E+7	-1.572270E+10
5.320070E+2	-1.067409E-2	1.514587E+9	-6.253124E-3	9.589935E+7	-7.962249E-3	1.539227E+9	1.847649E-4	9.790770E+7	-1.243200E-2	1.454465E+10	-1.120434E-2	1.469095E+10	-1.200827E-2	1.608388E+10	-1.115438E-2	1.620554E+10	4.420964E-3	8.147014E-3	-6.437889E-3	-3.726050E-3	4.901253E-3	-1.418688E+9	-1.441320E+9	-2.008349E+6	2.263172E+7	-1.610964E+10
5.325120E+2	8.362237E-3	1.745102E+9	8.137165E-4	1.011217E+8	1.154268E-2	1.775418E+9	2.585870E-3	9.962743E+7	1.111153E-2	1.726694E+10	9.042070E-3	1.704792E+10	1.115240E-2	1.904235E+10	8.978018E-3	1.879302E+10	-7.548520E-3	-8.956812E-3	-1.772153E-3	1.408292E-3	-8.164301E-3	-1.643980E+9	-1.675791E+9	1.494285E+6	3.181053E+7	-1.869190E+10
5.330080E+2	4.379609E-2	2.174177E+9	4.920454E-2	1.368823E+8	4.918660E-2	2.231259E+9	5.600151E-2	1.378850E+8	4.527484E-2	2.121716E+10	4.425223E-2	2.114688E+10	4.564567E-2	2.344841E+10	4.420925E-2	2.332105E+10	5.408449E-3	6.814909E-3	-6.796976E-3	-1.406461E-3	4.995285E-3	-2.037295E+9	-2.093374E+9	-1.002676E+6	5.607907E+7	-2.318417E+10
5.332150E+2	3.374370E-2	2.052451E+9	3.180063E-2	1.240209E+8	3.261945E-2	2.030643E+9	2.547273E-2	1.160195E+8	3.458845E-2	1.998151E+10	3.396701E-2	1.994953E+10	3.440179E-2	2.201216E+10	3.394597E-2	2.200198E+10	-1.943074E-3	-7.146713E-3	6.327892E-3	5.203639E-3	-2.145348E-3	-1.928430E+9	-1.914623E+9	8.001351E+6	-1.380698E+7	-2.187796E+10
5.334160E+2	1.685198E-2	1.847906E+9	1.587328E-2	1.122507E+8	1.748776E-2	1.847409E+9	2.233804E-2	1.137744E+8	1.636115E-2	1.787394E+10	1.603798E-2	1.786234E+10	1.646795E-2	1.972134E+10	1.611467E-2	1.971024E+10	-9.786935E-4	4.850282E-3	-6.464757E-3	-5.828976E-3	-2.413863E-4	-1.735655E+9	-1.733634E+9	-1.523739E+6	-2.020807E+6	-1.959799E+10
5.336130E+2	-8.417348E-5	1.642823E+9	-7.033116E-3	9.532294E+7	6.973522E-3	1.720089E+9	5.778996E-3	1.019144E+8	2.802880E-3	1.630623E+10	4.912898E-3	1.656722E+10	3.198251E-3	1.802631E+10	4.442085E-3	1.821005E+10	-6.948943E-3	-1.194526E-3	-1.281211E-2	-5.754416E-3	-1.147520E-2	-1.547500E+9	-1.618175E+9	-6.591481E+6	7.067474E+7	-1.811472E+10
5.338050E+2	3.294650E-2	2.042798E+9	2.774940E-2	1.210271E+8	2.729063E-2	1.966115E+9	1.329438E-2	1.072971E+8	3.014446E-2	1.946767E+10	3.000965E-2	1.948884E+10	2.987392E-2	2.143378E+10	3.028635E-2	2.153164E+10	-5.197107E-3	-1.399625E-2	1.445502E-2	8.799147E-3	-2.536955E-3	-1.921771E+9	-1.858818E+9	1.372994E+7	-6.295308E+7	-2.141061E+10
5.340070E+2	8.248146E-2	2.642626E+9	8.791793E-2	1.654913E+8	8.305150E-2	2.641339E+9	6.020882E-2	1.408983E+8	8.280228E-2	2.555636E+10	8.182702E-2	2.552111E+10	8.282590E-2	2.819770E+10	8.188868E-2	2.816374E+10	5.436472E-3	-2.284268E-2	2.770911E-2	2.827915E-2	6.029249E-3	-2.477135E+9	-2.500440E+9	2.459297E+7	2.330563E+7	-2.799825E+10
