Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.251675e+02	1.466114e-02	-7.285420e-03	1.326736e-03	9.245990e+08	8.241276e+07	-5.494723e-03	3.068118e-03	5.072204e+07	6.923864e+06	-6.510144e-03	1.025860e-03	9.411546e+08	9.807421e+07	-6.916265e-03	1.914524e-03	4.997960e+07	5.473824e+06	-6.859810e-03	1.257243e-03	8.438302e+09	4.937504e+08	-6.702672e-03	1.473652e-03	8.516615e+09	5.142666e+08	-6.819950e-03	1.223244e-03	9.379457e+09	4.279790e+08	-6.757237e-03	1.451453e-03	9.441213e+09	4.578139e+08	1.790696e-03	3.722410e-03	-4.061203e-04	1.984305e-03	1.421541e-03	2.746194e-03	2.196817e-03	3.375131e-03	1.262513e-03	3.417500e-03	-8.738770e+08	8.529589e+07	-8.911750e+08	9.978683e+07	7.424380e+05	6.458779e+06	1.729810e+07	2.618128e+07	-9.390492e+09	4.521075e+08
5.255176e+02	1.466716e-02	-5.780409e-03	1.700191e-03	9.569236e+08	8.713082e+07	-4.084806e-03	4.071183e-03	5.234192e+07	6.874394e+06	-5.649710e-03	1.278266e-03	9.584218e+08	9.248290e+07	-6.139411e-03	2.953506e-03	5.088026e+07	6.727428e+06	-5.887049e-03	1.195481e-03	8.625907e+09	4.925986e+08	-5.812324e-03	1.191151e-03	8.689492e+09	4.939658e+08	-5.865987e-03	1.191615e-03	9.584329e+09	4.419037e+08	-5.810191e-03	1.227372e-03	9.646415e+09	4.528998e+08	1.695603e-03	3.874466e-03	-4.897000e-04	2.431345e-03	2.054604e-03	4.677939e-03	2.185303e-03	4.689163e-03	1.725385e-03	3.620839e-03	-9.045817e+08	9.072784e+07	-9.075415e+08	9.680049e+07	1.461663e+06	8.932000e+06	2.959923e+06	2.675255e+07	-9.594074e+09	4.477472e+08
5.260002e+02	1.467549e-02	-4.013769e-03	2.054765e-03	9.941471e+08	8.686357e+07	-3.199805e-03	4.061551e-03	5.336188e+07	7.471798e+06	-4.128713e-03	1.847614e-03	9.895105e+08	8.234832e+07	-3.359402e-03	3.369101e-03	5.416118e+07	6.562233e+06	-4.550961e-03	1.527010e-03	8.882159e+09	5.399970e+08	-4.374540e-03	1.522939e-03	8.967154e+09	5.454255e+08	-4.514068e-03	1.539197e-03	9.871670e+09	4.813542e+08	-4.339278e-03	1.555425e-03	9.961301e+09	5.011132e+08	8.139643e-04	2.986569e-03	7.693112e-04	2.239868e-03	1.595981e-04	3.506072e-03	4.465315e-05	3.217877e-03	1.139474e-03	3.206184e-03	-9.407853e+08	8.991884e+07	-9.353494e+08	8.691885e+07	-7.993019e+05	6.762974e+06	-5.435887e+06	3.394085e+07	-9.907938e+09	4.947672e+08
5.264953e+02	1.468406e-02	-1.663936e-03	1.444782e-03	1.047084e+09	9.846457e+07	-1.217685e-03	3.267730e-03	5.575646e+07	6.340092e+06	-1.578757e-03	1.928375e-03	1.046593e+09	9.761696e+07	-1.092129e-03	4.572817e-03	5.684131e+07	4.474038e+06	-1.908109e-03	1.172281e-03	9.391364e+09	4.915858e+08	-1.641662e-03	1.209249e-03	9.496437e+09	4.780675e+08	-1.878662e-03	1.222193e-03	1.043796e+10	4.203792e+08	-1.641998e-03	1.217998e-03	1.054352e+10	4.084226e+08	4.462512e-04	2.752581e-03	4.866274e-04	3.735162e-03	-1.255546e-04	4.351139e-03	-4.037615e-05	4.665414e-03	4.243132e-04	2.948011e-03	-9.913275e+08	1.019454e+08	-9.897516e+08	1.013597e+08	-1.084847e+06	5.135686e+06	-1.575815e+06	2.558670e+07	-1.048776e+10	4.032142e+08
5.269980e+02	1.469280e-02	1.955278e-03	1.759975e-03	1.125306e+09	1.108526e+08	3.455459e-03	4.045924e-03	6.124109e+07	6.125946e+06	1.989633e-03	1.444247e-03	1.125996e+09	1.175973e+08	2.073849e-03	4.681153e-03	6.050515e+07	6.108498e+06	2.275383e-03	1.374453e-03	1.019632e+10	5.258921e+08	2.176202e-03	1.406890e-03	1.023538e+10	5.444604e+08	2.250149e-03	1.358766e-03	1.132232e+10	4.360761e+08	2.155941e-03	1.410945e-03	1.136069e+10	4.836788e+08	1.500181e-03	4.106539e-03	8.421569e-05	4.495042e-03	1.381610e-03	5.568121e-03	1.415965e-03	6.023097e-03	1.299518e-03	3.881041e-03	-1.064065e+09	1.142735e+08	-1.065490e+09	1.199978e+08	7.359374e+05	8.532919e+06	1.425864e+06	4.200315e+07	-1.129945e+10	4.800075e+08
5.275006e+02	1.470156e-02	8.599570e-03	1.905165e-03	1.269392e+09	1.220824e+08	8.334391e-03	4.031404e-03	6.697493e+07	4.552163e+06	7.722937e-03	1.620713e-03	1.250632e+09	1.363203e+08	7.924219e-03	4.221398e-03	6.744417e+07	6.911149e+06	8.882848e-03	1.446858e-03	1.146741e+10	5.276004e+08	8.489250e-03	1.514176e-03	1.145804e+10	5.592135e+08	8.767130e-03	1.447887e-03	1.271804e+10	4.365206e+08	8.498280e-03	1.531686e-03	1.272743e+10	4.912848e+08	-2.651776e-04	4.069265e-03	2.012824e-04	4.026118e-03	4.101729e-04	3.789472e-03	-4.664597e-04	3.944622e-03	-1.638877e-04	4.060601e-03	-1.202417e+09	1.253220e+08	-1.183188e+09	1.379406e+08	-4.692411e+05	5.846866e+06	-1.922935e+07	2.538036e+07	-1.266045e+10	4.891084e+08
5.279157e+02	1.470882e-02	1.624211e-02	9.314336e-04	1.440693e+09	1.704324e+08	1.341425e-02	4.217378e-03	7.296237e+07	6.787049e+06	1.622192e-02	8.717655e-04	1.439712e+09	1.822800e+08	1.489584e-02	3.728833e-03	7.575482e+07	6.152739e+06	1.708579e-02	1.184946e-03	1.304705e+10	4.911479e+08	1.686826e-02	1.120787e-03	1.308241e+10	4.630553e+08	1.700692e-02	1.113884e-03	1.448676e+10	3.936616e+08	1.681333e-02	1.053266e-03	1.452310e+10	3.541690e+08	-2.827862e-03	3.861632e-03	-1.326085e-03	3.834411e-03	-1.481591e-03	6.057884e-03	-1.501777e-03	6.203494e-03	-3.399087e-03	3.471563e-03	-1.367731e+09	1.757139e+08	-1.363957e+09	1.849894e+08	-2.792450e+06	6.479665e+06	-3.773887e+06	2.625851e+07	-1.445014e+10	3.496532e+08
5.281508e+02	1.471294e-02	2.350781e-02	1.774650e-03	1.600572e+09	2.036502e+08	2.198898e-02	5.682938e-03	8.314624e+07	7.830599e+06	2.382154e-02	1.178132e-03	1.604698e+09	1.996737e+08	2.244340e-02	8.512251e-03	8.473197e+07	1.035728e+07	2.486552e-02	1.454567e-03	1.454494e+10	5.441019e+08	2.425938e-02	1.365490e-03	1.451359e+10	4.990040e+08	2.476785e-02	1.411217e-03	1.614964e+10	4.355464e+08	2.419715e-02	1.326809e-03	1.611416e+10	3.925372e+08	-1.518831e-03	4.839292e-03	-1.378153e-03	9.072130e-03	-4.544191e-04	1.185093e-02	-1.406800e-04	1.141656e-02	-2.208174e-03	5.391395e-03	-1.517426e+09	2.070895e+08	-1.519967e+09	2.047068e+08	-1.585728e+06	1.044385e+07	2.540833e+06	2.548817e+07	-1.603101e+10	3.878852e+08
5.283008e+02	1.471557e-02	3.079510e-02	1.846010e-03	1.759817e+09	2.275448e+08	3.142586e-02	4.775414e-03	9.429436e+07	8.701627e+06	3.132681e-02	1.402152e-03	1.768265e+09	2.216204e+08	2.890979e-02	7.869275e-03	9.235732e+07	9.509750e+06	3.236782e-02	1.248575e-03	1.599023e+10	5.201720e+08	3.174372e-02	1.550816e-03	1.596478e+10	5.593095e+08	3.226377e-02	1.258302e-03	1.775850e+10	4.444409e+08	3.166044e-02	1.533382e-03	1.772460e+10	4.834815e+08	6.307638e-04	4.583019e-03	-2.417015e-03	8.046012e-03	2.516065e-03	8.595757e-03	3.047777e-03	8.296681e-03	-2.345775e-04	4.305318e-03	-1.665523e+09	2.305792e+08	-1.675908e+09	2.235103e+08	1.937050e+06	7.266525e+06	1.038529e+07	3.165495e+07	-1.763030e+10	4.758485e+08
5.284509e+02	1.471821e-02	3.861189e-02	2.274889e-03	1.930884e+09	2.561190e+08	4.019688e-02	6.357385e-03	1.046178e+08	9.024324e+06	4.078159e-02	1.292668e-03	1.975663e+09	2.550722e+08	4.073953e-02	6.460023e-03	1.061796e+08	6.412436e+06	4.130962e-02	1.350201e-03	1.771285e+10	5.048782e+08	4.051332e-02	1.379609e-03	1.766540e+10	5.479195e+08	4.125147e-02	1.324716e-03	1.968851e+10	4.993357e+08	4.032733e-02	1.435914e-03	1.959628e+10	5.356418e+08	1.584986e-03	4.940122e-03	-4.205955e-05	6.478603e-03	-5.426480e-04	9.973150e-03	1.627047e-03	9.283744e-03	-1.304501e-04	5.864261e-03	-1.826267e+09	2.582345e+08	-1.869483e+09	2.551669e+08	-1.561768e+06	1.035202e+07	4.321703e+07	2.129633e+07	-1.949167e+10	5.302032e+08
