Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.251675e+02	1.466114e-02	-7.285420e-03	1.326736e-03	9.245990e+08	8.241276e+07	-7.396769e-03	2.340213e-03	4.890682e+07	4.926680e+06	-6.510144e-03	1.025860e-03	9.411546e+08	9.807421e+07	-5.825843e-03	2.889751e-03	5.099715e+07	5.666728e+06	-6.859810e-03	1.257243e-03	8.438302e+09	4.937504e+08	-6.702672e-03	1.473652e-03	8.516615e+09	5.142666e+08	-6.819950e-03	1.223244e-03	9.379457e+09	4.279790e+08	-6.757237e-03	1.451453e-03	9.441213e+09	4.578139e+08	-1.113494e-04	1.849321e-03	6.843013e-04	2.999919e-03	-1.570926e-03	3.129980e-03	-7.956509e-04	3.276998e-03	-6.395324e-04	1.733415e-03	-8.756921e+08	8.265296e+07	-8.901575e+08	1.012052e+08	-2.090333e+06	4.755754e+06	1.446533e+07	2.633310e+07	-9.392307e+09	4.549243e+08
5.255176e+02	1.466716e-02	-5.780409e-03	1.700191e-03	9.569236e+08	8.713082e+07	-6.998164e-03	2.852718e-03	4.934588e+07	5.538348e+06	-5.649710e-03	1.278266e-03	9.584218e+08	9.248290e+07	-7.125882e-03	2.776532e-03	4.948729e+07	6.169080e+06	-5.887049e-03	1.195481e-03	8.625907e+09	4.925986e+08	-5.812324e-03	1.191151e-03	8.689492e+09	4.939658e+08	-5.865987e-03	1.191615e-03	9.584329e+09	4.419037e+08	-5.810191e-03	1.227372e-03	9.646415e+09	4.528998e+08	-1.217755e-03	2.124084e-03	-1.476172e-03	2.676062e-03	1.277185e-04	3.327041e-03	2.584170e-04	3.493229e-03	-1.187973e-03	2.380411e-03	-9.075776e+08	8.779236e+07	-9.089345e+08	9.568008e+07	-1.414053e+05	4.836678e+06	1.356853e+06	2.867527e+07	-9.597070e+09	4.493554e+08
5.260002e+02	1.467549e-02	-4.013769e-03	2.054765e-03	9.941471e+08	8.686357e+07	-4.216967e-03	3.209195e-03	5.258592e+07	5.025242e+06	-4.128713e-03	1.847614e-03	9.895105e+08	8.234832e+07	-4.875406e-03	3.881061e-03	5.207034e+07	6.370107e+06	-4.550961e-03	1.527010e-03	8.882159e+09	5.399970e+08	-4.374540e-03	1.522939e-03	8.967154e+09	5.454255e+08	-4.514068e-03	1.539197e-03	9.871670e+09	4.813542e+08	-4.339278e-03	1.555425e-03	9.961301e+09	5.011132e+08	-2.031988e-04	3.134446e-03	-7.466927e-04	3.804967e-03	6.584391e-04	5.617860e-03	5.434943e-04	6.359511e-03	1.223106e-04	2.955438e-03	-9.415612e+08	8.865498e+07	-9.374403e+08	8.719321e+07	5.155839e+05	7.124709e+06	-4.121002e+06	4.172647e+07	-9.908714e+09	4.978028e+08
5.264953e+02	1.468406e-02	-1.663936e-03	1.444782e-03	1.047084e+09	9.846457e+07	-2.022292e-03	2.188064e-03	5.514340e+07	2.924210e+06	-1.578757e-03	1.928375e-03	1.046593e+09	9.761696e+07	-1.492138e-03	2.248869e-03	5.598310e+07	4.409601e+06	-1.908109e-03	1.172281e-03	9.391364e+09	4.915858e+08	-1.641662e-03	1.209249e-03	9.496437e+09	4.780675e+08	-1.878662e-03	1.222193e-03	1.043796e+10	4.203792e+08	-1.641998e-03	1.217998e-03	1.054352e+10	4.084226e+08	-3.583567e-04	2.787856e-03	8.661954e-05	2.778088e-03	-5.301553e-04	3.607679e-03	-4.449763e-04	4.166624e-03	-3.802946e-04	2.433353e-03	-9.919406e+08	9.938775e+07	-9.906099e+08	1.012951e+08	-8.396933e+05	4.163713e+06	-1.330660e+06	2.641900e+07	-1.048838e+10	4.065075e+08
5.269980e+02	1.469280e-02	1.955278e-03	1.759975e-03	1.125306e+09	1.108526e+08	1.197756e-03	2.817165e-03	5.888644e+07	3.967396e+06	1.989633e-03	1.444247e-03	1.125996e+09	1.175973e+08	1.351151e-03	1.742292e-03	5.931878e+07	5.543432e+06	2.275383e-03	1.374453e-03	1.019632e+10	5.258921e+08	2.176202e-03	1.406890e-03	1.023538e+10	5.444604e+08	2.250149e-03	1.358766e-03	1.132232e+10	4.360761e+08	2.155941e-03	1.410945e-03	1.136069e+10	4.836788e+08	-7.575226e-04	2.644406e-03	-6.384829e-04	2.083261e-03	-1.533952e-04	3.697014e-03	-1.190397e-04	3.829173e-03	-9.581855e-04	2.812211e-03	-1.066419e+09	1.112094e+08	-1.066677e+09	1.218883e+08	-4.323391e+05	5.071301e+06	2.575903e+05	4.092651e+07	-1.130180e+10	4.820020e+08
5.275006e+02	1.470156e-02	8.599570e-03	1.905165e-03	1.269392e+09	1.220824e+08	9.463695e-03	3.736852e-03	6.845741e+07	5.078098e+06	7.722937e-03	1.620713e-03	1.250632e+09	1.363203e+08	7.777105e-03	4.205509e-03	6.676245e+07	7.460052e+06	8.882848e-03	1.446858e-03	1.146741e+10	5.276004e+08	8.489250e-03	1.514176e-03	1.145804e+10	5.592135e+08	8.767130e-03	1.447887e-03	1.271804e+10	4.365206e+08	8.498280e-03	1.531686e-03	1.272743e+10	4.912848e+08	8.641251e-04	3.981322e-03	5.416903e-05	4.201130e-03	1.686589e-03	6.401541e-03	8.099559e-04	6.975274e-03	9.654148e-04	3.517291e-03	-1.200934e+09	1.248755e+08	-1.183869e+09	1.409692e+08	1.694955e+06	9.019921e+06	-1.706515e+07	3.043342e+07	-1.265897e+10	4.901056e+08
5.279157e+02	1.470882e-02	1.624211e-02	9.314336e-04	1.440693e+09	1.704324e+08	1.704208e-02	4.550786e-03	7.720429e+07	6.184983e+06	1.622192e-02	8.717655e-04	1.439712e+09	1.822800e+08	1.835065e-02	5.691185e-03	7.905311e+07	9.871675e+06	1.708579e-02	1.184946e-03	1.304705e+10	4.911479e+08	1.686826e-02	1.120787e-03	1.308241e+10	4.630553e+08	1.700692e-02	1.113884e-03	1.448676e+10	3.936616e+08	1.681333e-02	1.053266e-03	1.452310e+10	3.541690e+08	7.999705e-04	4.569168e-03	2.128733e-03	5.874619e-03	-1.308576e-03	6.575703e-03	-1.328762e-03	6.874214e-03	2.287440e-04	4.383474e-03	-1.363489e+09	1.716902e+08	-1.360659e+09	1.903082e+08	-1.848813e+06	1.019192e+07	-2.830250e+06	3.477896e+07	-1.444589e+10	3.507420e+08
5.281508e+02	1.471294e-02	2.350781e-02	1.774650e-03	1.600572e+09	2.036502e+08	2.749835e-02	4.928092e-03	8.936934e+07	7.301189e+06	2.382154e-02	1.178132e-03	1.604698e+09	1.996737e+08	2.423135e-02	3.989991e-03	8.580524e+07	4.308078e+06	2.486552e-02	1.454567e-03	1.454494e+10	5.441019e+08	2.425938e-02	1.365490e-03	1.451359e+10	4.990040e+08	2.476785e-02	1.411217e-03	1.614964e+10	4.355464e+08	2.419715e-02	1.326809e-03	1.611416e+10	3.925372e+08	3.990546e-03	5.828878e-03	4.098068e-04	3.923714e-03	3.267000e-03	6.293637e-03	3.580740e-03	6.917252e-03	3.301203e-03	5.211196e-03	-1.511203e+09	2.055937e+08	-1.518893e+09	2.028026e+08	3.564096e+06	7.764177e+06	7.690658e+06	2.630400e+07	-1.602479e+10	3.922727e+08
5.283008e+02	1.471557e-02	3.079510e-02	1.846010e-03	1.759817e+09	2.275448e+08	3.335094e-02	6.519264e-03	9.617112e+07	7.313912e+06	3.132681e-02	1.402152e-03	1.768265e+09	2.216204e+08	3.184808e-02	8.177103e-03	9.462024e+07	9.146107e+06	3.236782e-02	1.248575e-03	1.599023e+10	5.201720e+08	3.174372e-02	1.550816e-03	1.596478e+10	5.593095e+08	3.226377e-02	1.258302e-03	1.775850e+10	4.444409e+08	3.166044e-02	1.533382e-03	1.772460e+10	4.834815e+08	2.555844e-03	7.719462e-03	5.212728e-04	8.114244e-03	1.502857e-03	1.077989e-02	2.034570e-03	1.118438e-02	1.690502e-03	7.550951e-03	-1.663646e+09	2.291005e+08	-1.673645e+09	2.285786e+08	1.550884e+06	1.286258e+07	9.999123e+06	3.151312e+07	-1.762842e+10	4.863958e+08
5.284509e+02	1.471821e-02	3.861189e-02	2.274889e-03	1.930884e+09	2.561190e+08	4.060435e-02	6.659856e-03	1.046091e+08	7.469420e+06	4.078159e-02	1.292668e-03	1.975663e+09	2.550722e+08	3.945926e-02	8.020208e-03	1.035574e+08	9.873493e+06	4.130962e-02	1.350201e-03	1.771285e+10	5.048782e+08	4.051332e-02	1.379609e-03	1.766540e+10	5.479195e+08	4.125147e-02	1.324716e-03	1.968851e+10	4.993357e+08	4.032733e-02	1.435914e-03	1.959628e+10	5.356418e+08	1.992458e-03	6.910828e-03	-1.322331e-03	8.393205e-03	1.145095e-03	9.669365e-03	3.314790e-03	1.006519e-02	2.770224e-04	6.937565e-03	-1.826275e+09	2.611197e+08	-1.872106e+09	2.603193e+08	1.051663e+06	1.002361e+07	4.583047e+07	2.288822e+07	-1.949168e+10	5.355929e+08
