Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
5.300270E+2	-9.650510E-3	9.955925E+8	-1.325795E-2	4.423110E+7	-7.998096E-3	1.020109E+9	-7.210330E-3	4.939140E+7	-8.553669E-3	7.866177E+9	-9.136052E-3	7.798970E+9	-8.488789E-3	8.886286E+9	-9.195966E-3	8.794562E+9	-3.607435E-3	7.877659E-4	-6.047616E-3	-4.395201E-3	-4.061980E-3	-9.513614E+8	-9.707174E+8	-5.160294E+6	1.935605E+7	-8.750331E+9
5.305230E+2	-7.641150E-3	1.047100E+9	-7.442062E-3	5.095298E+7	-7.507048E-3	1.032671E+9	-1.224879E-2	4.356850E+7	-7.396729E-3	8.090033E+9	-6.785257E-3	8.256138E+9	-7.409612E-3	9.122704E+9	-6.884933E-3	9.303237E+9	1.990885E-4	-4.741740E-3	4.806726E-3	4.940828E-3	-5.571280E-4	-9.961465E+8	-9.891029E+8	7.384484E+6	-7.043653E+6	-9.252284E+9
5.310100E+2	-4.917426E-3	1.116918E+9	-1.331338E-2	4.416703E+7	-7.342566E-3	1.036879E+9	-8.492168E-3	4.790999E+7	-6.297432E-3	8.302735E+9	-5.994716E-3	8.409877E+9	-6.419482E-3	9.339614E+9	-5.869255E-3	9.526795E+9	-8.395956E-3	-1.149602E-3	-4.821214E-3	-7.246354E-3	-7.444126E-3	-1.072751E+9	-9.889694E+8	-3.742959E+6	-8.378184E+7	-9.482628E+9
5.315080E+2	-2.700408E-3	1.173748E+9	-7.441202E-3	5.095398E+7	-1.377313E-3	1.189489E+9	-7.803395E-3	4.870600E+7	-2.740313E-3	8.990999E+9	-2.267388E-3	9.134744E+9	-2.581142E-3	1.018049E+10	-2.317817E-3	1.030849E+10	-4.740794E-3	-6.426082E-3	3.621924E-4	1.685287E-3	-5.123385E-3	-1.122794E+9	-1.140783E+9	2.247980E+6	1.798891E+7	-1.025754E+10
5.320020E+2	1.716499E-3	1.286969E+9	5.021962E-3	6.535865E+7	1.380044E-3	1.260031E+9	1.310631E-2	7.287113E+7	6.356358E-4	9.644209E+9	3.462638E-4	9.643031E+9	7.225674E-4	1.090424E+10	5.058405E-4	1.093000E+10	3.305463E-3	1.172626E-2	-8.084346E-3	-8.420801E-3	4.516121E-3	-1.221611E+9	-1.187160E+9	-7.512480E+6	-3.445071E+7	-1.086464E+10
5.325070E+2	5.389932E-3	1.381132E+9	7.642673E-3	6.838762E+7	5.051151E-3	1.353949E+9	3.374332E-3	6.162398E+7	6.145032E-3	1.071022E+10	5.682144E-3	1.068072E+10	6.017289E-3	1.206417E+10	5.648113E-3	1.206185E+10	2.252741E-3	-1.676819E-3	4.268341E-3	3.929560E-3	1.994560E-3	-1.312745E+9	-1.292325E+9	6.763634E+6	-2.041930E+7	-1.199346E+10
5.330180E+2	1.780306E-2	1.699325E+9	2.878996E-2	9.282922E+7	1.779383E-2	1.679947E+9	1.927404E-2	7.999912E+7	1.820747E-2	1.304417E+10	1.815500E-2	1.310636E+10	1.815917E-2	1.472412E+10	1.811402E-2	1.480569E+10	1.098689E-2	1.480213E-3	9.515916E-3	9.506680E-3	1.067594E-2	-1.606496E+9	-1.599948E+9	1.283010E+7	-6.547833E+6	-1.471286E+10
5.331580E+2	1.986460E-2	1.752169E+9	2.711176E-2	9.088960E+7	2.223490E-2	1.793563E+9	1.439826E-2	7.436423E+7	2.221468E-2	1.381952E+10	2.260408E-2	1.397159E+10	2.221704E-2	1.561308E+10	2.228504E-2	1.572376E+10	7.247160E-3	-7.836635E-3	1.271350E-2	1.508379E-2	4.826719E-3	-1.661280E+9	-1.719199E+9	1.652537E+7	5.791928E+7	-1.563287E+10
5.333130E+2	2.947134E-2	1.998424E+9	2.214015E-2	8.514351E+7	2.861684E-2	1.956834E+9	3.220111E-2	9.493881E+7	3.113794E-2	1.554608E+10	2.923968E-2	1.526204E+10	3.084353E-2	1.750291E+10	2.926666E-2	1.726046E+10	-7.331194E-3	3.584266E-3	-1.006096E-2	-1.091546E-2	-7.126513E-3	-1.913281E+9	-1.861895E+9	-9.795296E+6	-5.138597E+7	-1.717532E+10
5.334630E+2	3.550365E-2	2.153054E+9	4.235862E-2	1.085116E+8	3.963806E-2	2.238791E+9	3.270471E-2	9.552082E+7	3.991476E-2	1.724429E+10	3.905273E-2	1.717042E+10	3.988244E-2	1.948309E+10	3.863941E-2	1.932347E+10	6.854965E-3	-6.933344E-3	9.653901E-3	1.378831E-2	3.719209E-3	-2.044542E+9	-2.143270E+9	1.299079E+7	9.872783E+7	-1.921496E+10
5.336130E+2	4.834845E-2	2.482311E+9	5.470169E-2	1.227775E+8	5.116532E-2	2.533694E+9	4.055061E-2	1.045882E+8	5.308314E-2	1.979223E+10	5.036982E-2	1.937129E+10	5.285918E-2	2.232593E+10	5.013441E-2	2.185361E+10	6.353243E-3	-1.061471E-2	1.415108E-2	1.696796E-2	4.567282E-3	-2.359534E+9	-2.429106E+9	1.818925E+7	6.957199E+7	-2.173083E+10
5.337630E+2	6.975358E-2	3.031001E+9	8.120831E-2	1.534133E+8	7.029107E-2	3.022991E+9	5.651186E-2	1.230345E+8	7.238194E-2	2.352634E+10	6.993821E-2	2.317683E+10	7.213777E-2	2.654933E+10	6.991671E-2	2.620783E+10	1.145474E-2	-1.377921E-2	2.469645E-2	2.523395E-2	1.129160E-2	-2.877587E+9	-2.899956E+9	3.037881E+7	2.236885E+7	-2.605442E+10
5.339140E+2	1.028160E-1	3.878507E+9	1.200056E-1	1.982544E+8	9.963086E-2	3.773594E+9	8.281979E-2	1.534383E+8	1.068380E-1	3.019322E+10	1.015609E-1	2.932662E+10	1.059964E-1	3.396682E+10	1.017071E-1	3.320513E+10	1.718960E-2	-1.681107E-2	3.718577E-2	3.400067E-2	1.829847E-2	-3.680252E+9	-3.620156E+9	4.481608E+7	-6.009639E+7	-3.300687E+10
5.340590E+2	1.518744E-1	5.136049E+9	1.832544E-1	2.713561E+8	1.592326E-1	5.298392E+9	1.664876E-1	2.501324E+8	1.668252E-1	4.180009E+10	1.582682E-1	4.035469E+10	1.659385E-1	4.709848E+10	1.575236E-1	4.549074E+10	3.137993E-2	7.255047E-3	1.676675E-2	2.412488E-2	2.573077E-2	-4.864693E+9	-5.048260E+9	2.122371E+7	1.835667E+8	-4.521939E+10
5.342090E+2	2.506626E-1	7.668339E+9	2.712307E-1	3.730374E+8	2.565337E-1	7.787659E+9	2.590579E-1	3.571149E+8	2.725226E-1	6.225140E+10	2.570453E-1	5.956424E+10	2.706554E-1	7.003905E+10	2.563020E-1	6.723257E+10	2.056817E-2	2.524191E-3	1.217287E-2	1.804398E-2	1.492876E-2	-7.295301E+9	-7.430544E+9	1.592252E+7	1.352425E+8	-6.685954E+10
5.343600E+2	4.648831E-1	1.315957E+10	4.862661E-1	6.215710E+8	4.659584E-1	1.314540E+10	4.507038E-1	5.785982E+8	4.896460E-1	1.042624E+11	4.637784E-1	9.976838E+10	4.868797E-1	1.174078E+11	4.639071E-1	1.129280E+11	2.138302E-2	-1.525458E-2	3.556229E-2	3.663760E-2	2.235906E-2	-1.253800E+10	-1.256680E+10	4.297277E+7	2.880111E+7	-1.123064E+11
5.345110E+2	7.765387E-1	2.114841E+10	8.239169E-1	1.011821E+9	7.851224E-1	2.131061E+10	7.862831E-1	9.664239E+8	8.076716E-1	1.657970E+11	7.841911E-1	1.620802E+11	8.050383E-1	1.871076E+11	7.832999E-1	1.832286E+11	4.737811E-2	1.160653E-3	3.763376E-2	4.621746E-2	4.061695E-2	-2.013659E+10	-2.034419E+10	4.539710E+7	2.076012E+8	-1.822168E+11
