# Delay[ns]	Avg Transient	019 Delay[ns]	019 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	019 Delay[ns]	019 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
-4.015000e+01	1.741120e-02	-4.015000e+01	2.935360e-02	-4.015000e+01	7.923589e-03	-4.015000e+01	1.495640e-02	-2.815000e+01	3.520375e-03	-2.815000e+01	-8.428821e-03	-2.815000e+01	-1.147154e-02	-2.815000e+01	-3.559558e-02
-3.815000e+01	-1.505615e-03	-3.815000e+01	1.701716e-02	-3.815000e+01	5.640643e-04	-3.815000e+01	-2.209807e-02	-2.615000e+01	-5.855305e-03	-2.615000e+01	2.439958e-02	-2.615000e+01	3.885610e-03	-2.615000e+01	-1.671215e-02
-3.615000e+01	1.769624e-03	-3.615000e+01	-1.554412e-02	-3.615000e+01	2.882788e-02	-3.615000e+01	-7.974884e-03	-2.415000e+01	-3.995339e-03	-2.415000e+01	-9.494914e-03	-2.415000e+01	-4.703409e-03	-2.415000e+01	3.135843e-02
-3.415000e+01	2.823394e-04	-3.415000e+01	-7.423359e-03	-3.415000e+01	-1.818095e-02	-3.415000e+01	2.645132e-02	-2.215000e+01	-1.248787e-02	-2.215000e+01	-6.618155e-04	-2.215000e+01	-3.791869e-04	-2.215000e+01	-4.537950e-03
-3.215000e+01	-1.529536e-02	-3.215000e+01	-1.063248e-02	-3.215000e+01	-3.262426e-03	-3.215000e+01	-3.199118e-02	-2.015000e+01	-1.208587e-02	-2.015000e+01	2.293057e-03	-2.015000e+01	-8.950503e-03	-2.015000e+01	-1.239864e-03
-3.015000e+01	4.009581e-03	-3.015000e+01	1.490356e-02	-3.015000e+01	-1.140188e-03	-3.015000e+01	-1.734630e-03	-1.815000e+01	-2.747329e-02	-1.815000e+01	-2.528851e-02	-1.815000e+01	3.445937e-04	-1.815000e+01	8.803260e-03
-2.815000e+01	-2.560687e-03	-2.815000e+01	7.116516e-03	-2.815000e+01	2.418537e-02	-2.815000e+01	2.748870e-03	-1.615000e+01	-6.680074e-03	-1.615000e+01	1.926631e-02	-1.615000e+01	1.240440e-02	-1.615000e+01	-1.025181e-02
-2.615000e+01	-1.622139e-03	-2.615000e+01	-1.043906e-03	-2.615000e+01	-1.440068e-02	-2.615000e+01	-1.628126e-03	-1.415000e+01	9.475411e-03	-1.415000e+01	2.187339e-02	-1.415000e+01	-1.982072e-02	-1.415000e+01	5.578600e-03
-2.415000e+01	-2.347707e-03	-2.415000e+01	-9.953751e-03	-2.415000e+01	-1.572732e-02	-2.415000e+01	-3.917647e-03	-1.215000e+01	2.914521e-02	-1.215000e+01	-8.543461e-03	-1.215000e+01	9.988854e-03	-1.215000e+01	-1.049384e-02
-2.215000e+01	-5.737003e-03	-2.215000e+01	-6.751471e-03	-2.215000e+01	-3.897628e-02	-2.215000e+01	2.363555e-02	-1.015000e+01	-7.158005e-03	-1.015000e+01	-1.146706e-02	-1.015000e+01	1.439163e-03	-1.015000e+01	1.641821e-02
