Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.253063e+02	9.499879e-03	-5.197280e-03	1.719467e-03	1.233143e+09	1.253697e+08	-4.448282e-03	3.119449e-03	5.000488e+07	5.644800e+06	-5.473751e-03	7.190151e-04	1.220084e+09	7.262034e+07	-4.995793e-03	4.065054e-03	5.024140e+07	4.097701e+06	-5.616653e-03	8.960606e-04	8.440347e+09	4.991958e+08	-5.629049e-03	6.512778e-04	8.481961e+09	5.023176e+08	-5.601488e-03	8.196944e-04	9.660431e+09	5.676011e+08	-5.569314e-03	7.851665e-04	9.715104e+09	5.740469e+08	7.489974e-04	2.295417e-03	4.779575e-04	4.258789e-03	5.475107e-04	5.126579e-03	2.710400e-04	4.412768e-03	1.121031e-03	2.687934e-03	-1.183139e+09	1.212634e+08	-1.169843e+09	7.279304e+07	-2.365245e+05	6.598766e+06	-1.329587e+07	7.676281e+07	-9.665099e+09	5.694498e+08
5.256639e+02	9.506477e-03	-3.843952e-03	9.648377e-04	1.269852e+09	9.988210e+07	-3.093492e-03	2.729513e-03	5.156546e+07	5.959737e+06	-4.401302e-03	9.842011e-04	1.250822e+09	6.572080e+07	-3.762763e-03	5.155566e-03	5.159350e+07	4.729621e+06	-4.088257e-03	6.416680e-04	8.732040e+09	4.378439e+08	-4.313472e-03	6.204097e-04	8.736145e+09	4.646642e+08	-4.127988e-03	6.365845e-04	9.982862e+09	4.866136e+08	-4.254068e-03	6.049524e-04	1.000600e+10	5.293960e+08	7.504601e-04	2.599022e-03	6.385385e-04	4.890185e-03	6.692718e-04	5.977512e-03	1.119214e-04	5.380163e-03	1.160576e-03	2.671739e-03	-1.218287e+09	9.618948e+07	-1.199229e+09	6.693031e+07	-2.804744e+04	7.093045e+06	-1.905755e+07	4.533644e+07	-9.954431e+09	5.237115e+08
5.261540e+02	9.515575e-03	-2.520789e-03	6.516741e-04	1.306091e+09	9.171017e+07	-2.621546e-03	2.848200e-03	5.212632e+07	5.324763e+06	-2.392522e-03	1.281940e-03	1.307888e+09	9.182041e+07	-4.065400e-03	3.358549e-03	5.134844e+07	6.307736e+06	-2.331965e-03	5.695367e-04	9.067207e+09	4.195009e+08	-2.385069e-03	8.227827e-04	9.106107e+09	4.948524e+08	-2.336966e-03	6.428016e-04	1.037509e+10	4.889104e+08	-2.405690e-03	7.283111e-04	1.041220e+10	5.651410e+08	-1.007568e-04	2.822499e-03	-1.672877e-03	3.307344e-03	1.443854e-03	3.946552e-03	1.572120e-03	4.157627e-03	-2.158555e-04	2.760413e-03	-1.253965e+09	8.824553e+07	-1.256539e+09	9.072225e+07	7.778825e+05	6.000624e+06	2.574287e+06	1.880132e+07	-1.036007e+10	5.608476e+08
5.266566e+02	9.524973e-03	2.618083e-04	7.797447e-04	1.384985e+09	9.672752e+07	-4.913918e-04	3.857041e-03	5.453259e+07	5.900042e+06	1.661276e-04	1.384958e-03	1.379962e+09	8.758914e+07	-1.027892e-03	5.079449e-03	5.470993e+07	7.327793e+06	2.091303e-04	8.132089e-04	9.555769e+09	4.766295e+08	3.623215e-04	1.051457e-03	9.636739e+09	5.196524e+08	2.055974e-04	8.709227e-04	1.093573e+10	5.409519e+08	3.475212e-04	9.810809e-04	1.102172e+10	5.862769e+08	-7.532004e-04	3.608946e-03	-1.194019e-03	4.184800e-03	5.365002e-04	6.331979e-03	4.408186e-04	5.757930e-03	-8.389134e-04	3.962709e-03	-1.330453e+09	9.419316e+07	-1.325252e+09	8.380110e+07	-1.773384e+05	7.733891e+06	-5.201246e+06	3.101710e+07	-1.096719e+10	5.825719e+08
5.271617e+02	9.534488e-03	4.282298e-03	1.429176e-03	1.499062e+09	1.148423e+08	4.626552e-03	3.975003e-03	6.007289e+07	5.267991e+06	4.595704e-03	1.074567e-03	1.504135e+09	7.958431e+07	5.680969e-03	4.788833e-03	6.224895e+07	7.492887e+06	4.265051e-03	9.564158e-04	1.033341e+10	4.325544e+08	4.329713e-03	1.039366e-03	1.040101e+10	4.452555e+08	4.305518e-03	9.387665e-04	1.183754e+10	4.991273e+08	4.324515e-03	1.067612e-03	1.190007e+10	5.134328e+08	3.442534e-04	3.583837e-03	1.085265e-03	4.348224e-03	-1.054417e-03	6.235844e-03	-7.410118e-04	6.000912e-03	3.020371e-04	3.855649e-03	-1.438989e+09	1.122464e+08	-1.441886e+09	7.502326e+07	-2.176061e+06	7.322696e+06	2.896662e+06	5.466125e+07	-1.184000e+10	5.105175e+08
5.276618e+02	9.543977e-03	1.101974e-02	1.834726e-03	1.688244e+09	1.203700e+08	9.865704e-03	4.098684e-03	6.597541e+07	4.307267e+06	1.085056e-02	1.660484e-03	1.679615e+09	9.072667e+07	1.107682e-02	3.889604e-03	6.829746e+07	7.615994e+06	1.127435e-02	1.362094e-03	1.167217e+10	4.169222e+08	1.120411e-02	1.259125e-03	1.172053e+10	4.101635e+08	1.122007e-02	1.372752e-03	1.335179e+10	4.824614e+08	1.118258e-02	1.312874e-03	1.340877e+10	4.664457e+08	-1.154037e-03	2.906036e-03	2.262566e-04	4.512577e-03	-1.211116e-03	5.963625e-03	-1.380294e-03	5.853601e-03	-1.316879e-03	3.317059e-03	-1.622269e+09	1.183932e+08	-1.611318e+09	8.911143e+07	-2.322052e+06	6.509073e+06	-1.095094e+07	4.694927e+07	-1.334280e+10	4.640907e+08
5.280769e+02	9.551903e-03	2.040536e-02	1.419446e-03	1.951267e+09	1.244728e+08	2.036047e-02	2.988600e-03	7.778544e+07	4.558905e+06	2.003763e-02	3.051451e-03	1.939869e+09	1.457263e+08	1.708271e-02	2.808300e-03	7.491435e+07	4.386528e+06	2.050572e-02	1.199247e-03	1.344177e+10	5.191813e+08	2.024649e-02	1.366437e-03	1.346463e+10	5.138464e+08	2.045361e-02	1.358662e-03	1.538164e+10	5.926491e+08	2.026524e-02	1.319528e-03	1.541589e+10	5.896372e+08	-4.489083e-05	3.058351e-03	-2.954927e-03	2.566112e-03	3.277759e-03	3.835872e-03	2.910036e-03	3.710510e-03	9.522653e-05	3.261575e-03	-1.873482e+09	1.239324e+08	-1.864955e+09	1.449919e+08	2.871099e+06	2.381318e+06	-8.527132e+06	6.300963e+07	-1.533811e+10	5.868478e+08
5.283094e+02	9.556365e-03	2.864064e-02	1.774051e-03	2.181981e+09	1.251703e+08	2.799453e-02	3.237214e-03	8.631030e+07	6.151187e+06	2.868623e-02	2.363149e-03	2.182760e+09	1.454798e+08	3.012697e-02	5.766130e-03	8.944091e+07	4.463136e+06	2.941570e-02	1.345507e-03	1.514978e+10	5.645417e+08	2.917265e-02	1.682770e-03	1.518564e+10	5.676045e+08	2.932857e-02	1.394759e-03	1.733253e+10	6.468692e+08	2.909845e-02	1.550964e-03	1.736762e+10	6.614737e+08	-6.461118e-04	2.308794e-03	1.440736e-03	4.107033e-03	-2.132439e-03	7.574307e-03	-2.086848e-03	5.742354e-03	-1.103917e-03	3.585970e-03	-2.095670e+09	1.232478e+08	-2.093319e+09	1.414261e+08	-3.130608e+06	6.325374e+06	-2.351436e+06	6.124691e+07	-1.728131e+10	6.572519e+08
5.284570e+02	9.559203e-03	3.736038e-02	1.797621e-03	2.426998e+09	1.306848e+08	3.387689e-02	6.192550e-03	9.290467e+07	9.452745e+06	3.772303e-02	2.262921e-03	2.435290e+09	1.351694e+08	3.621565e-02	4.105308e-03	9.625333e+07	4.510539e+06	3.837918e-02	1.809363e-03	1.686463e+10	5.265921e+08	3.804851e-02	2.043873e-03	1.689241e+10	5.684209e+08	3.829794e-02	1.821312e-03	1.929992e+10	6.051317e+08	3.795597e-02	1.933283e-03	1.931941e+10	6.542756e+08	-3.483486e-03	5.737428e-03	-1.507379e-03	3.519706e-03	-2.338765e-03	8.278834e-03	-1.976107e-03	7.569338e-03	-4.079076e-03	6.391859e-03	-2.334093e+09	1.275901e+08	-2.339037e+09	1.351423e+08	-3.348662e+06	8.196355e+06	4.944015e+06	4.485953e+07	-1.922651e+10	6.493116e+08
5.286095e+02	9.562144e-03	5.076484e-02	1.566430e-03	2.805082e+09	1.598054e+08	4.923657e-02	5.134592e-03	1.101471e+08	8.505025e+06	5.093494e-02	4.043715e-03	2.809854e+09	2.189371e+08	4.773962e-02	6.058221e-03	1.091960e+08	7.335030e+06	5.197304e-02	1.885854e-03	1.947071e+10	5.797782e+08	5.121277e-02	2.220308e-03	1.942973e+10	6.283214e+08	5.185446e-02	2.047793e-03	2.228057e+10	6.899675e+08	5.115246e-02	2.100542e-03	2.223481e+10	7.322934e+08	-1.528269e-03	5.233033e-03	-3.195316e-03	6.771342e-03	1.496948e-03	8.313682e-03	1.667046e-03	9.200357e-03	-1.915892e-03	5.227155e-03	-2.694935e+09	1.558806e+08	-2.700658e+09	2.200595e+08	9.511148e+05	9.053360e+06	5.723427e+06	7.513240e+07	-2.212466e+10	7.262041e+08
