Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.253063e+02	9.499879e-03	-5.197280e-03	1.719467e-03	1.233143e+09	1.253697e+08	-5.330358e-03	3.043246e-03	4.938239e+07	5.641586e+06	-5.473751e-03	7.190151e-04	1.220084e+09	7.262034e+07	-7.070711e-03	3.344746e-03	4.767853e+07	2.908738e+06	-5.616653e-03	8.960606e-04	8.440347e+09	4.991958e+08	-5.629049e-03	6.512778e-04	8.481961e+09	5.023176e+08	-5.601488e-03	8.196944e-04	9.660431e+09	5.676011e+08	-5.569314e-03	7.851665e-04	9.715104e+09	5.740469e+08	-1.330776e-04	2.636930e-03	-1.596961e-03	3.893140e-03	1.740354e-03	5.434838e-03	1.463883e-03	5.152819e-03	2.389556e-04	2.757026e-03	-1.183761e+09	1.228733e+08	-1.172406e+09	7.254495e+07	1.703862e+06	6.945058e+06	-1.135549e+07	7.941877e+07	-9.665723e+09	5.705491e+08
5.256639e+02	9.506477e-03	-3.843952e-03	9.648377e-04	1.269852e+09	9.988210e+07	-4.328569e-03	3.249964e-03	5.055079e+07	3.597652e+06	-4.401302e-03	9.842011e-04	1.250822e+09	6.572080e+07	-3.794608e-03	3.527521e-03	5.141617e+07	6.084436e+06	-4.088257e-03	6.416680e-04	8.732040e+09	4.378439e+08	-4.313472e-03	6.204097e-04	8.736145e+09	4.646642e+08	-4.127988e-03	6.365845e-04	9.982862e+09	4.866136e+08	-4.254068e-03	6.049524e-04	1.000600e+10	5.293960e+08	-4.846179e-04	3.471094e-03	6.066937e-04	3.964994e-03	-5.339621e-04	5.543316e-03	-1.091311e-03	6.268054e-03	-7.450245e-05	3.315133e-03	-1.219301e+09	1.000454e+08	-1.199406e+09	6.365159e+07	-8.653843e+05	8.723726e+06	-1.989489e+07	5.313363e+07	-9.955446e+09	5.293216e+08
5.261540e+02	9.515575e-03	-2.520789e-03	6.516741e-04	1.306091e+09	9.171017e+07	-2.930789e-03	3.022497e-03	5.217814e+07	4.615356e+06	-2.392522e-03	1.281940e-03	1.307888e+09	9.182041e+07	-8.854134e-04	3.630698e-03	5.469117e+07	7.726915e+06	-2.331965e-03	5.695367e-04	9.067207e+09	4.195009e+08	-2.385069e-03	8.227827e-04	9.106107e+09	4.948524e+08	-2.336966e-03	6.428016e-04	1.037509e+10	4.889104e+08	-2.405690e-03	7.283111e-04	1.041220e+10	5.651410e+08	-4.100005e-04	3.211723e-03	1.507109e-03	3.604476e-03	-2.045376e-03	5.187096e-03	-1.917109e-03	5.363778e-03	-5.250992e-04	3.063515e-03	-1.253913e+09	9.000973e+07	-1.253197e+09	8.842903e+07	-2.513032e+06	7.418962e+06	-7.166300e+05	2.555729e+07	-1.036002e+10	5.617247e+08
5.266566e+02	9.524973e-03	2.618083e-04	7.797447e-04	1.384985e+09	9.672752e+07	-2.307172e-03	4.037649e-03	5.282307e+07	5.859333e+06	1.661276e-04	1.384958e-03	1.379962e+09	8.758914e+07	-8.677226e-04	3.054272e-03	5.465945e+07	4.901104e+06	2.091303e-04	8.132089e-04	9.555769e+09	4.766295e+08	3.623215e-04	1.051457e-03	9.636739e+09	5.196524e+08	2.055974e-04	8.709227e-04	1.093573e+10	5.409519e+08	3.475212e-04	9.810809e-04	1.102172e+10	5.862769e+08	-2.568981e-03	4.175627e-03	-1.033850e-03	2.943546e-03	-1.439450e-03	2.422655e-03	-1.535130e-03	2.860682e-03	-2.654694e-03	3.774534e-03	-1.332162e+09	9.364261e+07	-1.325302e+09	8.447020e+07	-1.836375e+06	4.393887e+06	-6.860281e+06	3.373565e+07	-1.096890e+10	5.827884e+08
5.271617e+02	9.534488e-03	4.282298e-03	1.429176e-03	1.499062e+09	1.148423e+08	5.668931e-03	2.604451e-03	6.200136e+07	4.395624e+06	4.595704e-03	1.074567e-03	1.504135e+09	7.958431e+07	3.600695e-03	2.737619e-03	5.974287e+07	4.742146e+06	4.265051e-03	9.564158e-04	1.033341e+10	4.325544e+08	4.329713e-03	1.039366e-03	1.040101e+10	4.452555e+08	4.305518e-03	9.387665e-04	1.183754e+10	4.991273e+08	4.324515e-03	1.067612e-03	1.190007e+10	5.134328e+08	1.386633e-03	2.551019e-03	-9.950094e-04	2.659383e-03	2.068236e-03	3.309317e-03	2.381642e-03	3.691054e-03	1.344417e-03	2.564338e-03	-1.437061e+09	1.138022e+08	-1.444392e+09	7.671913e+07	2.258492e+06	3.976662e+06	7.331222e+06	5.588949e+07	-1.183807e+10	5.104504e+08
5.276618e+02	9.543977e-03	1.101974e-02	1.834726e-03	1.688244e+09	1.203700e+08	1.252444e-02	4.625469e-03	6.986113e+07	6.976440e+06	1.085056e-02	1.660484e-03	1.679615e+09	9.072667e+07	1.259074e-02	3.951539e-03	6.994482e+07	7.542094e+06	1.127435e-02	1.362094e-03	1.167217e+10	4.169222e+08	1.120411e-02	1.259125e-03	1.172053e+10	4.101635e+08	1.122007e-02	1.372752e-03	1.335179e+10	4.824614e+08	1.118258e-02	1.312874e-03	1.340877e+10	4.664457e+08	1.504703e-03	5.560368e-03	1.740174e-03	4.630711e-03	-6.629508e-05	5.710932e-03	-2.354722e-04	5.516113e-03	1.341861e-03	5.358824e-03	-1.618383e+09	1.226216e+08	-1.609671e+09	9.113645e+07	-8.369503e+04	5.984517e+06	-8.712581e+06	4.666074e+07	-1.333891e+10	4.659076e+08
5.280769e+02	9.551903e-03	2.040536e-02	1.419446e-03	1.951267e+09	1.244728e+08	2.135767e-02	6.276119e-03	7.989093e+07	9.054960e+06	2.003763e-02	3.051451e-03	1.939869e+09	1.457263e+08	2.100460e-02	4.042218e-03	7.951528e+07	6.686373e+06	2.050572e-02	1.199247e-03	1.344177e+10	5.191813e+08	2.024649e-02	1.366437e-03	1.346463e+10	5.138464e+08	2.045361e-02	1.358662e-03	1.538164e+10	5.926491e+08	2.026524e-02	1.319528e-03	1.541589e+10	5.896372e+08	9.523117e-04	6.428449e-03	9.669672e-04	4.864059e-03	3.530674e-04	8.649715e-03	-1.465602e-05	9.100205e-03	1.092429e-03	6.263703e-03	-1.871376e+09	1.242454e+08	-1.860354e+09	1.448918e+08	3.756511e+05	9.853339e+06	-1.102258e+07	6.204718e+07	-1.533600e+10	5.861335e+08
5.283094e+02	9.556365e-03	2.864064e-02	1.774051e-03	2.181981e+09	1.251703e+08	2.936329e-02	3.547786e-03	8.902791e+07	4.825966e+06	2.868623e-02	2.363149e-03	2.182760e+09	1.454798e+08	2.653104e-02	4.179657e-03	8.580864e+07	6.722977e+06	2.941570e-02	1.345507e-03	1.514978e+10	5.645417e+08	2.917265e-02	1.682770e-03	1.518564e+10	5.676045e+08	2.932857e-02	1.394759e-03	1.733253e+10	6.468692e+08	2.909845e-02	1.550964e-03	1.736762e+10	6.614737e+08	7.226498e-04	3.727764e-03	-2.155196e-03	5.602729e-03	2.832254e-03	6.719325e-03	2.877845e-03	7.986055e-03	2.648440e-04	3.538689e-03	-2.092953e+09	1.230644e+08	-2.096951e+09	1.460990e+08	3.219266e+06	6.514550e+06	3.998438e+06	6.513271e+07	-1.727859e+10	6.580674e+08
5.284570e+02	9.559203e-03	3.736038e-02	1.797621e-03	2.426998e+09	1.306848e+08	3.682364e-02	6.037985e-03	9.753952e+07	5.336536e+06	3.772303e-02	2.262921e-03	2.435290e+09	1.351694e+08	3.605172e-02	3.712363e-03	9.662279e+07	4.189778e+06	3.837918e-02	1.809363e-03	1.686463e+10	5.265921e+08	3.804851e-02	2.043873e-03	1.689241e+10	5.684209e+08	3.829794e-02	1.821312e-03	1.929992e+10	6.051317e+08	3.795597e-02	1.933283e-03	1.931941e+10	6.542756e+08	-5.367331e-04	6.393917e-03	-1.671318e-03	3.760663e-03	7.719288e-04	6.841357e-03	1.134586e-03	7.269161e-03	-1.132323e-03	6.308189e-03	-2.329458e+09	1.272589e+08	-2.338667e+09	1.348386e+08	9.167272e+05	7.210495e+06	9.209402e+06	4.534727e+07	-1.922187e+10	6.517793e+08
5.286095e+02	9.562144e-03	5.076484e-02	1.566430e-03	2.805082e+09	1.598054e+08	5.287872e-02	6.419217e-03	1.158126e+08	5.229127e+06	5.093494e-02	4.043715e-03	2.809854e+09	2.189371e+08	5.049615e-02	5.197219e-03	1.131133e+08	5.157027e+06	5.197304e-02	1.885854e-03	1.947071e+10	5.797782e+08	5.121277e-02	2.220308e-03	1.942973e+10	6.283214e+08	5.185446e-02	2.047793e-03	2.228057e+10	6.899675e+08	5.115246e-02	2.100542e-03	2.223481e+10	7.322934e+08	2.113877e-03	6.163472e-03	-4.387829e-04	6.027368e-03	2.382562e-03	7.425604e-03	2.552660e-03	9.468004e-03	1.726253e-03	5.867841e-03	-2.689269e+09	1.557414e+08	-2.696740e+09	2.196343e+08	2.699297e+06	7.991183e+06	7.471604e+06	7.561668e+07	-2.211899e+10	7.293310e+08
