# Delay[ns]	Avg Transient	0233 Delay[ns]	0233 Transient	0234 Delay[ns]	0234 Transient	0235 Delay[ns]	0235 Transient	0236 Delay[ns]	0236 Transient	0237 Delay[ns]	0237 Transient	0241 Delay[ns]	0241 Transient	0256 Delay[ns]	0256 Transient	0260 Delay[ns]	0260 Transient
-4.415000e+01	-1.394302e-02	-4.415000e+01	-6.778894e-03	-4.415000e+01	2.917512e-02	-4.415000e+01	-9.677297e-03	-4.415000e+01	-3.429939e-02	-4.415000e+01	-1.858537e-02	-4.415000e+01	-1.842481e-02	-4.415000e+01	-2.456891e-02	-4.415000e+01	-2.838461e-02
-4.215000e+01	4.116514e-03	-4.215000e+01	6.552100e-02	-4.215000e+01	-2.723765e-02	-4.215000e+01	-1.323245e-02	-4.215000e+01	-4.967122e-03	-4.215000e+01	-8.954924e-03	-4.215000e+01	1.394375e-02	-4.215000e+01	2.078336e-02	-4.215000e+01	-1.292386e-02
-4.015000e+01	-1.523616e-02	-4.015000e+01	8.581559e-03	-4.015000e+01	-2.176332e-02	-4.015000e+01	-4.328432e-02	-4.015000e+01	-3.222729e-03	-4.015000e+01	-2.882352e-02	-4.015000e+01	7.447558e-03	-4.015000e+01	-4.497086e-02	-4.015000e+01	4.146375e-03
-3.815000e+01	2.858643e-02	-3.815000e+01	3.794907e-02	-3.815000e+01	5.247900e-03	-3.815000e+01	-1.987994e-03	-3.815000e+01	1.820969e-03	-3.815000e+01	2.666360e-02	-3.815000e+01	3.959342e-02	-3.815000e+01	8.551082e-02	-3.815000e+01	3.389370e-02
-3.615000e+01	9.294669e-03	-3.615000e+01	-7.632398e-03	-3.615000e+01	-1.850864e-02	-3.615000e+01	1.138240e-02	-3.615000e+01	4.390066e-02	-3.615000e+01	1.083532e-02	-3.615000e+01	1.730153e-03	-3.615000e+01	-8.750146e-03	-3.615000e+01	4.139999e-02
-3.415000e+01	4.086479e-03	-3.415000e+01	-2.723578e-03	-3.415000e+01	3.086983e-02	-3.415000e+01	4.921824e-02	-3.415000e+01	-2.891880e-03	-3.415000e+01	-2.261637e-02	-3.415000e+01	-1.486878e-02	-3.415000e+01	1.372919e-03	-3.415000e+01	-5.668548e-03
-3.215000e+01	-7.545327e-03	-3.215000e+01	-1.545757e-02	-3.215000e+01	-3.615111e-02	-3.215000e+01	1.550075e-02	-3.215000e+01	1.263279e-02	-3.215000e+01	-2.187336e-02	-3.215000e+01	1.441135e-02	-3.215000e+01	-1.922059e-02	-3.215000e+01	-1.020487e-02
-3.015000e+01	-1.752481e-03	-3.015000e+01	1.708484e-02	-3.015000e+01	6.196786e-03	-3.015000e+01	4.237608e-03	-3.015000e+01	3.918146e-03	-3.015000e+01	-6.639383e-03	-3.015000e+01	9.954506e-03	-3.015000e+01	-5.870059e-02	-3.015000e+01	9.928238e-03
-2.815000e+01	-1.794354e-02	-2.815000e+01	-2.067039e-02	-2.815000e+01	-1.644200e-03	-2.815000e+01	-4.876340e-02	-2.815000e+01	-3.638744e-02	-2.815000e+01	1.858974e-02	-2.815000e+01	-3.439027e-02	-2.815000e+01	-2.410071e-02	-2.815000e+01	3.818397e-03
-2.615000e+01	8.042085e-04	-2.615000e+01	-2.434765e-02	-2.615000e+01	4.684527e-03	-2.615000e+01	1.477325e-02	-2.615000e+01	9.687617e-03	-2.615000e+01	2.504990e-02	-2.615000e+01	-1.383782e-02	-2.615000e+01	1.444697e-02	-2.615000e+01	-2.402313e-02
-2.415000e+01	-3.767128e-03	-2.415000e+01	-6.188803e-02	-2.415000e+01	2.442132e-02	-2.415000e+01	3.224629e-03	-2.415000e+01	1.716979e-02	-2.415000e+01	4.476198e-04	-2.415000e+01	-1.036837e-02	-2.415000e+01	-1.379721e-02	-2.415000e+01	1.065323e-02
-2.215000e+01	1.335497e-02	-2.215000e+01	-4.210031e-02	-2.215000e+01	3.826493e-02	-2.215000e+01	2.290120e-02	-2.215000e+01	-3.874630e-03	-2.215000e+01	1.141389e-02	-2.215000e+01	3.355503e-02	-2.215000e+01	2.459639e-03	-2.215000e+01	4.421998e-02
-2.015000e+01	5.846544e-03	-2.015000e+01	-5.395668e-03	-2.015000e+01	-8.859055e-03	-2.015000e+01	-2.394386e-02	-2.015000e+01	5.420519e-03	-2.015000e+01	3.750733e-02	-2.015000e+01	-2.852081e-03	-2.015000e+01	6.556516e-03	-2.015000e+01	3.833865e-02
-1.815000e+01	-8.531279e-03	-1.815000e+01	1.630984e-02	-1.815000e+01	1.290533e-02	-1.815000e+01	-3.078005e-02	-1.815000e+01	5.312318e-03	-1.815000e+01	-1.091642e-02	-1.815000e+01	-3.498689e-02	-1.815000e+01	1.930891e-03	-1.815000e+01	-2.802525e-02
-1.615000e+01	-3.732222e-03	-1.615000e+01	1.053665e-02	-1.615000e+01	1.700654e-03	-1.615000e+01	4.054079e-03	-1.615000e+01	1.366228e-02	-1.615000e+01	4.731743e-03	-1.615000e+01	5.841081e-03	-1.615000e+01	-2.813417e-02	-1.615000e+01	-4.225010e-02
-1.415000e+01	-9.196423e-03	-1.415000e+01	-1.269638e-02	-1.415000e+01	-3.222673e-02	-1.415000e+01	-2.572477e-02	-1.415000e+01	-3.132404e-03	-1.415000e+01	-3.853194e-03	-1.415000e+01	1.496863e-02	-1.415000e+01	2.281518e-02	-1.415000e+01	-3.372170e-02
-1.215000e+01	-1.314450e-02	-1.215000e+01	-7.620505e-03	-1.215000e+01	-9.322010e-03	-1.215000e+01	-2.200425e-02	-1.215000e+01	-1.727241e-02	-1.215000e+01	-1.481794e-02	-1.215000e+01	7.535699e-03	-1.215000e+01	-1.048264e-02	-1.215000e+01	-3.117196e-02
-1.015000e+01	-9.128003e-03	-1.015000e+01	-2.095366e-02	-1.015000e+01	1.240437e-02	-1.015000e+01	1.668953e-02	-1.015000e+01	-2.827238e-02	-1.015000e+01	-2.342779e-02	-1.015000e+01	-8.914870e-03	-1.015000e+01	-1.633589e-02	-1.015000e+01	-4.213345e-03
-8.150000e+00	9.814327e-03	-8.150000e+00	4.396685e-02	-8.150000e+00	1.564915e-02	-8.150000e+00	6.398260e-03	-8.150000e+00	3.673939e-03	-8.150000e+00	3.070107e-02	-8.150000e+00	1.391099e-02	-8.150000e+00	-5.055439e-02	-8.150000e+00	1.476875e-02
-6.150000e+00	-1.183491e-02	-6.150000e+00	5.016319e-03	-6.150000e+00	-1.214551e-02	-6.150000e+00	-1.872425e-02	-6.150000e+00	-5.129175e-03	-6.150000e+00	-2.119889e-02	-6.150000e+00	-1.108214e-02	-6.150000e+00	-3.424953e-02	-6.150000e+00	2.833901e-03
-4.150000e+00	-1.254831e-02	-4.150000e+00	-2.590065e-03	-4.150000e+00	-4.111774e-02	-4.150000e+00	2.767922e-02	-4.150000e+00	4.868485e-03	-4.150000e+00	-3.566787e-04	-4.150000e+00	-1.341007e-02	-4.150000e+00	-4.012847e-02	-4.150000e+00	-3.533118e-02
-2.150000e+00	1.314289e-02	-2.150000e+00	2.192302e-02	-2.150000e+00	2.110894e-02	-2.150000e+00	3.046461e-02	-2.150000e+00	1.340739e-02	-2.150000e+00	5.269524e-03	-2.150000e+00	-5.170131e-03	-2.150000e+00	-2.289484e-02	-2.150000e+00	4.103464e-02
-1.500000e-01	1.124146e-02	-1.500000e-01	1.703958e-02	-1.500000e-01	1.373627e-02	-1.500000e-01	6.501183e-02	-1.500000e-01	-2.347987e-02	-1.500000e-01	3.729208e-02	-1.500000e-01	1.478829e-02	-1.500000e-01	-2.676360e-02	-1.500000e-01	-7.692932e-03
1.500000e-01	-1.380506e-02	1.500000e-01	-1.055324e-02	1.500000e-01	-1.224405e-02	1.500000e-01	-3.417544e-02	1.500000e-01	3.079151e-02	1.500000e-01	-2.592841e-02	1.500000e-01	-5.734771e-03	1.500000e-01	-7.455806e-02	1.500000e-01	2.196201e-02
2.150000e+00	-1.386214e-02	2.150000e+00	-3.100485e-02	2.150000e+00	-1.885922e-02	2.150000e+00	1.929717e-02	2.150000e+00	-4.710309e-02	2.150000e+00	1.312253e-02	2.150000e+00	1.013038e-02	2.150000e+00	-2.326982e-02	2.150000e+00	-3.321022e-02
4.150000e+00	-1.071135e-02	4.150000e+00	-1.942240e-02	4.150000e+00	8.525193e-03	4.150000e+00	-8.201740e-03	4.150000e+00	-4.737051e-02	4.150000e+00	-2.624308e-02	4.150000e+00	-1.505772e-02	4.150000e+00	1.598976e-02	4.150000e+00	6.089696e-03
6.150000e+00	-1.006992e-02	6.150000e+00	1.934154e-02	6.150000e+00	-4.833281e-02	6.150000e+00	1.893425e-02	6.150000e+00	-6.143229e-03	6.150000e+00	-7.017377e-02	6.150000e+00	1.543459e-02	6.150000e+00	4.244046e-03	6.150000e+00	-1.386396e-02
8.150000e+00	-1.516159e-02	8.150000e+00	5.204789e-03	8.150000e+00	2.646754e-02	8.150000e+00	-2.155847e-02	8.150000e+00	-1.679119e-02	8.150000e+00	-3.886487e-02	8.150000e+00	-1.361541e-02	8.150000e+00	-3.315116e-02	8.150000e+00	-2.898396e-02
1.015000e+01	-1.380798e-02	1.015000e+01	-3.362583e-02	1.015000e+01	-9.593039e-03	1.015000e+01	-8.568957e-05	1.015000e+01	-2.794453e-03	1.015000e+01	-2.140679e-02	1.015000e+01	1.996723e-02	1.015000e+01	-3.576233e-02	1.015000e+01	-2.716297e-02
1.215000e+01	-1.068956e-02	1.215000e+01	-2.626564e-02	1.215000e+01	-1.624969e-02	1.215000e+01	-1.930742e-02	1.215000e+01	1.702011e-02	1.215000e+01	-1.193551e-02	1.215000e+01	-1.891181e-03	1.215000e+01	-3.331819e-02	1.215000e+01	6.431021e-03
1.415000e+01	-1.769740e-02	1.415000e+01	-1.765603e-02	1.415000e+01	5.359876e-03	1.415000e+01	1.688426e-02	1.415000e+01	-4.003457e-02	1.415000e+01	-3.379116e-02	1.415000e+01	-5.858942e-03	1.415000e+01	-3.767878e-02	1.415000e+01	-2.880387e-02
1.615000e+01	-1.020656e-02	1.615000e+01	-3.259324e-02	1.615000e+01	-4.839941e-03	1.615000e+01	-5.533753e-02	1.615000e+01	6.102850e-03	1.615000e+01	1.034454e-02	1.615000e+01	1.637683e-02	1.615000e+01	-2.113529e-02	1.615000e+01	-5.706671e-04
1.815000e+01	-1.003207e-02	1.815000e+01	-1.094945e-02	1.815000e+01	4.047476e-02	1.815000e+01	-1.230720e-02	1.815000e+01	-2.350936e-02	1.815000e+01	-4.294694e-04	1.815000e+01	-1.351813e-02	1.815000e+01	-4.444177e-02	1.815000e+01	-1.557596e-02
2.015000e+01	-7.244486e-03	2.015000e+01	-3.522491e-02	2.015000e+01	-4.375029e-02	2.015000e+01	5.053690e-02	2.015000e+01	1.641413e-02	2.015000e+01	2.028312e-03	2.015000e+01	-4.417592e-02	2.015000e+01	-2.350275e-02	2.015000e+01	1.971863e-02
2.215000e+01	-1.644791e-02	2.215000e+01	-2.606271e-02	2.215000e+01	-3.121263e-03	2.215000e+01	-1.841578e-02	2.215000e+01	-6.280392e-03	2.215000e+01	2.093891e-02	2.215000e+01	4.870585e-03	2.215000e+01	-8.064616e-02	2.215000e+01	-2.286646e-02
2.415000e+01	-9.906676e-03	2.415000e+01	-5.370340e-03	2.415000e+01	-7.954979e-03	2.415000e+01	-4.966243e-03	2.415000e+01	-1.005687e-02	2.415000e+01	-5.002382e-03	2.415000e+01	-4.672134e-02	2.415000e+01	7.081732e-03	2.415000e+01	-6.262998e-03
