# Delay[ns]	Avg Transient	0233 Delay[ns]	0233 Transient	0234 Delay[ns]	0234 Transient	0235 Delay[ns]	0235 Transient	0236 Delay[ns]	0236 Transient	0237 Delay[ns]	0237 Transient	0241 Delay[ns]	0241 Transient	0256 Delay[ns]	0256 Transient	0260 Delay[ns]	0260 Transient
-4.585000e+01	-6.274527e-05	-4.785000e+01	1.282592e-02	-4.785000e+01	3.945544e-04	-4.585000e+01	6.198116e-04	-4.785000e+01	-6.482454e-03	-4.585000e+01	6.749005e-04	-4.785000e+01	1.140086e-02	-4.785000e+01	1.043231e-02	-4.785000e+01	-9.110306e-03
-4.185000e+01	-1.479323e-03	-4.585000e+01	9.353826e-03	-4.385000e+01	5.251210e-03	-4.385000e+01	2.247088e-02	-4.585000e+01	1.624157e-02	-4.385000e+01	-8.310258e-03	-4.585000e+01	-2.244113e-03	-4.585000e+01	1.151898e-02	-4.385000e+01	-2.217417e-02
-3.985000e+01	4.810039e-03	-4.385000e+01	1.693813e-02	-4.185000e+01	-4.448414e-03	-4.185000e+01	-1.627130e-02	-4.385000e+01	-9.847526e-03	-4.185000e+01	2.449541e-02	-4.385000e+01	4.135362e-03	-4.385000e+01	8.415718e-03	-3.985000e+01	4.741856e-03
-3.585000e+01	2.960554e-03	-4.185000e+01	8.850167e-03	-3.785000e+01	3.959712e-03	-3.785000e+01	2.299676e-02	-4.185000e+01	-6.840193e-03	-3.985000e+01	-8.325083e-03	-3.985000e+01	5.024408e-04	-3.985000e+01	6.923575e-03	-3.785000e+01	3.234739e-03
-3.385000e+01	-3.868893e-04	-3.985000e+01	-3.212477e-04	-3.585000e+01	-3.667209e-03	-3.585000e+01	-6.733985e-03	-3.985000e+01	1.765129e-02	-3.785000e+01	-6.694289e-03	-3.785000e+01	1.424187e-02	-3.785000e+01	-4.532447e-03	-3.585000e+01	1.281038e-02
-3.185000e+01	-8.422369e-03	-3.785000e+01	1.257285e-02	-3.385000e+01	6.405019e-03	-3.385000e+01	-5.918655e-03	-3.785000e+01	-4.912293e-03	-3.585000e+01	4.980984e-03	-3.585000e+01	4.185670e-03	-3.385000e+01	8.931601e-03	-3.385000e+01	1.189870e-02
-2.985000e+01	-2.230837e-03	-3.585000e+01	1.993918e-03	-2.985000e+01	6.966472e-03	-3.185000e+01	-1.394849e-02	-3.585000e+01	1.172890e-02	-3.385000e+01	-1.000866e-02	-3.385000e+01	-6.896161e-03	-3.185000e+01	6.752242e-03	-3.185000e+01	-2.028891e-02
-2.585000e+01	1.657703e-04	-3.185000e+01	-1.701665e-02	-2.785000e+01	1.292600e-02	-2.985000e+01	-4.233496e-03	-3.385000e+01	4.045211e-03	-3.185000e+01	-2.973866e-02	-3.185000e+01	6.820063e-03	-2.985000e+01	9.440432e-03	-2.985000e+01	-2.203112e-03
-2.185000e+01	-9.984087e-04	-2.785000e+01	1.250904e-03	-2.585000e+01	3.163151e-03	-2.585000e+01	-7.865640e-03	-3.185000e+01	-3.563998e-03	-2.785000e+01	2.769062e-02	-2.985000e+01	-3.397000e-02	-2.785000e+01	-9.699887e-04	-2.585000e+01	1.156778e-02
-1.785000e+01	-6.408838e-03	-2.385000e+01	8.034670e-03	-2.385000e+01	1.286753e-02	-2.385000e+01	1.138427e-02	-2.985000e+01	1.285920e-04	-2.585000e+01	-1.265175e-02	-2.585000e+01	2.276824e-02	-2.585000e+01	1.596766e-02	-2.385000e+01	1.853675e-04
-1.585000e+01	9.763846e-04	-2.185000e+01	5.369491e-03	-2.185000e+01	-1.191454e-02	-2.185000e+01	5.689003e-05	-2.785000e+01	9.000775e-04	-2.185000e+01	6.006855e-03	-2.385000e+01	-4.147617e-05	-2.385000e+01	9.939554e-03	-2.185000e+01	-1.102415e-03
-1.185000e+01	2.924210e-03	-1.785000e+01	-2.287343e-02	-1.985000e+01	-8.146151e-03	-1.985000e+01	-1.160803e-02	-2.385000e+01	3.230119e-04	-1.785000e+01	-1.386287e-02	-2.185000e+01	-1.185034e-02	-2.185000e+01	8.248612e-03	-1.985000e+01	5.336306e-03
-9.850000e+00	1.860707e-04	-1.585000e+01	-5.085157e-03	-1.785000e+01	-2.710220e-02	-1.785000e+01	8.715934e-03	-2.185000e+01	-2.801822e-03	-1.585000e+01	9.328802e-03	-1.985000e+01	-3.543601e-04	-1.985000e+01	-1.553283e-03	-1.785000e+01	-4.868523e-03
-5.850000e+00	3.236897e-03	-1.385000e+01	-2.087490e-03	-1.385000e+01	-8.628121e-03	-1.585000e+01	-1.579951e-03	-1.985000e+01	-3.039113e-03	-1.385000e+01	-2.271371e-02	-1.585000e+01	7.584601e-04	-1.785000e+01	1.605313e-02	-1.585000e+01	-2.105082e-03
-1.850000e+00	-1.499713e-03	-1.185000e+01	5.902439e-03	-9.850000e+00	5.176327e-03	-1.185000e+01	-1.456915e-02	-1.785000e+01	-9.474891e-03	-1.185000e+01	2.616176e-02	-1.385000e+01	-5.206688e-03	-1.585000e+01	3.817779e-03	-1.385000e+01	3.050777e-03
2.150000e+00	3.754874e-02	-7.850000e+00	1.269905e-03	-5.850000e+00	1.585947e-02	-9.850000e+00	-5.888573e-03	-1.585000e+01	4.839578e-03	-7.850000e+00	3.173199e-03	-1.185000e+01	1.090703e-02	-1.385000e+01	1.025210e-02	-1.185000e+01	-2.065723e-03
4.150000e+00	3.055886e-02	-5.850000e+00	-5.192965e-03	-3.850000e+00	3.684464e-03	-7.850000e+00	3.775050e-03	-1.385000e+01	-5.526278e-03	-5.850000e+00	4.723917e-03	-9.850000e+00	-1.203498e-02	-1.185000e+01	-1.079259e-02	-9.850000e+00	1.530326e-02
8.150000e+00	2.014567e-02	-3.850000e+00	-8.745038e-04	1.500000e-01	5.910190e-02	-5.850000e+00	1.706435e-02	-1.185000e+01	1.493293e-02	-1.850000e+00	-1.094565e-02	-7.850000e+00	-4.532182e-03	-9.850000e+00	9.745304e-03	-7.850000e+00	-6.735057e-03
1.015000e+01	2.394120e-02	-1.850000e+00	8.181833e-03	4.150000e+00	3.894563e-04	-1.850000e+00	-2.748333e-02	-9.850000e+00	-1.299198e-03	1.500000e-01	3.478967e-02	-5.850000e+00	1.563670e-03	-5.850000e+00	6.940717e-04	-5.850000e+00	-3.345346e-03
1.415000e+01	1.980573e-02	1.500000e-01	4.755558e-02	6.150000e+00	4.637229e-02	1.500000e-01	5.155659e-02	-7.850000e+00	1.215869e-03	2.150000e+00	3.739174e-02	-1.850000e+00	1.100273e-02	-3.850000e+00	-1.548936e-03	-3.850000e+00	8.391421e-03
1.815000e+01	2.308834e-02	2.150000e+00	3.380373e-02	1.015000e+01	1.435705e-02	2.150000e+00	6.096788e-02	-5.850000e+00	-5.471989e-03	4.150000e+00	3.310846e-02	1.500000e-01	4.740829e-02	-1.850000e+00	-1.064968e-04	-1.850000e+00	-1.841962e-03
2.015000e+01	2.016453e-02	4.150000e+00	2.531728e-02	1.215000e+01	1.308929e-02	4.150000e+00	5.447559e-02	-3.850000e+00	-9.844785e-03	6.150000e+00	9.361746e-03	2.150000e+00	2.584503e-02	1.500000e-01	3.774548e-02	1.500000e-01	3.662039e-02
2.215000e+01	1.464031e-02	6.150000e+00	2.287893e-02	1.415000e+01	1.411056e-02	6.150000e+00	3.242244e-02	-1.850000e+00	4.371713e-03	8.150000e+00	1.448787e-03	4.150000e+00	3.205988e-02	2.150000e+00	2.017667e-02	2.150000e+00	6.010300e-02
2.615000e+01	1.363754e-02	8.150000e+00	1.552392e-02	1.615000e+01	2.444064e-02	1.015000e+01	1.789706e-02	1.500000e-01	3.509338e-02	1.015000e+01	3.069044e-02	6.150000e+00	3.382862e-02	4.150000e+00	2.649010e-02	4.150000e+00	5.100176e-02
3.015000e+01	1.494588e-02	1.215000e+01	2.416433e-02	2.015000e+01	3.451543e-02	1.415000e+01	1.165012e-02	4.150000e+00	2.162837e-02	1.415000e+01	2.108181e-02	1.015000e+01	3.670523e-02	8.150000e+00	4.343663e-03	8.150000e+00	1.467818e-02
3.415000e+01	1.497976e-02	1.615000e+01	9.387900e-03	2.415000e+01	1.850063e-02	1.815000e+01	4.245281e-02	8.150000e+00	3.771909e-02	1.815000e+01	3.192362e-02	1.215000e+01	1.624150e-02	1.015000e+01	1.734218e-02	1.215000e+01	2.047906e-02
3.815000e+01	1.524004e-02	2.015000e+01	-3.066362e-03	2.615000e+01	2.684966e-02	2.215000e+01	5.204526e-03	1.015000e+01	4.350331e-02	2.215000e+01	2.262368e-02	1.615000e+01	3.591728e-02	1.415000e+01	8.693593e-03	1.615000e+01	3.412643e-03
