Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.252729e+02	9.425121e-03	-4.513902e-03	6.406552e-04	1.185880e+09	1.144633e+08	-4.543555e-03	2.016357e-03	4.731867e+07	5.204929e+06	-4.760475e-03	9.949863e-04	1.191975e+09	1.122019e+08	-6.884892e-03	4.010904e-03	4.398269e+07	3.818113e+06	-4.746115e-03	7.783418e-04	8.257070e+09	3.121950e+08	-4.765539e-03	8.735185e-04	8.312860e+09	2.678281e+08	-4.750786e-03	7.409251e-04	9.449045e+09	3.751015e+08	-4.732685e-03	8.131499e-04	9.498740e+09	3.258157e+08	-2.965334e-05	1.706624e-03	-2.124417e-03	4.754921e-03	2.341337e-03	3.985757e-03	2.094764e-03	4.607485e-03	1.891302e-04	2.103234e-03	-1.138561e+09	1.147855e+08	-1.147993e+09	1.117179e+08	3.335978e+06	3.743254e+06	9.431279e+06	2.229279e+07	-9.451422e+09	3.236497e+08
5.256380e+02	9.416104e-03	-3.498813e-03	1.035974e-03	1.212860e+09	1.036855e+08	-2.270838e-03	1.819098e-03	4.986737e+07	4.598573e+06	-3.155004e-03	1.119815e-03	1.235558e+09	1.248501e+08	-1.939393e-03	4.089105e-03	4.966863e+07	4.456184e+06	-3.477164e-03	8.395625e-04	8.500530e+09	2.980654e+08	-3.493780e-03	1.058849e-03	8.558574e+09	2.494399e+08	-3.439368e-03	8.514330e-04	9.736087e+09	3.495532e+08	-3.493249e-03	9.483303e-04	9.771434e+09	3.074812e+08	1.227974e-03	1.576927e-03	1.215611e-03	4.161981e-03	-3.314453e-04	4.319256e-03	1.236378e-05	4.339631e-03	1.222410e-03	1.738689e-03	-1.162993e+09	1.034210e+08	-1.185889e+09	1.267443e+08	1.987405e+05	5.810681e+06	2.289627e+07	4.725860e+07	-9.721567e+09	3.062933e+08
5.261356e+02	9.403849e-03	-1.922273e-03	9.942197e-04	1.255414e+09	1.185655e+08	-2.139474e-03	3.303486e-03	5.001925e+07	5.217956e+06	-1.545110e-03	9.591102e-04	1.279935e+09	1.270102e+08	-3.499485e-04	3.220429e-03	5.149900e+07	3.144119e+06	-1.641882e-03	7.939340e-04	8.854601e+09	2.929869e+08	-1.656654e-03	6.457985e-04	8.915552e+09	3.208354e+08	-1.630368e-03	7.630462e-04	1.013453e+10	3.614537e+08	-1.690718e-03	6.280521e-04	1.017097e+10	3.843699e+08	-2.172013e-04	3.243268e-03	1.195162e-03	3.021966e-03	-1.789526e-03	3.445549e-03	-1.412363e-03	3.599850e-03	-4.487562e-04	3.259629e-03	-1.205394e+09	1.161260e+08	-1.228436e+09	1.287319e+08	-1.479749e+06	6.531145e+06	2.304119e+07	3.708330e+07	-1.012095e+10	3.807532e+08
5.266332e+02	9.391636e-03	1.118262e-03	1.306889e-03	1.337569e+09	1.288827e+08	-1.181026e-03	2.621361e-03	5.109601e+07	5.392021e+06	1.220450e-03	1.543866e-03	1.355260e+09	1.493410e+08	7.058347e-04	3.238070e-03	5.266561e+07	5.029441e+06	9.945552e-04	7.932902e-04	9.362205e+09	2.997780e+08	1.065779e-03	7.874045e-04	9.443177e+09	2.741998e+08	1.024574e-03	8.121337e-04	1.071746e+10	3.534707e+08	1.069249e-03	8.053418e-04	1.078075e+10	3.453410e+08	-2.299288e-03	3.171427e-03	-5.146156e-04	3.253678e-03	-1.886861e-03	3.753655e-03	-1.784673e-03	4.389693e-03	-2.250275e-03	2.899108e-03	-1.286473e+09	1.295527e+08	-1.302595e+09	1.524616e+08	-1.569600e+06	7.381503e+06	1.612180e+07	4.900370e+07	-1.072965e+10	3.440115e+08
5.271383e+02	9.379283e-03	5.025513e-03	1.557068e-03	1.442681e+09	1.229972e+08	4.255221e-03	2.823996e-03	5.728672e+07	3.700521e+06	4.842958e-03	1.926296e-03	1.452974e+09	1.630607e+08	3.124065e-03	2.388198e-03	5.544089e+07	3.720704e+06	4.935300e-03	1.188241e-03	1.011946e+10	2.382466e+08	5.070491e-03	1.197657e-03	1.021749e+10	2.166224e+08	4.927084e-03	1.218369e-03	1.157244e+10	2.808950e+08	5.062140e-03	1.221135e-03	1.166017e+10	2.812308e+08	-7.702916e-04	2.433642e-03	-1.718893e-03	1.949560e-03	1.131157e-03	2.765962e-03	9.486016e-04	2.751420e-03	-8.069182e-04	2.212843e-03	-1.385394e+09	1.250607e+08	-1.397533e+09	1.648304e+08	1.845834e+06	4.505464e+06	1.213872e+07	5.355566e+07	-1.160289e+10	2.817184e+08
5.276384e+02	9.367096e-03	1.183416e-02	1.825616e-03	1.627024e+09	1.295755e+08	1.306779e-02	2.912192e-03	6.732181e+07	3.287286e+06	1.129051e-02	1.101682e-03	1.626908e+09	1.452586e+08	1.621590e-02	3.734766e-03	7.045155e+07	3.557539e+06	1.193573e-02	1.483637e-03	1.146610e+10	2.268756e+08	1.177299e-02	1.299590e-03	1.151504e+10	2.526272e+08	1.185853e-02	1.421973e-03	1.309301e+10	2.740793e+08	1.177902e-02	1.356158e-03	1.314206e+10	2.939587e+08	1.233622e-03	2.391393e-03	4.925388e-03	3.744460e-03	-3.148112e-03	5.022700e-03	-3.691767e-03	5.051145e-03	1.288770e-03	2.393003e-03	-1.559703e+09	1.309102e+08	-1.556457e+09	1.449834e+08	-3.129737e+06	5.093537e+06	-3.245731e+06	2.946944e+07	-1.307474e+10	2.929476e+08
5.280535e+02	9.357012e-03	2.226089e-02	2.909504e-03	1.909996e+09	1.796096e+08	2.278844e-02	6.279858e-03	7.837176e+07	4.346045e+06	2.138800e-02	1.477289e-03	1.900036e+09	1.624808e+08	2.566591e-02	4.182466e-03	8.130055e+07	4.757944e+06	2.210357e-02	1.932952e-03	1.342268e+10	2.508429e+08	2.158025e-02	1.630939e-03	1.341359e+10	2.843906e+08	2.201690e-02	1.854721e-03	1.532272e+10	3.412592e+08	2.166461e-02	1.733541e-03	1.532358e+10	3.632068e+08	5.275510e-04	4.293480e-03	4.277909e-03	3.969488e-03	-2.877461e-03	6.054421e-03	-3.750359e-03	5.895867e-03	1.123836e-03	5.145235e-03	-1.831625e+09	1.787886e+08	-1.818735e+09	1.644008e+08	-2.928789e+06	6.521568e+06	-1.288941e+07	4.134868e+07	-1.524521e+10	3.616553e+08
5.282836e+02	9.351436e-03	3.239370e-02	4.598413e-03	2.185159e+09	2.267933e+08	3.267096e-02	7.429719e-03	8.958890e+07	5.534630e+06	3.175168e-02	3.048544e-03	2.180238e+09	1.963442e+08	2.988007e-02	5.951873e-03	8.616529e+07	6.015567e+06	3.214486e-02	2.781183e-03	1.535360e+10	2.846658e+08	3.133853e-02	2.582540e-03	1.530166e+10	3.202795e+08	3.209892e-02	2.793859e-03	1.753385e+10	3.829659e+08	3.147289e-02	2.754383e-03	1.748682e+10	4.462932e+08	2.772584e-04	5.930865e-03	-1.871615e-03	4.497774e-03	2.790896e-03	6.748977e-03	2.148874e-03	7.411048e-03	1.198067e-03	5.763592e-03	-2.095570e+09	2.295887e+08	-2.094073e+09	1.964093e+08	3.423610e+06	6.347225e+06	-1.497566e+06	4.121011e+07	-1.739724e+10	4.472290e+08
5.284286e+02	9.347927e-03	4.215143e-02	4.987511e-03	2.449841e+09	2.470039e+08	4.022627e-02	5.745523e-03	9.815965e+07	4.205146e+06	4.084622e-02	4.742884e-03	2.425977e+09	2.321192e+08	4.103954e-02	8.901394e-03	9.899509e+07	9.719557e+06	4.190264e-02	2.340907e-03	1.723309e+10	2.729403e+08	4.066858e-02	2.179159e-03	1.710969e+10	2.018438e+08	4.177229e-02	2.595037e-03	1.965907e+10	4.004138e+08	4.085494e-02	2.410359e-03	1.955953e+10	3.555935e+08	-1.925162e-03	3.671368e-03	1.933219e-04	5.773178e-03	-8.132684e-04	5.341584e-03	-2.118484e-03	5.104917e-03	-6.286689e-04	4.063843e-03	-2.351682e+09	2.478916e+08	-2.326982e+09	2.339111e+08	-8.354227e+05	8.061598e+06	-2.469997e+07	2.596740e+07	-1.946137e+10	3.548797e+08
5.285762e+02	9.344360e-03	5.427546e-02	4.269715e-03	2.778230e+09	2.536178e+08	5.424676e-02	7.342297e-03	1.140886e+08	5.727494e+06	5.370501e-02	5.541054e-03	2.773005e+09	2.570242e+08	5.593083e-02	7.266385e-03	1.160105e+08	7.977512e+06	5.449910e-02	1.739721e-03	1.965799e+10	3.257473e+08	5.298958e-02	1.882800e-03	1.949618e+10	2.227965e+08	5.439586e-02	2.115422e-03	2.243099e+10	4.379457e+08	5.315168e-02	2.029117e-03	2.227441e+10	3.709409e+08	-2.870742e-05	4.750614e-03	2.225819e-03	2.983241e-03	-1.684078e-03	2.794338e-03	-2.254526e-03	3.117080e-03	1.095073e-03	5.701214e-03	-2.664141e+09	2.547755e+08	-2.656995e+09	2.570477e+08	-1.921854e+06	4.925382e+06	-7.146635e+06	6.373628e+07	-2.216032e+10	3.705201e+08
