Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.252729e+02	9.425121e-03	-4.513902e-03	6.406552e-04	1.185880e+09	1.144633e+08	-7.816607e-03	2.734488e-03	4.626862e+07	4.498417e+06	-4.760475e-03	9.949863e-04	1.191975e+09	1.122019e+08	-5.957258e-03	3.631115e-03	4.598298e+07	7.781960e+06	-4.746115e-03	7.783418e-04	8.257070e+09	3.121950e+08	-4.765539e-03	8.735185e-04	8.312860e+09	2.678281e+08	-4.750786e-03	7.409251e-04	9.449045e+09	3.751015e+08	-4.732685e-03	8.131499e-04	9.498740e+09	3.258157e+08	-3.302705e-03	2.819810e-03	-1.196784e-03	3.592450e-03	-1.859347e-03	5.624576e-03	-2.105921e-03	5.248003e-03	-3.083921e-03	2.923745e-03	-1.139611e+09	1.120085e+08	-1.145992e+09	1.112172e+08	2.856395e+05	9.306167e+06	6.380940e+06	2.578858e+07	-9.452472e+09	3.234268e+08
5.256380e+02	9.416104e-03	-3.498813e-03	1.035974e-03	1.212860e+09	1.036855e+08	-3.667970e-03	1.886018e-03	5.097869e+07	3.545916e+06	-3.155004e-03	1.119815e-03	1.235558e+09	1.248501e+08	-1.044930e-03	3.533416e-03	5.165345e+07	7.571752e+06	-3.477164e-03	8.395625e-04	8.500530e+09	2.980654e+08	-3.493780e-03	1.058849e-03	8.558574e+09	2.494399e+08	-3.439368e-03	8.514330e-04	9.736087e+09	3.495532e+08	-3.493249e-03	9.483303e-04	9.771434e+09	3.074812e+08	-1.691576e-04	2.195964e-03	2.110073e-03	3.739070e-03	-2.623039e-03	4.560366e-03	-2.279231e-03	4.937762e-03	-1.747216e-04	1.535875e-03	-1.161881e+09	1.037134e+08	-1.183904e+09	1.235153e+08	-6.747523e+05	8.313724e+06	2.202278e+07	5.385768e+07	-9.720455e+09	3.058979e+08
5.261356e+02	9.403849e-03	-1.922273e-03	9.942197e-04	1.255414e+09	1.185655e+08	1.405435e-03	2.817196e-03	5.677550e+07	4.456387e+06	-1.545110e-03	9.591102e-04	1.279935e+09	1.270102e+08	5.910740e-04	2.578142e-03	5.348681e+07	6.297578e+06	-1.641882e-03	7.939340e-04	8.854601e+09	2.929869e+08	-1.656654e-03	6.457985e-04	8.915552e+09	3.208354e+08	-1.630368e-03	7.630462e-04	1.013453e+10	3.614537e+08	-1.690718e-03	6.280521e-04	1.017097e+10	3.843699e+08	3.327707e-03	3.074248e-03	2.136184e-03	3.182523e-03	8.143605e-04	3.926984e-03	1.191523e-03	4.484053e-03	3.096152e-03	2.875806e-03	-1.198638e+09	1.199175e+08	-1.226448e+09	1.242268e+08	3.288693e+06	6.812765e+06	2.780964e+07	3.686907e+07	-1.011419e+10	3.839502e+08
5.266332e+02	9.391636e-03	1.118262e-03	1.306889e-03	1.337569e+09	1.288827e+08	1.334118e-03	3.932547e-03	5.668021e+07	4.067000e+06	1.220450e-03	1.543866e-03	1.355260e+09	1.493410e+08	4.523001e-04	3.305565e-03	5.332528e+07	4.321074e+06	9.945552e-04	7.932902e-04	9.362205e+09	2.997780e+08	1.065779e-03	7.874045e-04	9.443177e+09	2.741998e+08	1.024574e-03	8.121337e-04	1.071746e+10	3.534707e+08	1.069249e-03	8.053418e-04	1.078075e+10	3.453410e+08	2.158557e-04	3.520316e-03	-7.681501e-04	2.779702e-03	8.818175e-04	4.874591e-03	9.840064e-04	4.796520e-03	2.648687e-04	3.432903e-03	-1.280889e+09	1.316569e+08	-1.301935e+09	1.476125e+08	3.354927e+06	6.945807e+06	2.104632e+07	4.445106e+07	-1.072406e+10	3.464898e+08
5.271383e+02	9.379283e-03	5.025513e-03	1.557068e-03	1.442681e+09	1.229972e+08	5.659155e-03	4.358089e-03	6.156517e+07	4.499622e+06	4.842958e-03	1.926296e-03	1.452974e+09	1.630607e+08	5.848992e-03	3.733338e-03	5.956563e+07	2.997306e+06	4.935300e-03	1.188241e-03	1.011946e+10	2.382466e+08	5.070491e-03	1.197657e-03	1.021749e+10	2.166224e+08	4.927084e-03	1.218369e-03	1.157244e+10	2.808950e+08	5.062140e-03	1.221135e-03	1.166017e+10	2.812308e+08	6.336422e-04	3.707006e-03	1.006034e-03	3.147517e-03	-1.898366e-04	5.220099e-03	-3.723920e-04	5.399787e-03	5.970157e-04	3.743464e-03	-1.381116e+09	1.234407e+08	-1.393408e+09	1.636946e+08	1.999544e+06	6.255301e+06	1.229243e+07	5.562862e+07	-1.159860e+10	2.811877e+08
5.276384e+02	9.367096e-03	1.183416e-02	1.825616e-03	1.627024e+09	1.295755e+08	1.134030e-02	3.970533e-03	6.814206e+07	6.404429e+06	1.129051e-02	1.101682e-03	1.626908e+09	1.452586e+08	1.034089e-02	5.170519e-03	6.472944e+07	3.617319e+06	1.193573e-02	1.483637e-03	1.146610e+10	2.268756e+08	1.177299e-02	1.299590e-03	1.151504e+10	2.526272e+08	1.185853e-02	1.421973e-03	1.309301e+10	2.740793e+08	1.177902e-02	1.356158e-03	1.314206e+10	2.939587e+08	-4.938687e-04	4.699248e-03	-9.496182e-04	4.283080e-03	9.994041e-04	6.916280e-03	4.557496e-04	7.780205e-03	-4.387199e-04	4.293512e-03	-1.558882e+09	1.289133e+08	-1.562179e+09	1.467365e+08	3.412619e+06	5.909369e+06	3.296627e+06	3.240977e+07	-1.307392e+10	2.887245e+08
5.280535e+02	9.357012e-03	2.226089e-02	2.909504e-03	1.909996e+09	1.796096e+08	2.224461e-02	6.052381e-03	8.058731e+07	8.229661e+06	2.138800e-02	1.477289e-03	1.900036e+09	1.624808e+08	2.391385e-02	4.828152e-03	8.029429e+07	3.782054e+06	2.210357e-02	1.932952e-03	1.342268e+10	2.508429e+08	2.158025e-02	1.630939e-03	1.341359e+10	2.843906e+08	2.201690e-02	1.854721e-03	1.532272e+10	3.412592e+08	2.166461e-02	1.733541e-03	1.532358e+10	3.632068e+08	-1.628708e-05	7.004625e-03	2.525853e-03	3.661678e-03	-1.669241e-03	6.187265e-03	-2.542139e-03	7.437090e-03	5.799979e-04	5.841725e-03	-1.829409e+09	1.838419e+08	-1.819741e+09	1.635246e+08	2.930290e+05	6.313724e+06	-9.667597e+06	4.237863e+07	-1.524300e+10	3.606821e+08
5.282836e+02	9.351436e-03	3.239370e-02	4.598413e-03	2.185159e+09	2.267933e+08	3.157955e-02	8.084328e-03	9.114112e+07	8.524557e+06	3.175168e-02	3.048544e-03	2.180238e+09	1.963442e+08	3.303382e-02	6.818572e-03	9.075041e+07	8.243347e+06	3.214486e-02	2.781183e-03	1.535360e+10	2.846658e+08	3.133853e-02	2.582540e-03	1.530166e+10	3.202795e+08	3.209892e-02	2.793859e-03	1.753385e+10	3.829659e+08	3.147289e-02	2.754383e-03	1.748682e+10	4.462932e+08	-8.141535e-04	6.075975e-03	1.282137e-03	6.058127e-03	-1.454269e-03	4.968088e-03	-2.096292e-03	3.830444e-03	1.066548e-04	6.155667e-03	-2.094018e+09	2.256448e+08	-2.089488e+09	1.979632e+08	3.907179e+05	6.841529e+06	-4.530459e+06	3.469845e+07	-1.739568e+10	4.398011e+08
5.284286e+02	9.347927e-03	4.215143e-02	4.987511e-03	2.449841e+09	2.470039e+08	4.322099e-02	7.305176e-03	1.043804e+08	5.882566e+06	4.084622e-02	4.742884e-03	2.425977e+09	2.321192e+08	4.065766e-02	7.784719e-03	9.950744e+07	7.331828e+06	4.190264e-02	2.340907e-03	1.723309e+10	2.729403e+08	4.066858e-02	2.179159e-03	1.710969e+10	2.018438e+08	4.177229e-02	2.595037e-03	1.965907e+10	4.004138e+08	4.085494e-02	2.410359e-03	1.955953e+10	3.555935e+08	1.069555e-03	7.003348e-03	-1.885551e-04	5.707798e-03	2.563326e-03	6.903724e-03	1.258110e-03	6.897041e-03	2.366049e-03	5.992274e-03	-2.345461e+09	2.481954e+08	-2.326469e+09	2.324274e+08	4.872971e+06	6.646658e+06	-1.899158e+07	3.060102e+07	-1.945515e+10	3.552922e+08
5.285762e+02	9.344360e-03	5.427546e-02	4.269715e-03	2.778230e+09	2.536178e+08	5.561850e-02	5.324394e-03	1.185941e+08	6.572097e+06	5.370501e-02	5.541054e-03	2.773005e+09	2.570242e+08	5.290837e-02	3.656396e-03	1.136323e+08	7.809438e+06	5.449910e-02	1.739721e-03	1.965799e+10	3.257473e+08	5.298958e-02	1.882800e-03	1.949618e+10	2.227965e+08	5.439586e-02	2.115422e-03	2.243099e+10	4.379457e+08	5.315168e-02	2.029117e-03	2.227441e+10	3.709409e+08	1.343039e-03	6.622318e-03	-7.966483e-04	6.555649e-03	2.710133e-03	7.017816e-03	2.139686e-03	7.304119e-03	2.466818e-03	5.293383e-03	-2.659636e+09	2.553579e+08	-2.659373e+09	2.564166e+08	4.961872e+06	7.837727e+06	-2.629033e+05	6.951100e+07	-2.215582e+10	3.699254e+08
5.287237e+02	9.340797e-03	7.071855e-02	5.824568e-03	3.219713e+09	2.548644e+08	6.918875e-02	5.607375e-03	1.340928e+08	8.495603e+06	7.076219e-02	6.042688e-03	3.232577e+09	2.541756e+08	7.210714e-02	8.619443e-03	1.356051e+08	9.529409e+06	7.298930e-02	3.775807e-03	2.321161e+10	4.595138e+08	7.022444e-02	3.534508e-03	2.283067e+10	4.276200e+08	7.271100e-02	4.008083e-03	2.644418e+10	5.523907e+08	7.028415e-02	3.672134e-03	2.605038e+10	4.784470e+08	-1.529794e-03	6.458044e-03	1.344945e-03	6.330054e-03	-2.918384e-03	6.418134e-03	-2.874738e-03	5.951684e-03	-1.095397e-03	5.634786e-03	-3.085620e+09	2.543301e+08	-3.096972e+09	2.533394e+08	-1.512230e+06	7.277025e+06	1.135227e+07	4.749805e+07	-2.591629e+10	4.737036e+08
5.288812e+02	9.336997e-03	1.033493e-01	7.223722e-03	4.101741e+09	2.853745e+08	1.065238e-01	1.097875e-02	1.767029e+08	1.454131e+07	1.051046e-01	7.082305e-03	4.162359e+09	3.230607e+08	1.024642e-01	8.656818e-03	1.705715e+08	1.005421e+07	1.087368e-01	5.630475e-03	3.008861e+10	7.121884e+08	1.038572e-01	5.288445e-03	2.934157e+10	7.291170e+08	1.082960e-01	5.727272e-03	3.425096e+10	7.703203e+08	1.037961e-01	5.460480e-03	3.344331e+10	7.666146e+08	3.174498e-03	1.325810e-02	-2.640440e-03	9.936046e-03	4.059584e-03	1.252640e-02	5.814940e-03	1.300986e-02	2.727680e-03	1.178218e-02	-3.925038e+09	2.862535e+08	-3.991787e+09	3.285408e+08	6.131465e+06	1.289414e+07	6.674913e+07	5.834546e+07	-3.326660e+10	7.619197e+08
5.290363e+02	9.333262e-03	1.701428e-01	1.722538e-02	5.910869e+09	5.858661e+08	1.761654e-01	1.153352e-02	2.560741e+08	1.467992e+07	1.679877e-01	1.350868e-02	5.860180e+09	4.655084e+08	1.646319e-01	1.095363e-02	2.420033e+08	1.075697e+07	1.769879e-01	1.028782e-02	4.322142e+10	1.568643e+09	1.668193e-01	1.000823e-02	4.153001e+10	1.545989e+09	1.758818e-01	1.068107e-02	4.908160e+10	1.810039e+09	1.672430e-01	1.054035e-02	4.744088e+10	1.785676e+09	6.022560e-03	1.752737e-02	-3.355846e-03	1.109561e-02	1.153353e-02	1.339425e-02	9.378407e-03	1.596397e-02	8.922454e-03	9.961232e-03	-5.654795e+09	5.879983e+08	-5.618176e+09	4.686893e+08	1.407071e+07	1.492504e+07	-3.661873e+07	1.462948e+08	-4.718480e+10	1.778922e+09
5.291888e+02	9.329591e-03	2.888597e-01	3.397655e-02	9.117932e+09	1.000698e+09	2.944150e-01	2.325312e-02	3.906287e+08	2.217012e+07	2.855370e-01	2.887308e-02	9.033586e+09	8.503320e+08	2.805522e-01	2.277648e-02	3.749966e+08	2.129347e+07	3.005916e-01	2.226597e-02	6.698738e+10	3.518377e+09	2.828006e-01	2.212365e-02	6.397065e+10	3.572615e+09	2.987453e-01	2.301370e-02	7.602097e+10	4.068339e+09	2.835623e-01	2.318185e-02	7.308859e+10	4.187288e+09	5.555304e-03	1.480968e-02	-4.984785e-03	1.108610e-02	1.386282e-02	9.984622e-03	1.054009e-02	1.192386e-02	1.085271e-02	7.996339e-03	-8.727304e+09	9.867358e+08	-8.658589e+09	8.401772e+08	1.563201e+07	1.196490e+07	-6.871516e+07	1.707313e+08	-7.269795e+10	4.166431e+09
5.293313e+02	9.326164e-03	4.928719e-01	3.900356e-02	1.463986e+10	1.226563e+09	5.058482e-01	2.907759e-02	6.315655e+08	2.570304e+07	4.918561e-01	3.466445e-02	1.461887e+10	1.166856e+09	4.813242e-01	2.800426e-02	6.053769e+08	2.490122e+07	5.117539e-01	2.285689e-02	1.076219e+11	3.076991e+09	4.863500e-01	2.359076e-02	1.033862e+11	3.416660e+09	5.093245e-01	2.393004e-02	1.222407e+11	3.572692e+09	4.871580e-01	2.491527e-02	1.180261e+11	4.009936e+09	1.297631e-02	1.636823e-02	-1.053193e-02	1.991465e-02	2.452401e-02	1.526008e-02	2.350824e-02	1.328990e-02	1.869025e-02	1.273349e-02	-1.400829e+10	1.211634e+09	-1.401349e+10	1.163340e+09	2.618864e+07	1.683532e+07	5.198900e+06	1.236994e+08	-1.173945e+11	3.985725e+09
5.294839e+02	9.322501e-03	8.124412e-01	4.952382e-02	2.330611e+10	1.876850e+09	8.167079e-01	3.253056e-02	9.858172e+08	2.225802e+07	8.135453e-01	4.851915e-02	2.333226e+10	1.864019e+09	8.007231e-01	2.028802e-02	9.723416e+08	1.514956e+07	8.281080e-01	2.451430e-02	1.685013e+11	2.259072e+09	7.977981e-01	2.565866e-02	1.636951e+11	2.796855e+09	8.263465e-01	2.624818e-02	1.918335e+11	3.256845e+09	7.996230e-01	2.716274e-02	1.870012e+11	3.697719e+09	4.266674e-03	4.039022e-02	-1.282223e-02	3.673810e-02	1.598486e-02	2.057800e-02	1.708890e-02	2.069278e-02	1.708495e-02	1.576597e-02	-2.232029e+10	1.879793e+09	-2.235991e+10	1.869140e+09	1.347551e+07	2.224220e+07	3.962735e+07	6.250948e+07	-1.860153e+11	3.689015e+09
5.296364e+02	9.318842e-03	1.193007e+00	6.802820e-02	3.361318e+10	2.633788e+09	1.179067e+00	3.764085e-02	1.399108e+09	3.598997e+07	1.195126e+00	6.828129e-02	3.365711e+10	2.628757e+09	1.154910e+00	5.063159e-02	1.378889e+09	4.959785e+07	1.191327e+00	3.860354e-02	2.383802e+11	4.567183e+09	1.164871e+00	3.950109e-02	2.347558e+11	4.833225e+09	1.191857e+00	3.959184e-02	2.720373e+11	5.343346e+09	1.168390e+00	4.031313e-02	2.683689e+11	5.531529e+09	-1.393997e-02	6.182536e-02	-4.021557e-02	6.928618e-02	2.415687e-02	3.193941e-02	2.627560e-02	3.001927e-02	1.067657e-02	2.245803e-02	-3.221407e+10	2.646751e+09	-3.227822e+10	2.654682e+09	2.021848e+07	3.603987e+07	6.415151e+07	4.288309e+07	-2.669698e+11	5.521764e+09
5.297864e+02	9.315247e-03	1.584582e+00	8.466762e-02	4.421569e+10	3.362282e+09	1.535446e+00	4.365530e-02	1.805553e+09	4.727844e+07	1.586705e+00	8.355851e-02	4.425547e+10	3.378794e+09	1.501841e+00	5.534571e-02	1.777500e+09	5.773416e+07	1.551738e+00	3.845794e-02	3.077533e+11	3.997427e+09	1.536220e+00	3.875052e-02	3.066801e+11	3.929533e+09	1.556136e+00	3.868688e-02	3.520087e+11	4.043832e+09	1.542229e+00	3.912400e-02	3.508958e+11	3.873427e+09	-4.913640e-02	9.407183e-02	-8.486459e-02	8.511271e-02	3.360492e-02	3.607469e-02	3.572819e-02	3.641260e-02	-6.783494e-03	3.223859e-02	-4.241014e+10	3.404242e+09	-4.247797e+10	3.418943e+09	2.805310e+07	3.971044e+07	6.782660e+07	9.650307e+07	-3.490903e+11	3.880939e+09
5.299415e+02	9.311536e-03	1.891006e+00	9.432329e-02	5.252163e+10	3.962608e+09	1.813905e+00	6.230681e-02	2.123213e+09	7.548985e+07	1.887755e+00	8.926338e-02	5.241383e+10	3.953280e+09	1.793198e+00	5.797075e-02	2.112199e+09	6.425984e+07	1.825429e+00	5.093122e-02	3.604260e+11	7.209247e+09	1.821356e+00	5.013684e-02	3.618958e+11	6.715640e+09	1.833218e+00	4.941577e-02	4.128398e+11	7.826607e+09	1.829977e+00	4.919245e-02	4.144174e+11	7.292627e+09	-7.710099e-02	1.110106e-01	-9.455704e-02	9.473829e-02	2.070678e-02	3.970692e-02	1.745606e-02	3.862240e-02	-1.607285e-02	4.065813e-02	-5.039841e+10	4.014389e+09	-5.030163e+10	3.987715e+09	1.101394e+07	3.413434e+07	-9.678302e+07	1.290990e+08	-4.122942e+11	7.269753e+09
5.300915e+02	9.307949e-03	2.017608e+00	1.161184e-01	5.596014e+10	4.619680e+09	1.916484e+00	7.689254e-02	2.239388e+09	7.013437e+07	2.015946e+00	1.124662e-01	5.589373e+10	4.635405e+09	1.908743e+00	7.731943e-02	2.244249e+09	7.001187e+07	1.931829e+00	7.561567e-02	3.808730e+11	1.202106e+10	1.938528e+00	7.474074e-02	3.845609e+11	1.180481e+10	1.942311e+00	7.562975e-02	4.367667e+11	1.422760e+10	1.948302e+00	7.504781e-02	4.405211e+11	1.401148e+10	-1.011232e-01	9.184899e-02	-1.072033e-01	1.081386e-01	7.741395e-03	4.179631e-02	6.080112e-03	3.764824e-02	-3.181815e-02	3.035049e-02	-5.372075e+10	4.618650e+09	-5.364948e+10	4.639564e+09	-4.861119e+06	2.670518e+07	-7.126551e+07	1.087563e+08	-4.382817e+11	1.395640e+10
5.302340e+02	9.304545e-03	1.986055e+00	9.211157e-02	5.512532e+10	4.367111e+09	1.891777e+00	5.525825e-02	2.211879e+09	6.451110e+07	1.987755e+00	9.540697e-02	5.514261e+10	4.424118e+09	1.871387e+00	8.640581e-02	2.201364e+09	8.499342e+07	1.896921e+00	6.557882e-02	3.741722e+11	1.033745e+10	1.909820e+00	6.496181e-02	3.790219e+11	1.027413e+10	1.908225e+00	6.331134e-02	4.293148e+11	1.212152e+10	1.919247e+00	6.270916e-02	4.341473e+11	1.220260e+10	-9.427822e-02	8.819385e-02	-1.163681e-01	1.183009e-01	2.039021e-02	4.898896e-02	2.208990e-02	4.968388e-02	-2.747030e-02	2.548856e-02	-5.291344e+10	4.375195e+09	-5.294125e+10	4.429623e+09	1.051429e+07	3.611717e+07	2.780752e+07	1.907774e+08	-4.319354e+11	1.215712e+10
