# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
-4.785000e+01	-8.739026e-03	-4.785000e+01	-7.185891e-03	-4.785000e+01	-2.822494e-02	-4.785000e+01	-8.330674e-03	-4.785000e+01	2.271921e-02	-4.785000e+01	-2.267284e-02
-4.585000e+01	-5.461869e-04	-4.585000e+01	7.075240e-03	-4.585000e+01	-1.607919e-02	-4.585000e+01	2.078763e-02	-4.585000e+01	-9.136946e-03	-4.585000e+01	-5.377669e-03
-4.385000e+01	-1.196869e-02	-4.385000e+01	-1.962836e-02	-4.385000e+01	-1.605409e-02	-4.385000e+01	-3.217302e-02	-4.385000e+01	-9.953338e-03	-4.385000e+01	1.796534e-02
-4.185000e+01	-3.437954e-02	-4.185000e+01	1.378956e-03	-4.185000e+01	3.914482e-03	-4.185000e+01	-2.064197e-01	-4.185000e+01	1.732829e-02	-4.185000e+01	1.190026e-02
-3.985000e+01	-1.889944e-03	-3.985000e+01	2.112786e-03	-3.985000e+01	7.371739e-03	-3.985000e+01	-1.536106e-02	-3.985000e+01	1.491882e-03	-3.985000e+01	-5.065061e-03
-3.785000e+01	-3.584552e-03	-3.785000e+01	1.056368e-02	-3.785000e+01	-1.929028e-02	-3.785000e+01	-5.991630e-03	-3.785000e+01	-1.869729e-03	-3.785000e+01	-1.334799e-03
-3.585000e+01	-1.666397e-03	-3.585000e+01	-3.554828e-03	-3.585000e+01	2.145096e-03	-3.585000e+01	-1.343391e-02	-3.585000e+01	5.159367e-03	-3.585000e+01	1.352288e-03
-3.385000e+01	-3.684022e-03	-3.385000e+01	-1.073288e-02	-3.385000e+01	-4.008270e-03	-3.385000e+01	4.437041e-03	-3.385000e+01	-6.179666e-03	-3.385000e+01	-1.936339e-03
-3.185000e+01	-7.564107e-04	-3.185000e+01	-1.307211e-02	-3.185000e+01	-3.595898e-03	-3.185000e+01	-6.652432e-03	-3.185000e+01	1.261071e-02	-3.185000e+01	6.927674e-03
-2.985000e+01	-9.506882e-04	-2.985000e+01	2.352062e-03	-2.985000e+01	7.751730e-03	-2.985000e+01	-3.061148e-03	-2.985000e+01	-1.152254e-02	-2.985000e+01	-2.735424e-04
-2.785000e+01	1.041898e-02	-2.785000e+01	9.324828e-06	-2.785000e+01	3.969698e-03	-2.785000e+01	1.145200e-02	-2.785000e+01	2.004852e-02	-2.785000e+01	1.661535e-02
-2.585000e+01	7.257192e-03	-2.585000e+01	2.497712e-02	-2.585000e+01	4.916404e-02	-2.585000e+01	-3.655906e-02	-2.585000e+01	-5.843412e-03	-2.585000e+01	4.547279e-03
-2.385000e+01	5.066518e-03	-2.385000e+01	-9.318240e-03	-2.385000e+01	3.292967e-04	-2.385000e+01	5.400965e-03	-2.385000e+01	9.671109e-03	-2.385000e+01	1.924946e-02
-2.185000e+01	5.722000e-03	-2.185000e+01	1.301786e-02	-2.185000e+01	1.914125e-02	-2.185000e+01	-1.008660e-02	-2.185000e+01	5.057448e-04	-2.185000e+01	6.031738e-03
-1.985000e+01	-5.590421e-03	-1.985000e+01	-2.879141e-03	-1.985000e+01	2.071870e-02	-1.985000e+01	-6.241075e-03	-1.985000e+01	-2.978592e-02	-1.985000e+01	-9.764674e-03
-1.785000e+01	2.956226e-03	-1.785000e+01	2.384561e-02	-1.785000e+01	-2.642015e-03	-1.785000e+01	-2.320662e-02	-1.785000e+01	4.157502e-03	-1.785000e+01	1.262665e-02
-1.585000e+01	-2.149972e-03	-1.585000e+01	-5.199240e-03	-1.585000e+01	-7.609665e-04	-1.585000e+01	1.394602e-02	-1.585000e+01	9.085869e-03	-1.585000e+01	-2.782155e-02
-1.385000e+01	-7.236485e-03	-1.385000e+01	1.334391e-03	-1.385000e+01	-9.553708e-03	-1.385000e+01	-1.502937e-02	-1.385000e+01	8.312967e-03	-1.385000e+01	-2.124671e-02
-1.185000e+01	-2.518372e-03	-1.185000e+01	5.478718e-03	-1.185000e+01	-1.212901e-02	-1.185000e+01	-9.022854e-03	-1.185000e+01	-1.354119e-02	-1.185000e+01	1.662247e-02
-9.850000e+00	-3.746521e-03	-9.850000e+00	1.178821e-02	-9.850000e+00	6.790021e-03	-9.850000e+00	-5.883786e-03	-9.850000e+00	-2.039464e-03	-9.850000e+00	-2.938759e-02
-7.850000e+00	9.616319e-04	-7.850000e+00	-3.272152e-02	-7.850000e+00	2.175332e-02	-7.850000e+00	8.530412e-03	-7.850000e+00	1.392505e-03	-7.850000e+00	5.853447e-03
-5.850000e+00	-5.483468e-03	-5.850000e+00	2.362844e-03	-5.850000e+00	-1.518558e-02	-5.850000e+00	-5.774891e-03	-5.850000e+00	-1.841041e-02	-5.850000e+00	9.590701e-03
-3.850000e+00	-3.689157e-05	-3.850000e+00	4.641866e-03	-3.850000e+00	-1.301881e-02	-3.850000e+00	-1.654041e-02	-3.850000e+00	6.159268e-03	-3.850000e+00	1.857362e-02
-1.850000e+00	-6.409823e-03	-1.850000e+00	-6.968946e-03	-1.850000e+00	-2.347489e-03	-1.850000e+00	1.083975e-02	-1.850000e+00	-1.258966e-02	-1.850000e+00	-2.098277e-02
1.500000e-01	1.102908e-01	1.500000e-01	1.450757e-01	1.500000e-01	1.012251e-01	1.500000e-01	1.039526e-01	1.500000e-01	9.152109e-02	1.500000e-01	1.096796e-01
2.150000e+00	7.901628e-02	2.150000e+00	7.534580e-02	2.150000e+00	5.457266e-02	2.150000e+00	7.255934e-02	2.150000e+00	1.097245e-01	2.150000e+00	8.287910e-02
4.150000e+00	6.710267e-02	4.150000e+00	5.529289e-02	4.150000e+00	7.545222e-02	4.150000e+00	5.305499e-02	4.150000e+00	7.266438e-02	4.150000e+00	7.904887e-02
6.150000e+00	6.199070e-02	6.150000e+00	6.450469e-02	6.150000e+00	6.473283e-02	6.150000e+00	3.964145e-02	6.150000e+00	6.520598e-02	6.150000e+00	7.586856e-02
8.150000e+00	5.374728e-02	8.150000e+00	5.825382e-02	8.150000e+00	5.729243e-02	8.150000e+00	3.660910e-02	8.150000e+00	5.625818e-02	8.150000e+00	6.032288e-02
1.015000e+01	5.929286e-02	1.015000e+01	7.651718e-02	1.015000e+01	5.208893e-02	1.015000e+01	6.336646e-02	1.015000e+01	4.557933e-02	1.015000e+01	5.891240e-02
1.215000e+01	4.360641e-02	1.215000e+01	4.012893e-02	1.215000e+01	3.383718e-02	1.215000e+01	4.167733e-02	1.215000e+01	4.366803e-02	1.215000e+01	5.872059e-02
1.415000e+01	4.034791e-02	1.415000e+01	5.586005e-02	1.415000e+01	4.830522e-02	1.415000e+01	1.751556e-02	1.415000e+01	1.678568e-02	1.415000e+01	6.327304e-02
1.615000e+01	4.694096e-02	1.615000e+01	3.983365e-02	1.615000e+01	4.414558e-02	1.615000e+01	5.659661e-02	1.615000e+01	3.013561e-02	1.615000e+01	6.399334e-02
1.815000e+01	3.545526e-02	1.815000e+01	4.114270e-02	1.815000e+01	3.983306e-02	1.815000e+01	2.944121e-02	1.815000e+01	1.843728e-02	1.815000e+01	4.842207e-02
2.015000e+01	4.086354e-02	2.015000e+01	6.656008e-02	2.015000e+01	2.429508e-02	2.015000e+01	2.555828e-02	2.015000e+01	4.474043e-02	2.015000e+01	4.316381e-02
2.215000e+01	4.435335e-02	2.215000e+01	4.979990e-02	2.215000e+01	4.440965e-02	2.215000e+01	2.543330e-02	2.215000e+01	3.551089e-02	2.215000e+01	6.661303e-02
2.415000e+01	4.775419e-02	2.415000e+01	6.790594e-02	2.415000e+01	4.869780e-02	2.415000e+01	3.376451e-02	2.415000e+01	5.552735e-02	2.415000e+01	3.287535e-02
2.615000e+01	4.147409e-02	2.615000e+01	4.517197e-02	2.615000e+01	9.223269e-02	2.615000e+01	3.122254e-02	2.615000e+01	7.932119e-03	2.615000e+01	3.081112e-02
2.815000e+01	4.939249e-02	2.815000e+01	5.262124e-02	2.815000e+01	6.388338e-02	2.815000e+01	5.190902e-02	2.815000e+01	3.520382e-02	2.815000e+01	4.334497e-02
3.015000e+01	2.738731e-02	3.015000e+01	2.798067e-02	3.015000e+01	3.183643e-02	3.015000e+01	2.739456e-02	3.015000e+01	2.519146e-02	3.015000e+01	2.453344e-02
3.215000e+01	4.187751e-02	3.215000e+01	5.006167e-02	3.215000e+01	5.252346e-02	3.215000e+01	4.321715e-02	3.215000e+01	1.190260e-02	3.215000e+01	5.168268e-02
3.415000e+01	3.606164e-02	3.415000e+01	3.696527e-02	3.415000e+01	5.654352e-02	3.415000e+01	1.561606e-02	3.415000e+01	2.337837e-02	3.415000e+01	4.780499e-02
3.615000e+01	2.364267e-02	3.615000e+01	3.167059e-02	3.615000e+01	2.268510e-02	3.615000e+01	3.370158e-03	3.615000e+01	3.476103e-02	3.615000e+01	2.572650e-02
3.815000e+01	4.261249e-02	3.815000e+01	5.323091e-02	3.815000e+01	4.438764e-02	3.815000e+01	6.020662e-02	3.815000e+01	2.549032e-02	3.815000e+01	2.974694e-02
4.015000e+01	3.419919e-02	4.015000e+01	6.620739e-02	4.015000e+01	4.871761e-02	4.015000e+01	1.865736e-03	4.015000e+01	3.914223e-02	4.015000e+01	1.506301e-02
4.215000e+01	3.838323e-02	4.215000e+01	4.634407e-02	4.215000e+01	2.663478e-02	4.215000e+01	2.769117e-02	4.215000e+01	3.856393e-02	4.215000e+01	5.268220e-02
4.415000e+01	3.856030e-02	4.415000e+01	5.084368e-02	4.415000e+01	2.911629e-02	4.415000e+01	2.080009e-02	4.415000e+01	4.333161e-02	4.415000e+01	4.870980e-02
4.615000e+01	2.948979e-02	4.615000e+01	3.898530e-02	4.615000e+01	1.302701e-02	4.615000e+01	4.320558e-02	4.615000e+01	6.295698e-03	4.615000e+01	4.593539e-02
4.815000e+01	3.583421e-02	4.815000e+01	3.102129e-02	4.815000e+01	6.564949e-02	4.815000e+01	3.177056e-02	4.815000e+01	1.382071e-02	4.815000e+01	3.690903e-02
5.015000e+01	2.113724e-02	5.015000e+01	5.856449e-02	5.015000e+01	2.689114e-02	5.015000e+01	3.946546e-03	5.015000e+01	4.985206e-03	5.015000e+01	1.129884e-02
5.215000e+01	2.508317e-02	5.215000e+01	5.304462e-02	5.215000e+01	1.167561e-02	5.215000e+01	-3.158485e-03	5.215000e+01	2.687383e-02	5.215000e+01	3.698026e-02
5.415000e+01	3.339189e-02	5.415000e+01	4.527190e-02	5.415000e+01	5.706822e-02	5.415000e+01	3.491638e-02	5.415000e+01	-1.043860e-03	5.415000e+01	3.074681e-02
