# Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.300303e+02	9.428090e-03	-5.502385e-03	1.314948e-03	1.160895e+09	1.491829e+08	-1.064351e-02	4.969960e-03	4.486917e+07	5.930068e+06	-6.157968e-03	9.572668e-04	1.155078e+09	1.180987e+08	-6.682893e-03	3.242737e-03	4.874238e+07	2.279333e+06	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	-5.141121e-03	4.834829e-03	-5.249258e-04	3.353160e-03	-3.960613e-03	5.394101e-03	-4.616194e-03	5.064901e-03	   nan	   nan	-1.116026e+09	1.504287e+08	-1.106335e+09	1.178461e+08	-3.873212e+06	6.501699e+06	-9.690787e+06	4.673833e+07	   nan	   nan
5.300353e+02	9.427967e-03	-5.483377e-03	1.294262e-03	1.161394e+09	1.487568e+08	-1.059759e-02	4.899193e-03	4.492341e+07	5.837849e+06	-6.135229e-03	9.515175e-04	1.155689e+09	1.180440e+08	-6.638191e-03	3.215344e-03	4.879622e+07	2.246758e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-5.114209e-03	4.754890e-03	-5.029617e-04	3.322713e-03	-3.959396e-03	5.340519e-03	-4.611247e-03	5.000171e-03	   nan	   nan	-1.116471e+09	1.499775e+08	-1.106893e+09	1.177983e+08	-3.872812e+06	6.420180e+06	-9.578323e+06	4.600173e+07	  -inf	   nan
5.300403e+02	9.427843e-03	-5.464369e-03	1.273607e-03	1.161894e+09	1.483317e+08	-1.055167e-02	4.828772e-03	4.497765e+07	5.745825e+06	-6.112491e-03	9.458269e-04	1.156300e+09	1.179898e+08	-6.593488e-03	3.188040e-03	4.885007e+07	2.214377e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-5.087297e-03	4.675348e-03	-4.809976e-04	3.292353e-03	-3.958178e-03	5.287504e-03	-4.606299e-03	4.936172e-03	   nan	   nan	-1.116916e+09	1.495275e+08	-1.107450e+09	1.177511e+08	-3.872413e+06	6.338956e+06	-9.465859e+06	4.526671e+07	  -inf	   nan
5.300453e+02	9.427719e-03	-5.445360e-03	1.252985e-03	1.162393e+09	1.479076e+08	-1.050575e-02	4.758711e-03	4.503190e+07	5.654006e+06	-6.089752e-03	9.401960e-04	1.156911e+09	1.179361e+08	-6.548786e-03	3.160827e-03	4.890391e+07	2.182199e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-5.060386e-03	4.596224e-03	-4.590336e-04	3.262080e-03	-3.956961e-03	5.235074e-03	-4.601352e-03	4.872932e-03	   nan	   nan	-1.117361e+09	1.490786e+08	-1.108008e+09	1.177044e+08	-3.872013e+06	6.258038e+06	-9.353395e+06	4.453337e+07	  -inf	   nan
5.300503e+02	9.427595e-03	-5.426352e-03	1.232399e-03	1.162892e+09	1.474846e+08	-1.045983e-02	4.689027e-03	4.508614e+07	5.562402e+06	-6.067014e-03	9.346259e-04	1.157523e+09	1.178830e+08	-6.504083e-03	3.133706e-03	4.895775e+07	2.150232e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-5.033474e-03	4.517539e-03	-4.370695e-04	3.231897e-03	-3.955743e-03	5.183247e-03	-4.596404e-03	4.810482e-03	   nan	   nan	-1.117806e+09	1.486311e+08	-1.108565e+09	1.176583e+08	-3.871613e+06	6.177437e+06	-9.240931e+06	4.380177e+07	  -inf	   nan
5.300553e+02	9.427471e-03	-5.407344e-03	1.211849e-03	1.163391e+09	1.470626e+08	-1.041391e-02	4.619737e-03	4.514038e+07	5.471024e+06	-6.044275e-03	9.291178e-04	1.158134e+09	1.178303e+08	-6.459381e-03	3.106682e-03	4.901159e+07	2.118487e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-5.006562e-03	4.439317e-03	-4.151054e-04	3.201807e-03	-3.954526e-03	5.132041e-03	-4.591457e-03	4.748852e-03	   nan	   nan	-1.118251e+09	1.481848e+08	-1.109122e+09	1.176128e+08	-3.871213e+06	6.097168e+06	-9.128467e+06	4.307202e+07	  -inf	   nan
5.300603e+02	9.427348e-03	-5.388335e-03	1.191337e-03	1.163890e+09	1.466417e+08	-1.036799e-02	4.550859e-03	4.519462e+07	5.379884e+06	-6.021537e-03	9.236728e-04	1.158745e+09	1.177782e+08	-6.414678e-03	3.079756e-03	4.906543e+07	2.086973e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-4.979651e-03	4.361582e-03	-3.931414e-04	3.171812e-03	-3.953309e-03	5.081474e-03	-4.586509e-03	4.688076e-03	   nan	   nan	-1.118696e+09	1.477397e+08	-1.109680e+09	1.175679e+08	-3.870813e+06	6.017242e+06	-9.016003e+06	4.234420e+07	  -inf	   nan
5.300653e+02	9.427224e-03	-5.369327e-03	1.170867e-03	1.164389e+09	1.462218e+08	-1.032207e-02	4.482411e-03	4.524886e+07	5.288993e+06	-5.998798e-03	9.182918e-04	1.159356e+09	1.177266e+08	-6.369975e-03	3.052931e-03	4.911928e+07	2.055701e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-4.952739e-03	4.284362e-03	-3.711773e-04	3.141916e-03	-3.952091e-03	5.031566e-03	-4.581561e-03	4.628185e-03	   nan	   nan	-1.119141e+09	1.472959e+08	-1.110237e+09	1.175235e+08	-3.870413e+06	5.937673e+06	-8.903539e+06	4.161842e+07	  -inf	   nan
5.300703e+02	9.427100e-03	-5.350319e-03	1.150439e-03	1.164888e+09	1.458031e+08	-1.027615e-02	4.414415e-03	4.530311e+07	5.198365e+06	-5.976060e-03	9.129762e-04	1.159968e+09	1.176755e+08	-6.325273e-03	3.026209e-03	4.917312e+07	2.024682e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-4.925828e-03	4.207684e-03	-3.492132e-04	3.112120e-03	-3.950874e-03	4.982337e-03	-4.576614e-03	4.569216e-03	   nan	   nan	-1.119586e+09	1.468534e+08	-1.110794e+09	1.174797e+08	-3.870013e+06	5.858477e+06	-8.791075e+06	4.089479e+07	  -inf	   nan
5.300753e+02	9.426976e-03	-5.331311e-03	1.130056e-03	1.165388e+09	1.453854e+08	-1.023023e-02	4.346891e-03	4.535735e+07	5.108013e+06	-5.953321e-03	9.077270e-04	1.160579e+09	1.176250e+08	-6.280570e-03	2.999593e-03	4.922696e+07	1.993929e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-4.898916e-03	4.131578e-03	-3.272492e-04	3.082428e-03	-3.949657e-03	4.933807e-03	-4.571666e-03	4.511205e-03	   nan	   nan	-1.120031e+09	1.464123e+08	-1.111352e+09	1.174365e+08	-3.869613e+06	5.779669e+06	-8.678611e+06	4.017342e+07	  -inf	   nan
5.300803e+02	9.426853e-03	-5.312302e-03	1.109721e-03	1.165887e+09	1.449688e+08	-1.018431e-02	4.279861e-03	4.541159e+07	5.017954e+06	-5.930583e-03	9.025454e-04	1.161190e+09	1.175750e+08	-6.235868e-03	2.973087e-03	4.928080e+07	1.963452e+06	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	   nan	   nan	   inf	   nan	-4.872004e-03	4.056078e-03	-3.052851e-04	3.052844e-03	-3.948439e-03	4.885997e-03	-4.566719e-03	4.454188e-03	   nan	   nan	-1.120475e+09	1.459724e+08	-1.111909e+09	1.173939e+08	-3.869213e+06	5.701264e+06	-8.566147e+06	3.945443e+07	  -inf	   nan
