Delay [ns]	Avg StS	0204 Delay[ns]	0204 StS	0205 Delay[ns]	0205 StS	0206 Delay[ns]	0206 StS	0207 Delay[ns]	0207 StS	0208 Delay[ns]	0208 StS	0209 Delay[ns]	0209 StS	0210 Delay[ns]	0210 StS	0211 Delay[ns]	0211 StS
1.550000e+00	1.474372e+08	1.550000e+00	2.473770e+08	1.550000e+00	1.528572e+08	1.550000e+00	1.035094e+08	1.550000e+00	6.427415e+07	1.550000e+00	1.385846e+08	1.550000e+00	1.239638e+08	1.550000e+00	1.469452e+08	1.550000e+00	2.019859e+08
1.850000e+00	1.560156e+08	1.850000e+00	2.108876e+08	1.850000e+00	1.857043e+08	1.850000e+00	2.720210e+08	1.850000e+00	6.813688e+07	1.850000e+00	1.072898e+08	1.850000e+00	1.341246e+08	1.850000e+00	1.403098e+08	1.850000e+00	1.296510e+08
2.150000e+00	1.543222e+08	2.150000e+00	2.018094e+08	2.150000e+00	1.760939e+08	2.150000e+00	2.521439e+08	2.150000e+00	1.735880e+08	2.150000e+00	1.495267e+08	2.150000e+00	1.128563e+08	2.150000e+00	8.000807e+07	2.150000e+00	8.855145e+07
2.250000e+00	1.693548e+08	2.250000e+00	2.064761e+08	2.250000e+00	1.310589e+08	2.250000e+00	1.473235e+08	2.250000e+00	1.502065e+08	2.250000e+00	1.594908e+08	2.250000e+00	1.987225e+08	2.250000e+00	1.973396e+08	2.250000e+00	1.642208e+08
2.350000e+00	1.879348e+08	2.350000e+00	2.777201e+08	2.350000e+00	2.160817e+08	2.350000e+00	1.378149e+08	2.350000e+00	1.765360e+08	2.350000e+00	2.027731e+08	2.350000e+00	1.110122e+08	2.350000e+00	2.031900e+08	2.350000e+00	1.783504e+08
2.400000e+00	1.799247e+08	2.400000e+00	2.499217e+08	2.400000e+00	2.300663e+08	2.400000e+00	1.737105e+08	2.400000e+00	1.201686e+08	2.400000e+00	1.846166e+08	2.400000e+00	1.791020e+08	2.400000e+00	1.555352e+08	2.400000e+00	1.462768e+08
2.425000e+00	1.262463e+08	2.425000e+00	2.948647e+07	2.425000e+00	1.805339e+08	2.425000e+00	1.501813e+08	2.425000e+00	1.464704e+08	2.425000e+00	6.818871e+07	2.425000e+00	1.799069e+08	2.425000e+00	9.849468e+07	2.425000e+00	1.567082e+08
2.450000e+00	1.031427e+08	2.450000e+00	1.703264e+08	2.450000e+00	4.184728e+07	2.450000e+00	1.518584e+08	2.450000e+00	-1.333949e+07	2.450000e+00	6.581718e+07	2.450000e+00	1.635424e+08	2.450000e+00	1.108446e+08	2.450000e+00	1.342452e+08
2.475000e+00	-1.931609e+07	2.475000e+00	-4.215741e+07	2.475000e+00	-1.671873e+07	2.475000e+00	-7.714590e+06	2.475000e+00	2.279991e+07	2.475000e+00	-8.326797e+07	2.475000e+00	-5.109569e+07	2.475000e+00	4.699123e+07	2.475000e+00	-2.336550e+07
2.500000e+00	1.312497e+07	2.500000e+00	5.965307e+07	2.500000e+00	6.870710e+07	2.500000e+00	3.322870e+07	2.500000e+00	1.240965e+07	2.500000e+00	-2.903073e+07	2.500000e+00	-3.188499e+07	2.500000e+00	-1.229730e+07	2.500000e+00	4.214270e+06
2.525000e+00	-4.162089e+07	2.525000e+00	-7.187225e+06	2.525000e+00	-1.050604e+08	2.525000e+00	-2.775250e+07	2.525000e+00	4.143189e+06	2.525000e+00	-6.579416e+07	2.525000e+00	-2.397785e+07	2.525000e+00	-4.931815e+07	2.525000e+00	-5.802001e+07
2.550000e+00	2.347224e+07	2.550000e+00	3.074174e+07	2.550000e+00	-5.504689e+07	2.550000e+00	4.447628e+07	2.550000e+00	4.984518e+07	2.550000e+00	-1.085911e+06	2.550000e+00	1.145400e+06	2.550000e+00	1.007066e+08	2.550000e+00	1.699552e+07
2.575000e+00	-2.183938e+07	2.575000e+00	-1.398418e+08	2.575000e+00	1.920462e+07	2.575000e+00	-2.025205e+07	2.575000e+00	-5.545176e+07	2.575000e+00	4.321737e+06	2.575000e+00	-4.243391e+07	2.575000e+00	2.895860e+07	2.575000e+00	3.077956e+07
2.600000e+00	1.127723e+07	2.600000e+00	-3.097765e+07	2.600000e+00	7.467438e+07	2.600000e+00	3.336387e+06	2.600000e+00	-4.404290e+07	2.600000e+00	2.937109e+07	2.600000e+00	6.814296e+06	2.600000e+00	6.380360e+07	2.600000e+00	-1.276135e+07
2.650000e+00	8.301049e+06	2.650000e+00	5.469896e+07	2.650000e+00	9.107867e+07	2.650000e+00	7.158628e+07	2.650000e+00	-6.095644e+07	2.650000e+00	-3.053520e+07	2.650000e+00	-1.375465e+07	2.650000e+00	4.139822e+06	2.650000e+00	-4.984905e+07
2.750000e+00	-3.540773e+07	2.750000e+00	5.157310e+07	2.750000e+00	-4.392620e+07	2.750000e+00	7.203833e+07	2.750000e+00	-7.264658e+07	2.750000e+00	-3.477531e+07	2.750000e+00	-8.579977e+07	2.750000e+00	-1.418445e+08	2.750000e+00	-2.788089e+07
2.850000e+00	-1.374587e+07	2.850000e+00	3.214323e+07	2.850000e+00	7.502241e+07	2.850000e+00	-3.121692e+07	2.850000e+00	-3.239462e+07	2.850000e+00	-5.447654e+06	2.850000e+00	-6.678506e+07	2.850000e+00	-3.861360e+07	2.850000e+00	-4.267476e+07
2.950000e+00	-3.580462e+07	2.950000e+00	-9.950290e+07	2.950000e+00	-1.192664e+07	2.950000e+00	-8.521737e+07	2.950000e+00	8.430464e+06	2.950000e+00	2.176420e+06	2.950000e+00	-1.219005e+07	2.950000e+00	-4.157465e+06	2.950000e+00	-8.404942e+07
3.250000e+00	-6.416488e+06	3.250000e+00	4.147216e+06	3.250000e+00	3.244490e+07	3.250000e+00	-1.211742e+07	3.250000e+00	-2.123364e+07	3.250000e+00	4.702497e+07	3.250000e+00	-5.173273e+07	3.250000e+00	-1.768924e+07	3.250000e+00	-3.217596e+07
3.550000e+00	1.207293e+07	3.550000e+00	-1.770401e+07	3.550000e+00	4.599435e+07	3.550000e+00	1.419517e+07	3.550000e+00	-5.396579e+07	3.550000e+00	7.207386e+07	3.550000e+00	5.042648e+07	3.550000e+00	-4.858846e+07	3.550000e+00	3.415186e+07
