Delay [ps]	StS norm
1.550000e+03	-5.993070e+00
1.850000e+03	2.104715e+00
2.150000e+03	6.268454e+00
2.250000e+03	-3.069097e-01
2.350000e+03	-2.073189e+00
2.400000e+03	-5.672835e+00
2.425000e+03	-8.750982e-01
2.450000e+03	6.495697e+00
2.475000e+03	4.132424e+00
2.500000e+03	2.090268e+00
2.525000e+03	-3.777769e-01
2.550000e+03	1.064174e+01
2.575000e+03	4.082349e+00
2.600000e+03	6.270612e+00
2.650000e+03	2.943322e+00
2.750000e+03	-3.345438e-01
2.850000e+03	1.610475e+00
2.950000e+03	2.437931e+00
3.250000e+03	2.077095e+00
3.550000e+03	-5.790958e+00
