Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
1.550000E+3	1.971022E-1	2.005402E+10	4.487488E-1	1.282712E+9	-2.669864E+0	1.997295E+10	4.499055E-1	1.281672E+9	6.696545E-2	2.072685E+11	-4.435994E-1	2.024283E+11	-4.359987E-2	2.272415E+11	-3.639853E-1	2.224823E+11	2.516466E-1	3.119770E+0	-1.156721E-3	-2.868123E+0	8.127341E-1	-1.877131E+10	-1.869127E+10	1.040191E+6	-8.003670E+7	-2.211996E+11
1.850000E+3	-7.296865E-3	1.997361E+10	1.277734E+0	1.317826E+9	1.133185E+0	2.028978E+10	-3.820481E-1	1.318869E+9	2.550923E-1	2.076408E+11	4.162849E-1	2.048125E+11	2.905664E-1	2.279306E+11	3.636503E-1	2.247861E+11	1.285031E+0	-1.515234E+0	1.659782E+0	2.800265E+0	9.140840E-1	-1.865578E+10	-1.897091E+10	-1.043078E+6	3.151279E+8	-2.234682E+11
2.150000E+3	-1.285610E-1	1.992590E+10	1.114418E+0	1.310908E+9	-2.972527E-2	2.019290E+10	2.391816E-1	1.291093E+9	-1.781298E-1	2.067835E+11	-1.771425E-1	2.031671E+11	-1.721344E-1	2.269764E+11	-1.711058E-1	2.230930E+11	1.242979E+0	2.689069E-1	8.752367E-1	9.740724E-1	1.285524E+0	-1.861499E+10	-1.890180E+10	1.981509E+7	2.868104E+8	-2.217821E+11
2.250000E+3	-2.888950E-1	1.986282E+10	-2.339241E-1	1.253795E+9	2.351865E-1	2.021497E+10	-5.830169E-1	1.327855E+9	-7.204303E-1	2.057104E+11	-2.751794E-1	2.028953E+11	-6.818243E-1	2.259253E+11	-2.768837E-1	2.227581E+11	5.497090E-2	-8.182034E-1	3.490928E-1	8.731743E-1	4.295955E-2	-1.860903E+10	-1.888711E+10	-7.405993E+7	2.780831E+8	-2.215043E+11
2.350000E+3	2.276507E-1	2.006604E+10	-2.606977E+0	1.153276E+9	1.331218E+0	2.030628E+10	2.759778E-1	1.289448E+9	5.765024E-1	2.082768E+11	4.796363E-1	2.049881E+11	6.069922E-1	2.285831E+11	4.483244E-1	2.250542E+11	-2.834628E+0	-1.055240E+0	-2.882955E+0	-1.779388E+0	-3.055302E+0	-1.891276E+10	-1.901683E+10	-1.361717E+8	1.040656E+8	-2.239009E+11
2.400000E+3	-4.272264E-1	1.980840E+10	-1.029370E+0	1.220101E+9	-7.347501E-2	2.018925E+10	1.214821E+0	1.247471E+9	-4.816385E-1	2.061829E+11	1.658586E-1	2.041181E+11	-4.651491E-1	2.263721E+11	9.216141E-2	2.239265E+11	-6.021434E-1	1.288296E+0	-2.244191E+0	-1.890440E+0	-1.121531E+0	-1.858830E+10	-1.894178E+10	-2.737005E+7	3.534798E+8	-2.227064E+11
2.425000E+3	2.409824E-2	1.998596E+10	6.890537E-1	1.292891E+9	-6.955992E-1	2.013742E+10	8.807624E-1	1.262408E+9	-1.914933E-1	2.067571E+11	-1.077731E-1	2.033594E+11	-2.118587E-1	2.268945E+11	-9.138665E-2	2.233454E+11	6.649554E-1	1.576362E+0	-1.917087E-1	-9.114061E-1	7.804403E-1	-1.869307E+10	-1.887502E+10	3.048325E+7	1.819458E+8	-2.220525E+11
2.450000E+3	1.905639E+0	2.072619E+10	1.074923E+0	1.309236E+9	5.465793E+0	2.065073E+10	-4.495223E-1	1.321886E+9	2.472354E+0	2.120285E+11	1.536121E+0	2.079173E+11	2.593286E+0	2.326792E+11	1.582037E+0	2.286435E+11	-8.307153E-1	-5.915315E+0	1.524446E+0	5.084600E+0	-5.071138E-1	-1.941695E+10	-1.932885E+10	-1.265067E+7	-8.810478E+7	-2.273343E+11
2.475000E+3	7.206741E-1	2.026000E+10	-2.546604E-1	1.252917E+9	2.271228E+0	2.038459E+10	-9.333513E-2	1.305961E+9	9.578058E-1	2.090314E+11	1.026627E+0	2.065047E+11	1.010867E+0	2.294160E+11	9.886094E-1	2.267647E+11	-9.753345E-1	-2.364563E+0	-1.613252E-1	1.389229E+0	-1.243270E+0	-1.900709E+10	-1.907863E+10	-5.304399E+7	7.154342E+7	-2.255118E+11
2.500000E+3	1.507748E+0	2.056965E+10	1.284616E+0	1.318118E+9	8.189857E+0	2.087768E+10	-1.748490E-1	1.309605E+9	2.241432E+0	2.115715E+11	1.904749E+0	2.089394E+11	2.481743E+0	2.324492E+11	1.855418E+0	2.295091E+11	-2.231321E-1	-8.364706E+0	1.459465E+0	8.141574E+0	-5.708016E-1	-1.925153E+10	-1.956807E+10	8.512543E+6	3.165378E+8	-2.281909E+11
