Delay [ns]	StS norm
-4.687000e+01	-9.456334e+06
-4.657000e+01	-2.065148e+07
-4.627000e+01	-4.306995e+07
-4.622000e+01	3.155987e+07
-4.612000e+01	-7.607585e+06
-4.602000e+01	4.759397e+07
-4.597000e+01	-1.661852e+07
-4.594500e+01	-2.789854e+07
-4.592000e+01	4.123163e+07
-4.589500e+01	3.318153e+07
-4.587000e+01	-2.051080e+07
-4.584500e+01	3.414593e+07
-4.582000e+01	4.928703e+07
-4.579500e+01	-9.124056e+06
-4.577000e+01	-3.089835e+06
-4.572000e+01	-1.645094e+07
-4.562000e+01	1.149311e+06
-4.552000e+01	-4.874869e+06
-4.547000e+01	-8.486268e+06
-4.517000e+01	3.222946e+07
-4.487000e+01	-3.070747e+06
-4.457000e+01	2.554474e+06
-4.427000e+01	9.290067e+05
-4.422000e+01	6.374093e+06
-4.412000e+01	1.830343e+07
-4.402000e+01	1.061332e+07
-4.397000e+01	-1.313072e+07
-4.394500e+01	-3.297939e+07
-4.392000e+01	2.984850e+07
-4.389500e+01	2.521862e+06
-4.387000e+01	-2.203216e+07
-4.384500e+01	-3.610451e+06
-4.382000e+01	3.180538e+07
-4.379500e+01	-7.145155e+06
-4.377000e+01	-2.027295e+07
-4.372000e+01	1.056005e+07
-4.362000e+01	3.946813e+06
-4.352000e+01	-2.027194e+07
-4.347000e+01	6.161550e+05
-4.317000e+01	6.063827e+05
-4.287000e+01	1.304659e+07
-4.257000e+01	9.983915e+06
-4.227000e+01	-1.570479e+07
-4.222000e+01	-2.531156e+05
-4.212000e+01	-5.735666e+07
-4.202000e+01	3.574401e+07
-4.197000e+01	-7.838352e+06
-4.194500e+01	1.523036e+07
-4.192000e+01	-4.947492e+06
-4.189500e+01	-1.596565e+07
-4.187000e+01	-1.339497e+07
-4.184500e+01	9.506205e+06
-4.182000e+01	1.858940e+07
-4.179500e+01	-3.347212e+06
-4.177000e+01	-6.458347e+06
-4.172000e+01	7.221459e+06
-4.162000e+01	-1.210594e+06
-4.152000e+01	3.604063e+07
-4.147000e+01	-2.244059e+07
-4.117000e+01	8.680675e+06
-4.087000e+01	-1.068866e+07
-4.057000e+01	4.929773e+06
-4.027000e+01	5.426467e+06
-4.022000e+01	8.048770e+06
-4.012000e+01	1.548026e+07
-4.002000e+01	-2.770694e+06
-3.997000e+01	-1.513869e+07
-3.994500e+01	8.612251e+06
-3.992000e+01	-1.218589e+07
-3.989500e+01	5.751561e+07
-3.987000e+01	5.129002e+06
-3.984500e+01	6.332022e+06
-3.982000e+01	5.636803e+06
-3.979500e+01	-1.320849e+07
-3.977000e+01	-2.543162e+07
-3.972000e+01	5.127294e+07
-3.962000e+01	-3.524036e+07
-3.952000e+01	-1.590772e+07
-3.947000e+01	1.809605e+07
-3.917000e+01	-2.163588e+07
-3.887000e+01	-1.979278e+07
-3.857000e+01	5.271563e+06
-3.827000e+01	2.238169e+07
-3.822000e+01	-1.304898e+07
-3.812000e+01	1.581940e+07
-3.802000e+01	-8.717900e+05
-3.797000e+01	-4.905060e+06
-3.794500e+01	3.261518e+07
-3.792000e+01	2.793466e+07
-3.789500e+01	-1.055497e+07
-3.787000e+01	-2.175508e+06
-3.784500e+01	-1.005016e+07
-3.782000e+01	1.045294e+07
-3.779500e+01	1.594837e+07
-3.777000e+01	-2.836437e+07
-3.772000e+01	2.999274e+06
-3.762000e+01	-4.398105e+06
-3.752000e+01	-4.302895e+07
-3.747000e+01	1.716667e+06
-3.717000e+01	1.996189e+07
-3.687000e+01	2.220962e+07
-3.657000e+01	1.476609e+07
-3.627000e+01	3.157574e+06
-3.622000e+01	-8.101590e+06
-3.612000e+01	-2.395622e+07
-3.602000e+01	1.318772e+07
-3.597000e+01	-1.411092e+07
-3.594500e+01	-8.407677e+06
