Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.237419e+02	1.371169e-01	-4.682458e-03	4.573211e-03	3.919516e+09	3.353028e+08	-3.147788e-03	1.092136e-02	2.096375e+08	2.638484e+07	-5.447739e-03	3.513921e-03	3.906468e+09	3.671786e+08	6.316232e-04	1.049414e-02	2.134901e+08	1.890214e+07	-4.935833e-03	3.890641e-03	3.439655e+10	3.511290e+09	-5.013897e-03	3.813086e-03	3.465385e+10	3.557778e+09	-4.986441e-03	3.830974e-03	3.830302e+10	3.585395e+09	-4.980092e-03	3.847465e-03	3.857337e+10	3.626606e+09	1.534670e-03	9.679138e-03	6.079362e-03	9.246065e-03	-3.779412e-03	1.567173e-02	-4.544693e-03	1.516034e-02	1.832304e-03	9.444409e-03	-3.709878e+09	3.406461e+08	-3.692978e+09	3.627496e+08	-3.852591e+06	1.483657e+07	-1.689969e+07	5.068008e+07	-3.836373e+10	3.603605e+09
5.240294e+02	1.371054e-01	-3.035484e-03	6.184265e-03	3.946849e+09	3.098923e+08	1.682886e-03	1.798606e-02	2.134240e+08	2.766990e+07	-3.825751e-03	6.361839e-03	3.931260e+09	3.311715e+08	-2.612832e-03	1.430412e-02	2.108545e+08	1.334042e+07	-2.955387e-03	5.740127e-03	3.464576e+10	3.228675e+09	-3.013218e-03	6.136176e-03	3.490315e+10	3.250494e+09	-3.032356e-03	5.758198e-03	3.857702e+10	3.215872e+09	-3.001691e-03	6.069193e-03	3.885000e+10	3.237317e+09	4.718369e-03	1.790219e-02	1.212919e-03	1.067271e-02	4.295718e-03	2.072099e-02	3.505449e-03	2.194642e-02	4.684577e-03	1.723082e-02	-3.733425e+09	3.177256e+08	-3.720405e+09	3.303648e+08	2.569517e+06	1.829783e+07	-1.301924e+07	5.107979e+07	-3.863657e+10	3.215394e+09
5.244945e+02	1.370868e-01	-4.167469e-03	3.564843e-03	3.929297e+09	3.404563e+08	-3.296454e-03	8.687248e-03	2.096478e+08	2.415858e+07	-6.751481e-03	3.367996e-03	3.888277e+09	3.684892e+08	-1.010361e-02	1.110805e-02	2.053000e+08	2.147524e+07	-5.224046e-03	3.636747e-03	3.438332e+10	3.680725e+09	-5.558327e-03	3.835274e-03	3.460661e+10	3.694464e+09	-5.371293e-03	3.561208e-03	3.827160e+10	3.758963e+09	-5.418102e-03	3.724674e-03	3.853590e+10	3.782942e+09	8.710148e-04	9.409159e-03	-3.352131e-03	1.014353e-02	6.807157e-03	1.511453e-02	4.223144e-03	1.531554e-02	2.121647e-03	9.186603e-03	-3.719650e+09	3.398026e+08	-3.682977e+09	3.626877e+08	4.347753e+06	1.344682e+07	-3.667282e+07	5.117867e+07	-3.832625e+10	3.760948e+09
5.250021e+02	1.370665e-01	-3.345024e-03	1.011994e-02	3.952161e+09	4.778106e+08	-1.733458e-03	1.677564e-02	2.110642e+08	2.378620e+07	-2.743738e-03	8.208143e-03	3.955834e+09	4.823615e+08	-6.053357e-03	1.049574e-02	2.086252e+08	2.250708e+07	-3.113185e-03	9.105165e-03	3.469506e+10	4.229209e+09	-3.111181e-03	8.965213e-03	3.496476e+10	4.166181e+09	-3.074583e-03	8.995535e-03	3.865089e+10	4.473252e+09	-3.141098e-03	9.070194e-03	3.891692e+10	4.423885e+09	1.611567e-03	1.323987e-02	-3.309618e-03	5.719575e-03	4.319897e-03	1.456310e-02	4.921185e-03	1.413612e-02	1.407639e-03	1.331141e-02	-3.741097e+09	4.693692e+08	-3.747208e+09	4.735267e+08	2.438958e+06	1.185264e+07	6.111678e+06	3.751155e+07	-3.870586e+10	4.402192e+09
5.254947e+02	1.370468e-01	-7.543909e-04	6.337596e-03	3.982495e+09	3.972076e+08	5.077945e-05	1.600178e-02	2.128296e+08	3.018772e+07	7.823943e-04	5.315796e-03	4.003562e+09	4.168526e+08	-3.556287e-03	9.533982e-03	2.104489e+08	2.294347e+07	-1.202182e-04	5.773989e-03	3.505438e+10	4.037275e+09	1.291030e-05	5.911523e-03	3.534552e+10	4.018729e+09	-9.563907e-06	5.657530e-03	3.905794e+10	4.169569e+09	-6.603512e-05	5.914558e-03	3.932801e+10	4.173009e+09	8.051725e-04	1.250112e-02	-4.338681e-03	9.647378e-03	3.607067e-03	1.695592e-02	5.143853e-03	1.616646e-02	1.168143e-04	1.275366e-02	-3.769666e+09	3.878502e+08	-3.793113e+09	4.159425e+08	2.380740e+06	1.528705e+07	2.344751e+07	4.946832e+07	-3.911518e+10	4.143484e+09
5.259873e+02	1.370271e-01	2.004187e-03	6.906691e-03	4.017145e+09	3.377910e+08	-3.557534e-04	1.109599e-02	2.122385e+08	2.820240e+07	3.182574e-03	5.446210e-03	4.031236e+09	3.590892e+08	2.972467e-03	1.105885e-02	2.154110e+08	2.566293e+07	3.008261e-03	6.281256e-03	3.543588e+10	3.960579e+09	2.895254e-03	6.203403e-03	3.570045e+10	4.008583e+09	3.019795e-03	6.111659e-03	3.946711e+10	4.058965e+09	2.806672e-03	6.209455e-03	3.971759e+10	4.100554e+09	-2.359939e-03	9.640097e-03	-2.101069e-04	8.531574e-03	-3.328218e-03	1.269384e-02	-2.149833e-03	1.249952e-02	-3.162425e-03	9.494819e-03	-3.804906e+09	3.341560e+08	-3.815825e+09	3.607107e+08	-3.172484e+06	9.586978e+06	1.091866e+07	7.209632e+07	-3.950535e+10	4.073522e+09
5.264874e+02	1.370071e-01	5.878928e-03	7.939126e-03	4.078135e+09	2.937514e+08	-1.575929e-03	1.194986e-02	2.110242e+08	2.009909e+07	7.009062e-03	7.617013e-03	4.085711e+09	2.960878e+08	1.053365e-02	1.306323e-02	2.211036e+08	2.353938e+07	6.655355e-03	7.783972e-03	3.589029e+10	3.459591e+09	6.515463e-03	7.642394e-03	3.615017e+10	3.471978e+09	6.673883e-03	7.684257e-03	3.997601e+10	3.465094e+09	6.471651e-03	7.616098e-03	4.022830e+10	3.432744e+09	-7.454857e-03	1.028346e-02	3.524586e-03	1.007160e-02	-1.210958e-02	1.900127e-02	-1.097944e-02	1.594784e-02	-8.047580e-03	1.109322e-02	-3.867111e+09	2.992176e+08	-3.864607e+09	3.021535e+08	-1.007947e+07	1.370894e+07	-2.504027e+06	6.387190e+07	-4.001728e+10	3.415162e+09
5.269850e+02	1.369872e-01	9.158704e-03	5.682807e-03	4.124149e+09	3.094862e+08	1.040025e-02	1.081071e-02	2.206027e+08	2.148337e+07	8.865436e-03	4.928095e-03	4.116204e+09	3.391016e+08	9.693657e-03	9.024723e-03	2.207808e+08	2.414808e+07	8.211101e-03	4.254209e-03	3.611101e+10	3.714173e+09	8.663610e-03	4.455487e-03	3.645117e+10	3.716203e+09	8.268725e-03	4.267481e-03	4.022721e+10	3.768074e+09	8.699981e-03	4.403074e-03	4.057532e+10	3.768494e+09	1.241543e-03	8.754353e-03	8.282196e-04	8.140665e-03	7.065927e-04	1.627129e-02	4.133240e-04	1.438912e-02	1.700267e-03	9.854141e-03	-3.903547e+09	3.115107e+08	-3.895423e+09	3.365058e+08	-1.781903e+05	1.327936e+07	-8.124116e+06	3.965111e+07	-4.035472e+10	3.749389e+09
5.274126e+02	1.369701e-01	1.587305e-02	5.940202e-03	4.231562e+09	4.088274e+08	1.780227e-02	8.175994e-03	2.265923e+08	2.315912e+07	1.606175e-02	6.212557e-03	4.230088e+09	4.410802e+08	1.905778e-02	1.295195e-02	2.282933e+08	2.658047e+07	1.645650e-02	5.909122e-03	3.721364e+10	4.173736e+09	1.667305e-02	6.711722e-03	3.753304e+10	4.233556e+09	1.639606e-02	5.894787e-03	4.144373e+10	4.360493e+09	1.657659e-02	6.528782e-03	4.176460e+10	4.401966e+09	1.929220e-03	6.956403e-03	2.996026e-03	1.306489e-02	-1.255506e-03	1.685862e-02	-1.066807e-03	1.666704e-02	1.225678e-03	8.163677e-03	-4.004970e+09	4.056754e+08	-4.001795e+09	4.321668e+08	-1.701021e+06	1.285657e+07	-3.174844e+06	4.493538e+07	-4.153801e+10	4.380712e+09
5.276877e+02	1.369591e-01	2.158691e-02	5.880225e-03	4.317551e+09	4.085254e+08	2.170092e-02	1.264336e-02	2.299606e+08	2.815844e+07	2.226197e-02	6.715115e-03	4.323152e+09	4.312555e+08	2.995142e-02	1.766928e-02	2.369375e+08	2.948926e+07	2.373674e-02	6.293214e-03	3.814594e+10	4.103673e+09	2.378358e-02	6.790542e-03	3.844949e+10	4.178722e+09	2.357773e-02	6.264947e-03	4.246909e+10	4.244265e+09	2.355252e-02	6.680480e-03	4.276705e+10	4.319932e+09	1.140048e-04	1.278978e-02	7.689451e-03	1.515083e-02	-8.250503e-03	2.376755e-02	-7.575446e-03	2.204537e-02	-1.851601e-03	1.334127e-02	-4.087591e+09	4.033163e+08	-4.086214e+09	4.251900e+08	-6.976897e+06	1.640263e+07	-1.376080e+06	3.976053e+07	-4.253709e+10	4.293734e+09
