Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR
5.237419e+02	1.371169e-01	-4.682458e-03	4.573211e-03	3.919516e+09	3.353028e+08	-7.817224e-03	9.566896e-03	2.060060e+08	2.731738e+07	-5.447739e-03	3.513921e-03	3.906468e+09	3.671786e+08	-1.469171e-02	1.127292e-02	1.988226e+08	2.146210e+07	-4.935833e-03	3.890641e-03	3.439655e+10	3.511290e+09	-5.013897e-03	3.813086e-03	3.465385e+10	3.557778e+09	-4.986441e-03	3.830974e-03	3.830302e+10	3.585395e+09	-4.980092e-03	3.847465e-03	3.857337e+10	3.626606e+09	-3.134766e-03	9.217566e-03	-9.243976e-03	8.426718e-03	6.874489e-03	9.297525e-03	6.109209e-03	1.065433e-02	-2.837134e-03	8.254504e-03	-3.713509e+09	3.354648e+08	-3.707646e+09	3.687988e+08	7.183428e+06	1.132733e+07	-5.863668e+06	6.087484e+07	-3.836736e+10	3.601164e+09
5.240294e+02	1.371054e-01	-3.035484e-03	6.184265e-03	3.946849e+09	3.098923e+08	-9.490738e-03	9.538255e-03	2.047690e+08	2.523058e+07	-3.825751e-03	6.361839e-03	3.931260e+09	3.311715e+08	-7.433932e-03	1.188764e-02	2.045925e+08	1.915141e+07	-2.955387e-03	5.740127e-03	3.464576e+10	3.228675e+09	-3.013218e-03	6.136176e-03	3.490315e+10	3.250494e+09	-3.032356e-03	5.758198e-03	3.857702e+10	3.215872e+09	-3.001691e-03	6.069193e-03	3.885000e+10	3.237317e+09	-6.455254e-03	8.709792e-03	-3.608182e-03	6.511466e-03	-2.056807e-03	1.042862e-02	-2.847073e-03	9.308041e-03	-6.489048e-03	8.736261e-03	-3.742080e+09	3.105125e+08	-3.726667e+09	3.367138e+08	1.764378e+05	1.102222e+07	-1.541232e+07	5.028805e+07	-3.864523e+10	3.213334e+09
5.244945e+02	1.370868e-01	-4.167469e-03	3.564843e-03	3.929297e+09	3.404563e+08	-6.434539e-03	1.326900e-02	2.072893e+08	2.617947e+07	-6.751481e-03	3.367996e-03	3.888277e+09	3.684892e+08	-9.561706e-03	8.520291e-03	2.031473e+08	2.187348e+07	-5.224046e-03	3.636747e-03	3.438332e+10	3.680725e+09	-5.558327e-03	3.835274e-03	3.460661e+10	3.694464e+09	-5.371293e-03	3.561208e-03	3.827160e+10	3.758963e+09	-5.418102e-03	3.724674e-03	3.853590e+10	3.782942e+09	-2.267068e-03	1.363993e-02	-2.810225e-03	6.538546e-03	3.127167e-03	1.231163e-02	5.431546e-04	1.301808e-02	-1.016438e-03	1.227544e-02	-3.722008e+09	3.313597e+08	-3.685129e+09	3.685869e+08	4.141938e+06	1.122665e+07	-3.687864e+07	5.730076e+07	-3.832861e+10	3.757495e+09
5.250021e+02	1.370665e-01	-3.345024e-03	1.011994e-02	3.952161e+09	4.778106e+08	-1.334430e-03	1.808981e-02	2.115213e+08	3.033598e+07	-2.743738e-03	8.208143e-03	3.955834e+09	4.823615e+08	2.735687e-03	1.113494e-02	2.130001e+08	2.761359e+07	-3.113185e-03	9.105165e-03	3.469506e+10	4.229209e+09	-3.111181e-03	8.965213e-03	3.496476e+10	4.166181e+09	-3.074583e-03	8.995535e-03	3.865089e+10	4.473252e+09	-3.141098e-03	9.070194e-03	3.891692e+10	4.423885e+09	2.010596e-03	1.342930e-02	5.479425e-03	1.123642e-02	-4.070117e-03	1.482715e-02	-3.468831e-03	1.344644e-02	1.806667e-03	1.422301e-02	-3.740640e+09	4.674288e+08	-3.742834e+09	4.780210e+08	-1.478839e+06	1.148742e+07	2.193881e+06	3.630832e+07	-3.870540e+10	4.395886e+09
5.254947e+02	1.370468e-01	-7.543909e-04	6.337596e-03	3.982495e+09	3.972076e+08	2.808430e-03	1.006323e-02	2.146675e+08	3.167390e+07	7.823943e-04	5.315796e-03	4.003562e+09	4.168526e+08	1.214072e-03	1.446551e-02	2.120705e+08	2.931606e+07	-1.202182e-04	5.773989e-03	3.505438e+10	4.037275e+09	1.291030e-05	5.911523e-03	3.534552e+10	4.018729e+09	-9.563907e-06	5.657530e-03	3.905794e+10	4.169569e+09	-6.603512e-05	5.914558e-03	3.932801e+10	4.173009e+09	3.562820e-03	1.090417e-02	4.316773e-04	1.134221e-02	1.594357e-03	1.851487e-02	3.131143e-03	1.848880e-02	2.874464e-03	1.073323e-02	-3.767828e+09	3.962884e+08	-3.791492e+09	4.104098e+08	2.597006e+06	1.539792e+07	2.366377e+07	4.654947e+07	-3.911335e+10	4.144496e+09
5.259873e+02	1.370271e-01	2.004187e-03	6.906691e-03	4.017145e+09	3.377910e+08	2.404859e-03	1.200170e-02	2.139206e+08	2.978349e+07	3.182574e-03	5.446210e-03	4.031236e+09	3.590892e+08	7.433099e-03	1.316432e-02	2.168050e+08	3.102375e+07	3.008261e-03	6.281256e-03	3.543588e+10	3.960579e+09	2.895254e-03	6.203403e-03	3.570045e+10	4.008583e+09	3.019795e-03	6.111659e-03	3.946711e+10	4.058965e+09	2.806672e-03	6.209455e-03	3.971759e+10	4.100554e+09	4.006718e-04	8.580189e-03	4.250526e-03	1.155434e-02	-5.028242e-03	1.799357e-02	-3.849854e-03	1.672554e-02	-4.018144e-04	9.202122e-03	-3.803224e+09	3.356751e+08	-3.814431e+09	3.550536e+08	-2.884456e+06	1.668374e+07	1.120669e+07	6.530703e+07	-3.950367e+10	4.072317e+09
5.264874e+02	1.370071e-01	5.878928e-03	7.939126e-03	4.078135e+09	2.937514e+08	9.399633e-03	7.759257e-03	2.198030e+08	3.110743e+07	7.009062e-03	7.617013e-03	4.085711e+09	2.960878e+08	5.938433e-03	1.282235e-02	2.156870e+08	2.834400e+07	6.655355e-03	7.783972e-03	3.589029e+10	3.459591e+09	6.515463e-03	7.642394e-03	3.615017e+10	3.471978e+09	6.673883e-03	7.684257e-03	3.997601e+10	3.465094e+09	6.471651e-03	7.616098e-03	4.022830e+10	3.432744e+09	3.520705e-03	9.201169e-03	-1.070631e-03	9.208067e-03	3.461199e-03	1.193395e-02	4.591336e-03	1.282812e-02	2.927982e-03	8.002160e-03	-3.858332e+09	2.996812e+08	-3.870024e+09	2.972629e+08	4.116050e+06	7.855255e+06	1.169150e+07	7.121854e+07	-4.000850e+10	3.402248e+09
5.269850e+02	1.369872e-01	9.158704e-03	5.682807e-03	4.124149e+09	3.094862e+08	8.750166e-03	9.505795e-03	2.192297e+08	3.197382e+07	8.865436e-03	4.928095e-03	4.116204e+09	3.391016e+08	1.464903e-02	8.287733e-03	2.225121e+08	2.891235e+07	8.211101e-03	4.254209e-03	3.611101e+10	3.714173e+09	8.663610e-03	4.455487e-03	3.645117e+10	3.716203e+09	8.268725e-03	4.267481e-03	4.022721e+10	3.768074e+09	8.699981e-03	4.403074e-03	4.057532e+10	3.768494e+09	-4.085390e-04	1.317815e-02	5.783596e-03	7.482892e-03	-5.898867e-03	1.136088e-02	-6.192134e-03	1.221713e-02	5.018540e-05	1.090272e-02	-3.904920e+09	3.078640e+08	-3.893691e+09	3.379973e+08	-3.282385e+06	1.142656e+07	-1.122831e+07	5.051181e+07	-4.035609e+10	3.738548e+09
5.274126e+02	1.369701e-01	1.587305e-02	5.940202e-03	4.231562e+09	4.088274e+08	1.412000e-02	6.669926e-03	2.235874e+08	3.094297e+07	1.606175e-02	6.212557e-03	4.230088e+09	4.410802e+08	1.968701e-02	1.356060e-02	2.265989e+08	2.691425e+07	1.645650e-02	5.909122e-03	3.721364e+10	4.173736e+09	1.667305e-02	6.711722e-03	3.753304e+10	4.233556e+09	1.639606e-02	5.894787e-03	4.144373e+10	4.360493e+09	1.657659e-02	6.528782e-03	4.176460e+10	4.401966e+09	-1.753055e-03	6.613160e-03	3.625264e-03	1.314572e-02	-5.567017e-03	1.404503e-02	-5.378318e-03	1.418622e-02	-2.456595e-03	5.014085e-03	-4.007974e+09	4.025963e+08	-4.003489e+09	4.295494e+08	-3.011420e+06	1.271805e+07	-4.485246e+06	4.731847e+07	-4.154101e+10	4.372300e+09
5.276877e+02	1.369591e-01	2.158691e-02	5.880225e-03	4.317551e+09	4.085254e+08	2.508195e-02	9.411573e-03	2.321782e+08	3.090315e+07	2.226197e-02	6.715115e-03	4.323152e+09	4.312555e+08	2.198909e-02	1.893842e-02	2.287456e+08	3.418693e+07	2.373674e-02	6.293214e-03	3.814594e+10	4.103673e+09	2.378358e-02	6.790542e-03	3.844949e+10	4.178722e+09	2.357773e-02	6.264947e-03	4.246909e+10	4.244265e+09	2.355252e-02	6.680480e-03	4.276705e+10	4.319932e+09	3.495031e-03	8.738091e-03	-2.728833e-04	1.807632e-02	3.092858e-03	1.924500e-02	3.767916e-03	1.999884e-02	1.529427e-03	8.752856e-03	-4.085373e+09	4.061599e+08	-4.094406e+09	4.232824e+08	3.432619e+06	1.473496e+07	9.033435e+06	4.623764e+07	-4.253487e+10	4.291283e+09
