# Delay[ns]	Avg Transient	0148 Delay[ns]	0148 Transient	0149 Delay[ns]	0149 Transient	0150 Delay[ns]	0150 Transient	0151 Delay[ns]	0151 Transient	0152 Delay[ns]	0152 Transient	0216 Delay[ns]	0216 Transient	0217 Delay[ns]	0217 Transient	0218 Delay[ns]	0218 Transient
-4.185000e+01	1.144350e-02	-4.185000e+01	3.362230e-02	-4.185000e+01	-2.013073e-02	-4.185000e+01	3.756718e-02	-4.185000e+01	2.433633e-02	-4.185000e+01	-1.817755e-02	-3.185000e+01	-2.690211e-03	-3.185000e+01	2.822196e-02	-3.185000e+01	-2.701908e-02
-3.785000e+01	-2.158129e-02	-3.985000e+01	-2.326418e-02	-3.785000e+01	-6.627845e-02	-3.785000e+01	1.701673e-02	-3.985000e+01	-5.200004e-02	-3.785000e+01	-1.638824e-02	-2.985000e+01	-5.876000e-03	-2.985000e+01	5.277990e-03	-2.985000e+01	3.067406e-03
-3.385000e+01	1.768100e-02	-3.585000e+01	5.151636e-02	-3.385000e+01	3.050991e-02	-3.585000e+01	-6.242055e-03	-3.785000e+01	-1.415326e-02	-3.585000e+01	5.571207e-02	-2.785000e+01	1.453474e-02	-2.785000e+01	-3.255126e-02	-2.585000e+01	4.350311e-02
-3.185000e+01	-3.752297e-03	-3.385000e+01	4.042277e-02	-3.185000e+01	2.355064e-02	-3.385000e+01	1.576763e-02	-3.585000e+01	-3.783290e-02	-3.385000e+01	1.907958e-02	-2.385000e+01	2.077627e-02	-2.385000e+01	-7.676449e-02	-2.385000e+01	4.263399e-02
-2.985000e+01	-1.501676e-02	-3.185000e+01	-2.664144e-02	-2.985000e+01	-5.712907e-02	-3.185000e+01	-4.335702e-02	-3.385000e+01	-1.737488e-02	-3.185000e+01	1.728759e-02	-2.185000e+01	1.975552e-02	-1.985000e+01	2.808845e-02	-2.185000e+01	-2.840226e-02
-2.785000e+01	-1.116627e-02	-2.785000e+01	-3.819091e-02	-2.785000e+01	3.518865e-02	-2.785000e+01	-3.259714e-03	-3.185000e+01	6.291924e-04	-2.985000e+01	1.385120e-02	-1.985000e+01	2.195339e-02	-1.785000e+01	5.040327e-02	-1.985000e+01	-5.499137e-03
-2.385000e+01	-9.934143e-03	-2.385000e+01	5.360300e-03	-2.385000e+01	-1.840700e-02	-2.585000e+01	5.414912e-02	-2.985000e+01	-3.186448e-02	-2.785000e+01	-8.829636e-03	-1.785000e+01	9.124263e-03	-1.585000e+01	-3.914769e-02	-1.785000e+01	2.421009e-02
-1.985000e+01	2.035099e-02	-1.985000e+01	6.139491e-02	-2.185000e+01	-4.301837e-02	-2.385000e+01	-3.244940e-03	-2.785000e+01	4.588951e-03	-2.585000e+01	-3.536822e-02	-1.585000e+01	1.847190e-02	-1.185000e+01	-2.732054e-02	-1.585000e+01	-7.770708e-03
-1.785000e+01	2.093221e-03	-1.785000e+01	5.170877e-02	-1.985000e+01	-5.630003e-02	-2.185000e+01	-8.022028e-02	-2.585000e+01	-2.433959e-02	-2.185000e+01	-1.221558e-02	-1.385000e+01	-2.963391e-02	-9.850000e+00	1.142086e-02	-1.385000e+01	-7.818977e-03
-1.385000e+01	7.725681e-03	-1.585000e+01	1.035564e-02	-1.785000e+01	-4.028010e-02	-1.985000e+01	2.144663e-02	-2.385000e+01	2.261330e-02	-1.785000e+01	-2.062659e-02	-9.850000e+00	-6.734008e-03	-7.850000e+00	-3.625366e-03	-1.185000e+01	-1.962345e-02
-9.850000e+00	7.553294e-03	-1.385000e+01	1.416114e-02	-1.585000e+01	-1.692989e-02	-1.585000e+01	-1.903261e-02	-2.185000e+01	3.409772e-02	-1.585000e+01	2.628366e-02	-5.850000e+00	3.599951e-02	-5.850000e+00	-2.698146e-02	-9.850000e+00	2.933684e-02
-7.850000e+00	1.029741e-02	-1.185000e+01	4.056728e-02	-1.185000e+01	2.730488e-02	-1.385000e+01	3.647438e-02	-1.785000e+01	-3.186796e-02	-1.385000e+01	5.761257e-03	-3.850000e+00	2.499131e-03	-3.850000e+00	1.432137e-02	-7.850000e+00	4.602983e-02
-5.850000e+00	1.030658e-02	-9.850000e+00	-2.035695e-02	-9.850000e+00	6.217118e-02	-1.185000e+01	-2.736075e-03	-1.585000e+01	2.622764e-02	-1.185000e+01	-1.724417e-02	-1.850000e+00	3.805453e-02	-1.850000e+00	-3.976414e-03	-5.850000e+00	4.813570e-02
-3.850000e+00	2.667181e-02	-7.850000e+00	-4.639453e-02	-7.850000e+00	2.055284e-02	-9.850000e+00	2.482911e-02	-1.385000e+01	5.376755e-02	-9.850000e+00	-3.134646e-03	1.500000e-01	-9.907800e-03	1.500000e-01	-2.524516e-02	-3.850000e+00	1.996444e-02
-1.850000e+00	-6.639056e-03	-5.850000e+00	-1.842601e-02	-5.850000e+00	-4.710690e-03	-7.850000e+00	2.991563e-02	-9.850000e+00	-3.710603e-02	-7.850000e+00	2.466916e-02	2.150000e+00	8.962195e-03	2.150000e+00	-3.887793e-02	-1.850000e+00	-3.379925e-02
1.500000e-01	2.871739e-02	-3.850000e+00	1.400883e-02	-3.850000e+00	9.041368e-02	-5.850000e+00	-4.749894e-03	-7.850000e+00	1.150035e-02	-5.850000e+00	5.319371e-02	4.150000e+00	-9.371466e-03	4.150000e+00	-3.351699e-02	2.150000e+00	3.085186e-02
2.150000e+00	1.135068e-02	-1.850000e+00	-4.447630e-02	1.500000e-01	3.739764e-02	-3.850000e+00	1.346289e-02	-5.850000e+00	-8.194641e-06	-3.850000e+00	6.584829e-02	6.150000e+00	4.176400e-02	6.150000e+00	-9.290731e-03	6.150000e+00	2.074357e-02
4.150000e+00	-6.870653e-03	2.150000e+00	-6.443846e-03	2.150000e+00	3.857382e-03	-1.850000e+00	-1.934749e-02	-3.850000e+00	-7.144126e-03	-1.850000e+00	-4.552333e-03	8.150000e+00	4.968381e-02	8.150000e+00	1.126922e-02	8.150000e+00	4.930511e-02
6.150000e+00	3.513626e-02	4.150000e+00	2.056602e-02	4.150000e+00	-3.728028e-02	1.500000e-01	-1.289632e-02	-1.850000e+00	-3.525125e-03	1.500000e-01	2.041353e-02	1.015000e+01	4.191709e-02	1.015000e+01	7.053435e-03	1.215000e+01	3.156799e-02
8.150000e+00	2.783845e-02	6.150000e+00	5.832732e-02	8.150000e+00	-3.979787e-02	2.150000e+00	1.062792e-04	1.500000e-01	6.561134e-02	2.150000e+00	5.988322e-02	1.415000e+01	2.401535e-02	1.215000e+01	-6.023042e-03	1.415000e+01	1.251948e-02
1.015000e+01	2.200681e-02	1.015000e+01	4.881217e-02	1.015000e+01	-3.967602e-03	4.150000e+00	-2.837790e-02	2.150000e+00	3.246628e-02	4.150000e+00	-4.670616e-02	1.815000e+01	1.870720e-02	1.415000e+01	-4.412534e-02	1.615000e+01	3.715685e-03
