Photon Energy (eV)	X ref norm	X ref	X pump norm	X pump	Y ref norm	Y ref	Y pump norm	Y pump	X all norm	X all	Y all norm	Y all	X all Y ref norm	X all Y ref	Y all X ref norm	Y all X ref	BC(X hist) norm	BC(Y hist) norm	StS norm	BCSC norm	BCLR norm	BC(X hist)	BC(Y hist)	StS	BCSC	BCLR	
5.290170E+2	-1.517007E-2	4.194527E+9	-1.235456E-2	2.054018E+8	-8.173526E-3	4.335957E+9	-2.132329E-2	1.952288E+8	-1.098425E-2	3.448015E+10	-1.097812E-2	3.465450E+10	-1.066762E-2	3.881611E+10	-1.144687E-2	3.884903E+10	2.815504E-3	-1.314976E-2	8.968730E-3	1.596527E-2	-9.076923E-4	-3.989126E+9	-4.140729E+9	1.017295E+7	1.516030E+8	-3.864362E+10
5.295060E+2	-2.715491E-3	4.409235E+9	1.026495E-3	2.158700E+8	-4.252188E-3	4.403643E+9	-1.665237E-2	1.989297E+8	-2.659096E-3	3.561209E+10	-3.541468E-3	3.567278E+10	-2.838557E-3	4.001573E+10	-3.449106E-3	4.008201E+10	3.741986E-3	-1.240019E-2	1.767887E-2	1.614217E-2	4.475601E-3	-4.193365E+9	-4.204713E+9	1.694021E+7	1.134870E+7	-3.986614E+10
5.300220E+2	-4.874801E-3	4.372010E+9	2.944459E-3	2.173704E+8	-8.190881E-3	4.335658E+9	-1.297448E-2	2.018439E+8	-7.832673E-3	3.490866E+10	-8.672804E-3	3.497016E+10	-7.873025E-3	3.924432E+10	-8.248104E-3	3.934217E+10	7.819260E-3	-4.783599E-3	1.591894E-2	1.260286E-2	1.119256E-2	-4.154639E+9	-4.133814E+9	1.552653E+7	-2.082545E+7	-3.912480E+10
5.305180E+2	7.100326E-3	4.578452E+9	7.478158E-3	2.209172E+8	1.097796E-2	4.666529E+9	2.727887E-2	2.337382E+8	9.422193E-3	3.725472E+10	1.044470E-2	3.758787E+10	9.597450E-3	4.192125E+10	1.007072E-2	4.216632E+10	3.778315E-4	1.630091E-2	-1.980071E-2	-1.592308E-2	-2.592567E-3	-4.357535E+9	-4.432791E+9	-1.282099E+7	7.525614E+7	-4.194541E+10
5.310000E+2	1.320726E-2	4.683731E+9	1.291703E-2	2.251721E+8	1.301160E-2	4.701631E+9	-7.558846E-4	2.115252E+8	1.218517E-2	3.763039E+10	1.342038E-2	3.799532E+10	1.227827E-2	4.233202E+10	1.339655E-2	4.267906E+10	-2.902280E-4	-1.376748E-2	1.367292E-2	1.347725E-2	-4.795167E-4	-4.458558E+9	-4.490106E+9	1.364696E+7	3.154753E+7	-4.245388E+10
5.315080E+2	-9.713038E-3	4.288602E+9	-2.268979E-2	1.973163E+8	-8.827357E-3	4.324672E+9	2.011974E-3	2.137182E+8	-8.082664E-3	3.487467E+10	-6.812167E-3	3.522493E+10	-8.166553E-3	3.919934E+10	-7.136548E-3	3.951353E+10	-1.297676E-2	1.083933E-2	-2.470177E-2	-2.381609E-2	-1.555325E-2	-4.091286E+9	-4.110953E+9	-1.640190E+7	1.966748E+7	-3.931622E+10
5.320070E+2	1.314553E-2	4.682666E+9	1.623704E-3	2.163372E+8	7.594512E-3	4.608128E+9	2.846190E-3	2.143792E+8	8.609896E-3	3.714428E+10	7.317030E-3	3.715961E+10	8.495513E-3	4.175241E+10	7.968784E-3	4.184227E+10	-1.152183E-2	-4.748322E-3	-1.222485E-3	-6.773507E-3	-6.345080E-3	-4.466329E+9	-4.393748E+9	1.957947E+6	-7.258101E+7	-4.162594E+10
5.325120E+2	-9.797250E-4	4.439158E+9	9.054506E-3	2.221504E+8	-2.140122E-3	4.440099E+9	1.956899E-2	2.276293E+8	-6.585734E-4	3.588409E+10	-1.177553E-3	3.599647E+10	-8.254693E-4	4.032419E+10	-1.155432E-3	4.043562E+10	1.003423E-2	2.170912E-2	-1.051449E-2	-1.167488E-2	1.020994E-2	-4.217007E+9	-4.212470E+9	-5.478948E+6	-4.537635E+6	-4.021347E+10
5.330130E+2	2.672876E-2	4.916831E+9	3.554825E-2	2.428769E+8	2.960255E-2	4.988005E+9	3.881252E-2	2.428767E+8	3.013931E-2	4.007153E+10	3.035147E-2	4.031366E+10	3.007884E-2	4.505954E+10	2.994637E-2	4.523049E+10	8.819495E-3	9.209977E-3	-3.264270E-3	-3.904823E-4	5.601879E-3	-4.673954E+9	-4.745129E+9	1.281823E+2	7.117477E+7	-4.498761E+10
5.332040E+2	2.799405E-2	4.938643E+9	3.627736E-2	2.434473E+8	3.172500E-2	5.024641E+9	2.190355E-2	2.294791E+8	3.115319E-2	4.020938E+10	3.159278E-2	4.048363E+10	3.121760E-2	4.523403E+10	3.119036E-2	4.542227E+10	8.283316E-3	-9.821452E-3	1.437382E-2	1.810477E-2	5.087003E-3	-4.695196E+9	-4.795162E+9	1.396816E+7	9.996560E+7	-4.517882E+10
